,Rank,"Player (yrs, age)",Fielding Independent Pitching,Throws
662,662.,Jimmy Key (15),3.799,L
663,662.,Jack McDowell (12),3.799,R
664,665.,Chris Carpenter (15),3.803,R
665,666.,Bobo Newsom (20),3.811,R
666,667.,Thornton Lee (16),3.812,L
667,668.,Kevin Appier (16),3.813,R
668,668.,Fred Norman (16),3.813,L
669,670.,Wally Bunker (9),3.814,R
670,671.,Frank Viola (15),3.815,L
671,671.,C.J. Wilson (11),3.815,L
672,673.,Larry McWilliams (13),3.817,L
673,673.,Bill Stoneman (8),3.817,R
674,675.,Clyde Wright (10),3.818,L
675,676.,Erik Bedard (11),3.820,L
676,676.,Billy Loes (11),3.820,R
677,676.,Gus Weyhing (14),3.820,R
678,679.,Dave Stieb (16),3.822,R
679,679.,Earl Wilson (11),3.822,R
680,681.,Bucky Walters (19),3.823,R
681,682.,Doug Drabek (13),3.824,R
682,682.,Ed Whitson (15),3.824,R
683,684.,Jim Turner (9),3.825,R
684,685.,Gary Bell (12),3.827,R
685,685.,Mike Boddicker (14),3.827,R
686,685.,Jim Bouton (10),3.827,R
687,685.,Kerry Wood (14),3.827,R
688,689.,Scott Sanderson (19),3.828,R
689,690.,Mickey Harris (9),3.831,L
690,690.,Derek Lowe (17),3.831,R
691,690.,George Uhle (17),3.831,R
692,693.,Dave Dravecky (8),3.834,L
693,694.,Mike Caldwell (14),3.835,L
694,694.,Arthur Rhodes (20),3.835,L
695,696.,Pat Zachry (10),3.837,R
696,697.,"Johnny Cueto (13, 34)",3.840,R
697,697.,Bob Forsch (16),3.840,R
698,699.,Mike Flanagan (18),3.842,L
699,700.,Mike McCormick (16),3.843,L
700,701.,Jim Beattie (9),3.845,R
701,701.,Don Cardwell (14),3.845,R
702,703.,John Burkett (15),3.846,R
703,704.,Greg Harris (15),3.848,R
704,704.,Bill Sherdel (15),3.848,L
705,706.,Bruce Ruffin (12),3.849,L
706,707.,Red Ehret (11),3.851,R
707,707.,Harry Gumbert (15),3.851,R
708,707.,Jack Kramer (12),3.851,R
709,710.,Don Aase (13),3.853,R
710,710.,"Trevor Bauer (9, 29)",3.853,R
711,712.,"Jake Arrieta (11, 34)",3.854,R
712,712.,Russ Meyer (13),3.854,R
713,712.,"Jordan Zimmermann (12, 34)",3.854,R
714,715.,Frank Killen (10),3.856,L
715,715.,Tom Underwood (11),3.856,L
716,717.,Kelvim Escobar (12),3.857,R
717,718.,Red Lucas (16),3.860,R
718,719.,Steve Bedrosian (14),3.861,R
719,720.,Johnny Morrison (10),3.862,R
720,721.,A.J. Burnett (17),3.863,R
721,721.,Roberto Hernandez (17),3.863,R
722,721.,Wayne Twitchell (10),3.863,R
723,721.,Geoff Zahn (13),3.863,L
724,725.,Doug Fister (10),3.864,R
725,725.,Jim Hughey (7),3.864,R
726,727.,Bill Carrick (5),3.865,R
727,727.,Howard Ehmke (15),3.865,R
728,729.,Rick Mahler (13),3.866,R
729,730.,Dave LaPoint (12),3.867,L
730,730.,Steve Trout (12),3.867,L
731,732.,Mel Harder (20),3.871,R
732,732.,Gerry Staley (15),3.871,R
733,734.,Virgil Barnes (9),3.876,R
734,734.,Tom Lovett (6),3.876,R
735,736.,Lefty Gomez+ (14),3.877,L
736,736.,Paul Minner (10),3.877,L
737,738.,Tommy Bridges (16),3.879,R
738,739.,Hank O'Day+ (7),3.881,R
739,740.,"Francisco Liriano (14, 36)",3.883,L
740,741.,Ted Power (13),3.885,R
741,742.,Art Houtteman (12),3.889,R
742,743.,Mike LaCoss (14),3.893,R
743,744.,Sammy Ellis (7),3.896,R
744,744.,Blue Moon Odom (13),3.896,R
