,Rank,"Player (yrs, age)",Putouts as LF (s.1901),Throws
118,118.,Mel Hall (13),1382,L
119,120.,Al Martin (11),1378,L
120,121.,Rondell White (15),1373,R
121,122.,Danny Litwhiler (11),1371,R
122,123.,Kevin Mitchell (13),1360,R
123,124.,Moose Solters (9),1358,R
124,125.,Patsy Dougherty (10),1348,R
125,125.,Les Mann (16),1348,R
126,127.,Cleon Jones (13),1346,L
127,127.,Roy Sievers (17),1346,R
128,129.,Pete Rose (24),1336,R
129,130.,Gee Walker (15),1335,R
130,131.,Bobby Higginson (11),1334,R
131,132.,Bob Meusel (11),1332,R
132,133.,Topsy Hartsel (14),1329,L
133,134.,Frank Howard (16),1325,R
134,135.,"Michael Brantley (12, 33)",1302,L
135,136.,Brady Anderson (15),1294,L
136,137.,John Briggs (12),1274,L
137,138.,Bob Nieman (12),1265,R
138,139.,Johnny Damon (18),1263,L
139,140.,Adam Comorosky (10),1243,R
140,141.,Rico Carty (15),1241,R
141,141.,Bob Fothergill (12),1241,R
142,143.,Troy O'Leary (11),1238,L
143,144.,Rip Radcliff (10),1226,L
144,145.,Howie Shanks (14),1205,R
145,146.,Mike Menosky (9),1204,R
146,147.,Rick Reichardt (11),1201,R
147,148.,Burt Shotton (14),1192,R
148,149.,Shoeless Joe Jackson (13),1186,R
149,150.,Frank Thomas (16),1177,R
150,151.,Don Baylor (19),1167,R
151,151.,Jim Russell (10),1167,R
152,153.,Whitey Lockman (15),1156,R
153,154.,Gerardo Parra (11),1145,L
154,155.,Hideki Matsui (10),1143,R
155,156.,Juan Pierre (14),1140,L
156,157.,Brian Giles (15),1137,L
157,158.,John Stone (11),1114,R
158,159.,Ryan Klesko (16),1104,L
159,159.,Carmelo Martinez (9),1104,R
160,161.,Kal Daniels (7),1101,R
161,162.,George Case (11),1100,R
162,163.,Gene Richards (8),1095,L
163,164.,Tony Phillips (18),1093,R
164,165.,Woody Jensen (9),1092,L
165,166.,Ray Blades (10),1082,R
166,167.,Scott Podsednik (11),1080,L
167,168.,"Yoenis Céspedes (8, 34)",1078,R
168,169.,Al Woods (7),1072,L
169,170.,Peanuts Lowrey (13),1070,R
170,170.,Jim Wohlford (15),1070,R
171,172.,Morrie Arnovich (7),1066,R
172,172.,Davy Jones (15),1066,R
173,174.,Henry Rodriguez (11),1065,L
174,175.,Gary Roenicke (12),1054,R
175,176.,John Lowenstein (16),1049,R
176,177.,Rube Ellis (4),1039,L
177,178.,Carlos May (10),1038,R
178,179.,Tommy Harper (15),1034,R
179,179.,Monte Irvin+ (8),1034,R
180,181.,"Corey Dickerson (8, 31)",1031,R
181,182.,Dante Bichette (14),1030,R
182,183.,Billy Sample (9),1025,R
183,184.,Freddy Leach (10),1019,R
184,185.,Warren Cromartie (10),1017,L
185,186.,Rocky Colavito (14),1016,R
186,187.,Jacque Jones (10),1014,L
187,188.,Gary Redus (13),1009,R
188,189.,Hoot Evers (12),990,R
189,190.,Wes Covington (11),988,R
190,190.,Spike Shannon (5),988,R
191,192.,David Murphy (10),987,L
192,193.,Billy Hatcher (12),984,R
193,194.,Delmon Young (10),980,R
194,195.,"Eddie Rosario (6, 28)",977,R
195,196.,Enos Slaughter+ (19),975,R
196,197.,Tito Francona (15),965,L
197,198.,Eric Tipton (7),960,R
198,199.,Jay Payton (12),957,R
199,200.,Kirk Gibson (17),949,L
200,201.,Roy Johnson (10),940,R
201,202.,Austin McHenry (5),936,R
202,203.,Frank Schulte (15),930,R
203,203.,Dick Wakefield (9),930,R
204,205.,Barney McCosky (11),926,R
205,206.,"Christian Yelich (8, 28)",907,R
206,207.,Eric Byrnes (11),905,R
207,208.,Larry Hisle (14),901,R
208,209.,Bill Buckner (22),900,L
209,210.,Bob Cerv (12),898,R
210,211.,Ken Griffey (19),895,L
211,212.,Possum Whitted (11),894,R
212,213.,Todd Hollandsworth (12),893,L
213,214.,Don Buford (10),888,R
214,215.,Rube Oldring (13),884,R
215,216.,Juan Rivera (12),878,R
216,217.,Bob Watson (19),877,R
217,218.,Dave Kingman (16),876,R
218,219.,Wally Moon (12),873,R
219,220.,Derrick May (10),871,R
220,221.,"Khris Davis (8, 32)",861,R
221,222.,Al Oliver (18),859,L
222,223.,Randy Winn (13),856,R
223,224.,Rip Repulski (9),849,R
224,225.,"Adam Duvall (7, 31)",840,R
225,226.,"Starling Marte (9, 31)",839,R
226,226.,Lee Maye (13),839,R
227,226.,Manny Mota (20),839,R
228,229.,Dave Winfield+ (22),838,R
229,230.,Tom Tresh (9),837,R
230,231.,"Marcell Ozuna (8, 29)",835,R
231,232.,Bill Lamar (9),834,R
232,233.,"David Peralta (7, 32)",825,L
233,233.,Bobby Thomson (15),825,R
234,235.,Mike Easler (14),811,R
235,236.,Shane Mack (9),801,R
236,237.,Bo Jackson (8),800,R
237,238.,Bob Allison (13),798,R
238,239.,Frank Catalanotto (14),795,R
239,239.,Jim Lemon (12),795,R
240,239.,Hector Lopez (12),795,R
241,242.,Elmer Valo (20),794,R
242,243.,Chuck Hinton (11),791,R
243,244.,Lance Berkman (15),788,L
244,245.,Ben Chapman (15),787,R
245,246.,Seth Smith (11),779,L
246,246.,Richie Zisk (13),779,R
247,248.,Chris Coghlan (9),778,R
248,249.,Jonny Gomes (13),773,R
249,250.,Candy Maldonado (15),769,R
250,251.,Bing Miller (16),764,R
251,252.,Norm Siebern (12),758,R
252,253.,Jose Cardenal (18),756,R
253,254.,Steve Braun (15),754,R
254,255.,Ivan Calderon (10),746,R
255,256.,Maurice Van Robays (6),742,R
256,257.,Miguel Dilone (12),739,R
257,258.,David DeJesus (13),737,L
258,258.,Ryan Ludwick (12),737,L
259,258.,Gary Sheffield (22),737,R
260,261.,Ray Lankford (14),735,L
261,262.,Reed Johnson (13),732,R
262,263.,"Carlos Gonzalez (12, 34)",720,L
263,264.,John Milner (12),718,L
264,265.,Jeff Burroughs (16),715,R
265,265.,Craig Monroe (9),715,R
266,267.,Phil Plantier (8),712,R
267,268.,Al Smith (12),708,R
268,269.,Gus Felix (5),706,R
269,270.,Harmon Killebrew+ (22),705,R
270,271.,Tony Gonzalez (12),704,R
271,272.,Clyde Barnhart (9),700,R
272,273.,Brad Wilkerson (8),697,L
273,274.,Mickey Hatcher (12),696,R
274,275.,Jim Greengrass (5),689,R
275,276.,Matt Lawton (12),688,R
276,277.,"Robbie Grossman (8, 30)",686,L
277,278.,Tom Paciorek (18),685,R
278,279.,David Dellucci (13),684,L
279,279.,Boog Powell (17),684,R
280,281.,Josh Hamilton (9),683,L
281,282.,Harry Anderson (5),681,R
282,283.,Birdie Cree (8),680,R
283,284.,Joe Orsulak (14),679,L
284,285.,Gates Brown (13),678,R
285,286.,Kiki Cuyler+ (18),676,R
286,286.,Juan Gonzalez (17),676,R
287,288.,Rajai Davis (14),675,R
288,289.,Joe Adcock (17),671,R
289,289.,George Selkirk (9),671,R
290,291.,Eddie Brown (7),668,R
291,291.,Jose Canseco (17),668,R
292,291.,Dmitri Young (13),668,R
293,294.,Wally Berger (11),660,R
294,295.,Bruce Bochte (12),658,L
295,296.,Jerry Lynch (13),657,R
296,296.,Johnny Mokan (7),657,R
297,298.,Bip Roberts (12),656,R
298,299.,Ken Henderson (16),655,R
299,300.,Wil Cordero (14),654,R
300,300.,Stan Javier (17),654,R
301,302.,Jayson Werth (15),651,R
302,303.,Coco Crisp (15),649,R
303,304.,Milt Thompson (13),648,R
304,305.,"Matthew Joyce (13, 35)",644,R
305,306.,Jake Powell (11),643,R
306,307.,"Kyle Schwarber (6, 27)",642,R
307,308.,Matt Diaz (11),641,R
308,309.,Darin Erstad (14),640,L
309,310.,Sam Mertes (10),639,R
310,311.,Dom Dallessandro (8),634,L
311,311.,Jason Kubel (10),634,R
312,313.,"Andrew Benintendi (5, 25)",630,L
313,313.,Carlos Quentin (9),630,R
314,315.,Johnny Grubb (16),626,R
315,316.,Ward Miller (8),624,R
316,317.,Mike Felder (10),620,R
317,318.,Hal McRae (19),618,R
318,319.,Dan Pasqua (10),617,L
319,319.,Johnny Rizzo (5),617,R
320,321.,Bill Robinson (16),616,R
321,322.,Terry Whitfield (10),611,R
322,323.,Walton Cruise (10),609,R
323,323.,Kevin Mench (8),609,R
324,325.,Lee Lacy (16),604,R
325,326.,Gregg Jefferies (14),603,R
326,327.,Ernie Koy (5),601,R
327,328.,Chad Curtis (10),597,R
328,328.,Chet Ross (6),597,R
329,330.,Felipe Alou (17),594,R
330,330.,Ron Kittle (10),594,R
331,332.,Bris Lord (8),593,R
332,333.,Jesus Alou (15),592,R
333,333.,Jerald Clark (7),592,R
334,335.,Glenn Braggs (7),587,R
335,336.,Lou Johnson (8),585,R
336,337.,Jim Eisenreich (15),584,L
337,337.,Al Spangler (13),584,L
338,339.,Ben Grieve (9),583,R
339,340.,Danny Taylor (9),582,R
340,341.,Eric Davis (17),581,R
341,341.,Chris James (10),581,R
342,341.,Max West (7),581,R
343,344.,Dick Sisler (8),577,R
344,345.,Sandy Amoros (7),576,L
345,346.,Gene Stephens (12),575,R
346,347.,Chet Laabs (11),574,R
347,348.,Jimmy Callahan (13),570,R
348,349.,Bill Hinchman (10),569,R
349,349.,Claudell Washington (17),569,L
350,351.,Don Lenhardt (5),568,R
351,352.,Russ Scarritt (4),567,R
352,352.,Al Wingo (6),567,R
353,354.,Reggie Sanders (17),563,R
354,355.,Hack Miller (6),561,R
355,356.,Cesar Tovar (12),556,R
356,357.,Jim Delsing (10),555,R
357,358.,Fred Lewis (7),554,R
358,359.,Greasy Neale (8),552,R
359,360.,Joe Connolly (4),550,R
360,360.,Mike McCormick (10),550,R
361,360.,Walt Moryn (8),550,R
362,363.,Glenallen Hill (13),549,R
363,364.,Hank Aaron+ (23),548,R
364,364.,Leron Lee (8),548,R
365,364.,Jason Michaels (11),548,R
366,364.,Pat Seerey (7),548,R
367,368.,Ping Bodie (9),545,R
368,368.,Chipper Jones+ (19),545,R
369,368.,Coaker Triplett (6),545,R
370,371.,Al Bumbry (14),544,R
371,371.,Nolan Reimold (8),544,R
372,373.,Hugh High (6),543,L
373,374.,Jesse Burkett+ (16),542,L
374,375.,Johnny Lindell (12),537,R
375,376.,"Juan Soto (3, 21)",536,L
376,377.,Ethan Allen (13),535,R
377,378.,Red Murray (11),533,R
378,379.,Lee Magee (9),526,R
379,380.,Scott Hairston (11),524,R
380,381.,Dan Meyer (12),523,R
381,382.,Fred Odwell (4),522,R
382,383.,Greg Gross (17),520,L
383,384.,Ryan Raburn (12),519,R
384,385.,"J.D. Martinez (10, 32)",516,R
385,386.,Bernie Carbo (12),515,R
386,387.,Mike Young (8),512,R
387,388.,David Justice (14),508,L
388,389.,Jose Cruz (12),507,R
389,390.,Vernon Wells (15),506,R
390,391.,Emil Brown (10),504,R
391,392.,Beals Becker (8),503,L
392,392.,Curt Blefary (8),503,R
393,394.,Gene Hermanski (9),502,R
394,394.,Michael Saunders (9),502,R
395,396.,Bud Stewart (9),499,R
396,397.,Mitchell Page (8),496,R
397,397.,Hal Rice (7),496,R
398,399.,Larry Bigbie (6),495,R
399,399.,Gerald Williams (14),495,R
