,Rank,"Player (yrs, age)",Double Plays Turned as OF,Throws
302,293.,Hugh Nicol (10),22,R
303,293.,Tim Raines+ (23),22,R
304,293.,Carl Reynolds (13),22,R
305,293.,Alex Rios (12),22,R
306,293.,Braggo Roth (8),22,R
307,293.,George Stone (7),22,L
308,293.,Claudell Washington (17),22,L
309,293.,Jayson Werth (15),22,R
310,311.,Dusty Baker (19),21,R
311,311.,Rich Becker (8),21,L
312,311.,Wally Berger (11),21,R
313,311.,Melky Cabrera (15),21,L
314,311.,Mike Cameron (17),21,R
315,311.,John Cassidy (11),21,L
316,311.,Rob Deer (11),21,R
317,311.,Frank Demaree (12),21,R
318,311.,Taylor Douthit (11),21,R
319,311.,"Jarrod Dyson (11, 35)",21,R
320,311.,Rube Ellis (4),21,L
321,311.,Jake Evans (7),21,R
322,311.,Augie Galan (16),21,R
323,311.,Patrick Gillespie (8),21,R
324,311.,Doug Glanville (9),21,R
325,311.,Carlos Gomez (13),21,R
326,311.,Wilbur Good (11),21,L
327,311.,Mule Haas (12),21,R
328,311.,Topsy Hartsel (14),21,L
329,311.,Jeff Heath (14),21,R
330,311.,Babe Herman (13),21,L
331,311.,Richard Hidalgo (9),21,R
332,311.,Darrin Jackson (12),21,R
333,311.,Lance Johnson (14),21,L
334,311.,Mike Kreevich (12),21,R
335,311.,Garry Maddox (15),21,R
336,311.,Kevin McReynolds (12),21,R
337,311.,Rick Miller (15),21,L
338,311.,Rick Monday (19),21,L
339,311.,Jerry Morales (15),21,R
340,311.,Gary Pettis (11),21,R
341,311.,Jim Piersall (17),21,R
342,311.,Jack Remsen (10),21,R
343,311.,Mickey Rivers (15),21,L
344,311.,Chief Roseman (7),21,R
345,311.,Hank Sauer (15),21,R
346,311.,Stan Spence (9),21,L
347,311.,Gary Ward (12),21,R
348,311.,Mookie Wilson (12),21,R
349,350.,Moises Alou (17),20,R
350,350.,Hank Bauer (14),20,R
351,350.,Harry Blake (6),20,R
352,350.,"Jackie Bradley Jr. (8, 30)",20,R
353,350.,"Jay Bruce (13, 33)",20,L
354,350.,Birdie Cree (8),20,R
355,350.,Bill Crowley (8),20,R
356,350.,Johnny Damon (18),20,L
357,350.,Patsy Dougherty (10),20,R
358,350.,Bernard Gilkey (12),20,R
359,350.,Dan Gladden (11),20,R
360,350.,"Jason Heyward (11, 30)",20,L
361,350.,Bobby Higginson (11),20,R
362,350.,Myril Hoag (13),20,R
363,350.,Jackie Jensen (11),20,R
364,350.,Billy Maloney (6),20,R
365,350.,Jack McGeachey (6),20,R
366,350.,Don Mueller (12),20,R
367,350.,Bill Nicholson (16),20,R
368,350.,Paul O'Neill (17),20,L
369,350.,Magglio Ordonez (15),20,R
370,350.,Fred Schulte (11),20,R
371,350.,Homer Summa (10),20,R
372,350.,Farmer Weaver (7),20,
373,350.,Vic Wertz (17),20,R
374,350.,Richie Zisk (13),20,R
375,376.,Charlie Abbey (5),19,L
376,376.,Beals Becker (8),19,L
377,376.,Derek Bell (11),19,R
378,376.,Jeff Burroughs (16),19,R
379,376.,Jose Canseco (17),19,R
380,376.,Al Cowens (13),19,R
381,376.,Charlie Dexter (8),19,R
382,376.,Dave Eggler (11),19,R
383,376.,Juan Gonzalez (17),19,R
384,376.,Dick Harley (7),19,R
385,376.,Brian Jordan (15),19,R
386,376.,Matt Lawton (12),19,R
387,376.,Elliott Maddox (11),19,R
388,376.,Bobby Murcer (17),19,R
389,376.,Trot Nixon (12),19,L
390,376.,Tony Oliva (15),19,R
391,376.,Gerardo Parra (11),19,L
392,376.,Tom Poorman (6),19,R
393,376.,Blondie Purcell (12),19,R
394,376.,Jim Rice+ (16),19,R
395,376.,Reggie Sanders (17),19,R
396,376.,Earl Smith (7),19,R
397,376.,Denard Span (11),19,L
398,376.,George Watkins (7),19,R
399,376.,Frank Welch (9),19,R
