,Rank,"Player (yrs, age)",Earned Runs,Throws
94,95.,John Burkett (15),1268,R
95,95.,Claude Osteen (18),1268,L
96,97.,Terry Mulholland (20),1262,L
97,98.,Bob Gibson+ (17),1258,R
98,98.,Jim Perry (17),1258,R
99,100.,Freddie Fitzsimmons (19),1257,R
100,101.,Al Orth (15),1256,R
101,102.,Jim Palmer+ (19),1253,R
102,102.,Curt Schilling (20),1253,R
103,104.,Catfish Hunter+ (15),1248,R
104,105.,Lew Burdette (18),1246,R
105,105.,Clark Griffith+ (21),1246,R
106,107.,Hooks Dauss (15),1245,R
107,108.,Kevin Millwood (16),1243,R
108,109.,Murry Dickson (18),1240,R
109,110.,Kyle Lohse (16),1239,R
110,111.,John Lackey (15),1237,R
111,112.,Larry Jackson (14),1233,R
112,113.,Kid Carsey (10),1229,R
113,113.,Red Ehret (11),1229,R
114,115.,Bill Hutchison (9),1228,R
115,116.,Rick Sutcliffe (18),1223,R
116,116.,Rube Walberg (15),1223,L
117,118.,Steve Trachsel (16),1219,R
118,119.,Vida Blue (17),1213,L
119,119.,Tim Hudson (17),1213,R
120,121.,Orel Hershiser (18),1211,R
121,122.,A.J. Burnett (17),1210,R
122,123.,Larry French (14),1206,L
123,124.,Frank Dwyer (12),1204,R
124,125.,Bullet Joe Bush (17),1203,R
125,125.,Scott Erickson (15),1203,R
126,125.,Milt Pappas (17),1203,R
127,128.,Jim Slaton (16),1202,R
128,129.,Billy Pierce (18),1201,L
129,130.,Mike Flanagan (18),1199,L
130,130.,Jack Stivetts (11),1199,R
131,132.,Derek Lowe (17),1195,R
132,133.,Red Donahue (13),1191,R
133,133.,Danny MacFayden (17),1191,R
134,133.,Bob Welch (17),1191,R
135,136.,Carl Hubbell+ (16),1188,L
136,137.,Kevin Brown (19),1185,R
137,137.,Lee Meadows (15),1185,R
138,139.,Camilo Pascual (18),1183,R
139,140.,Jim Clancy (15),1182,R
140,141.,Wes Ferrell (15),1177,R
141,141.,Jouett Meekin (10),1177,R
142,143.,Frank Viola (15),1175,L
143,144.,Howard Ehmke (15),1174,R
144,144.,Eddie Plank+ (17),1174,L
145,146.,Bob Forsch (16),1169,R
146,147.,James Shields (13),1167,R
147,147.,Vic Willis+ (13),1167,R
148,149.,Guy Bush (17),1166,R
149,150.,Dutch Leonard (20),1162,R
150,151.,Dolf Luque (20),1161,R
151,152.,Bronson Arroyo (16),1158,R
152,153.,Barry Zito (15),1157,L
153,154.,George Mullin (14),1156,R
154,155.,Jim McCormick (10),1155,R
155,156.,Ryan Dempster (16),1154,R
156,156.,Dave Stewart (16),1154,R
157,156.,Fernando Valenzuela (17),1154,L
158,156.,Jim Whitney (10),1154,R
159,160.,Brad Radke (12),1150,R
160,161.,Pedro Astacio (15),1140,R
161,162.,Bucky Walters (19),1139,R
162,163.,Kevin Gross (15),1137,R
163,164.,Christy Mathewson+ (17),1135,R
164,165.,Tim Belcher (14),1130,R
165,165.,Tom Candiotti (16),1130,R
166,165.,Rube Marquard+ (18),1130,L
167,168.,Bill Lee (14),1127,R
168,169.,Juan Marichal+ (16),1126,R
169,170.,Don Drysdale+ (14),1124,R
170,170.,Silver King (10),1124,R
171,172.,Tommy Bridges (16),1122,R
172,173.,Charlie Buffinton (11),1120,R
173,173.,Bill Sherdel (15),1120,L
174,175.,Wilbur Cooper (15),1119,L
175,176.,Bill Gullickson (14),1118,R
176,176.,Vern Law (16),1118,R
177,178.,David Cone (17),1115,R
178,179.,Ken Holtzman (15),1111,L
179,180.,Steve Renko (15),1107,R
180,181.,Andy Benes (14),1106,R
181,181.,Bob Knepper (15),1106,L
182,181.,Dave Stieb (16),1106,R
183,184.,"Justin Verlander (16, 37)",1105,R
184,185.,Aaron Sele (15),1102,R
185,186.,Ervin Santana (15),1101,R
186,187.,"Zack Greinke (17, 36)",1100,R
187,188.,Aaron Harang (14),1099,R
188,189.,Win Mercer (9),1098,R
189,190.,Randy Wolf (16),1097,L
190,191.,Kevin Tapani (13),1094,R
191,192.,Scott Sanderson (19),1093,R
192,193.,Dwight Gooden (16),1091,R
193,194.,Jamey Wright (19),1088,R
194,195.,Esteban Loaiza (14),1084,R
195,196.,Jimmy Ring (12),1082,R
196,196.,Paul Splittorff (15),1082,L
197,198.,Kevin Appier (16),1078,R
198,198.,Floyd Bannister (15),1078,L
199,198.,Jaime Navarro (12),1078,R
200,201.,General Crowder (11),1072,R
201,202.,Pedro Ramos (15),1068,R
202,202.,Dazzy Vance+ (16),1068,R
203,204.,Milt Gaston (11),1064,R
204,205.,Jim Lonborg (15),1056,R
205,206.,Joe Coleman (15),1055,R
206,207.,Frank Killen (10),1054,L
207,208.,Doug Drabek (13),1052,R
208,208.,Bruce Hurst (15),1052,L
209,208.,Vern Kennedy (12),1052,R
210,211.,Red Lucas (16),1051,R
211,211.,Ray Sadecki (18),1051,L
212,213.,Mark Baldwin (7),1050,R
213,214.,Freddy Garcia (15),1045,R
214,214.,Jon Garland (13),1045,R
215,216.,Jon Lieber (14),1043,R
216,217.,Todd Stottlemyre (14),1042,R
217,218.,"Edwin Jackson (17, 36)",1040,R
218,218.,"Jon Lester (15, 36)",1040,L
219,220.,"Felix Hernandez (15, 34)",1037,R
220,221.,Sid Hudson (12),1036,R
221,221.,Si Johnson (17),1036,R
222,221.,Rick Rhoden (16),1036,R
223,224.,Roy Halladay+ (16),1034,R
224,225.,Woody Williams (15),1031,R
225,226.,Larry Benton (13),1029,R
226,226.,Bill Dinneen (12),1029,R
227,228.,Ned Garver (14),1027,R
228,228.,"Cole Hamels (15, 36)",1027,L
229,230.,Sadie McMahon (9),1026,R
230,231.,"Rick Porcello (12, 31)",1025,R
231,232.,Mike Hampton (16),1024,L
232,232.,Bob Lemon+ (15),1024,R
233,234.,Mike Caldwell (14),1020,L
234,235.,Bob Buhl (15),1019,R
235,236.,Jack Russell (15),1017,R
236,237.,Ron Darling (13),1016,R
237,237.,Joe McGinnity+ (10),1016,R
238,237.,Clarence Mitchell (18),1016,L
239,237.,Hal Newhouser+ (17),1016,L
240,241.,Ray Burris (15),1015,R
241,242.,Stan Bahnsen (16),1013,R
242,243.,Woodie Fryman (18),1010,L
243,243.,Jimmy Key (15),1010,L
244,243.,Al Leiter (19),1010,L
245,246.,Dan Haren (13),1009,R
246,246.,Virgil Trucks (17),1009,R
247,248.,Jason Marquis (15),1008,R
248,248.,Bob Shawkey (15),1008,R
249,250.,Kid Gleason (22),1007,R
250,250.,Rudy May (16),1007,L
251,252.,Eddie Rommel (13),1006,R
252,253.,Claude Passeau (13),1003,R
253,254.,Steve Rogers (13),1001,R
254,255.,Ice Box Chamberlain (10),999,R
255,256.,Joe Nuxhall (16),998,L
256,257.,Bill Dietrich (16),997,R
257,258.,Pat Hentgen (14),996,R
258,258.,Burt Hooton (15),996,R
259,260.,Tommy Thomas (12),995,R
260,261.,Darryl Kile (12),992,R
261,262.,Stan Coveleski+ (14),990,R
262,263.,Mike McCormick (16),986,L
263,264.,Mudcat Grant (14),985,R
264,265.,Lon Warneke (15),984,R
265,266.,Sidney Ponson (12),983,R
266,266.,Bob Smith (15),983,R
267,268.,Dave McNally (14),982,L
268,269.,Jack Taylor (9),981,R
269,270.,Charles Nagy (14),980,R
270,271.,Mike Cuellar (15),979,L
271,271.,Carl Mays (15),979,R
272,271.,Dizzy Trout (15),979,R
273,274.,Mark Gubicza (14),978,R
274,275.,Syl Johnson (19),977,R
275,275.,Bob Rush (13),977,R
276,277.,Pretzels Getzien (9),976,R
277,278.,Miguel Batista (18),974,R
278,278.,Ed Brandt (11),974,L
279,280.,Dick Ruthven (14),970,R
280,281.,Whitey Ford+ (16),967,L
281,282.,George Blaeholder (11),966,R
282,283.,Chan Ho Park (17),965,R
283,283.,Harry Staley (8),965,R
284,283.,Wilbur Wood (17),965,L
285,286.,Elden Auker (10),964,R
286,286.,Art Nehf (15),964,L
287,288.,Jeff Weaver (11),961,R
288,288.,Herm Wehmeier (13),961,R
289,290.,Darren Oliver (20),960,L
290,290.,Jake Peavy (15),960,R
291,292.,Ricky Nolasco (12),957,R
292,292.,Greg Swindell (17),957,L
293,294.,Schoolboy Rowe (15),955,R
294,295.,Ron Reed (19),953,R
295,296.,Charlie Leibrandt (14),952,L
296,296.,Bret Saberhagen (16),952,R
297,298.,Guy Hecker (9),951,R
298,299.,Jack Billingham (13),949,R
299,299.,Mike Krukow (14),949,R
300,299.,Scott McGregor (13),949,L
301,302.,Ad Gumbert (9),947,R
302,303.,Urban Shocker (13),945,R
303,304.,Ed Whitson (15),944,R
304,305.,Ray Benge (12),941,R
305,306.,Matt Kilroy (10),939,L
306,306.,Brett Tomko (14),939,R
307,308.,John Candelaria (19),935,L
308,309.,Red Ames (17),934,R
309,310.,George Earnshaw (9),933,R
310,311.,Hideo Nomo (12),932,R
311,312.,Walt Terrell (11),931,R
312,313.,R.A. Dickey (15),930,R
313,313.,Lefty Gomez+ (14),930,L
314,315.,Jeff Fassero (16),929,L
315,315.,Jason Hammel (13),929,R
316,315.,Stump Weidman (9),929,R
317,318.,Chris Carpenter (15),927,R
318,318.,Tom Gordon (21),927,R
319,318.,Johnny Klippstein (18),927,R
320,321.,Hal Schumacher (13),926,R
321,322.,Johnny Podres (15),925,L
322,323.,Don Cardwell (14),924,R
323,324.,Danny Jackson (15),923,L
324,325.,Thornton Lee (16),921,L
325,326.,Bill Doak (16),920,R
326,327.,Pedro Martinez+ (18),919,R
327,328.,Jesse Barnes (13),918,R
328,329.,Babe Adams (19),917,R
329,329.,Jose Lima (13),917,R
330,329.,Fritz Ostermueller (15),917,L
331,329.,Brad Penny (14),917,R
332,333.,Chuck Stobbs (15),916,L
333,334.,Allie Reynolds (13),915,R
334,335.,Ted Lilly (15),913,L
335,335.,Milt Wilcox (16),913,R
336,337.,Dan Petry (13),912,R
337,338.,Kirk Rueter (13),911,L
338,339.,Pete Donohue (12),909,R
339,339.,Tom Hughes (13),909,R
340,341.,Sam Gray (10),907,R
341,342.,Alex Kellner (12),906,L
342,343.,Harvey Haddix (14),901,L
343,343.,Ubaldo Jimenez (12),901,R
344,345.,Dennis Leonard (12),898,R
345,345.,Mike Witt (12),898,R
346,347.,Mike Boddicker (14),897,R
347,348.,Will White (10),896,R
348,349.,Mark Gardner (13),894,R
349,350.,Rick Honeycutt (21),893,L
350,351.,Bob Caruthers (10),891,R
351,351.,Jack Fisher (11),891,R
352,351.,Ken Hill (14),891,R
353,351.,Denny Neagle (13),891,L
354,351.,Bob Purkey (13),891,R
355,356.,Dick Ellsworth (13),890,L
356,357.,Dave Burba (15),886,R
357,357.,Bill Donovan (18),886,R
358,357.,Chris Short (15),886,L
359,360.,Denny Galehouse (15),885,R
360,361.,Josh Beckett (14),884,R
361,361.,Nig Cuppy (10),884,R
362,361.,Curt Davis (13),884,R
363,364.,Hal Carlson (14),883,R
364,365.,Harry Gumbert (15),882,R
365,365.,Dave Roberts (13),882,L
366,367.,Shawn Estes (13),879,L
367,367.,Sam McDowell (15),879,L
368,369.,Eric Milton (11),878,L
369,369.,Jason Schmidt (14),878,R
370,369.,Mel Stottlemyre (11),878,R
371,372.,"Anibal Sanchez (15, 36)",877,R
372,373.,Bud Black (15),876,L
373,374.,Joe Dobson (14),874,R
374,374.,Ron Guidry (14),874,L
375,376.,Carl Pavano (14),873,R
376,377.,Richard Dotson (12),872,R
377,378.,Eddie Lopat (12),869,L
378,379.,Jeremy Guthrie (13),867,R
379,380.,Ron Kline (17),866,R
380,380.,Rick Mahler (13),866,R
381,382.,Jack Chesbro+ (11),864,R
382,383.,Rube Benton (15),863,L
383,383.,Ross Grimsley (11),863,L
384,385.,Tommy Bond (10),862,R
385,386.,Joe Blanton (13),860,R
386,386.,Jack Knott (11),860,R
387,386.,Ken Raffensberger (15),860,L
388,389.,Joel Pineiro (12),859,R
389,390.,Jesse Tannehill (15),858,L
390,391.,Joaquin Andujar (13),857,R
391,391.,Larry Dierker (14),857,R
392,393.,John Denny (13),856,R
393,393.,Earl Moore (14),856,R
394,395.,Larry Gura (16),855,L
395,396.,Matt Cain (13),853,R
396,396.,Eddie Cicotte (14),853,R
397,398.,Don Newcombe (10),852,R
398,399.,Jarrod Washburn (12),848,L
399,400.,Doug Davis (13),846,L
400,400.,Pete Harnisch (14),846,R
401,402.,Cliff Lee (13),843,L
402,403.,Duke Esper (9),842,L
403,403.,Earl Wilson (11),842,R
404,405.,Tom Browning (12),841,L
405,405.,"Max Scherzer (13, 35)",841,R
406,407.,Jack Sanford (12),840,R
407,408.,Ray Herbert (14),839,R
408,408.,Jake Westbrook (13),839,R
409,410.,Frank Lary (12),838,R
410,410.,Doc Medich (11),838,R
411,410.,Ed Morris (7),838,L
412,410.,Roy Oswalt (13),838,R
413,410.,Joe Shaute (13),838,L
414,415.,"Francisco Liriano (14, 36)",837,L
415,415.,Brian Moehler (14),837,R
416,417.,Dave Goltz (12),836,R
417,417.,Shane Rawley (12),836,L
418,419.,Jon Matlack (13),835,L
419,420.,Firpo Marberry (14),834,R
420,421.,Pat Dobson (11),833,R
421,421.,Jered Weaver (12),833,R
422,423.,Russ Ortiz (12),832,R
423,424.,Paul Byrd (14),831,R
424,425.,Willie Sudhoff (10),830,R
425,425.,Ismael Valdez (12),830,R
426,427.,Andy Ashby (14),829,R
427,428.,Slim Harriss (9),827,R
428,428.,Glendon Rusch (12),827,L
429,430.,Omar Olivares (12),826,R
430,430.,Dutch Ruether (11),826,L
431,432.,Gary Bell (12),825,R
432,433.,"Mike Leake (10, 32)",824,R
433,433.,Don Robinson (15),824,R
434,433.,Johnny Sain (11),824,R
435,436.,Chief Bender+ (16),823,R
436,436.,Vic Sorrell (10),823,R
437,438.,Dick Donovan (15),822,R
438,438.,Fred Frankhouse (13),822,R
439,438.,Earl Hamilton (14),822,L
440,441.,Lindy McDaniel (21),821,R
441,441.,Howie Pollet (14),821,L
442,443.,Yovani Gallardo (12),820,R
443,443.,Marty Pattin (13),820,R
444,445.,Rip Sewell (13),819,R
445,445.,Bill Singer (14),819,R
446,447.,"Ian Kennedy (14, 35)",818,R
447,448.,Dock Ellis (12),817,R
448,448.,Bill Hart (8),817,R
449,448.,Mark Portugal (15),817,R
450,451.,Jim Barr (12),816,R
451,451.,Ray Kremer (10),816,R
452,453.,Van Mungo (14),815,R
453,453.,Elam Vangilder (11),815,R
454,453.,"Adam Wainwright (15, 38)",815,R
455,456.,Brian Anderson (13),814,L
456,456.,Shane Reynolds (13),814,R
457,456.,Gerry Staley (15),814,R
458,459.,Johnny Allen (13),813,R
459,459.,Fritz Peterson (11),813,L
460,459.,Mike Scott (13),813,R
461,459.,Scott Stratton (8),813,R
462,463.,George Mogridge (15),812,L
463,464.,Al Downing (17),811,L
464,465.,Frank Castillo (13),809,R
465,465.,Billy Hoeft (15),809,L
466,465.,Jack McDowell (12),809,R
467,468.,Doc White (13),808,L
468,469.,Nelson Briles (14),807,R
469,469.,Reggie Cleveland (13),807,R
470,469.,Brett Myers (12),807,R
471,472.,Bob Groom (10),806,R
472,472.,John Smiley (12),806,L
473,474.,Flint Rhem (12),805,R
474,474.,Johnny Vander Meer (13),805,L
475,476.,Slim Sallee (14),804,L
476,477.,Bill Monbouquette (11),803,R
477,478.,Ray Caldwell (12),802,R
478,478.,Lefty Stewart (10),802,L
479,480.,George Hemming (8),800,R
480,480.,Kirby Higbe (12),800,R
481,480.,Lary Sorensen (11),800,R
482,483.,Tony Cloninger (12),799,R
483,483.,Egyptian Healy (8),799,R
484,483.,Dennis Lamp (16),799,R
485,483.,Matt Morris (11),799,R
486,487.,Zane Smith (13),798,L
487,488.,Carlos Zambrano (12),797,R
488,489.,Storm Davis (13),796,R
489,489.,Ken Forsch (16),796,R
490,489.,Ramon Ortiz (12),796,R
491,492.,George Bradley (11),795,R
492,492.,"Gio Gonzalez (13, 34)",795,L
493,492.,Pat Malone (10),795,R
494,495.,Jose DeLeon (13),793,R
495,495.,Rick Helling (12),793,R
496,497.,Jim Abbott (10),791,L
497,497.,Kirk McCaskill (12),791,R
498,499.,Lloyd Brown (12),790,L
499,500.,Mike Garcia (14),789,R
500,500.,Jack Lynch (7),789,R
501,502.,Steve Stone (11),788,R
502,503.,Bob Tewksbury (13),787,R
503,504.,Bruce Chen (17),786,L
504,505.,Fred Norman (16),784,L
505,505.,Jason Vargas (14),784,L
506,507.,Bill Lee (14),783,L
507,508.,Steve Gromek (17),782,R
508,508.,Frank Kitson (10),782,R
509,510.,Harry Howell (13),781,R
510,511.,Bill Hallahan (12),779,L
511,512.,Matt Garza (12),777,R
512,512.,Mike LaCoss (14),777,R
513,514.,Juan Pizarro (18),776,L
514,514.,Jack Scott (12),776,R
515,516.,Jorge De La Rosa (15),775,L
516,517.,Jack Taylor (10),774,R
517,518.,Jack Kramer (12),772,R
518,518.,Ramon Martinez (14),772,R
519,520.,"J.A. Happ (14, 37)",770,L
520,520.,Joe Oeschger (12),770,R
521,520.,Casey Patten (8),770,L
522,523.,Wilson Alvarez (14),769,L
523,523.,Toad Ramsey (6),769,L
524,523.,Geoff Zahn (13),769,L
525,526.,Mike Pelfrey (12),767,R
526,526.,Sonny Siebert (12),767,R
527,528.,Ray Kolp (12),765,R
528,528.,Diego Segui (15),765,R
529,528.,"Edinson Volquez (15, 36)",765,R
530,531.,Bob Ojeda (15),764,L
531,532.,Carl Erskine (12),763,R
532,533.,Bob Harmon (9),761,R
533,534.,Rip Collins (11),760,R
534,534.,Frank Foreman (11),760,R
535,534.,Walt Masterson (14),760,R
536,537.,"Jeff Samardzija (13, 35)",759,R
537,538.,Sherry Smith (14),757,L
538,539.,Dick Coffman (15),755,R
539,539.,Ray Culp (11),755,R
540,539.,Dick Drago (13),755,R
541,542.,Vicente Padilla (14),754,R
542,542.,Hippo Vaughn (13),754,L
543,544.,Chris Bosio (11),753,R
544,544.,Jason Johnson (11),753,R
545,546.,Scott Kazmir (12),752,L
546,546.,Vic Raschi (10),752,R
547,548.,Gary Peters (14),751,L
548,549.,Jose Mesa (19),750,R
549,550.,Deacon Phillippe (13),749,R
550,550.,Buck Ross (10),749,R
551,552.,Nels Potter (12),748,R
552,553.,Steve Barber (15),747,L
553,554.,"David Price (12, 34)",746,L
554,554.,Bob Walk (14),746,R
555,556.,Sheriff Blake (10),744,R
556,556.,Max Butcher (10),744,R
557,556.,Paul Maholm (10),744,L
558,556.,Ralph Terry (12),744,R
559,560.,Jeff Pfeffer (13),742,R
560,561.,Whit Wyatt (16),741,R
561,562.,Johnny Antonelli (12),739,L
562,563.,Moose Haas (12),738,R
563,564.,James Baldwin (11),737,R
564,564.,Henry Porter (6),737,R
565,566.,Bruce Kison (15),736,R
566,567.,Bobby Jones (10),735,R
567,567.,Randy Jones (10),735,L
568,569.,Kevin Correia (13),734,R
569,569.,Tully Sparks (12),734,R
570,571.,Jim Bagby (10),733,R
571,572.,Neal Heaton (12),732,L
572,573.,John Danks (10),731,L
573,573.,Alex Fernandez (10),731,R
574,573.,Andy Hawkins (10),731,R
575,573.,Sam Leever (13),731,R
576,573.,Billy Rhines (9),731,R
577,573.,Ed Stein (8),731,R
578,579.,Preacher Roe (12),730,L
579,579.,Lefty Tyler (12),730,L
580,581.,"Johnny Cueto (13, 34)",728,R
581,582.,Bill Hands (11),727,R
582,582.,Sloppy Thurston (9),727,R
583,584.,Bobby Shantz (16),726,L
584,584.,Jim Tobin (9),726,R
585,586.,Jersey Bakley (6),725,R
586,586.,Mordecai Brown+ (14),725,R
587,586.,"Derek Holland (12, 33)",725,L
588,586.,"Jordan Zimmermann (12, 34)",725,R
589,590.,Rodrigo Lopez (11),724,R
590,591.,Steve Avery (11),723,L
591,591.,Tim Leary (13),723,R
592,593.,John Curtis (15),722,L
593,594.,Jim Hearn (13),721,R
594,594.,Pat Rapp (10),721,R
595,594.,Johan Santana (12),721,L
596,597.,Jim Bibby (12),719,R
597,597.,Aaron Cook (11),719,R
598,599.,Joe Bowman (11),717,R
599,599.,Jack Coombs (14),717,R
600,599.,Erik Hanson (11),717,R
601,599.,Jimmy Haynes (10),717,R
602,599.,Cal McLish (15),717,R
603,604.,Steve Sparks (9),716,R
604,605.,George Haddock (7),715,R
605,605.,Art Houtteman (12),715,R
606,605.,Dick Tidrow (13),715,R
607,608.,Gil Meche (10),714,R
608,608.,Johnny Schmitz (13),714,L
609,610.,Willie Blair (12),713,R
610,610.,Jeff Francis (11),713,L
611,610.,Sandy Koufax+ (12),713,L
612,610.,Al Maul (15),713,R
613,614.,Hal Brown (14),712,R
614,614.,Denny Lemaster (11),712,L
615,616.,Watty Clark (12),711,L
616,616.,Steve Hargan (12),711,R
617,616.,Denny McLain (10),711,R
618,616.,Rube Waddell+ (13),711,L
619,620.,"Homer Bailey (14, 34)",710,R
620,620.,Wandy Rodriguez (11),710,L
621,622.,Andy Messersmith (12),709,R
622,623.,"Oliver Perez (18, 38)",705,L
623,624.,Clint Brown (15),704,R
624,624.,Joe Haynes (14),704,R
625,626.,Larry Jansen (9),703,R
626,627.,Matt Clement (9),702,R
627,627.,Jim Deshaies (12),702,L
628,627.,LaTroy Hawkins (21),702,R
629,627.,Togie Pittinger (8),702,R
630,627.,Bryn Smith (13),702,R
631,627.,Bill Swift (13),702,R
632,633.,Kip Wells (12),700,R
633,634.,Tim Lincecum (10),699,R
634,634.,Dan Spillner (12),699,R
635,636.,Tex Carleton (8),698,R
636,636.,Claude Hendrix (10),698,R
637,638.,Dean Chance (11),697,R
638,638.,Steve Trout (12),697,L
639,640.,Chris Capuano (12),696,L
640,640.,Sid Fernandez (15),696,L
641,640.,Hardie Henderson (6),696,R
642,640.,Jim Rooker (13),696,L
643,640.,Bob Shaw (11),696,R
644,640.,Julian Tavarez (17),696,R
645,646.,Roberto Hernandez (11),695,R
646,646.,George Caster (12),695,R
647,646.,Kelvim Escobar (12),695,R
648,649.,Bob Turley (12),693,R
649,650.,Oral Hildebrand (10),692,R
650,650.,Rick Reed (15),692,R
651,650.,Frank Sullivan (11),692,R
652,653.,Joe Horlen (12),691,R
653,654.,Larry McWilliams (13),690,L
654,654.,Mike Smithson (8),690,R
655,654.,Bob Stanley (13),690,R
656,657.,Ricky Bones (11),689,R
657,657.,Paul Foytack (11),689,R
658,659.,Al Smith (12),688,L
659,660.,Ed Crane (9),687,R
660,660.,Dave Giusti (15),687,R
661,660.,Hank O'Day+ (7),687,R
662,663.,Al Benton (14),686,R
663,663.,"Trevor Cahill (12, 32)",686,R
664,663.,Phil Collins (8),686,R
665,663.,Bill Wight (12),686,L
666,663.,Jim Wilson (12),686,R
667,668.,Sterling Hitchcock (13),685,L
668,668.,Tom Underwood (11),685,L
669,668.,Bill Wegman (11),685,R
670,671.,Carl Morton (8),684,R
671,671.,Al Spalding+ (8),684,R
672,673.,Scott Feldman (13),682,R
673,673.,Chief Hogsett (11),682,L
674,673.,Mel Parnell (10),682,L
675,673.,Stan Williams (14),682,R
676,677.,Alex Ferguson (10),680,R
677,678.,Russ Meyer (13),679,R
678,679.,Cy Falkenberg (12),678,R
679,679.,Eddie Smith (10),678,L
680,681.,Moe Drabowsky (17),676,R
681,681.,Tom Griffin (14),676,R
682,681.,George Pipgras (11),676,R
683,681.,Jose Rijo (14),676,R
684,685.,Jim Colborn (10),675,R
685,686.,Gene Conley (11),674,R
686,686.,Al Hollingsworth (11),674,L
687,686.,Joe Saunders (10),674,L
688,686.,Rick Waits (12),674,L
689,690.,Jakie May (14),673,L
690,690.,Dennis Rasmussen (12),673,L
691,690.,Eric Show (11),673,R
692,693.,Jeremy Bonderman (9),672,R
693,693.,"Madison Bumgarner (12, 30)",672,L
694,693.,Cal Eldred (14),672,R
695,693.,Juan Guzman (10),672,R
696,693.,Dutch Leonard (11),672,L
697,693.,Clyde Wright (10),672,L
698,699.,Tom Brewer (8),671,R
