,Rank,"Player (yrs, age)",Base-Out Runs Saved (RE24),Throws
397,398.,Ted Lilly (15),62.703,L
398,399.,Justin Duchscherer (8),62.535,R
399,400.,Tom Candiotti (16),62.520,R
400,401.,Scott Sullivan (10),62.125,R
401,402.,"Kelvin Herrera (10, 30)",62.008,R
402,403.,Todd Jones (16),61.739,R
403,404.,Chad Bradford (12),61.639,R
404,405.,Mark Prior (5),61.531,R
405,406.,Damaso Marte (11),61.477,L
406,407.,Whit Wyatt (16),61.443,R
407,408.,Brendan Donnelly (9),61.249,R
408,409.,Ron Perranoski (13),61.138,L
409,409.,Bill Swift (11),61.138,R
410,411.,"Carlos Martinez (8, 28)",61.017,R
411,412.,Fernando Valenzuela (17),60.961,L
412,413.,Jose DeLeon (13),60.926,R
413,414.,Hank Borowy (10),60.910,R
414,415.,James Shields (13),60.908,R
415,416.,Mark Mulder (9),60.866,L
416,417.,Jim Bagby (9),60.680,R
417,418.,Rick Rhoden (16),60.564,R
418,419.,Ramon Martinez (14),60.549,R
419,420.,Leon Cadore (10),60.497,R
420,421.,Jim Mecir (11),60.425,R
421,422.,Scott Linebrink (12),60.375,R
422,423.,Santiago Casilla (15),60.352,R
423,424.,"Luis Severino (5, 26)",60.319,R
424,425.,Rob Dibble (7),60.241,R
425,426.,Bruce Hurst (15),59.970,L
426,427.,Oral Hildebrand (10),59.962,R
427,428.,Lew Burdette (18),59.832,R
428,429.,Brian Fuentes (12),59.434,L
429,430.,Jeff Zimmerman (3),59.410,R
430,431.,Bob Friend (16),59.376,R
431,432.,Dave Rozema (10),59.343,R
432,433.,"Felipe Vazquez (5, 28)",59.283,L
433,434.,Bill Henry (16),59.228,L
434,435.,Carlos Marmol (9),59.190,R
435,436.,Javier Lopez (14),58.683,L
436,437.,Jack Harshman (10),58.532,L
437,438.,Bill Campbell (15),58.514,R
438,439.,Willie Hernandez (13),58.485,L
439,440.,Ed Figueroa (8),58.416,R
440,441.,Al Downing (17),58.054,L
441,442.,Denny Galehouse (15),57.973,R
442,443.,Grant Balfour (12),57.963,R
443,444.,"Noah Syndergaard (5, 27)",57.835,R
444,445.,Al Benton (14),57.395,R
445,446.,Tim Lincecum (10),57.297,R
446,447.,Chris Bosio (11),57.223,R
447,448.,Bill Sherdel (15),57.178,L
448,449.,"Jake Arrieta (11, 34)",56.978,R
449,450.,Britt Burns (8),56.972,L
450,451.,Herb Score (8),56.873,L
451,452.,Bob Rush (13),56.861,R
452,453.,Kiko Calero (7),56.823,R
453,454.,"Mike Minor (9, 32)",56.017,L
454,455.,Jeff Pfeffer (13),56.014,R
455,456.,Justin Thompson (5),55.726,L
456,457.,Sam Jones (12),55.709,R
457,458.,Terry Forster (16),55.688,L
458,459.,Ken Hill (14),55.588,R
459,460.,"Trevor Bauer (9, 29)",55.402,R
460,461.,Jim Kern (13),55.156,R
461,462.,Ken Raffensberger (15),55.094,L
462,463.,"Josh Hader (4, 26)",54.859,L
463,464.,Luke Gregerson (11),54.789,R
464,465.,Jim Corsi (10),54.688,R
465,466.,Todd Worrell (11),54.605,R
466,467.,Steve Bedrosian (14),54.538,R
467,468.,Dick Radatz (7),54.489,R
468,469.,Jesse Crain (10),54.301,R
469,470.,Jesse Barnes (13),54.284,R
470,471.,Dave Smith (13),54.258,R
471,472.,Joe Sambito (11),54.089,L
472,473.,Wilbur Wood (17),53.916,L
473,474.,Heath Bell (11),53.717,R
474,475.,Larry Gura (16),53.705,L
475,476.,Doug Corbett (8),53.603,R
476,477.,Sandy Consuegra (8),53.471,R
477,478.,Monty Stratton (5),53.186,R
478,479.,"Patrick Corbin (8, 30)",53.129,L
479,480.,Matt Thornton (13),52.688,L
480,481.,Chuck Taylor (8),52.669,R
481,482.,"Ken Giles (7, 29)",52.569,R
482,483.,Matt Guerrier (11),52.271,R
483,484.,"Jack Flaherty (4, 24)",52.087,R
484,485.,Craig Lefferts (12),51.943,L
485,486.,Reb Russell (9),51.933,L
486,487.,Tim Burke (8),51.738,R
487,488.,A.J. Burnett (17),51.679,R
488,489.,Paul Quantrill (14),51.593,R
489,490.,Sherry Smith (14),51.528,L
490,491.,Bob Purkey (13),51.422,R
491,492.,Brad Lidge (11),51.375,R
492,493.,Bud Black (15),51.358,L
493,494.,Steve Howe (12),51.231,L
494,495.,Scott Perry (7),51.208,R
495,496.,"Eduardo Rodriguez (5, 27)",51.153,L
496,497.,"Chad Green (5, 29)",51.072,R
497,498.,Jim Brewer (17),50.956,L
498,499.,"Raisel Iglesias (6, 30)",50.929,R
499,500.,Chad Cordero (7),50.872,R
500,501.,Jim Barr (12),50.851,R
501,502.,John Denny (13),50.748,R
502,503.,Doug Rau (9),50.243,L
503,504.,Justin Speier (12),50.061,R
504,505.,"Marcus Stroman (6, 29)",50.016,R
505,506.,"Mychal Givens (6, 30)",49.912,R
506,507.,Al Brazle (10),49.604,L
507,508.,"Alex Wood (8, 29)",49.255,L
508,509.,Kevin Tapani (13),49.036,R
509,510.,Scott Kazmir (12),48.694,L
