,Rank,"Player (yrs, age)",Fielding % as SS,Throws
100,101.,Gene Alley (11),.9699,R
101,101.,Dave Anderson (10),.9699,R
102,101.,Jose Hernandez (15),.9699,R
103,104.,Chris Speier (19),.9698,R
104,105.,Rob Picciolo (9),.9696,R
105,105.,Edgar Renteria (16),.9696,R
106,105.,Walt Weiss (14),.9696,R
107,108.,Ernie Banks+ (19),.9695,R
108,108.,Yuniesky Betancourt (9),.9695,R
109,110.,Rico Petrocelli (13),.9693,R
110,111.,Bud Harrelson (16),.9691,R
111,111.,Kevin Stocker (8),.9691,R
112,113.,Jose Uribe (10),.9690,R
113,114.,Rafael Santana (7),.9689,R
114,114.,"Jean Segura (9, 30)",.9689,R
115,116.,Chico Carrasquel (10),.9688,R
116,116.,Ronny Cedeno (10),.9688,R
117,116.,Marty Marion (13),.9688,R
118,119.,"Marcus Semien (8, 29)",.9686,R
119,120.,"Corey Seager (6, 26)",.9685,R
120,121.,Nomar Garciaparra (14),.9684,R
121,122.,Jason Bartlett (10),.9680,R
122,122.,Cliff Pennington (11),.9680,R
123,124.,Phil Rizzuto+ (13),.9677,R
124,125.,Alex Grammas (10),.9676,R
125,126.,Ron Hansen (15),.9675,R
126,127.,Tony Kubek (9),.9674,R
127,128.,Ricky Gutierrez (12),.9673,R
128,129.,Shawon Dunston (18),.9671,R
129,130.,Ruben Amaro (11),.9668,R
130,130.,Joe DeMaestri (11),.9668,R
131,130.,Hanley Ramirez (15),.9668,R
132,133.,Buddy Kerr (9),.9665,R
133,134.,Glenn Hoffman (9),.9664,R
134,135.,Carlos Guillen (14),.9663,R
135,135.,Craig Reynolds (15),.9663,R
136,137.,Roy Smalley (13),.9661,R
137,138.,Rafael Furcal (14),.9659,R
138,139.,Ray Oyler (6),.9658,R
139,139.,Tom Veryzer (12),.9658,R
140,141.,Don Kessinger (16),.9656,R
141,142.,Dickie Thon (15),.9653,R
142,143.,Angel Berroa (9),.9652,R
143,144.,Pat Meares (9),.9649,R
144,144.,Everett Scott (13),.9649,R
145,146.,Johnny Logan (13),.9648,R
146,146.,Virgil Stallcup (7),.9648,R
147,148.,Robin Yount+ (20),.9645,R
148,149.,Tony Womack (13),.9644,R
149,150.,Johnny Pesky (10),.9641,R
150,151.,Bert Campaneris (19),.9640,R
151,151.,Harvey Kuenn (15),.9640,R
152,151.,Julio Lugo (12),.9640,R
153,154.,Jeff Blauser (13),.9639,R
154,155.,Larry Brown (12),.9638,R
155,156.,Billy Jurges (17),.9637,R
156,157.,Enzo Hernandez (8),.9636,R
157,158.,"Starlin Castro (11, 30)",.9634,R
158,159.,Jim Fregosi (18),.9632,R
159,160.,Eddie Bressoud (12),.9630,R
160,160.,Jose Pagan (15),.9630,R
161,162.,Maury Wills (14),.9628,R
162,163.,Dick Howser (8),.9627,R
163,164.,Ivan de Jesus (15),.9626,R
164,164.,George Strickland (10),.9626,R
165,166.,"Ian Desmond (11, 34)",.9625,R
166,166.,Gene Michael (10),.9625,R
167,168.,Pee Wee Reese+ (16),.9624,R
168,169.,Freddie Patek (14),.9623,R
169,170.,Willy Miranda (9),.9622,R
170,171.,Johnny Lipon (9),.9615,R
171,172.,Dick Groat (14),.9614,R
172,173.,Denis Menke (13),.9613,R
173,174.,Alfredo Griffin (18),.9611,R
174,175.,Mark Grudzielanek (15),.9610,R
175,175.,Mario Guerrero (8),.9610,R
176,175.,Mario Mendoza (9),.9610,R
177,178.,Garry Templeton (16),.9609,R
178,179.,Leo Durocher+ (17),.9608,R
179,180.,Luis Rivera (11),.9607,R
180,180.,Dick Schofield (19),.9607,R
181,182.,Johnnie LeMaster (12),.9605,R
182,182.,Vern Stephens (15),.9605,R
183,184.,Woodie Held (14),.9604,R
184,185.,Hod Ford (15),.9602,R
185,186.,Toby Harrah (17),.9601,R
186,187.,Al Dark (14),.9599,R
187,188.,Chico Fernandez (8),.9598,R
188,189.,Felipe Lopez (11),.9597,R
189,189.,Bill Russell (18),.9597,R
190,191.,Julio Franco (23),.9596,R
191,192.,"Tim Anderson (5, 27)",.9591,R
192,193.,Skeeter Newsome (12),.9590,R
193,194.,Darrel Chaney (11),.9588,R
194,194.,Jim Mason (9),.9588,R
195,196.,Dale Berra (11),.9586,R
196,196.,Bob Lillis (10),.9586,R
197,198.,Jose Valentin (16),.9585,R
198,199.,Billy Hunter (6),.9582,R
199,200.,Eddie Joost (17),.9578,R
200,200.,Andres Thomas (6),.9578,R
201,202.,Sam Dente (9),.9577,R
202,202.,Kurt Stillwell (9),.9577,R
203,204.,Woody English (12),.9567,R
204,205.,Joe Boley (6),.9566,R
205,206.,U L Washington (11),.9563,R
206,207.,Billy Rogell (14),.9561,R
207,208.,Bill Almon (15),.9560,R
208,209.,Andre Rodgers (11),.9557,R
209,210.,Zoilo Versalles (12),.9556,R
210,211.,Lyn Lary (12),.9555,R
211,211.,Cecil Travis (12),.9555,R
212,213.,Bill Knickerbocker (10),.9553,R
213,214.,Dick McAuliffe (16),.9550,R
214,215.,Don Buddin (6),.9540,R
215,216.,Charlie Hollocher (7),.9536,R
216,217.,Rafael Ramirez (13),.9532,R
217,218.,Daryl Spencer (10),.9529,R
218,219.,Topper Rigney (6),.9528,R
219,220.,Dick Bartell (18),.9526,R
220,220.,Frank Taveras (11),.9526,R
221,222.,Terry Turner (17),.9525,R
222,223.,Rabbit Maranville+ (23),.9519,R
223,224.,Andujar Cedeno (7),.9517,R
224,224.,Travis Jackson+ (15),.9517,R
225,226.,Joe Cronin+ (20),.9515,R
226,227.,Joe Sewell+ (14),.9514,R
227,227.,Arky Vaughan+ (14),.9514,R
228,229.,Mariano Duncan (12),.9511,R
229,230.,Charlie Gelbert (9),.9510,R
230,231.,Jackie Tavener (6),.9507,R
231,232.,Tommy Thevenow (15),.9495,R
232,233.,Frankie Crosetti (17),.9494,R
233,234.,Eric McNair (14),.9493,R
234,235.,Sonny Jackson (12),.9492,R
235,236.,Billy Urbanski (7),.9490,R
236,237.,Roger Peckinpaugh (17),.9488,R
237,238.,George McBride (16),.9482,R
238,239.,Luke Appling+ (20),.9475,R
239,240.,Roy Smalley (11),.9474,R
240,241.,Eddie Lake (11),.9468,R
241,242.,Granny Hamner (17),.9464,R
242,243.,Billy Myers (7),.9456,R
243,244.,Lennie Merullo (7),.9450,R
244,245.,Jackie Hernandez (9),.9447,R
245,246.,Dave Bancroft+ (16),.9443,R
246,246.,Red Kress (14),.9443,R
247,248.,Ernie Johnson (10),.9437,R
248,249.,Jose Offerman (15),.9434,R
249,250.,Wally Gerber (15),.9431,R
250,251.,Chick Galloway (10),.9430,R
251,252.,Heinie Sand (6),.9428,R
252,253.,Rabbit Warstler (11),.9425,R
253,254.,John Sullivan (6),.9423,R
254,255.,Glenn Wright (11),.9413,R
255,256.,George Davis+ (20),.9402,R
256,257.,Honus Wagner+ (21),.9401,R
257,258.,Mickey Doolin (13),.9396,R
258,259.,Al Bridwell (11),.9388,R
259,259.,Ray Chapman (9),.9388,R
260,261.,Art Fletcher (13),.9386,R
261,262.,Bobby Wallace+ (25),.9385,R
262,263.,Joe Tinker+ (15),.9381,R
263,264.,Donie Bush (16),.9365,R
264,265.,Buck Weaver (9),.9360,R
265,266.,Jack Barry (11),.9355,R
266,267.,Charley O'Leary (11),.9354,R
267,268.,Ivy Olson (14),.9319,R
268,269.,Doc Lavan (12),.9304,R
269,270.,Heinie Wagner (12),.9279,R
270,271.,Larry Kopf (10),.9275,R
271,272.,Freddy Parent (12),.9274,R
272,273.,Mark Koenig (12),.9273,R
273,274.,Bill Dahlen (21),.9269,R
274,275.,Phil Lewis (4),.9263,R
275,276.,Tommy Corcoran (18),.9240,R
276,277.,Bones Ely (14),.9228,R
277,278.,Hughie Jennings+ (18),.9216,R
278,279.,Monte Cross (15),.9201,R
279,280.,Kid Elberfeld (14),.9200,R
280,281.,Bob Allen (7),.9155,R
281,282.,Rudy Hulswitt (7),.9149,R
282,283.,Jack Glasscock (17),.9104,R
283,284.,Herman Long (16),.9064,R
284,285.,Germany Smith (15),.9023,R
285,286.,Ed McKean (13),.8996,R
286,287.,Davy Force (15),.8972,R
287,288.,Shorty Fuller (9),.8902,R
288,289.,John Ward+ (17),.8871,R
289,290.,Frank Shugart (8),.8825,R
290,291.,Jack Rowe (12),.8817,R
291,292.,Arthur Irwin (13),.8809,R
292,293.,John Peters (11),.8740,R
293,294.,Candy Nelson (13),.8716,R
294,295.,George Wright+ (12),.8699,R
295,296.,Sadie Houck (8),.8628,R
296,297.,Frank Fennelly (7),.8601,R
297,298.,Bill Gleason (8),.8598,R
298,299.,Sam Wise (12),.8594,R
