,Rank,"Player (yrs, age)",Range Factor/Game as SS,Throws
175,176.,Ozzie Guillen (16),4.349,R
176,177.,Omar Vizquel (24),4.348,R
177,178.,Kevin Stocker (8),4.344,R
178,179.,"Andrelton Simmons (9, 30)",4.339,R
179,180.,Nomar Garciaparra (14),4.323,R
180,181.,Barry Larkin+ (19),4.320,R
181,182.,"Elvis Andrus (12, 31)",4.310,R
182,183.,Chico Fernandez (8),4.303,R
183,184.,Spike Owen (13),4.298,R
184,185.,Orlando Cabrera (15),4.297,R
185,186.,Michael Young (14),4.286,R
186,187.,Dal Maxvill (14),4.278,R
187,188.,"Starlin Castro (11, 30)",4.273,R
188,189.,Joe Boley (6),4.266,R
189,190.,Jhonny Peralta (15),4.263,R
190,191.,Tom Veryzer (12),4.262,R
191,192.,Alexei Ramírez (9),4.261,R
192,192.,Dick Schofield (19),4.261,R
193,194.,Frank Taveras (11),4.258,R
194,195.,Eddie Bressoud (12),4.255,R
195,196.,Rey Ordóñez (9),4.254,R
196,197.,Denis Menke (13),4.249,R
197,198.,Greg Gagne (15),4.243,R
198,198.,Rafael Santana (7),4.243,R
199,200.,Yuniesky Betancourt (9),4.236,R
200,200.,Bob Lillis (10),4.236,R
201,202.,Deivi Cruz (9),4.218,R
202,202.,Alex Gonzalez (16),4.218,R
203,204.,Mark Grudzielanek (15),4.216,R
204,205.,Craig Reynolds (15),4.214,R
205,206.,Jose Pagan (15),4.210,R
206,207.,Felix Fermin (10),4.207,R
207,208.,Dickie Thon (15),4.205,R
208,209.,David Eckstein (10),4.204,R
209,209.,Adam Everett (11),4.204,R
210,211.,Brendan Ryan (10),4.197,R
211,212.,Bill Almon (15),4.195,R
212,213.,Larry Brown (12),4.194,R
213,213.,Jose Uribe (10),4.194,R
214,215.,Candy Nelson (13),4.193,R
215,216.,"Trevor Story (5, 27)",4.187,R
216,217.,U L Washington (11),4.182,R
217,218.,Alvaro Espinoza (12),4.178,R
218,218.,Cristian Guzman (11),4.178,R
219,220.,J.J. Hardy (13),4.164,R
220,221.,Julio Lugo (12),4.158,R
221,222.,Yunel Escobar (11),4.156,R
222,223.,Walt Weiss (14),4.147,R
223,224.,Rich Aurilia (15),4.138,R
224,225.,"Marcus Semien (8, 29)",4.137,R
225,226.,Jack Rowe (12),4.131,R
226,227.,Jackie Hernandez (9),4.130,R
227,228.,Ruben Amaro (11),4.125,R
228,229.,Bill Gleason (8),4.121,R
229,230.,Jason Bartlett (10),4.120,R
230,230.,Khalil Greene (7),4.120,R
231,232.,Glenn Hoffman (9),4.112,R
232,233.,"Ian Desmond (11, 34)",4.111,R
233,234.,Mario Guerrero (8),4.108,R
234,235.,"Brandon Crawford (10, 33)",4.103,R
235,236.,Edgar Renteria (16),4.098,R
236,237.,Jimmy Rollins (17),4.096,R
237,238.,Jose Offerman (15),4.094,R
238,239.,Kevin Elster (13),4.086,R
239,240.,Alcides Escobar (11),4.082,R
240,241.,"Zack Cozart (9, 34)",4.080,R
241,242.,Cliff Pennington (11),4.072,R
242,243.,Scott Fletcher (15),4.056,R
243,244.,Luis Rivera (11),4.035,R
244,245.,Mariano Duncan (12),4.033,R
245,246.,Chris Gomez (16),4.027,R
246,247.,Carlos Guillen (14),4.022,R
247,248.,Dick McAuliffe (16),4.020,R
248,249.,"Erick Aybar (12, 36)",4.015,R
249,250.,Clint Barmes (13),4.010,R
250,251.,"Nick Ahmed (7, 30)",4.008,R
251,252.,Cesar Izturis (13),3.996,R
252,253.,Ronny Cedeno (10),3.991,R
253,254.,Marco Scutaro (13),3.980,R
254,255.,"Jean Segura (9, 30)",3.977,R
255,256.,Hanley Ramirez (15),3.976,R
256,257.,Darrel Chaney (11),3.974,R
257,258.,Jose Reyes (16),3.967,R
258,259.,Jose Hernandez (15),3.964,R
259,260.,"Asdrubal Cabrera (14, 34)",3.955,R
260,261.,Willy Miranda (9),3.949,R
261,262.,Stephen Drew (12),3.946,R
262,262.,"Freddy Galvis (9, 30)",3.946,R
263,264.,Manuel Lee (11),3.943,R
264,265.,Steve Jeltz (8),3.924,R
265,266.,Jim Mason (9),3.922,R
266,267.,Jose Vizcaino (18),3.919,R
267,268.,"Tim Anderson (5, 27)",3.904,R
268,269.,"Orlando Arcia (5, 25)",3.900,R
269,270.,Derek Jeter+ (20),3.899,R
270,271.,Woody Woodward (9),3.896,R
271,272.,"Jordy Mercer (9, 33)",3.869,R
272,273.,Ryan Theriot (8),3.851,R
273,274.,Ricky Gutierrez (12),3.839,R
274,275.,Andujar Cedeno (7),3.813,R
275,276.,"Adeiny Hechavarria (9, 31)",3.808,R
276,277.,Kurt Stillwell (9),3.806,R
277,278.,Felipe Lopez (11),3.794,R
278,279.,"Dansby Swanson (5, 26)",3.792,R
279,280.,"Francisco Lindor (6, 26)",3.790,R
280,281.,"Didi Gregorius (9, 30)",3.789,R
281,282.,Alex Grammas (10),3.787,R
282,283.,"Carlos Correa (6, 25)",3.777,R
283,284.,"José Iglesias (9, 30)",3.758,R
284,285.,Tony Womack (13),3.733,R
285,286.,Ramon Santiago (13),3.731,R
286,287.,Dave Anderson (10),3.727,R
287,288.,Ray Oyler (6),3.717,R
288,289.,"Xander Bogaerts (8, 27)",3.712,R
289,290.,Jeff Blauser (13),3.689,R
290,291.,Alex Cora (14),3.630,R
291,292.,"Jed Lowrie (12, 36)",3.598,R
292,292.,John McDonald (16),3.598,R
293,294.,"Corey Seager (6, 26)",3.588,R
294,295.,Rob Picciolo (9),3.548,R
295,296.,Mario Mendoza (9),3.460,R
296,297.,Juan Castro (17),3.256,R
297,298.,Fred Stanley (14),3.244,R
298,299.,Rafael Belliard (17),3.138,R
