,Rank,"Player (yrs, age)",Championship WPA (cWPA),Bats
255,256.,Roy Cullenbine (10),19.18,B
256,257.,Dave Bancroft+ (16),19.10,B
257,257.,Joe Sewell+ (14),19.10,L
258,259.,Felipe Alou (17),19.06,R
259,259.,Dick Wakefield (9),19.06,L
260,261.,Chase Utley (16),19.02,L
261,262.,Sandy Amoros (7),19.01,L
262,263.,Don Buford (10),18.87,B
263,263.,Ted Kluszewski (15),18.87,L
264,265.,Don Mattingly (14),18.85,L
265,266.,Max Bishop (12),18.78,L
266,267.,Paul O'Neill (17),18.73,L
267,268.,Wally Moon (12),18.72,L
268,268.,Dick Sisler (8),18.72,L
269,270.,Roy White (15),18.71,B
270,271.,"Ryan Braun (14, 36)",18.64,R
271,272.,Jose Cruz (19),18.58,L
272,272.,John Romano (10),18.58,R
273,274.,David Wright (14),18.43,R
274,275.,Darrell Evans (21),18.36,L
275,276.,Joe Kuhel (18),18.28,L
276,277.,Ferris Fain (9),18.25,L
277,278.,Ty Cobb+ (24),18.24,L
278,279.,Benny Kauff (8),18.22,L
279,280.,Cecil Cooper (17),18.21,L
280,281.,Claudell Washington (17),18.19,L
281,282.,George Burns (15),18.02,R
282,283.,"Anthony Rizzo (10, 30)",18.00,L
283,284.,Hank Thompson (9),17.98,L
284,285.,Jack Fournier (15),17.95,L
285,286.,Dusty Baker (19),17.88,R
286,287.,Mike Greenwell (12),17.85,L
287,287.,Shanty Hogan (13),17.85,R
288,289.,Joe Cunningham (12),17.83,L
289,290.,Johnny Blanchard (8),17.82,L
290,291.,Stan Spence (9),17.79,L
291,292.,Curt Flood (15),17.78,R
292,293.,Derek Jeter+ (20),17.72,R
293,294.,Barry Larkin+ (19),17.67,R
294,295.,Bobby Grich (17),17.66,R
295,296.,Gene Hermanski (9),17.63,L
296,297.,Joe Adcock (17),17.45,R
297,298.,Billy Johnson (9),17.34,R
298,299.,Pinky Higgins (14),17.31,R
299,299.,Robin Yount+ (20),17.31,R
300,301.,Rick Monday (19),17.25,L
301,302.,Andy Van Slyke (13),17.22,L
302,303.,Jim Gentile (9),17.19,L
303,304.,Brian Giles (15),17.16,L
304,305.,Don Mincher (13),17.13,L
305,306.,Chili Davis (19),17.02,B
306,307.,Sid Gordon (13),16.83,R
307,308.,Carlton Fisk+ (24),16.78,R
308,309.,Chet Laabs (11),16.75,R
