,Rank,"Player (yrs, age)",Errors Committed as LF (s.1901),Throws
87,88.,Rico Carty (15),44,R
88,89.,Gil Coan (11),43,R
89,89.,Pete Incaviglia (12),43,R
90,89.,John Stone (11),43,R
91,92.,Wes Covington (11),42,R
92,92.,Dave Kingman (16),42,R
93,92.,Hal Lee (7),42,R
94,92.,Austin McHenry (5),42,R
95,92.,Mike Menosky (9),42,R
96,97.,Ray Blades (10),41,R
97,97.,Kevin Mitchell (13),41,R
98,97.,Lou Piniella (18),41,R
99,97.,Roy White (15),41,R
100,101.,John Briggs (12),40,L
101,101.,Jesse Burkett+ (16),40,L
102,101.,Josh Devore (7),40,R
103,101.,Riggs Stephenson (14),40,R
104,105.,Bill Lamar (9),39,R
105,105.,Frank Schulte (15),39,R
106,107.,George Case (11),38,R
107,107.,Mike Greenwell (12),38,R
108,107.,Bill Hinchman (10),38,R
109,107.,Jim Lemon (12),38,R
110,107.,Greg Vaughn (15),38,R
111,112.,Ben Chapman (15),37,R
112,112.,Charlie Keller (13),37,R
113,112.,Jeffrey Leonard (14),37,R
114,112.,Bob Nieman (12),37,R
115,112.,Manny Ramirez (19),37,R
116,112.,"Justin Upton (14, 32)",37,R
117,118.,Raul Ibanez (19),36,R
118,118.,Lee Maye (13),36,R
119,120.,Dante Bichette (14),35,R
120,120.,Adam Comorosky (10),35,R
121,120.,Carl Crawford (15),35,L
122,120.,Shoeless Joe Jackson (13),35,R
123,120.,Howie Shanks (14),35,R
124,125.,Gus Felix (5),34,R
125,125.,Bernard Gilkey (12),34,R
126,125.,Rusty Greer (9),34,L
127,125.,Bobby Higginson (11),34,R
128,125.,Woody Jensen (9),34,L
129,125.,Steve Kemp (11),34,L
130,125.,Red Murray (11),34,R
131,125.,Stan Musial+ (22),34,L
132,125.,Rube Oldring (13),34,R
133,125.,Shannon Stewart (14),34,R
134,125.,Frank Thomas (16),34,R
135,125.,Al Wingo (6),34,R
136,137.,Garret Anderson (17),33,L
137,137.,Sam Mertes (10),33,R
138,137.,Frank Robinson+ (21),33,R
139,137.,Maurice Van Robays (6),33,R
140,137.,Gary Ward (12),33,R
141,142.,Frank Howard (16),32,R
142,142.,Luis Polonia (12),32,L
143,144.,Dan Gladden (11),31,R
144,144.,Smead Jolley (4),31,R
145,144.,Cleon Jones (13),31,L
146,144.,Ryan Klesko (16),31,L
147,144.,Johnny Rizzo (5),31,R
148,149.,Dusty Baker (19),30,R
149,149.,Bo Jackson (8),30,R
150,149.,Danny Litwhiler (11),30,R
151,149.,Whitey Lockman (15),30,R
152,149.,Kevin McReynolds (12),30,R
153,149.,Ward Miller (8),30,R
154,149.,Gene Richards (8),30,L
155,156.,Walton Cruise (10),29,R
156,156.,Gary Redus (13),29,R
157,156.,Russ Scarritt (4),29,R
158,156.,Al Woods (7),29,L
159,160.,Ken Henderson (16),28,R
160,160.,Willie Hogan (2),28,R
161,160.,Jerry Lynch (13),28,R
162,163.,Don Baylor (19),27,R
163,163.,"Yoenis Céspedes (8, 34)",27,R
164,163.,Kirk Gibson (17),27,L
165,163.,Brian Giles (15),27,L
166,163.,Gary Sheffield (22),27,R
167,163.,Bobby Thomson (15),27,R
168,163.,Possum Whitted (11),27,R
169,163.,Willie Wilson (19),27,R
170,171.,Jimmy Callahan (13),26,R
171,171.,Sid Gordon (13),26,R
172,171.,Geoff Jenkins (11),26,R
173,171.,Freddy Leach (10),26,R
174,171.,Dale Mitchell (11),26,L
175,171.,Tony Phillips (18),26,R
176,171.,Bob Watson (19),26,R
177,171.,Delmon Young (10),26,R
178,179.,Glenn Braggs (7),25,R
179,179.,"Ryan Braun (14, 36)",25,R
180,179.,Jeff Burroughs (16),25,R
181,179.,Warren Cromartie (10),25,L
182,179.,Hector Lopez (12),25,R
183,179.,Bing Miller (16),25,R
184,179.,Hack Miller (6),25,R
185,179.,"Eddie Rosario (6, 28)",25,R
186,179.,Jim Russell (10),25,R
187,179.,Spike Shannon (5),25,R
188,179.,Dave Winfield+ (22),25,R
189,179.,Gene Woodling (17),25,R
190,191.,Jason Bay (11),24,R
191,191.,Mike Easler (14),24,R
192,191.,Mel Hall (13),24,L
193,191.,Leron Lee (8),24,R
194,191.,Carmelo Martinez (9),24,R
195,191.,Johnny Mokan (7),24,R
196,191.,Coaker Triplett (6),24,R
197,191.,Dmitri Young (13),24,R
198,199.,Morrie Arnovich (7),23,R
199,199.,Beals Becker (8),23,L
200,199.,Marty Cordova (9),23,R
201,199.,Birdie Cree (8),23,R
202,199.,Kiki Cuyler+ (18),23,R
203,199.,Johnny Damon (18),23,L
204,199.,Bert Daniels (5),23,R
205,199.,Kal Daniels (7),23,R
206,199.,Larry Hisle (14),23,R
207,199.,Hideki Matsui (10),23,R
208,199.,Derrick May (10),23,R
209,199.,Rick Reichardt (11),23,R
210,199.,Carl Reynolds (13),23,R
211,199.,Henry Rodriguez (11),23,L
212,199.,Enos Slaughter+ (19),23,R
213,199.,Josh Willingham (11),23,R
214,215.,Steve Braun (15),22,R
215,215.,Jose Canseco (17),22,R
216,215.,Joe Connolly (4),22,R
217,215.,Miguel Dilone (12),22,R
218,215.,Chuck Klein+ (17),22,R
219,215.,Ray Lankford (14),22,L
220,215.,Dan Meyer (12),22,R
221,215.,Wally Moon (12),22,R
222,215.,Rip Repulski (9),22,R
223,215.,Eric Tipton (7),22,R
224,215.,Jerry Turner (10),22,L
225,226.,Felipe Alou (17),21,R
226,226.,John Anderson (14),21,R
227,226.,Johnny Bates (9),21,L
228,226.,Eddie Brown (7),21,R
229,226.,Bob Cerv (12),21,R
230,226.,Wid Conroy (11),21,R
231,226.,Claude Cooper (5),21,L
232,226.,Todd Hollandsworth (12),21,L
233,226.,Joe Kelly (5),21,R
234,226.,Bris Lord (8),21,R
235,226.,Willie McCovey+ (22),21,L
236,226.,Gerardo Parra (11),21,L
237,226.,Roy Sievers (17),21,R
238,226.,Rondell White (15),21,R
239,240.,Clyde Barnhart (9),20,R
240,240.,Wally Berger (11),20,R
241,240.,Ping Bodie (9),20,R
242,240.,Melky Cabrera (15),20,L
243,240.,Jeff Conine (17),20,R
244,240.,Debs Garms (12),20,R
245,240.,Joe Harris (10),20,R
246,240.,Chuck Hinton (11),20,R
247,240.,Monte Irvin+ (8),20,R
248,240.,Jay Kirke (7),20,R
249,240.,Ernie Koy (5),20,R
250,240.,Hal McRae (19),20,R
251,240.,Craig Monroe (9),20,R
252,240.,Al Oliver (18),20,L
253,240.,Mitchell Page (8),20,R
254,240.,Kip Selbach (13),20,R
255,240.,Jimmy Slagle (10),20,R
256,240.,Al Smith (12),20,R
257,240.,Jack Tobin (13),20,L
258,240.,Jim Wohlford (15),20,R
259,260.,Joe Adcock (17),19,R
260,260.,Dick Allen (15),19,R
261,260.,Ethan Allen (13),19,R
262,260.,Bob Allison (13),19,R
263,260.,Jesus Alou (15),19,R
264,260.,Bob Bailey (17),19,R
265,260.,Jim Greengrass (5),19,R
266,260.,Ken Griffey (19),19,L
267,260.,Jack Hoey (3),19,L
268,260.,Frank Huelsman (3),19,R
269,260.,George Jackson (3),19,R
270,260.,Bevo LeBourveau (5),19,R
271,260.,"Starling Marte (9, 31)",19,R
272,260.,Charlie Maxwell (14),19,L
273,260.,Clyde Milan (16),19,R
274,260.,Manny Mota (20),19,R
275,260.,Butch Nieman (3),19,L
276,260.,Fred Odwell (4),19,R
277,260.,Scott Podsednik (11),19,L
278,260.,Chet Ross (6),19,R
279,260.,Joe Rudi (16),19,R
280,260.,George Selkirk (9),19,R
281,282.,Turner Barber (9),18,R
282,282.,Phil Bradley (8),18,R
283,282.,Ivan Calderon (10),18,R
284,282.,Dave Collins (16),18,L
285,282.,Rajai Davis (14),18,R
286,282.,"Adam Duvall (7, 31)",18,R
287,282.,Bob Ganley (5),18,L
288,282.,Hank Greenberg+ (13),18,R
289,282.,Johnny Grubb (16),18,R
290,282.,Jacque Jones (10),18,L
291,282.,Joe Kelley+ (17),18,R
292,282.,Merlin Kopp (3),18,R
293,282.,Peanuts Lowrey (13),18,R
294,282.,Carlos May (10),18,R
295,282.,Moose McCormick (5),18,L
296,282.,Barney McCosky (11),18,R
297,282.,Buster Mills (7),18,R
298,282.,Ryan Raburn (12),18,R
299,282.,Kevin Reimer (6),18,R
300,282.,Bama Rowell (6),18,R
301,282.,Earl Smith (7),18,R
302,282.,Cesar Tovar (12),18,R
303,282.,George Watkins (7),18,R
304,282.,Richie Zisk (13),18,R
305,306.,George Anderson (3),17,R
306,306.,George Barclay (4),17,R
307,306.,Gates Brown (13),17,R
308,306.,Roy Cullenbine (10),17,R
309,306.,Chad Curtis (10),17,R
310,306.,Dom Dallessandro (8),17,L
311,306.,Jim Delahanty (13),17,R
312,306.,Mike Donlin (12),17,L
313,306.,Clyde Engle (8),17,R
314,306.,"Alex Gordon (14, 36)",17,R
315,306.,George Harper (11),17,R
316,306.,Glenallen Hill (13),17,R
317,306.,Harmon Killebrew+ (22),17,R
318,306.,Lee Magee (9),17,R
319,306.,Jack McCarthy (12),17,L
320,306.,John Milner (12),17,L
321,306.,Troy O'Leary (11),17,L
322,306.,Joe Orsulak (14),17,L
323,306.,Tom Paciorek (18),17,R
324,306.,Whitey Platt (5),17,R
325,306.,Boog Powell (17),17,R
326,306.,Max West (7),17,R
327,328.,Sandy Amoros (7),16,L
328,328.,Brady Anderson (15),16,L
329,328.,Emil Batch (4),16,R
330,328.,Lance Berkman (15),16,L
331,328.,Al Bumbry (14),16,R
332,328.,Eric Byrnes (11),16,R
333,328.,Sam Chapman (11),16,R
334,328.,Josh Clarke (5),16,R
335,328.,Willie Crawford (14),16,L
336,328.,Joe Evans (11),16,R
337,328.,Hoot Evers (12),16,R
338,328.,Josh Hamilton (9),16,L
339,328.,Dave Harris (7),16,R
340,328.,Jim Ray Hart (12),16,R
341,328.,Jim Jackson (4),16,R
342,328.,Ron Kittle (10),16,R
343,328.,Lee Lacy (16),16,R
344,328.,Ron LeFlore (9),16,R
345,328.,Shane Mack (9),16,R
346,328.,Candy Maldonado (15),16,R
347,328.,Alex Metzler (6),16,R
348,328.,Mike Mitchell (8),16,R
349,328.,Walt Moryn (8),16,R
350,328.,Pat Mullin (10),16,R
351,328.,Greasy Neale (8),16,R
352,328.,Jake Powell (11),16,R
353,328.,Dusty Rhodes (7),16,R
354,328.,Hal Rice (7),16,R
355,328.,Juan Rivera (12),16,R
356,328.,Bill Robinson (16),16,R
357,328.,Al Scheer (3),16,R
358,328.,B.J. Surhoff (19),16,R
359,328.,Tom Tresh (9),16,R
360,328.,Terry Whitfield (10),16,R
361,328.,Taffy Wright (9),16,R
362,363.,Rocky Colavito (14),15,R
363,363.,Gavvy Cravath (11),15,R
364,363.,Guy Curtright (4),15,R
365,363.,"Khris Davis (8, 32)",15,R
366,363.,Johnny Dickshot (6),15,R
367,363.,"Brett Gardner (13, 36)",15,L
368,363.,Tommy Harper (15),15,R
369,363.,Jesse Hill (3),15,R
370,363.,Del Howard (5),15,R
371,363.,Bob Kennedy (16),15,R
372,363.,Lee King (7),15,R
373,363.,Johnny Moore (10),15,R
374,363.,Willie Norwood (4),15,R
375,363.,Phil Plantier (8),15,R
376,363.,Hack Simmons (4),15,R
377,363.,Dwight Smith (8),15,R
378,363.,Elmer Smith (10),15,R
379,363.,Jack Smith (15),15,L
380,363.,Al Spangler (13),15,L
381,363.,Danny Taylor (9),15,R
382,363.,Claudell Washington (17),15,L
383,363.,Jim Wynn (15),15,R
384,385.,George Altman (9),14,R
385,385.,Herschel Bennett (5),14,R
386,385.,Daryl Boston (11),14,L
387,385.,Bill Buckner (22),14,L
388,385.,Frank Delahanty (6),14,R
389,385.,"Robbie Grossman (8, 30)",14,L
390,385.,Roy Hartzell (11),14,R
391,385.,Billy Hatcher (12),14,R
392,385.,Mack Jones (10),14,R
393,385.,Ricky Ledee (10),14,L
394,385.,"Marcell Ozuna (8, 29)",14,R
395,385.,R.J. Reynolds (8),14,R
396,385.,Tommie Reynolds (8),14,R
397,385.,Dick Sisler (8),14,R
398,385.,Pat Tabler (12),14,R
399,385.,Brad Wilkerson (8),14,L
