,Rank,"Player (yrs, age)",Win Probability Added (WPA),Throws
230,231.,Ugueth Urbina (11),11.66,R
231,232.,Josh Beckett (14),11.58,R
232,232.,Thornton Lee (16),11.58,L
233,232.,Jarrod Washburn (12),11.58,L
234,235.,Fritz Ostermueller (15),11.52,L
235,236.,Willie Hernandez (13),11.48,L
236,237.,Fernando Valenzuela (17),11.37,L
237,238.,Mark Wohlers (12),11.27,R
238,239.,Burt Hooton (15),11.23,R
239,240.,"Felipe Vazquez (5, 28)",11.20,L
240,241.,Bob Stanley (13),11.10,R
241,242.,Wilson Alvarez (14),11.07,L
242,242.,Sad Sam Jones (22),11.07,R
243,242.,"Hyun Jin Ryu (7, 33)",11.07,L
244,245.,"Sean Doolittle (9, 33)",11.01,L
245,245.,Jason Schmidt (14),11.01,R
246,247.,Orlando Hernandez (9),11.00,R
247,248.,Heath Bell (11),10.97,R
248,249.,Bryan Harvey (9),10.92,R
249,250.,Matt Cain (13),10.86,R
250,251.,Bob Veale (13),10.84,L
251,252.,Rod Beck (13),10.76,R
252,253.,Dean Chance (11),10.73,R
253,253.,Rube Walberg (15),10.73,L
254,255.,"Cody Allen (8, 31)",10.64,R
255,256.,Todd Worrell (11),10.62,R
256,257.,Hal Schumacher (13),10.61,R
257,258.,Brian Fuentes (12),10.59,L
258,259.,Monte Pearson (10),10.57,R
259,260.,Wilcy Moore (6),10.53,R
260,261.,Scot Shields (10),10.51,R
261,261.,"Joe Smith (13, 36)",10.51,R
262,263.,Babe Adams (19),10.50,R
263,263.,Al Benton (14),10.50,R
264,263.,Jamie Moyer (25),10.50,L
265,266.,Andy Benes (14),10.47,R
266,266.,Denny Neagle (13),10.47,L
267,268.,Joe Horlen (12),10.44,R
268,269.,Mike Flanagan (18),10.41,L
269,269.,"Gio Gonzalez (13, 34)",10.41,L
270,271.,Bobby Shantz (16),10.37,L
271,272.,"Dellin Betances (9, 32)",10.34,R
272,273.,"Ken Giles (7, 29)",10.32,R
273,274.,Jim Bagby (9),10.31,R
274,274.,Aurelio Lopez (11),10.31,R
275,276.,Claude Passeau (13),10.29,R
276,277.,Mike Stanton (19),10.28,L
277,278.,Dick Hall (19),10.26,R
278,279.,Don Newcombe (10),10.23,R
279,280.,Kelvim Escobar (12),10.22,R
280,281.,"Yu Darvish (8, 33)",10.21,R
281,282.,Rafael Betancourt (12),10.19,R
282,283.,Paul Dean (9),10.18,R
283,284.,Hugh Casey (9),10.17,R
284,285.,Bump Hadley (16),10.15,R
285,286.,J.J. Putz (12),10.13,R
286,287.,Jim Perry (17),10.12,R
287,288.,Takashi Saito (7),10.11,R
288,289.,Jeff Shaw (12),10.09,R
289,290.,Kenny Rogers (20),10.06,L
290,291.,Tom Zachary (19),10.03,L
291,292.,Jim Brewer (17),10.02,L
292,293.,Billy Koch (6),10.01,R
293,294.,Duane Ward (9),10.00,R
294,295.,B.J. Ryan (11),9.99,L
295,296.,Juan Guzman (10),9.95,R
296,297.,Terry Fox (7),9.89,R
297,298.,"Lance Lynn (9, 33)",9.88,R
298,299.,Ramon Martinez (14),9.87,R
299,300.,Sid Fernandez (15),9.79,L
300,301.,Dave Veres (10),9.77,R
301,302.,Kerry Wood (14),9.76,R
302,303.,Greg Minton (16),9.75,R
303,303.,Johnny Sain (11),9.75,R
304,305.,"Carlos Carrasco (11, 33)",9.73,R
305,306.,Lew Burdette (18),9.72,R
306,306.,Eddie Guardado (17),9.72,L
307,306.,Ryan Madson (13),9.72,R
308,309.,Octavio Dotel (15),9.71,R
309,310.,Don Mossi (12),9.67,L
310,311.,Al Brazle (10),9.66,L
311,312.,Greg Swindell (17),9.65,L
312,313.,Francisco Cordero (14),9.64,R
313,313.,Dave LaRoche (14),9.64,L
314,315.,Joe Dobson (14),9.61,R
315,315.,Rick Honeycutt (21),9.61,L
316,317.,"Alex Colome (8, 31)",9.60,R
317,318.,Mike Adams (10),9.56,R
318,318.,"Andrew Miller (15, 35)",9.56,L
319,320.,Johnny Podres (15),9.54,L
320,321.,Harry Gumbert (15),9.52,R
321,322.,Chad Cordero (7),9.46,R
322,323.,J.R. Richard (10),9.43,R
323,324.,Freddy Garcia (15),9.41,R
324,325.,Rube Benton (15),9.37,L
325,325.,Derek Lowe (17),9.37,R
326,327.,John Lackey (15),9.30,R
327,328.,Dick Radatz (7),9.29,R
328,329.,Mark Mulder (9),9.20,L
329,330.,Don Gullett (9),9.18,L
330,331.,Bob Lee (5),9.14,R
331,332.,Bullet Joe Bush (17),9.13,R
332,332.,Jeff Zimmerman (3),9.13,R
333,334.,Danny Graves (11),9.12,R
334,334.,Claude Osteen (18),9.12,L
335,336.,Pat Malone (10),9.10,R
336,336.,Bobo Newsom (20),9.10,R
337,338.,Jason Frasor (12),9.09,R
338,339.,Johnny Rigney (8),9.08,R
339,340.,Larry Jansen (9),9.06,R
340,341.,Mario Soto (12),9.05,R
341,342.,Slim Sallee (14),9.03,L
342,343.,Vic Aldridge (9),9.02,R
343,343.,Jose Fernandez (4),9.02,R
344,345.,Clay Carroll (15),9.00,R
345,346.,Ewell Blackwell (10),8.96,R
346,346.,Brian Wilson (9),8.96,R
347,348.,Johnny Vander Meer (13),8.90,L
348,349.,Tim Burke (8),8.89,R
349,349.,Lindy McDaniel (21),8.89,R
350,351.,Brendan Donnelly (9),8.84,R
351,352.,Terry Forster (16),8.79,L
352,353.,Alejandro Pena (15),8.76,R
353,354.,"Aaron Nola (6, 27)",8.73,R
354,355.,Drew Storen (8),8.70,R
355,355.,Don Wilson (9),8.70,R
356,357.,Steve Gromek (17),8.69,R
357,358.,"Masahiro Tanaka (7, 31)",8.67,R
358,359.,Dave Dravecky (8),8.65,L
359,360.,Bob Turley (12),8.64,R
360,361.,Curt Davis (13),8.59,R
361,361.,Bob Wickman (15),8.59,R
362,363.,Roberto Hernandez (17),8.57,R
363,364.,"Steve Cishek (11, 34)",8.56,R
364,365.,Ben McDonald (9),8.55,R
365,366.,Damaso Marte (11),8.52,L
366,367.,Jeff Brantley (14),8.49,R
367,367.,Ismael Valdez (12),8.49,R
368,369.,"Dallas Keuchel (9, 32)",8.48,L
369,370.,Watty Clark (12),8.46,L
370,371.,"Josh Hader (4, 26)",8.41,L
371,372.,Bill Henry (16),8.38,L
372,373.,Justin Duchscherer (8),8.36,R
373,374.,Bobby Jenks (7),8.32,R
374,374.,Josh Johnson (9),8.32,R
375,376.,Larry Gura (16),8.28,L
376,377.,Pete Richert (13),8.25,L
377,378.,"Mike Clevinger (5, 29)",8.23,R
378,378.,Al Hrabosky (13),8.23,L
379,378.,"Jeremy Jeffress (11, 32)",8.23,R
380,378.,Bill Lee (14),8.23,L
381,382.,Jason Isringhausen (16),8.21,R
382,383.,Mickey Lolich (16),8.20,L
383,384.,Rick Aguilera (16),8.19,R
384,385.,Mark Eichhorn (11),8.18,R
385,386.,Pete Donohue (12),8.17,R
386,387.,Mike Remlinger (14),8.15,L
387,388.,Javier Lopez (14),8.12,L
388,388.,"Carlos Martinez (8, 28)",8.12,R
389,388.,Pat Neshek (13),8.12,R
390,391.,Jim O'Toole (10),8.11,L
391,392.,Ray Narleski (6),8.10,R
392,392.,Mel Rojas (10),8.10,R
393,394.,Mark Gubicza (14),8.08,R
394,395.,Lou Fette (5),7.97,R
395,395.,Dave Smith (13),7.97,R
396,397.,"Roberto Osuna (6, 25)",7.96,R
397,398.,Danny MacFayden (17),7.95,R
398,399.,Rich Harden (9),7.93,R
399,400.,Charlie Hough (25),7.88,R
400,400.,Jose Rijo (14),7.88,R
401,402.,Bobby Thigpen (9),7.87,R
402,403.,"Tyler Clippard (14, 35)",7.81,R
403,404.,Ted Wilks (10),7.79,R
404,405.,Jim Konstanty (11),7.70,R
405,406.,Ricardo Rincon (11),7.65,L
406,407.,Rip Collins (11),7.64,R
407,408.,Bob Howry (13),7.63,R
408,409.,"Brad Hand (10, 30)",7.59,L
409,410.,Frank Lary (12),7.55,R
410,411.,Jeff Pfeffer (13),7.53,R
411,412.,Steve Bedrosian (14),7.51,R
412,412.,Willis Hudlin (16),7.51,R
413,414.,Denny McLain (10),7.48,R
414,415.,Bud Black (15),7.46,L
415,415.,"Trevor Rosenthal (8, 30)",7.46,R
416,415.,Marius Russo (6),7.46,L
417,418.,Jim Brosnan (9),7.45,R
418,418.,Hisashi Iwakuma (6),7.45,R
419,418.,Bill Walker (10),7.45,L
420,421.,"Kelvin Herrera (10, 30)",7.42,R
421,421.,Curt Simmons (20),7.42,L
422,423.,Britt Burns (8),7.40,L
423,424.,Joe Beggs (9),7.35,R
424,425.,Doug Drabek (13),7.34,R
425,426.,Santiago Casilla (15),7.33,R
