,Rank,"Player (yrs, age)",Range Factor/Game as 3B,Throws
63,64.,Eddie Grant (10),3.101,R
64,65.,Ken Keltner (13),3.097,R
65,66.,Hank Majeski (13),3.091,R
66,67.,Red Rolfe (10),3.089,R
67,68.,Ossie Bluege (18),3.087,R
68,68.,Heinie Groh (16),3.087,R
69,70.,Willie Jones (15),3.085,R
70,71.,Buddy Bell (18),3.080,R
71,72.,Randy Jackson (10),3.072,R
72,73.,Bob Elliott (15),3.071,R
73,74.,Ron Santo+ (15),3.069,R
74,75.,Frank Malzone (12),3.060,R
75,76.,Darrell Evans (21),3.049,R
76,77.,Bill Melton (10),3.047,R
77,78.,Lee Handley (10),3.039,R
78,79.,Bobby Adams (14),3.035,R
79,80.,George Kell+ (15),3.031,R
80,81.,Ken McMullen (16),3.027,R
81,82.,Pinky Whitney (12),3.016,R
82,83.,Tony Boeckel (6),3.004,R
83,83.,Bob Kennedy (16),3.004,R
84,85.,Mike Schmidt+ (18),3.000,R
85,86.,Eddie Yost (18),2.996,R
86,87.,Jimmy Dykes (22),2.994,R
87,88.,Whitey Kurowski (9),2.989,R
88,89.,Doug Rader (11),2.984,R
89,90.,George Brett+ (21),2.982,R
90,91.,Graig Nettles (22),2.976,R
91,92.,Stan Hack (16),2.962,R
92,93.,Don Hoak (11),2.961,R
93,93.,Marv Owen (9),2.961,R
94,95.,Terry Pendleton (15),2.956,R
95,96.,Bob Dillinger (6),2.955,R
96,97.,Grady Hatton (12),2.953,R
97,98.,Hank Thompson (9),2.951,R
98,99.,"Nolan Arenado (8, 29)",2.950,R
99,99.,Joe Sewell+ (14),2.950,R
100,101.,Al Rosen (10),2.943,R
101,102.,Pete Ward (9),2.940,R
102,103.,Freddie Lindstrom+ (13),2.931,R
103,104.,Sammy Hale (10),2.925,R
104,104.,Lew Riggs (10),2.925,R
105,106.,Ken Boyer (15),2.924,R
106,107.,Eddie Mathews+ (17),2.921,R
107,108.,Bubba Phillips (10),2.919,R
108,109.,Eric Soderholm (9),2.910,R
109,110.,Charley Smith (10),2.901,R
110,111.,Joe Foy (6),2.899,R
111,111.,Harry Lord (9),2.899,R
112,113.,Doug DeCinces (15),2.898,R
113,114.,Chuck Dressen (8),2.896,R
114,115.,Hans Lobert (14),2.893,R
115,116.,Joe Dugan (14),2.892,R
116,117.,Milt Stock (14),2.891,R
117,118.,Pinky Higgins (14),2.888,R
118,119.,Don Money (16),2.886,R
119,120.,Billy Johnson (9),2.885,R
120,121.,Paul Molitor+ (21),2.884,R
121,122.,Andy Carey (11),2.879,R
122,122.,Ed Charles (8),2.879,R
123,124.,Joe Stripp (11),2.868,R
124,125.,Floyd Baker (13),2.865,R
125,126.,Aurelio Rodriguez (17),2.864,R
126,127.,Gene Robertson (9),2.849,R
127,128.,Wally Gilbert (5),2.843,R
128,129.,Gil McDougald (10),2.841,R
129,130.,Sal Bando (16),2.831,R
130,131.,Tony Perez+ (23),2.816,R
131,132.,Brandon Inge (13),2.807,R
132,133.,Rico Petrocelli (13),2.798,R
133,134.,Cookie Lavagetto (10),2.794,R
134,135.,Don Wert (9),2.781,R
135,136.,"Manny Machado (9, 27)",2.777,R
136,137.,Ron Cey (17),2.774,R
137,138.,Billy Cox (11),2.773,R
138,139.,Dick Allen (15),2.770,R
139,140.,Rich Rollins (10),2.769,R
140,141.,Tim Wallach (17),2.753,R
141,142.,Scott Rolen (17),2.748,R
142,143.,Steve Ontiveros (8),2.747,R
143,144.,Roy Howell (11),2.739,R
144,145.,Max Alvis (9),2.734,R
145,146.,Gary Gaetti (20),2.730,R
146,147.,"Kyle Seager (10, 32)",2.727,R
147,148.,Lenny Randle (12),2.710,R
148,149.,Pedro Alvarez (9),2.700,R
149,150.,Johnny Vergez (6),2.690,R
150,151.,Les Bell (9),2.688,R
151,152.,Eric Chavez (17),2.687,R
152,153.,"Josh Donaldson (10, 34)",2.686,R
153,154.,Kelly Gruber (10),2.683,R
154,155.,Matt Williams (17),2.679,R
155,156.,"Ryan Zimmerman (15, 35)",2.678,R
156,157.,Adrian Beltre (21),2.673,R
157,158.,Larry Parrish (15),2.672,R
158,159.,Butch Hobson (8),2.671,R
159,160.,Vinny Castilla (16),2.667,R
160,161.,Melvin Mora (13),2.664,R
161,162.,Robin Ventura (16),2.662,R
162,163.,Bob Aspromonte (13),2.655,R
163,164.,Ken Reitz (11),2.629,R
164,165.,Paul Schaal (11),2.625,R
165,166.,Joe Crede (10),2.621,R
166,167.,Wade Boggs+ (18),2.617,R
167,168.,Ken Caminiti (15),2.612,R
168,169.,Bill Stein (14),2.609,R
169,170.,Wayne Garrett (10),2.605,R
170,171.,Jeff King (11),2.604,R
171,172.,Mike Lowell (13),2.597,R
172,173.,Aaron Boone (12),2.595,R
173,174.,Tony Batista (11),2.574,R
174,175.,Andy High (13),2.572,R
175,176.,Sparky Adams (13),2.571,R
176,176.,Jim Presley (8),2.571,R
177,178.,Hubie Brooks (15),2.568,R
178,179.,David Wright (14),2.566,R
179,180.,Joe Randa (12),2.565,R
180,181.,Scott Brosius (11),2.564,R
181,181.,Jim Ray Hart (12),2.564,R
182,183.,Corey Koskie (9),2.563,R
183,184.,Bob Bailey (17),2.559,R
184,185.,Enos Cabell (15),2.557,R
185,186.,Bobby Bonilla (16),2.548,R
186,187.,Phil Garner (16),2.545,R
187,188.,Troy Glaus (13),2.542,R
188,189.,"Evan Longoria (13, 34)",2.539,R
189,190.,Charlie Hayes (14),2.532,R
190,191.,Placido Polanco (16),2.525,R
191,192.,Richie Hebner (18),2.524,R
192,193.,"Mike Moustakas (10, 31)",2.523,R
193,194.,Harmon Killebrew+ (22),2.522,R
194,195.,Trevor Plouffe (9),2.519,R
195,196.,Cal Ripken Jr.+ (21),2.516,R
196,197.,Casey Blake (13),2.514,R
197,198.,Ken Oberkfell (16),2.508,R
198,199.,Steve Buechele (11),2.503,R
199,199.,Travis Fryman (13),2.503,R
200,201.,Bob Horner (10),2.491,R
201,202.,Kevin Seitzer (12),2.489,R
202,203.,Edgardo Alfonzo (12),2.488,R
203,204.,Jeff Cirillo (14),2.486,R
204,205.,David Bell (12),2.480,R
205,206.,Toby Harrah (17),2.478,R
206,207.,Chase Headley (12),2.476,R
207,208.,Gene Freese (12),2.471,R
208,209.,Todd Zeile (16),2.469,R
209,210.,Luis Salazar (13),2.453,R
210,211.,Ray Jablonski (8),2.449,R
211,212.,Hank Blalock (9),2.448,R
212,213.,Shane Andrews (7),2.446,R
213,214.,Pete Rose (24),2.440,R
214,215.,Brook Jacoby (11),2.431,R
215,215.,Carney Lansford (15),2.431,R
216,217.,Joe Torre+ (18),2.429,R
217,218.,Bill Madlock (15),2.427,R
218,219.,Juan Uribe (16),2.424,R
219,220.,Jack Howell (11),2.423,R
220,221.,Danny Valencia (9),2.416,R
221,222.,Edgar Martinez+ (18),2.415,R
222,223.,"Todd Frazier (10, 34)",2.408,R
223,224.,Tom Brookens (12),2.405,R
224,224.,"Edwin Encarnacion (16, 37)",2.405,R
225,224.,Bill Mueller (11),2.405,R
226,227.,Morgan Ensberg (8),2.398,R
227,228.,Kevin Kouzmanoff (7),2.397,R
228,229.,Pedro Feliz (11),2.396,R
229,230.,Wayne Gross (11),2.385,R
230,230.,Mike Pagliarulo (11),2.385,R
231,232.,Jim Morrison (12),2.381,R
232,233.,Ed Sprague (11),2.374,R
233,234.,Jim Davenport (13),2.371,R
234,235.,Alberto Callaspo (10),2.370,R
235,235.,Leo Gomez (7),2.370,R
236,237.,Chone Figgins (12),2.369,R
237,238.,Alex Rodriguez (22),2.367,R
238,238.,Chris Sabo (9),2.367,R
239,240.,Garrett Atkins (8),2.365,R
240,241.,Jim Gilliam (14),2.363,R
241,242.,Fernando Tatis (11),2.357,R
242,243.,"Eugenio Suarez (7, 28)",2.352,R
243,244.,"Jake Lamb (7, 29)",2.339,R
244,245.,"Anthony Rendon (8, 30)",2.337,R
245,246.,Chipper Jones+ (19),2.312,R
246,247.,Dave Hollins (12),2.309,R
247,248.,Ray Knight (13),2.299,R
248,249.,Aramis Ramirez (18),2.284,R
249,250.,"Miguel Cabrera (18, 37)",2.283,R
250,250.,"Pablo Sandoval (13, 33)",2.283,R
251,252.,Dean Palmer (14),2.281,R
252,253.,"Maikel Franco (7, 27)",2.279,R
253,254.,Ty Wigginton (12),2.272,R
254,255.,"Kris Bryant (6, 28)",2.265,R
255,256.,Sean Berry (11),2.256,R
256,257.,Martin Prado (14),2.248,R
257,258.,Jerry Royster (16),2.232,R
258,259.,"Jose Ramirez (8, 27)",2.226,R
259,260.,Vance Law (11),2.224,R
260,261.,Geoff Blum (14),2.204,R
261,262.,David Freese (11),2.198,R
262,263.,"Nicholas Castellanos (8, 28)",2.195,R
263,264.,Luis Valbuena (11),2.193,R
264,265.,"Justin Turner (12, 35)",2.186,R
265,266.,"Matt Carpenter (10, 34)",2.173,R
266,267.,Mark Reynolds (13),2.164,R
267,268.,Casey McGehee (8),2.114,R
268,269.,Mike Blowers (11),2.096,R
269,270.,Russ Davis (8),2.095,R
270,271.,Howard Johnson (14),2.073,R
271,272.,"Eduardo Escobar (10, 31)",2.064,R
272,273.,Chris Johnson (8),2.035,R
273,274.,Dave Magadan (16),1.944,R
274,275.,Rance Mulliniks (16),1.923,R
275,276.,Wes Helms (13),1.781,R
276,277.,Garth Iorg (9),1.766,R
