,Rank,"Player (yrs, age)",Win Probability Added (WPA),Bats
655,656.,Juan Samuel (16),7.21,R
656,657.,Jo-Jo Moore (12),7.19,L
657,657.,Hi Myers (14),7.19,R
658,659.,Garry Maddox (15),7.18,R
659,660.,Al Bumbry (14),7.17,L
660,661.,Mel Hall (13),7.12,L
661,662.,"Jose Altuve (10, 30)",7.09,R
662,663.,Jesse Barfield (12),7.05,R
663,664.,Jerry Mumphrey (15),7.00,B
664,665.,"Chris Davis (13, 34)",6.99,L
665,665.,Tom Haller (12),6.99,L
666,667.,"Michael Conforto (6, 27)",6.97,L
667,668.,Dale Alexander (5),6.96,R
668,669.,Randy Winn (13),6.95,B
669,670.,Billy Johnson (9),6.93,R
670,671.,Chuck Hinton (11),6.91,R
671,672.,Brady Anderson (15),6.85,L
672,672.,Steve Henderson (12),6.85,R
673,672.,Todd Zeile (16),6.85,R
674,675.,Ellis Valentine (10),6.84,R
675,676.,Dan Uggla (10),6.81,R
676,677.,Davey Johnson (13),6.80,R
677,678.,Wally Moses (17),6.79,L
678,679.,Curt Walker (12),6.78,L
679,680.,Les Fleming (7),6.76,L
680,680.,John Milner (12),6.76,L
681,682.,Pete Runnels (14),6.70,L
682,683.,Danny Taylor (9),6.69,R
683,684.,Martin Prado (14),6.67,R
684,685.,Wally Judnich (7),6.65,L
685,685.,Mike Morse (13),6.65,R
686,687.,George Crowe (9),6.63,L
687,687.,Al Smith (12),6.63,R
688,689.,Jake Daubert (15),6.62,L
689,689.,Claudell Washington (17),6.62,L
690,691.,Marquis Grissom (17),6.60,R
691,691.,Greg Walker (9),6.60,L
692,693.,Harvey Hendrick (11),6.58,L
693,694.,Lyle Overbay (14),6.55,L
694,695.,Fred Whitfield (9),6.54,L
695,696.,Jim Dwyer (18),6.53,L
696,697.,Jackie Brandt (11),6.51,R
697,698.,Willie Jones (15),6.50,R
698,699.,Ed Konetchy (15),6.49,R
699,700.,"Matt Olson (5, 26)",6.48,L
700,701.,Cody Ross (12),6.46,R
701,701.,Shane Victorino (12),6.46,R
702,703.,Carl Crawford (15),6.45,L
703,704.,Joe Vosmik (13),6.41,R
704,705.,"Pablo Sandoval (13, 33)",6.39,B
705,706.,Corey Hart (11),6.36,R
706,707.,Rance Mulliniks (16),6.34,L
707,708.,Frank Demaree (12),6.33,R
708,708.,Kendrys Morales (13),6.33,B
709,710.,Jimmie Hall (8),6.32,L
710,710.,"Trea Turner (6, 27)",6.32,R
711,712.,"Ronald Acuna Jr. (3, 22)",6.30,R
712,712.,Denard Span (11),6.30,L
713,714.,Stan Lopata (13),6.27,R
714,715.,Grady Sizemore (10),6.25,L
715,716.,"Nicholas Castellanos (8, 28)",6.24,R
716,717.,Possum Whitted (11),6.23,R
717,718.,Babe Phelps (11),6.19,L
718,719.,Jim Russell (10),6.16,B
719,720.,Alex Johnson (13),6.14,R
720,721.,Dale Mitchell (11),6.10,L
721,722.,"Carlos Correa (6, 25)",6.09,R
722,723.,Heinie Groh (16),6.06,R
723,724.,Jay Johnstone (20),6.04,L
724,725.,Joe Foy (6),6.02,R
725,726.,Harry Rice (10),6.00,L
726,727.,"Tommy Pham (7, 32)",5.97,R
727,728.,Happy Felsch (6),5.94,R
728,729.,Gary Geiger (12),5.93,L
729,730.,Chris Hoiles (10),5.88,R
730,731.,"Francisco Lindor (6, 26)",5.85,B
731,731.,Danny Litwhiler (11),5.85,R
732,731.,Max West (7),5.85,L
733,734.,Mike Napoli (12),5.84,R
734,735.,Bobby Avila (11),5.83,R
735,735.,Mark Loretta (15),5.83,R
736,737.,Willie Aikens (8),5.76,L
737,737.,Bobby Estalella (9),5.76,R
738,737.,John Wockenfuss (12),5.76,R
739,740.,Cecil Fielder (13),5.74,R
740,741.,Tim McCarver (21),5.72,L
741,741.,Bill North (11),5.72,B
742,743.,Lee Lacy (16),5.71,R
743,744.,Angel Pagan (11),5.69,B
744,745.,John Vander Wal (14),5.67,L
745,746.,Braggo Roth (8),5.66,R
746,747.,Jack Cust (10),5.62,L
747,747.,Lloyd Moseby (12),5.62,L
748,749.,Carlos Baerga (14),5.61,B
749,749.,Kevin Bass (14),5.61,B
750,751.,Larry Doyle (14),5.60,L
751,752.,Kevin Millar (12),5.59,R
752,753.,Corey Koskie (9),5.58,L
753,753.,Robby Thompson (11),5.58,R
754,755.,Buddy Bell (18),5.55,R
755,756.,Mike Andrews (8),5.51,R
756,757.,Bert Campaneris (19),5.49,R
757,757.,Sam Jethroe (4),5.49,B
758,759.,Bob Cerv (12),5.43,R
759,759.,Gary Ward (12),5.43,R
760,761.,Rafael Furcal (14),5.40,B
761,761.,Lou Piniella (18),5.40,R
762,761.,Otto Velez (11),5.40,R
763,761.,Wally Westlake (10),5.40,R
764,765.,Eric Karros (14),5.38,R
765,765.,Paul Schaal (11),5.38,R
766,767.,"Mitch Moreland (11, 34)",5.32,L
767,768.,Grady Hatton (12),5.29,L
768,769.,Jim Lefebvre (8),5.28,B
769,770.,Elston Howard (14),5.27,R
770,771.,Ron Blomberg (8),5.26,L
771,771.,"Matthew Joyce (13, 35)",5.26,L
772,773.,Keith Moreland (12),5.23,R
773,774.,Leroy Stanton (9),5.22,R
774,775.,Rico Petrocelli (13),5.20,R
775,776.,Gene Hermanski (9),5.19,L
776,777.,"Matt Chapman (4, 27)",5.18,R
777,778.,Johnny Lindell (12),5.16,R
778,779.,Michael Cuddyer (15),5.15,R
779,779.,"Max Muncy (5, 29)",5.15,L
780,781.,"Lorenzo Cain (11, 34)",5.06,R
781,782.,Henry Rodriguez (11),5.05,L
782,783.,Jung Ho Kang (4),5.04,R
783,783.,Hal Morris (13),5.04,L
784,783.,Warren Newson (8),5.04,L
785,786.,Ralph Garr (13),5.03,L
786,786.,Dion James (11),5.03,L
787,786.,Tillie Walker (13),5.03,R
788,789.,George Bell (12),5.02,R
789,789.,Shannon Stewart (14),5.02,R
790,791.,Trot Nixon (12),5.01,L
791,792.,"Brandon Nimmo (5, 27)",4.98,L
792,793.,Ed Bouchee (7),4.94,L
793,793.,Dave Hollins (12),4.94,B
794,795.,"Daniel Descalso (10, 33)",4.92,L
795,796.,Jim Landis (11),4.90,R
796,796.,Del Pratt (13),4.90,R
797,798.,Dale Long (10),4.88,L
798,799.,Gorman Thomas (13),4.87,R
799,799.,Dick Wakefield (9),4.87,L
800,801.,"Trevor Story (5, 27)",4.86,R
801,802.,Heinie Zimmerman (13),4.85,R
802,803.,"Jake Lamb (7, 29)",4.84,L
803,804.,Jonny Gomes (13),4.79,R
804,805.,Solly Hemus (11),4.78,L
805,805.,Duke Sims (11),4.78,L
806,807.,Melvin Mora (13),4.77,R
807,808.,Tony Cuccinello (15),4.75,R
808,809.,Dick Groat (14),4.72,R
809,810.,Gordy Coleman (9),4.71,L
810,810.,Miguel Montero (13),4.71,L
811,810.,Ron Swoboda (9),4.71,R
812,813.,Jeff King (11),4.70,R
813,813.,Phil Weintraub (7),4.70,L
814,815.,Ian Kinsler (14),4.67,R
815,815.,Les Mann (16),4.67,R
816,815.,David Segui (15),4.67,B
817,818.,Joe Grace (6),4.65,L
818,819.,Rudy Law (7),4.62,L
819,819.,Tony Solaita (7),4.62,L
820,821.,Whitey Lockman (15),4.61,L
821,822.,George Watkins (7),4.60,L
822,823.,Kelly Johnson (11),4.59,L
823,824.,Ray Sanders (7),4.56,L
824,825.,Walton Cruise (10),4.54,L
825,825.,Larry Rosenthal (8),4.54,L
826,825.,Pinky Whitney (12),4.54,R
827,828.,Allen Craig (6),4.53,R
828,829.,Scott Hatteberg (14),4.52,L
829,830.,Darin Erstad (14),4.51,L
830,830.,Debs Garms (12),4.51,L
831,830.,Steve Pearce (13),4.51,R
832,833.,"Jose Martinez (5, 31)",4.49,R
833,834.,Carson Bigbee (11),4.46,L
834,835.,Nick Esasky (8),4.45,R
835,836.,Jimmy Dykes (22),4.44,R
836,836.,Bill Melton (10),4.44,R
837,836.,Rondell White (15),4.44,R
838,839.,Greg Gross (17),4.42,L
839,840.,Goody Rosen (6),4.41,L
840,841.,"Yonder Alonso (10, 33)",4.40,L
841,842.,Darryl Hamilton (13),4.38,L
842,843.,Tony Taylor (19),4.36,R
843,844.,Jim King (11),4.35,L
844,845.,Randy Ready (13),4.34,R
845,846.,Ryan Ludwick (12),4.33,R
846,846.,Brian Roberts (14),4.33,B
847,848.,Shane Mack (9),4.32,R
848,849.,Melky Cabrera (15),4.31,B
849,849.,Rich Reese (10),4.31,L
850,851.,Walt Bond (6),4.29,L
851,852.,"Eric Thames (6, 33)",4.27,L
852,853.,"Josh Bell (5, 27)",4.26,B
853,853.,Ken Harrelson (9),4.26,R
854,855.,"Todd Frazier (10, 34)",4.25,R
855,855.,Travis Jackson+ (15),4.25,R
856,857.,Frank Catalanotto (14),4.24,L
857,857.,"Jason Kipnis (10, 33)",4.24,L
858,857.,Jimmy Ripple (7),4.24,L
859,857.,Seth Smith (11),4.24,L
860,861.,Jacque Jones (10),4.22,L
861,862.,Chet Lemon (16),4.21,R
862,863.,Evan Gattis (6),4.20,R
863,863.,"Ramon Laureano (3, 25)",4.20,R
864,865.,Lenny Green (12),4.19,L
865,866.,Topper Rigney (6),4.18,R
866,867.,Johnny Blanchard (8),4.17,L
867,867.,Bobby Brown (8),4.17,L
868,867.,"DJ LeMahieu (10, 31)",4.17,R
869,870.,Harry Simpson (8),4.16,L
870,871.,Dave Bancroft+ (16),4.15,B
871,871.,Bernie Neis (8),4.15,B
872,873.,Charlie Jamieson (18),4.14,L
873,874.,Andy High (13),4.12,L
874,874.,Ricky Jordan (8),4.12,R
875,876.,Mike Cameron (17),4.11,R
876,876.,Jack Tobin (13),4.11,L
877,878.,Ruben Sierra (20),4.10,B
878,879.,Ray Chapman (9),4.09,R
879,879.,Bo Jackson (8),4.09,R
880,881.,Ping Bodie (9),4.08,R
881,882.,Derek Bell (11),4.07,R
882,883.,Smead Jolley (4),4.06,L
883,883.,Hersh Martin (6),4.06,B
884,885.,Home Run Baker+ (13),4.04,L
885,885.,Jay Bell (18),4.04,R
886,885.,Gerald Perry (13),4.04,L
887,885.,"Chris Taylor (7, 29)",4.04,R
888,889.,"Adam Frazier (5, 28)",4.03,L
889,890.,Jeff Conine (17),4.02,R
890,890.,"Yadier Molina (17, 37)",4.02,R
891,892.,Wally Backman (14),4.01,B
892,893.,Lucas Duda (10),4.00,L
893,893.,Johnny Temple (13),4.00,R
894,895.,Johnny Rizzo (5),3.99,R
895,896.,"Rhys Hoskins (4, 27)",3.95,R
896,897.,"Robbie Grossman (8, 30)",3.94,B
897,897.,John Sullivan (2),3.94,R
898,899.,Ken Landreaux (11),3.93,L
899,900.,Terry Moore (11),3.92,R
900,900.,Butch Nieman (3),3.92,L
901,902.,"Chris Iannetta (14, 37)",3.89,R
902,902.,Tim Wallach (17),3.89,R
903,904.,Justin Bour (6),3.88,L
904,904.,Larry Gardner (17),3.88,L
905,904.,Sherm Lollar (18),3.88,R
906,904.,"Miguel Sano (6, 27)",3.88,R
907,908.,Frank Fernandez (6),3.87,R
908,909.,Cal Abrams (8),3.85,L
909,910.,Dave Nilsson (8),3.83,L
910,911.,Joe Collins (10),3.82,L
911,911.,Howie Kendrick (15),3.82,R
912,913.,Torii Hunter (19),3.80,R
913,913.,"Whit Merrifield (5, 31)",3.80,R
914,915.,Bob Fothergill (12),3.79,R
915,916.,Yasiel Puig (7),3.78,R
916,916.,Fred Valentine (7),3.78,B
917,918.,Eddie Waitkus (11),3.77,L
918,919.,Mike Aldrete (10),3.76,L
919,920.,Pete O'Brien (12),3.74,L
920,921.,Roberto Kelly (14),3.71,R
921,921.,Irv Noren (11),3.71,L
922,921.,Dick Sisler (8),3.71,L
923,924.,Cookie Lavagetto (10),3.70,R
924,924.,Jim Pagliaroni (11),3.70,R
925,924.,Earl Smith (12),3.70,L
926,927.,"Gregory Polanco (7, 28)",3.68,L
927,927.,George Shuba (7),3.68,L
928,929.,Bill Mueller (11),3.66,B
929,929.,Denny Walling (18),3.66,L
930,931.,Al Martin (11),3.65,L
931,931.,Bud Stewart (9),3.65,L
932,933.,"Asdrubal Cabrera (14, 34)",3.61,B
933,933.,"Mark Canha (6, 31)",3.61,R
934,935.,Sandy Amoros (7),3.58,L
935,935.,Garrett Jones (8),3.58,L
936,937.,"Ian Desmond (11, 34)",3.57,R
937,937.,Bill Spiers (13),3.57,L
938,939.,Bill Bruton (12),3.56,L
939,940.,Ben Broussard (7),3.55,L
940,941.,Art Fletcher (13),3.51,R
941,941.,Aaron Robinson (8),3.51,L
942,941.,"Fernando Tatis Jr. (2, 21)",3.51,R
943,944.,"Corey Dickerson (8, 31)",3.50,L
944,945.,Curt Motton (8),3.48,R
945,945.,"Gleyber Torres (3, 23)",3.48,R
946,947.,Willie Kirkland (9),3.47,L
947,947.,Gary Roenicke (12),3.47,R
948,949.,Tommie Agee (12),3.46,R
949,949.,Jerry Lumpe (12),3.46,L
950,949.,"Jorge Polanco (7, 26)",3.46,B
951,949.,John Stearns (11),3.46,R
952,949.,John Valentin (11),3.46,R
953,954.,Ray Jablonski (8),3.45,R
954,955.,Wayne Garrett (10),3.43,L
955,955.,Aaron Rowand (11),3.43,R
956,955.,Quilvio Veras (7),3.43,B
957,958.,Mike Hegan (12),3.42,L
958,959.,Harry Anderson (5),3.41,L
959,959.,Milt Byrnes (3),3.41,L
960,959.,Harry Danning (10),3.41,R
961,959.,Sherry Magee (16),3.41,R
962,963.,George Altman (9),3.39,L
963,963.,"Brian Anderson (4, 27)",3.39,R
