,Rank,"Player (yrs, age)",Strikeouts / Base On Balls,Throws
40,41.,"Cole Hamels (15, 36)",3.3377,L
41,42.,"Patrick Corbin (8, 30)",3.3287,L
42,43.,Javier Vazquez (14),3.3237,R
43,44.,Phil Hughes (12),3.3227,R
44,45.,Brad Radke (12),3.2966,R
45,46.,Ricky Nolasco (12),3.2891,R
46,47.,Sam Weaver (6),3.2830,R
47,48.,Terry Larkin (6),3.2742,R
48,49.,Randy Johnson+ (22),3.2565,L
49,50.,Dennis Eckersley+ (24),3.2534,R
50,51.,Juan Marichal+ (16),3.2482,R
51,52.,"Chris Archer (8, 31)",3.2119,R
52,53.,Fergie Jenkins+ (19),3.2016,R
53,54.,"Rick Porcello (12, 31)",3.1922,R
54,55.,Jim Devlin (5),3.1778,R
55,56.,Dick Hall (19),3.1398,R
56,57.,"Felix Hernandez (15, 34)",3.1354,R
57,58.,"Wei-Yin Chen (8, 34)",3.1333,L
58,59.,"Mike Minor (9, 32)",3.1284,L
59,60.,Jake Peavy (15),3.1172,R
60,61.,"Jose Quintana (9, 31)",3.1043,L
61,62.,"Adam Wainwright (15, 38)",3.0964,R
62,63.,Greg Swindell (17),3.0778,L
63,64.,David Wells (21),3.0612,L
64,65.,"Mike Leake (10, 32)",3.0546,R
65,66.,John Smoltz+ (21),3.0535,R
66,67.,Josh Beckett (14),3.0223,R
67,68.,James Shields (13),2.9946,R
68,69.,Roger Clemens (24),2.9570,R
69,70.,Christy Mathewson+ (17),2.9564,R
70,71.,"Jeff Samardzija (13, 35)",2.9511,R
71,72.,"Mike Fiers (10, 35)",2.9464,R
72,73.,Jered Weaver (12),2.9419,R
73,74.,Charlie Sweeney (6),2.9360,R
74,75.,Rick Aguilera (16),2.9345,R
75,76.,Sandy Koufax+ (12),2.9327,L
76,77.,Doug Fister (10),2.9217,R
77,78.,Jack Lynch (7),2.9119,R
78,79.,Don Drysdale+ (14),2.9076,R
79,80.,"Johnny Cueto (13, 34)",2.8993,R
80,81.,Jim Merritt (11),2.8944,L
81,82.,Rube Waddell+ (13),2.8842,L
82,83.,Bobby Mathews (15),2.8722,R
83,84.,Mat Latos (9),2.8640,R
84,85.,"Jon Lester (15, 36)",2.8638,L
85,86.,Jim Bunning+ (17),2.8550,R
86,87.,John Candelaria (19),2.8260,L
87,88.,"Trevor Bauer (9, 29)",2.8172,R
88,89.,John Lackey (15),2.8147,R
89,90.,CC Sabathia (19),2.8144,L
90,91.,Ed Walsh+ (14),2.8136,R
91,92.,Brandon McCarthy (13),2.8111,R
92,93.,Ron Guidry (14),2.8088,L
93,94.,Bert Blyleven+ (22),2.7995,R
94,95.,Bruce Sutter+ (12),2.7864,R
95,96.,Bob Tewksbury (13),2.7808,R
96,97.,"Jake Odorizzi (9, 30)",2.7793,R
97,98.,Marco Estrada (12),2.7696,R
98,99.,"Tanner Roark (8, 33)",2.7626,R
99,100.,Joe Blanton (13),2.7495,R
100,101.,"Ian Kennedy (14, 35)",2.7421,R
101,102.,Chris Carpenter (15),2.7065,R
102,103.,"Dallas Keuchel (9, 32)",2.7018,L
103,104.,Kevin Tapani (13),2.6751,R
104,105.,"Lance Lynn (9, 33)",2.6749,R
105,106.,"Bartolo Colon (21, 47)",2.6741,R
106,107.,Shaun Marcum (9),2.6624,R
107,108.,Don Sutton+ (23),2.6612,R
108,109.,Kevin Brown (19),2.6604,R
109,110.,"Sonny Gray (8, 30)",2.6452,R
110,111.,"Anibal Sanchez (15, 36)",2.6432,R
111,112.,Rollie Fingers+ (17),2.6402,R
112,113.,Harvey Haddix (14),2.6206,L
113,114.,Tom Seaver+ (20),2.6187,R
114,115.,"Ivan Nova (11, 33)",2.6168,R
115,116.,Robin Roberts+ (19),2.6131,R
116,117.,Tim Lincecum (10),2.5949,R
117,118.,Dave Bush (9),2.5946,R
118,119.,Chris Capuano (12),2.5896,L
119,119.,Dan Plesac (18),2.5896,L
120,121.,John Smiley (12),2.5887,L
121,122.,Aaron Harang (14),2.5871,R
122,123.,"Brett Anderson (12, 32)",2.5870,L
123,124.,Scott Sanderson (19),2.5776,R
124,125.,Mickey Lolich (16),2.5769,L
125,126.,Walter Johnson+ (21),2.5745,R
126,127.,Lee Smith+ (18),2.5741,R
127,128.,Dizzy Dean+ (12),2.5673,R
128,129.,Carl Pavano (14),2.5671,R
129,130.,Gaylord Perry+ (22),2.5627,R
130,131.,"Jake Arrieta (11, 34)",2.5617,R
131,132.,Deacon Phillippe (13),2.5592,R
132,133.,Ervin Santana (15),2.5544,R
133,134.,Colby Lewis (11),2.5491,R
134,135.,Mark Buehrle (16),2.5477,L
135,136.,Ted Lilly (15),2.5431,L
136,137.,"Julio Teheran (10, 29)",2.5401,R
137,138.,Alejandro Pena (15),2.5347,R
138,139.,Fred Goldsmith (7),2.5322,R
139,140.,Addie Joss+ (9),2.5275,R
140,141.,Ken Johnson (13),2.5230,R
141,142.,John Burkett (15),2.5229,R
142,143.,Jason Hammel (13),2.5185,R
143,144.,Gary Nolan (10),2.5157,R
144,145.,Turk Farrell (14),2.5150,R
145,146.,Charlie Ferguson (4),2.5103,R
146,147.,Jaime Garcia (10),2.5068,L
147,148.,"Homer Bailey (14, 34)",2.4989,R
148,149.,Lady Baldwin (6),2.4979,L
149,150.,Jose Lima (13),2.4936,R
150,151.,Jon Niese (9),2.4905,L
151,152.,Eric Milton (11),2.4879,L
152,153.,"J.A. Happ (14, 37)",2.4823,L
153,154.,Brett Myers (12),2.4802,R
154,155.,Kevin Millwood (16),2.4709,R
155,156.,"Charlie Morton (13, 36)",2.4633,R
156,157.,Jeff Reardon (16),2.4497,R
157,158.,Brandon Webb (7),2.4483,R
158,159.,Ed Morris (7),2.4438,L
159,160.,LaMarr Hoyt (8),2.4409,R
160,161.,Teddy Higuera (9),2.4402,L
161,162.,Sid Fernandez (15),2.4378,L
162,163.,Dazzy Vance+ (16),2.4345,R
163,164.,Bill Monbouquette (11),2.4286,R
164,165.,Pud Galvin+ (15),2.4255,R
165,166.,Roy Face (16),2.4227,R
166,167.,Jose Rijo (14),2.4223,R
167,168.,Joaquin Benoit (16),2.4211,R
168,169.,Don Mossi (12),2.4208,L
169,170.,Jeremy Hellickson (10),2.4130,R
170,171.,Babe Adams (19),2.4093,R
171,172.,Noodles Hahn (8),2.4068,L
172,173.,Dwight Gooden (16),2.4036,R
173,174.,Chief Bender+ (16),2.4031,R
174,175.,Dupee Shaw (6),2.3990,L
175,176.,Wandy Rodriguez (11),2.3989,L
176,177.,"Danny Duffy (10, 31)",2.3976,L
177,178.,Rheal Cormier (16),2.3975,L
178,179.,Pascual Perez (11),2.3895,R
179,180.,Matt Morris (11),2.3851,R
180,181.,Fritz Peterson (11),2.3826,L
181,182.,Denny Neagle (13),2.3822,L
182,183.,Bryn Smith (13),2.3796,R
183,184.,Matt Cain (13),2.3792,R
184,185.,Bud Norris (10),2.3773,R
185,186.,Bronson Arroyo (16),2.3767,R
186,187.,Jon Matlack (13),2.3762,L
187,188.,Kerry Wood (14),2.3754,R
188,189.,Matt Garza (12),2.3752,R
189,190.,Andy Pettitte (18),2.3744,L
190,191.,Gavin Floyd (13),2.3735,R
191,192.,Odalis Perez (10),2.3711,L
192,193.,Glendon Rusch (12),2.3652,L
193,194.,Scott Kazmir (12),2.3612,L
194,195.,Cory Lidle (9),2.3539,R
195,196.,Jeff Weaver (11),2.3527,R
196,197.,Smoky Joe Wood (14),2.3492,R
197,198.,David Cone (17),2.3465,R
198,199.,Mike Scott (13),2.3429,R
199,200.,Ron Reed (19),2.3397,R
200,201.,Dan Quisenberry (12),2.3395,R
201,202.,Denny McLain (10),2.3394,R
202,203.,Erik Bedard (11),2.3377,L
203,204.,Bob Gibson+ (17),2.3331,R
204,205.,Erik Hanson (11),2.3313,R
205,206.,Carlos Silva (9),2.3277,R
206,207.,Kyle Lohse (16),2.3271,R
207,208.,Orlando Pena (14),2.3239,R
208,209.,"Derek Holland (12, 33)",2.3197,L
209,210.,Carl Hubbell+ (16),2.3131,L
210,211.,Mike Timlin (18),2.3130,R
211,212.,Pete Alexander+ (20),2.3113,R
212,213.,Don Newcombe (10),2.3041,R
213,214.,Cy Young+ (22),2.3032,R
214,215.,Jimmy Key (15),2.3024,L
215,216.,Paul Byrd (14),2.3017,R
216,217.,Doug Bird (11),2.2973,R
217,218.,Hugh Daily (6),2.2927,R
218,218.,Bill Hands (11),2.2927,R
219,220.,Pedro Astacio (15),2.2920,R
220,220.,Candy Cummings+ (6),2.2920,R
221,222.,Freddy Garcia (15),2.2895,R
222,223.,Esteban Loaiza (14),2.2881,R
223,224.,A.J. Burnett (17),2.2845,R
224,225.,Bruce Hurst (15),2.2824,L
225,226.,"Gio Gonzalez (13, 34)",2.2822,L
226,227.,Jim McCormick (10),2.2750,R
227,228.,Jim Kaat (25),2.2724,L
228,229.,Jeff Fassero (16),2.2693,L
229,230.,Tim Hudson (17),2.2683,R
230,231.,Alex Fernandez (10),2.2681,R
231,232.,Orlando Hernandez (9),2.2672,R
232,233.,Doug Drabek (13),2.2642,R
233,234.,Jeff Francis (11),2.2630,L
234,235.,"Wade Miley (10, 33)",2.2585,L
235,236.,Willie Hernandez (13),2.2579,L
236,236.,Jason Vargas (14),2.2579,L
237,238.,Toad Ramsey (6),2.2578,L
238,239.,Steve Carlton+ (24),2.2564,L
239,240.,Guy Hecker (9),2.2561,R
240,241.,Jim Brewer (17),2.2500,L
241,242.,John Danks (10),2.2444,L
242,243.,Ismael Valdez (12),2.2428,R
243,244.,Ralph Terry (12),2.2422,R
244,245.,Clay Buchholz (13),2.2358,R
245,246.,Craig Lefferts (12),2.2329,L
246,247.,Arthur Rhodes (20),2.2326,L
247,248.,Yovani Gallardo (12),2.2310,R
248,249.,Jeremy Bonderman (9),2.2297,R
249,250.,R.A. Dickey (15),2.2278,R
250,251.,"Francisco Liriano (14, 36)",2.2243,L
251,252.,Larry Corcoran (8),2.2238,R
252,253.,Danny Darwin (21),2.2220,R
253,254.,Tom Bradley (7),2.2219,R
254,255.,Jason Schmidt (14),2.2197,R
255,256.,Frank Tanana (21),2.2096,L
256,257.,Mario Soto (12),2.2055,R
257,258.,Chris Bosio (11),2.2017,R
258,259.,Andy Benes (14),2.2002,R
259,260.,Luis Tiant (19),2.1884,R
260,261.,George Stone (9),2.1852,L
261,262.,Sonny Siebert (12),2.1850,R
262,263.,Lindy McDaniel (21),2.1846,R
263,264.,Randy Wolf (16),2.1829,L
264,265.,Pete Richert (13),2.1816,L
265,266.,Frank Castillo (13),2.1759,R
266,267.,Denny Lemaster (11),2.1750,L
267,268.,Joel Pineiro (12),2.1725,R
268,269.,Andy Ashby (14),2.1722,R
269,270.,Oil Can Boyd (10),2.1712,R
270,271.,Derek Lowe (17),2.1688,R
271,272.,Michael Jackson (17),2.1681,R
272,273.,John Thomson (10),2.1680,R
273,274.,Jack McDowell (12),2.1634,R
274,275.,Paul Quantrill (14),2.1577,R
275,276.,Bob Bruce (9),2.1559,R
276,277.,LaTroy Hawkins (21),2.1557,R
277,278.,Rick Reuschel (19),2.1551,R
278,279.,Bobby Jones (10),2.1529,R
279,280.,Brian Anderson (13),2.1454,L
280,281.,Kelvim Escobar (12),2.1440,R
281,282.,Atlee Hammaker (12),2.1429,L
282,283.,"Kyle Gibson (8, 32)",2.1398,R
283,284.,Kevin Appier (16),2.1372,R
284,285.,Bob Moose (10),2.1370,R
285,286.,Frank Viola (15),2.1343,L
286,287.,Jerry Koosman (19),2.1336,L
287,288.,Mike Stanton (19),2.1310,L
288,289.,Dennis Leonard (12),2.1270,R
289,290.,Nelson Briles (14),2.1261,R
290,291.,Charles Nagy (14),2.1195,R
291,292.,Ed Halicki (7),2.1168,R
292,292.,Sterling Hitchcock (13),2.1168,L
293,294.,Chris Young (13),2.1155,R
294,295.,Jamie Moyer (25),2.1134,L
295,296.,Gene Garber (19),2.1124,R
296,297.,Hideo Nomo (12),2.1123,R
297,298.,Catfish Hunter+ (15),2.1090,R
298,299.,Chad Billingsley (9),2.1082,R
299,300.,John Montefusco (13),2.1072,R
300,301.,Mark Leiter (11),2.1038,R
301,302.,Jack Kralick (9),2.1006,L
302,303.,Larry Dierker (14),2.0999,R
303,304.,Will White (10),2.0988,R
304,305.,Eddie Plank+ (17),2.0951,L
305,306.,Old Hoss Radbourn+ (12),2.0914,R
306,306.,C.J. Wilson (11),2.0914,L
307,308.,Bruce Chen (17),2.0879,L
308,309.,Lee Stange (10),2.0872,R
309,310.,José Contreras (11),2.0820,R
310,311.,Woody Williams (15),2.0816,R
311,312.,John Tudor (12),2.0800,L
312,313.,Tim Keefe+ (14),2.0795,R
313,314.,Rodrigo Lopez (11),2.0793,R
314,315.,Brett Tomko (14),2.0773,R
315,316.,Dean Chance (11),2.0758,R
316,317.,Larry Jackson (14),2.0740,R
317,318.,Hoyt Wilhelm+ (21),2.0694,R
318,319.,Doc White (13),2.0657,L
319,320.,Brad Penny (14),2.0565,R
320,321.,Bill Gullickson (14),2.0563,R
321,322.,Larry Jansen (9),2.0537,R
322,323.,Lee Richmond (6),2.0520,L
323,324.,Rich Gossage+ (22),2.0519,R
324,325.,Jeremy Guthrie (13),2.0510,R
325,326.,Rick Wise (18),2.0485,R
326,327.,Ben McDonald (9),2.0458,R
327,328.,Roberto Hernandez (17),2.0455,R
328,329.,Nolan Ryan+ (27),2.0444,R
329,330.,Mordecai Brown+ (14),2.0431,R
330,331.,Andrew Cashner (10),2.0385,R
331,332.,Zach Duke (15),2.0382,L
332,333.,Billy O'Dell (13),2.0378,L
333,334.,Floyd Bannister (15),2.0366,L
334,335.,Vicente Padilla (14),2.0345,R
335,336.,Jesse Orosco (24),2.0293,L
336,337.,Ubaldo Jimenez (12),2.0283,R
337,338.,Britt Burns (8),2.0276,L
338,338.,"Oliver Perez (18, 38)",2.0276,L
339,340.,Camilo Pascual (18),2.0271,R
340,341.,Mark Mulder (9),2.0243,L
341,342.,Chris Short (15),2.0211,L
342,343.,Justin Masterson (8),2.0161,R
343,344.,Milt Pappas (17),2.0140,R
344,345.,Gary Peters (14),2.0113,L
345,346.,Scott Feldman (13),2.0091,R
346,347.,Don Wilson (9),2.0047,R
347,348.,Mark Gardner (13),2.0000,R
348,348.,Orel Hershiser (18),2.0000,R
349,350.,Elmer Dessens (14),1.9914,R
350,351.,"Jhoulys Chacin (12, 32)",1.9870,R
351,352.,Pat Jarvis (8),1.9868,R
352,353.,Charlie Buffinton (11),1.9860,R
353,354.,Mike Cuellar (15),1.9854,L
354,355.,Bob Veale (13),1.9848,L
355,356.,Mark Clark (10),1.9837,R
356,357.,Stump Weidman (9),1.9826,R
357,358.,Melido Perez (9),1.9819,R
358,359.,Jim Maloney (12),1.9815,R
359,360.,Paul Derringer (15),1.9803,R
360,361.,Ray Washburn (10),1.9774,R
361,362.,Bill Wegman (11),1.9773,R
362,363.,Larry Christenson (11),1.9772,R
363,364.,Jesse Tannehill (15),1.9749,L
364,365.,Tom Gordon (21),1.9734,R
365,366.,John Franco (21),1.9697,L
366,367.,Bobby Bolin (13),1.9682,R
367,368.,Tom Candiotti (16),1.9649,R
368,369.,Chuck Finley (17),1.9595,L
369,370.,Todd Jones (16),1.9594,R
370,371.,Fred Glade (6),1.9578,R
371,372.,Tom Browning (12),1.9569,L
372,373.,Pat Dobson (11),1.9564,R
373,373.,Moose Haas (12),1.9564,R
374,375.,Andy Messersmith (12),1.9555,R
375,376.,Marty Pattin (13),1.9552,R
376,376.,Dick Rudolph (13),1.9552,R
377,378.,Tomo Ohka (10),1.9536,R
378,379.,Wilbur Wood (17),1.9489,L
379,380.,Terry Mulholland (20),1.9457,L
380,381.,Don Robinson (15),1.9456,R
381,382.,Todd Stottlemyre (14),1.9449,R
382,383.,Chris Tillman (10),1.9427,R
383,384.,Stu Miller (16),1.9400,R
384,385.,Bill Singer (14),1.9398,R
385,386.,Bob Friend (16),1.9396,R
386,387.,J.R. Richard (10),1.9390,R
387,388.,Jarrod Washburn (12),1.9385,L
388,389.,Hooks Wiltse (12),1.9378,L
389,390.,Ryan Dempster (16),1.9374,R
390,391.,John Hiller (15),1.9364,L
391,392.,"Edwin Jackson (17, 36)",1.9358,R
392,393.,Pete Schourek (11),1.9357,L
393,394.,Dave Giusti (15),1.9351,R
394,395.,Johnny Podres (15),1.9314,L
395,396.,Mark Hendrickson (10),1.9304,L
396,397.,Paul Maholm (10),1.9294,L
397,398.,Mike Krukow (14),1.9270,R
398,399.,Mike Witt (12),1.9257,R
399,400.,Jim Nash (7),1.9227,R
400,401.,Joe Horlen (12),1.9224,R
401,402.,Dick Ellsworth (13),1.9160,L
402,403.,Mark Langston (16),1.9116,L
403,403.,Jumbo McGinnis (6),1.9116,
404,405.,Kevin Correia (13),1.9114,R
405,406.,Ryan Vogelsong (12),1.9108,R
406,407.,Pete Harnisch (14),1.9106,R
407,408.,Lefty Grove+ (17),1.9090,L
408,409.,Mike Smithson (8),1.9086,R
409,410.,Adam Eaton (10),1.9085,R
410,411.,Tug McGraw (19),1.9055,L
411,412.,Bob Welch (17),1.9043,R
412,413.,Jim O'Toole (10),1.9029,L
413,414.,Len Barker (11),1.9006,R
414,415.,Kyle Kendrick (10),1.9003,R
415,416.,Dustin Hermanson (12),1.9000,R
416,417.,Ray Collins (7),1.8996,L
417,418.,Jason Isringhausen (16),1.8993,R
418,419.,Preacher Roe (12),1.8968,L
419,420.,Jose DeLeon (13),1.8954,R
420,421.,Dennis Cook (15),1.8949,L
421,422.,Ryan Franklin (12),1.8924,R
422,423.,Brian Moehler (14),1.8921,R
423,424.,Russ Ford (7),1.8883,R
424,425.,Mark Davis (15),1.8858,L
425,426.,Syl Johnson (19),1.8852,R
426,427.,Chan Ho Park (17),1.8846,R
427,428.,Rick Helling (12),1.8826,R
428,429.,Dave Righetti (16),1.8816,L
429,430.,Clayton Richard (11),1.8813,L
430,431.,Ray Culp (11),1.8763,R
431,432.,Matt Clement (9),1.8723,R
432,433.,Sam McDowell (15),1.8697,L
433,434.,Mark Portugal (15),1.8682,R
434,435.,Burt Hooton (15),1.8661,R
435,436.,Juan Guzman (10),1.8636,R
436,437.,Tex Hughson (8),1.8629,R
437,438.,"Trevor Cahill (12, 32)",1.8619,R
438,439.,Jerome Williams (11),1.8608,R
439,440.,Rube Marquard+ (18),1.8566,L
440,441.,Eddie Fisher (15),1.8539,R
441,441.,Reb Russell (9),1.8539,L
442,443.,Liván Hernández (17),1.8537,R
443,444.,Steve Rogers (13),1.8505,R
444,445.,Jorge De La Rosa (15),1.8503,L
445,446.,Phil Niekro+ (24),1.8474,R
446,447.,Nate Robertson (9),1.8452,L
447,448.,Mike Boddicker (14),1.8447,R
448,449.,Dennis Martinez (23),1.8446,R
449,450.,Jose Guzman (8),1.8444,R
450,451.,Chris Hammond (14),1.8398,L
451,452.,Don Gullett (9),1.8383,L
452,453.,Dick Bosman (11),1.8374,R
453,454.,Rudy May (16),1.8372,L
454,455.,Vida Blue (17),1.8354,L
455,455.,Mark Redman (10),1.8354,L
456,457.,Dave Burba (15),1.8346,R
457,458.,Dave Boswell (8),1.8337,R
458,459.,Jack Chesbro+ (11),1.8333,R
459,460.,Dave McNally (14),1.8305,L
460,461.,Vern Law (16),1.8291,R
461,462.,Willie Blair (12),1.8289,R
462,463.,Craig Swan (12),1.8288,R
463,464.,Kris Benson (9),1.8277,R
464,464.,Omar Daal (11),1.8277,L
465,466.,Hal Brown (14),1.8252,R
466,467.,Doug Rau (9),1.8246,L
467,468.,Earl Wilson (11),1.8241,R
468,469.,Carlos Zambrano (12),1.8229,R
469,470.,Bob Wickman (15),1.8171,R
470,471.,Darryl Kile (12),1.8170,R
471,472.,Sparky Lyle (16),1.8150,L
472,473.,Ed Whitson (15),1.8138,R
473,474.,Joey Hamilton (10),1.8134,R
474,475.,Al Jackson (10),1.8133,L
475,476.,Cy Blanton (9),1.8131,R
476,477.,Bill Swift (11),1.8120,R
477,478.,Don Cardwell (14),1.8048,R
478,479.,Joe Saunders (10),1.8041,L
479,480.,Pedro Ramos (15),1.8025,R
480,481.,Fernando Valenzuela (17),1.8019,L
481,482.,Warren Spahn+ (21),1.8013,L
482,483.,Whitey Ford+ (16),1.8011,L
483,484.,"Edinson Volquez (15, 36)",1.8000,R
484,485.,Jim Gott (14),1.7961,R
485,486.,Ken Raffensberger (15),1.7951,L
486,487.,Ramon Martinez (14),1.7950,R
487,488.,Joe Gibbon (13),1.7947,L
488,489.,Braden Looper (12),1.7936,R
489,490.,Jim Lonborg (15),1.7922,R
490,491.,Dontrelle Willis (9),1.7920,L
491,492.,Sammy Ellis (7),1.7910,R
492,493.,Ramon Ortiz (12),1.7900,R
493,494.,Joe Lake (6),1.7892,R
494,494.,Tim Wakefield (19),1.7892,R
495,496.,Hank Aguirre (16),1.7871,L
496,497.,Ken Forsch (16),1.7867,R
497,498.,Dave LaRoche (14),1.7843,L
498,499.,Frank Lary (12),1.7841,R
499,500.,Tommy John (26),1.7832,L
500,501.,Woodie Fryman (18),1.7831,L
501,502.,Jack Morris+ (18),1.7827,R
502,503.,Hardie Henderson (6),1.7816,R
503,504.,Steve Bedrosian (14),1.7780,R
504,505.,Dick Donovan (15),1.7778,R
505,506.,Pretzels Getzien (9),1.7774,R
506,507.,Irv Young (6),1.7722,L
507,508.,Barry Zito (15),1.7716,L
508,509.,Rick Rhoden (16),1.7715,R
509,510.,Dave Dravecky (8),1.7714,L
510,511.,Dick Drago (13),1.7688,R
511,512.,Joe Nuxhall (16),1.7680,L
512,513.,Gil Meche (10),1.7677,R
513,514.,Dave Mlicki (10),1.7669,R
514,515.,Tim Belcher (14),1.7663,R
515,516.,Aaron Sele (15),1.7632,R
516,517.,Ken Holtzman (15),1.7593,L
517,518.,Al Downing (17),1.7567,L
518,519.,Ron Darling (13),1.7550,R
519,520.,Kevin Gross (15),1.7515,R
520,521.,Ray Sadecki (18),1.7505,L
521,522.,Art Fowler (9),1.7500,R
522,522.,Greg Harris (15),1.7500,R
523,524.,Darren Oliver (20),1.7486,L
524,525.,Gary Lavelle (13),1.7477,L
525,526.,Paul Lindblad (14),1.7474,L
526,527.,Dutch Leonard (11),1.7470,L
527,528.,Bill Campbell (15),1.7455,R
528,529.,Scott McGregor (13),1.7452,L
529,530.,Stan Williams (14),1.7447,R
530,531.,Mark Gubicza (14),1.7443,R
531,532.,Warren Hacker (12),1.7406,R
532,533.,Grant Jackson (18),1.7397,L
533,534.,Tom Glavine+ (22),1.7380,L
534,535.,Gene Conley (11),1.7378,R
535,536.,James Baldwin (11),1.7366,R
536,537.,Dave Rozema (10),1.7364,R
537,538.,Nap Rucker (10),1.7361,L
538,539.,Larry McWilliams (13),1.7343,L
539,540.,Zane Smith (13),1.7341,L
540,541.,Hippo Vaughn (13),1.7332,L
541,542.,Don McMahon (18),1.7323,R
542,543.,Terry Forster (16),1.7309,L
543,544.,David Palmer (10),1.7235,R
544,545.,Joe Coleman (15),1.7228,R
545,546.,Steve Avery (11),1.7223,L
546,547.,Bob Shaw (11),1.7221,R
547,548.,Bob Knepper (15),1.7188,L
548,549.,Jack Pfiester (8),1.7167,L
549,550.,Frank Sullivan (11),1.7156,R
550,551.,Claude Osteen (18),1.7149,L
551,552.,Juan Pizarro (18),1.7140,L
552,553.,Reggie Cleveland (13),1.7127,R
553,554.,Mike Marshall (14),1.7121,R
554,555.,Pete Conway (5),1.7120,R
555,556.,Dave Goltz (12),1.7105,R
556,557.,Lew Burdette (18),1.7102,R
557,558.,Charlie Leibrandt (14),1.7088,L
558,559.,Wally Bunker (9),1.7036,R
559,560.,Al Leiter (19),1.6973,L
560,561.,Orval Overall (7),1.6969,R
561,561.,Billy Pierce (18),1.6969,L
562,563.,Jim McGlothlin (9),1.6962,R
563,564.,Barry Latman (11),1.6953,R
564,565.,Sidney Ponson (12),1.6929,R
565,566.,Jerry Reuss (22),1.6921,L
566,567.,Skip Lockwood (13),1.6918,R
567,568.,Johnny Antonelli (12),1.6914,L
568,569.,Ed Cushman (6),1.6908,L
569,570.,Jake Westbrook (13),1.6900,R
570,571.,Jim Palmer+ (19),1.6873,R
571,572.,Steve Trachsel (16),1.6872,R
572,573.,Cy Falkenberg (12),1.6870,R
573,574.,Dock Ellis (12),1.6855,R
574,575.,Dick Tidrow (13),1.6839,R
575,576.,Dave Stewart (16),1.6838,R
576,577.,Harry Brecheen (12),1.6810,L
577,577.,Jack Fisher (11),1.6810,R
578,579.,Watty Clark (12),1.6789,L
579,580.,Mike Flanagan (18),1.6753,L
580,581.,Kenny Rogers (20),1.6749,L
581,582.,Sam Jones (12),1.6740,R
582,583.,Danny Cox (11),1.6736,R
583,584.,Vern Ruhle (13),1.6724,R
584,585.,Eric Plunk (14),1.6708,R
585,586.,Scott Elarton (10),1.6699,R
586,586.,Jeff Russell (14),1.6699,R
587,588.,Bob Ojeda (15),1.6686,L
588,589.,Bud Black (15),1.6677,L
589,590.,Bobby Shantz (16),1.6672,L
590,591.,Tiny Bonham (10),1.6655,R
591,592.,Pat Hentgen (14),1.6645,R
592,593.,Billy Hoeft (15),1.6642,L
593,594.,Phil Regan (13),1.6622,R
594,595.,Phil Douglas (9),1.6618,R
595,596.,Mike McCormick (16),1.6616,L
596,597.,Dave Wickersham (10),1.6615,R
597,598.,Eddie Cicotte (14),1.6614,R
598,599.,John Clarkson+ (12),1.6608,R
599,600.,Tim Leary (13),1.6598,R
600,601.,George Suggs (8),1.6563,R
601,602.,Moe Drabowsky (17),1.6553,R
602,603.,Jim Bouton (10),1.6552,R
603,604.,Jim Deshaies (12),1.6539,L
604,605.,Wilson Alvarez (14),1.6522,L
605,606.,Diego Segui (15),1.6514,R
606,607.,Roberto Hernandez (11),1.6495,R
607,608.,Red Ames (17),1.6460,R
