,Rank,"Player (yrs, age)",Adjusted ERA+,Throws
68,61.,Bob Wickman (15),126,R
69,70.,"Yu Darvish (8, 33)",125,R
70,70.,Lefty Gomez+ (14),125,L
71,70.,"Zack Greinke (17, 36)",125,R
72,70.,Tex Hughson (8),125,R
73,70.,Ellis Kinder (12),125,R
74,70.,Jim Palmer+ (19),125,R
75,70.,Mel Parnell (10),125,L
76,70.,John Smoltz+ (21),125,R
77,70.,Mike Timlin (18),125,R
78,70.,Dazzy Vance+ (16),125,R
79,70.,Jake Weimer (7),125,L
80,81.,Mort Cooper (11),124,R
81,81.,Russ Ford (7),124,R
82,81.,Dave Foutz (13),124,R
83,81.,Ned Garvin (7),124,R
84,81.,Ron Perranoski (13),124,L
85,81.,Urban Shocker (13),124,R
86,81.,Dizzy Trout (15),124,R
87,81.,John Tudor (12),124,L
88,89.,Eddie Cicotte (14),123,R
89,89.,Larry Corcoran (8),123,R
90,89.,"Cole Hamels (15, 36)",123,L
91,89.,Sam Leever (13),123,R
92,89.,Juan Marichal+ (16),123,R
93,89.,Mike Mussina+ (18),123,R
94,89.,"David Price (12, 34)",123,L
95,89.,Ed Reulbach (13),123,R
96,97.,Bob Caruthers (10),122,R
97,97.,Bob Feller+ (18),122,R
98,97.,Jimmy Key (15),122,L
99,97.,Eddie Plank+ (17),122,L
100,97.,Jeff Reardon (16),122,R
101,97.,Johnny Rigney (8),122,R
102,97.,Babe Ruth+ (22),122,L
103,97.,Dave Stieb (16),122,R
104,105.,Kevin Appier (16),121,R
105,105.,Clay Carroll (15),121,R
106,105.,David Cone (17),121,R
107,105.,Don Drysdale+ (14),121,R
108,105.,Clark Griffith+ (21),121,R
109,105.,Silver King (10),121,R
110,105.,Joe McGinnity+ (10),121,R
111,105.,Andy Messersmith (12),121,R
112,105.,Orval Overall (7),121,R
113,105.,Jose Rijo (14),121,R
114,105.,Eddie Rommel (13),121,R
115,105.,Reb Russell (9),121,L
116,105.,Jim Scott (9),121,R
117,105.,Will White (10),121,R
118,119.,Joe Benz (9),120,R
119,119.,Ewell Blackwell (10),120,R
120,119.,Tiny Bonham (10),120,R
121,119.,Al Brazle (10),120,L
122,119.,Charlie Ferguson (4),120,R
123,119.,Rollie Fingers+ (17),120,R
124,119.,Tim Hudson (17),120,R
125,119.,Don McMahon (18),120,R
126,119.,Jack Stivetts (11),120,R
127,119.,Carlos Zambrano (12),120,R
128,129.,Tom Burgmeier (17),119,L
129,129.,Dean Chance (11),119,R
130,129.,"Johnny Cueto (13, 34)",119,R
131,129.,Red Faber+ (20),119,R
132,129.,Ron Guidry (14),119,L
133,129.,Willie Hernandez (13),119,L
134,129.,Thornton Lee (16),119,L
135,129.,Bob Lemon+ (15),119,R
136,129.,Dutch Leonard (20),119,R
137,129.,"Jon Lester (15, 36)",119,L
138,129.,Carl Mays (15),119,R
139,129.,Alejandro Pena (15),119,R
140,129.,Deacon Phillippe (13),119,R
141,129.,Billy Pierce (18),119,L
142,129.,Old Hoss Radbourn+ (12),119,R
143,129.,Nap Rucker (10),119,L
144,129.,Bobby Shantz (16),119,L
145,129.,Warren Spahn+ (21),119,L
146,129.,Hippo Vaughn (13),119,L
147,129.,"Adam Wainwright (15, 38)",119,R
148,129.,John Ward+ (17),119,R
149,129.,Lon Warneke (15),119,R
150,151.,Babe Adams (19),118,R
151,151.,Rick Aguilera (16),118,R
152,151.,Bert Blyleven+ (22),118,R
153,151.,"Madison Bumgarner (12, 30)",118,L
154,151.,Harry Coveleski (9),118,L
155,151.,Tom Glavine+ (22),118,L
156,151.,Vean Gregg (8),118,L
157,151.,Cliff Lee (13),118,L
158,151.,Dolf Luque (20),118,R
159,151.,Ted Lyons+ (21),118,R
160,151.,Mike Marshall (14),118,R
161,151.,Jim McCormick (10),118,R
162,151.,Sadie McMahon (9),118,R
163,151.,Greg Minton (16),118,R
164,151.,Paul Quantrill (14),118,R
165,151.,Dave Rozema (10),118,R
166,151.,Bob Stanley (13),118,R
167,168.,Hank Aguirre (16),117,L
168,168.,Lady Baldwin (6),117,L
169,168.,Mark Buehrle (16),117,L
170,168.,Gene Garber (19),117,R
171,168.,Mike Garcia (14),117,R
172,168.,"Sonny Gray (8, 30)",117,R
173,168.,"Felix Hernandez (15, 34)",117,R
174,168.,Teddy Higuera (9),117,L
175,168.,Tug McGraw (19),117,L
176,168.,Tony Mullane (13),117,R
177,168.,Johnny Murphy (13),117,R
178,168.,Gary Nolan (10),117,R
179,168.,Gaylord Perry+ (22),117,R
180,168.,Andy Pettitte (18),117,L
181,168.,Dan Plesac (18),117,L
182,168.,Toad Ramsey (6),117,L
183,168.,Virgil Trucks (17),117,R
184,168.,Vic Willis+ (13),117,R
185,168.,Kerry Wood (14),117,R
186,187.,Johnny Antonelli (12),116,L
187,187.,Joaquin Benoit (16),116,R
188,187.,Chris Carpenter (15),116,R
189,187.,Wilbur Cooper (15),116,L
190,187.,Curt Davis (13),116,R
191,187.,Dave Dravecky (8),116,L
192,187.,Dennis Eckersley+ (24),116,R
193,187.,Bob Ewing (11),116,R
194,187.,Wes Ferrell (15),116,R
195,187.,Terry Forster (16),116,L
196,187.,Eddie Lopat (12),116,L
197,187.,"Lance Lynn (9, 33)",116,R
198,187.,Firpo Marberry (14),116,R
199,187.,Doc McJames (6),116,R
200,187.,Preacher Roe (12),116,L
201,187.,Steve Rogers (13),116,R
202,187.,CC Sabathia (19),116,L
203,187.,Ed Siever (7),116,L
204,187.,Frank Sullivan (11),116,R
205,187.,Bucky Walters (19),116,R
206,207.,Steve Bedrosian (14),115,R
207,207.,Al Benton (14),115,R
208,207.,Tommy Bond (10),115,R
209,207.,Charlie Buffinton (11),115,R
210,207.,Jim Bunning+ (17),115,R
211,207.,Steve Carlton+ (24),115,L
212,207.,Ray Collins (7),115,L
213,207.,Alex Fernandez (10),115,R
214,207.,Chuck Finley (17),115,L
215,207.,Jason Isringhausen (16),115,R
216,207.,Fergie Jenkins+ (19),115,R
217,207.,Hiroki Kuroda (7),115,R
218,207.,Lefty Leifield (12),115,L
219,207.,Dutch Leonard (11),115,L
220,207.,Jim Maloney (12),115,R
221,207.,Ben McDonald (9),115,R
222,207.,Roger McDowell (12),115,R
223,207.,Stu Miller (16),115,R
224,207.,Ed Morris (7),115,L
225,207.,Don Mossi (12),115,L
226,207.,Phil Niekro+ (24),115,R
227,207.,Eppa Rixey+ (21),115,L
228,207.,Ben Sanders (5),115,R
229,207.,Jack Taylor (10),115,R
230,207.,Jeff Tesreau (7),115,R
231,232.,Ivy Andrews (8),114,R
232,232.,John Candelaria (19),114,L
233,232.,"Carlos Carrasco (11, 33)",114,R
234,232.,Frank Dwyer (12),114,R
235,232.,Larry French (14),114,L
236,232.,Bill Hands (11),114,R
237,232.,Jay Hughes (4),114,R
238,232.,Frank Lary (12),114,R
239,232.,Jon Matlack (13),114,L
240,232.,Don Newcombe (10),114,R
241,232.,Johnny Niggeling (9),114,R
242,232.,Jack Quinn (23),114,R
243,232.,Rick Reuschel (19),114,R
244,232.,Billy Rhines (9),114,R
245,232.,Lew Richie (8),114,R
246,232.,Dave Righetti (16),114,L
247,232.,Slim Sallee (14),114,L
248,232.,Bob Shawkey (15),114,R
249,232.,"Masahiro Tanaka (7, 31)",114,R
250,232.,Jesse Tannehill (15),114,L
251,232.,Luis Tiant (19),114,R
252,232.,Bill Walker (10),114,L
253,232.,Wilbur Wood (17),114,L
254,232.,George Zettlein (6),114,R
255,256.,Johnny Allen (13),113,R
256,256.,Mark Baldwin (7),113,R
257,256.,"Trevor Bauer (9, 29)",113,R
258,256.,Candy Cummings+ (6),113,R
259,256.,Tom Gordon (21),113,R
260,256.,Don Gullett (9),113,L
261,256.,Mel Harder (20),113,R
262,256.,Guy Hecker (9),113,R
263,256.,Claude Hendrix (10),113,R
264,256.,Bill Hoffer (6),113,R
265,256.,Fred Hutchinson (11),113,R
266,256.,Larry Jackson (14),113,R
267,256.,"Dallas Keuchel (9, 32)",113,L
268,256.,Darold Knowles (16),113,L
269,256.,Ray Kremer (10),113,R
270,256.,Ted Lewis (6),113,R
271,256.,George McQuillan (10),113,R
272,256.,Johnny Morrison (10),113,R
273,256.,Claude Passeau (13),113,R
274,256.,Jesse Petty (7),113,L
275,256.,Jeff Pfeffer (13),113,R
276,256.,Howie Pollet (14),113,L
277,256.,Brad Radke (12),113,R
278,256.,Robin Roberts+ (19),113,R
279,256.,Ben Sheets (10),113,R
280,256.,Fred Toney (12),113,R
281,256.,Bob Veale (13),113,L
282,256.,Mickey Welch+ (13),113,R
283,256.,Doc White (13),113,L
284,256.,Hooks Wiltse (12),113,L
285,286.,Wilson Alvarez (14),112,L
286,286.,Chief Bender+ (16),112,R
287,286.,Dan Casey (7),112,L
288,286.,Watty Clark (12),112,L
289,286.,Andy Coakley (9),112,R
290,286.,"Patrick Corbin (8, 30)",112,L
291,286.,Joe Dobson (14),112,R
292,286.,Kelvim Escobar (12),112,R
293,286.,Freddie Fitzsimmons (19),112,R
294,286.,Ned Garver (14),112,R
295,286.,Juan Guzman (10),112,R
296,286.,Greg Harris (15),112,R
297,286.,Orel Hershiser (18),112,R
298,286.,Waite Hoyt+ (21),112,R
299,286.,Bill Hutchison (9),112,R
300,286.,Larry Jansen (9),112,R
301,286.,Clem Labine (13),112,R
302,286.,Al Leiter (19),112,L
303,286.,Carl Lundgren (8),112,R
304,286.,Sam McDowell (15),112,L
305,286.,Monte Pearson (10),112,R
306,286.,Eric Plunk (14),112,R
307,286.,Jeff Russell (14),112,R
308,286.,Nolan Ryan+ (27),112,R
309,286.,Mike Smith (14),112,L
310,286.,Mike Stanton (19),112,L
311,286.,Mel Stottlemyre (11),112,R
312,286.,Frank Viola (15),112,L
313,286.,Carl Weilman (8),112,L
314,315.,Josh Beckett (14),111,R
315,315.,Henry Boyle (6),111,R
316,315.,Jim Brewer (17),111,L
317,315.,Mace Brown (10),111,R
318,315.,Britt Burns (8),111,L
319,315.,Bill Campbell (15),111,R
320,315.,Ice Box Chamberlain (10),111,R
321,315.,Phil Douglas (9),111,R
322,315.,Sid Fernandez (15),111,L
323,315.,"Gio Gonzalez (13, 34)",111,L
324,315.,Dwight Gooden (16),111,R
325,315.,Dick Hall (19),111,R
326,315.,Tommy John (26),111,L
327,315.,Todd Jones (16),111,R
328,315.,Pat Malone (10),111,R
329,315.,Al McBean (10),111,R
330,315.,Jack McDowell (12),111,R
331,315.,Jumbo McGinnis (6),111,
332,315.,Earl Moore (14),111,R
333,315.,Charlie Root (17),111,R
334,315.,Hal Schumacher (13),111,R
335,315.,Curt Simmons (20),111,L
336,315.,Jim Turner (9),111,R
337,315.,Jered Weaver (12),111,R
338,339.,"Jake Arrieta (11, 34)",110,R
339,339.,Cy Blanton (9),110,R
340,339.,Theodore Breitenstein (11),110,L
341,339.,Jack Chesbro+ (11),110,R
342,339.,Jesse Duryea (5),110,R
343,339.,Orlando Hernandez (9),110,R
344,339.,Joe Horlen (12),110,R
345,339.,Jerry Koosman (19),110,L
346,339.,John Lackey (15),110,R
347,339.,Dick McBride (6),110,R
348,339.,Lindy McDaniel (21),110,R
349,339.,Van Mungo (14),110,R
350,339.,Milt Pappas (17),110,R
351,339.,Jake Peavy (15),110,R
352,339.,Pascual Perez (11),110,R
353,339.,"Jose Quintana (9, 31)",110,L
354,339.,Ken Raffensberger (15),110,L
355,339.,"Tanner Roark (8, 33)",110,R
356,339.,Schoolboy Rowe (15),110,R
357,339.,Bob Rush (13),110,R
358,339.,Jason Schmidt (14),110,R
359,339.,Sonny Siebert (12),110,R
360,339.,C.J. Wilson (11),110,L
361,339.,Al Worthington (14),110,R
362,363.,Red Ames (17),109,R
363,363.,Jim Bagby (9),109,R
364,363.,Clint Brown (15),109,R
365,363.,Clay Buchholz (13),109,R
366,363.,Jimmy Callahan (13),109,R
367,363.,Larry Cheney (9),109,R
368,363.,Mike Cuellar (15),109,L
369,363.,Nick Cullop (6),109,L
370,363.,Murry Dickson (18),109,R
371,363.,Roy Face (16),109,R
372,363.,Doug Fister (10),109,R
373,363.,Mark Gubicza (14),109,R
374,363.,Jesse Haines+ (19),109,R
375,363.,Dan Haren (13),109,R
376,363.,Jack Harshman (10),109,L
377,363.,Ed Killian (8),109,L
378,363.,Jack Kralick (9),109,L
379,363.,Craig Lefferts (12),109,L
380,363.,Derek Lowe (17),109,R
381,363.,Cliff Melton (8),109,L
382,363.,George Mogridge (15),109,L
383,363.,Billy O'Dell (13),109,L
384,363.,Fritz Ostermueller (15),109,L
385,363.,Allie Reynolds (13),109,R
386,363.,Arthur Rhodes (20),109,L
387,363.,Red Ruffing+ (22),109,R
388,363.,Gerry Staley (15),109,R
389,363.,Don Wilson (9),109,R
390,391.,Chad Billingsley (9),108,R
391,391.,Vida Blue (17),108,L
392,391.,Mike Boddicker (14),108,R
393,391.,Matt Cain (13),108,R
394,391.,Tom Candiotti (16),108,R
395,391.,"Jhoulys Chacin (12, 32)",108,R
396,391.,Hugh Daily (6),108,R
397,391.,Paul Derringer (15),108,R
398,391.,Burleigh Grimes+ (19),108,R
399,391.,Steve Gromek (17),108,R
400,391.,Harvey Haddix (14),108,L
401,391.,Pat Hentgen (14),108,R
402,391.,Joe Heving (13),108,R
403,391.,Oral Hildebrand (10),108,R
404,391.,Burt Hooton (15),108,R
405,391.,Harry Howell (13),108,R
406,391.,Sam Jones (12),108,R
407,391.,Jim Kaat (25),108,L
408,391.,Frank Killen (10),108,L
409,391.,Bill Lee (14),108,L
410,391.,Charlie Leibrandt (14),108,L
411,391.,Guy Morton (11),108,R
412,391.,Ron Reed (19),108,R
413,391.,J.R. Richard (10),108,R
414,391.,Rip Sewell (13),108,R
415,391.,Eddie Smith (10),108,L
416,391.,Sherry Smith (14),108,L
417,391.,Mario Soto (12),108,R
418,391.,Lefty Stewart (10),108,L
419,391.,Don Sutton+ (23),108,R
420,391.,Bill Swift (11),108,R
421,391.,Jarrod Washburn (12),108,L
422,391.,David Wells (21),108,L
423,391.,Stan Williams (14),108,R
424,425.,Ted Abernathy (14),107,R
425,425.,Erik Bedard (11),107,L
426,425.,Chris Bosio (11),107,R
427,425.,Ernie Broglio (8),107,R
428,425.,Leon Cadore (10),107,R
429,425.,Howie Camnitz (11),107,R
430,425.,Dixie Davis (10),107,R
431,425.,Bill Dinneen (12),107,R
432,425.,Bill Doak (16),107,R
433,425.,"Danny Duffy (10, 31)",107,L
434,425.,Cy Falkenberg (12),107,R
435,425.,Jeff Fassero (16),107,L
436,425.,Bob Friend (16),107,R
437,425.,Pud Galvin+ (15),107,R
438,425.,Freddy Garcia (15),107,R
439,425.,Sam Gray (10),107,R
440,425.,Mike Hampton (16),107,L
441,425.,Pink Hawley (10),107,R
442,425.,Matt Kilroy (10),107,L
443,425.,Mark Langston (16),107,L
444,425.,Dennis Leonard (12),107,R
445,425.,Red Lucas (16),107,R
446,425.,Win Mercer (9),107,R
447,425.,"Mike Minor (9, 32)",107,L
448,425.,Tom Morgan (12),107,R
449,425.,Matt Morris (11),107,R
450,425.,Bobo Newsom (20),107,R
451,425.,Roy Patterson (7),107,R
452,425.,Elmer Riddle (10),107,R
453,425.,Kenny Rogers (20),107,L
454,425.,Johnny Sain (11),107,R
455,425.,Johnny Schmitz (13),107,L
456,425.,Ed Seward (6),107,R
457,425.,Greg Swindell (17),107,L
458,425.,Dummy Taylor (9),107,R
459,425.,Johnny Vander Meer (13),107,L
460,425.,Rube Walberg (15),107,L
461,425.,Early Wynn+ (23),107,R
462,425.,Tom Zachary (19),107,L
463,425.,Geoff Zahn (13),107,L
464,465.,Vic Aldridge (9),106,R
465,465.,Red Barrett (11),106,R
466,465.,Rip Collins (11),106,R
467,465.,"Bartolo Colon (21, 47)",106,R
468,465.,Dennis Cook (15),106,L
469,465.,Danny Darwin (21),106,R
470,465.,Bill Donovan (18),106,R
471,465.,Al Downing (17),106,L
472,465.,Cherokee Fisher (8),106,R
473,465.,Ray Fisher (10),106,R
474,465.,Ken Forsch (16),106,R
475,465.,Fred Goldsmith (7),106,R
476,465.,Larry Gura (16),106,L
477,465.,LaTroy Hawkins (21),106,R
478,465.,Ken Hill (14),106,R
479,465.,Charlie Hough (25),106,R
480,465.,Dave LaRoche (14),106,L
481,465.,Bill Lee (14),106,R
482,465.,Ted Lilly (15),106,L
483,465.,Shaun Marcum (9),106,R
484,465.,Dennis Martinez (23),106,R
485,465.,Mickey McDermott (12),106,L
486,465.,Dave McNally (14),106,L
487,465.,Lee Meadows (15),106,R
488,465.,Bob Miller (17),106,R
489,465.,Jake Miller (9),106,L
490,465.,Kevin Millwood (16),106,R
491,465.,Mark Mulder (9),106,L
492,465.,Jim O'Toole (10),106,L
493,465.,Herb Pennock+ (22),106,L
494,465.,Jim Perry (17),106,R
495,465.,Gary Peters (14),106,L
496,465.,Jack Powell (16),106,R
497,465.,Rick Reed (15),106,R
498,465.,Pete Richert (13),106,L
499,465.,Bill Swift (13),106,R
500,465.,Frank Tanana (21),106,L
501,465.,"Julio Teheran (10, 29)",106,R
502,465.,Jim Tobin (9),106,R
503,465.,George Uhle (17),106,R
504,465.,Bob Welch (17),106,R
505,465.,Whit Wyatt (16),106,R
506,507.,Doc Ayers (9),105,R
507,507.,Steve Barber (15),105,L
508,507.,Jesse Barnes (13),105,R
509,507.,Virgil Barnes (9),105,R
510,507.,Jim Barr (12),105,R
511,507.,George Bradley (11),105,R
512,507.,Ralph Branca (12),105,R
513,507.,Lloyd Brown (12),105,L
514,507.,Steve Busby (8),105,R
515,507.,Rheal Cormier (16),105,L
516,507.,Doc Crandall (10),105,R
517,507.,General Crowder (11),105,R
518,507.,John Denny (13),105,R
519,507.,Ed Figueroa (8),105,R
520,507.,Denny Galehouse (15),105,R
521,507.,Dave Goltz (12),105,R
522,507.,Bump Hadley (16),105,R
523,507.,Erik Hanson (11),105,R
524,507.,Harry Harper (10),105,L
525,507.,Jim Hearn (13),105,R
526,507.,Dustin Hermanson (12),105,R
527,507.,Ken Holtzman (15),105,L
528,507.,Grant Jackson (18),105,L
529,507.,Syl Johnson (19),105,R
530,507.,Dave Koslo (12),105,L
531,507.,Mat Latos (9),105,R
532,507.,Paul Lindblad (14),105,L
533,507.,Ramon Martinez (14),105,R
534,507.,Paul Minner (10),105,L
535,507.,Cy Morgan (10),105,R
536,507.,Jack Morris+ (18),105,R
537,507.,Denny Neagle (13),105,L
538,507.,Art Nehf (15),105,L
539,507.,"Jake Odorizzi (9, 30)",105,R
540,507.,Tomo Ohka (10),105,R
541,507.,Johnny Podres (15),105,L
542,507.,Vic Raschi (10),105,R
543,507.,Doug Rau (9),105,L
544,507.,Dick Rudolph (13),105,R
545,507.,Dutch Ruether (11),105,L
546,507.,Bob Shaw (11),105,R
547,507.,Zane Smith (13),105,L
548,507.,Allan Sothoron (11),105,R
549,507.,Harry Staley (8),105,R
550,507.,Javier Vazquez (14),105,R
551,507.,Tim Wakefield (19),105,R
552,507.,Jim Whitney (10),105,R
553,507.,Bob Wicker (6),105,R
554,507.,Mike Witt (12),105,R
555,507.,Hank Wyse (8),105,R
556,507.,Barry Zito (15),105,L
557,558.,Don Aase (13),104,R
558,558.,Pete Appleton (14),104,R
559,558.,Andy Benes (14),104,R
560,558.,Bud Black (15),104,L
561,558.,Bobby Bolin (13),104,R
562,558.,Hank Borowy (10),104,R
563,558.,Tom Brewer (8),104,R
564,558.,A.J. Burnett (17),104,R
565,558.,Guy Bush (17),104,R
566,558.,Danny Cox (11),104,R
567,558.,Roger Craig (12),104,R
568,558.,Dick Donovan (15),104,R
569,558.,Howard Ehmke (15),104,R
570,558.,Red Ehret (11),104,R
571,558.,Dock Ellis (12),104,R
572,558.,Turk Farrell (14),104,R
573,558.,Ryan Franklin (12),104,R
574,558.,Kid Gleason (22),104,R
575,558.,"J.A. Happ (14, 37)",104,L
576,558.,Rick Honeycutt (21),104,L
577,558.,Catfish Hunter+ (15),104,R
578,558.,Bruce Hurst (15),104,L
579,558.,Sad Sam Jones (22),104,R
580,558.,Scott Kazmir (12),104,L
581,558.,Darryl Kile (12),104,R
582,558.,Dennis Lamp (16),104,R
583,558.,Tim Lincecum (10),104,R
584,558.,Mickey Lolich (16),104,L
585,558.,Al Mamaux (12),104,R
586,558.,Bobby Mathews (15),104,R
587,558.,Kent Mercker (18),104,L
588,558.,Frank Miller (7),104,R
589,558.,Willie Mitchell (11),104,L
590,558.,Vinegar Bend Mizell (9),104,L
591,558.,Bill Monbouquette (11),104,R
592,558.,Bob Ojeda (15),104,L
593,558.,Darren Oliver (20),104,L
594,558.,Claude Osteen (18),104,L
595,558.,Juan Pizarro (18),104,L
596,558.,Rick Rhoden (16),104,R
597,558.,Jim Rooker (13),104,L
598,558.,Bill Sherdel (15),104,L
599,558.,Chris Short (15),104,L
600,558.,Bryn Smith (13),104,R
601,558.,Bob Tewksbury (13),104,R
602,558.,Tommy Thomas (12),104,R
603,558.,John Thomson (10),104,R
604,558.,Fernando Valenzuela (17),104,L
605,558.,Lee Viau (5),104,R
606,558.,Pete Vuckovich (11),104,R
607,608.,Doyle Alexander (19),103,R
608,608.,"Chris Archer (8, 31)",103,R
609,608.,Juan Berenguer (15),103,R
610,608.,Bill Bernhard (9),103,R
611,608.,George Blaeholder (11),103,R
612,608.,Nelson Briles (14),103,R
613,608.,Bob Buhl (15),103,R
614,608.,Paul Byrd (14),103,R
615,608.,Aaron Cook (11),103,R
616,608.,R.A. Dickey (15),103,R
617,608.,Larry Dierker (14),103,R
618,608.,Pete Donohue (12),103,R
619,608.,Dick Drago (13),103,R
620,608.,Cal Eldred (14),103,R
621,608.,Jaime Garcia (10),103,L
622,608.,Jon Garland (13),103,R
623,608.,Mickey Haefner (8),103,L
624,608.,Luke Hamlin (9),103,R
625,608.,Pete Harnisch (14),103,R
626,608.,Terry Larkin (6),103,R
627,608.,Jon Lieber (14),103,R
628,608.,Braden Looper (12),103,R
629,608.,Joe Magrane (8),103,L
630,608.,Rube Marquard+ (18),103,L
631,608.,John Montefusco (13),103,R
632,608.,Jamie Moyer (25),103,L
633,608.,Red Munger (10),103,R
634,608.,Camilo Pascual (18),103,R
635,608.,Orlando Pena (14),103,R
636,608.,Bob Porterfield (12),103,R
637,608.,Bob Purkey (13),103,R
638,608.,Shane Reynolds (13),103,R
639,608.,"Anibal Sanchez (15, 36)",103,R
640,608.,Pete Schneider (6),103,R
641,608.,Tom Seaton (6),103,R
642,608.,Tully Sparks (12),103,R
643,608.,Lee Stange (10),103,R
644,608.,George Suggs (8),103,R
645,608.,Charlie Sweeney (6),103,R
646,608.,Jack Taylor (9),103,R
647,608.,Adonis Terry (14),103,R
648,608.,Bill Wight (12),103,L
649,608.,Woody Williams (15),103,R
650,608.,Jack Wilson (9),103,R
651,608.,Chris Young (13),103,R
652,653.,"Brett Anderson (12, 32)",102,L
653,653.,Floyd Bannister (15),102,L
654,653.,Rube Benton (15),102,L
655,653.,Vern Bickford (7),102,R
656,653.,Sheriff Blake (10),102,R
657,653.,Hooks Dauss (15),102,R
658,653.,Doug Davis (13),102,L
659,653.,Jose DeLeon (13),102,R
660,653.,Ike Delock (11),102,R
661,653.,Joe Gibbon (13),102,L
662,653.,Harry Gumbert (15),102,R
663,653.,Jose Guzman (8),102,R
664,653.,Ed Halicki (7),102,R
665,653.,Bill Hallahan (12),102,L
666,653.,Earl Hamilton (14),102,L
667,653.,Ed Heusser (9),102,R
668,653.,Kirby Higbe (12),102,R
669,653.,Willis Hudlin (16),102,R
670,653.,Ken Johnson (13),102,R
671,653.,Brickyard Kennedy (12),102,R
672,653.,Bruce Kison (15),102,R
673,653.,Ron Kline (17),102,R
674,653.,Ray Kolp (12),102,R
675,653.,Johnny Marcum (7),102,R
676,653.,Rudy May (16),102,L
677,653.,Bob McClure (19),102,L
678,653.,Jouett Meekin (10),102,R
679,653.,Carl Morton (8),102,R
680,653.,Joe Nuxhall (16),102,L
681,653.,Marty Pattin (13),102,R
682,653.,Dan Petry (13),102,R
683,653.,Scott Sanderson (19),102,R
684,653.,Cy Seymour (16),102,L
685,653.,James Shields (13),102,R
686,653.,John Smiley (12),102,L
687,653.,Vic Sorrell (10),102,R
688,653.,Ed Stein (8),102,R
689,653.,Tom Sturdivant (10),102,R
690,653.,Ralph Terry (12),102,R
691,653.,Dick Tidrow (13),102,R
692,653.,Lefty Tyler (12),102,L
693,653.,Ismael Valdez (12),102,R
694,653.,Ray Washburn (10),102,R
695,653.,David Weathers (19),102,R
696,653.,Bill Wegman (11),102,R
697,653.,Gus Weyhing (14),102,R
698,653.,Pat Zachry (10),102,R
699,700.,Bronson Arroyo (16),101,R
700,700.,Elden Auker (10),101,R
701,700.,Tim Belcher (14),101,R
702,700.,Pedro Borbon (12),101,R
703,700.,Oil Can Boyd (10),101,R
704,700.,Max Butcher (10),101,R
705,700.,Gene Conley (11),101,R
706,700.,Dave Davenport (6),101,R
