,Rank,"Player (yrs, age)",Total Zone Runs as C (s.1953),Throws
332,302.,Bill Hall (3),0,R
333,302.,Shane Halter (8),0,R
334,302.,John Harrell (1),0,R
335,302.,Jeff Hearron (2),0,R
336,302.,Michel Hernandez (3),0,R
337,302.,Joe Hietpas (1),0,R
338,302.,Bobby Hofman (7),0,R
339,302.,Gail Hopkins (7),0,R
340,302.,Dave Hostetler (5),0,R
341,302.,Ralph Houk (8),0,R
342,302.,A.J. Jimenez (1),0,R
343,302.,Bob Johnson (3),0,R
344,302.,Ryan Jorgensen (3),0,R
345,302.,Don Kelly (9),0,R
346,302.,Bruce Kimm (4),0,R
347,302.,Roger LaFrancois (1),0,R
348,302.,Tom Lawless (8),0,R
349,302.,Dave Liddell (1),0,R
350,302.,"Tzu-Wei Lin (4, 26)",0,R
351,302.,Dale Long (10),0,L
352,302.,Ken Macha (6),0,R
353,302.,Gordon MacKenzie (1),0,R
354,302.,Luis Martinez (2),0,R
355,302.,Roger McCardell (1),0,R
356,302.,Jeff McKnight (6),0,R
357,302.,Norm Miller (10),0,R
358,302.,Pete Naton (1),0,R
359,302.,"Brian Navarreto (1, 25)",0,R
360,302.,Gus Niarhos (9),0,R
361,302.,"Austin Nola (2, 30)",0,R
362,302.,"Dom Nunez (1, 25)",0,R
363,302.,Jose Oquendo (12),0,R
364,302.,Bobo Osborne (6),0,R
365,302.,Mickey Owen (13),0,R
366,302.,Jose Pagan (15),0,R
367,302.,Jim Pankovits (6),0,R
368,302.,Tom Patton (1),0,R
369,302.,Jorge Pedre (2),0,R
370,302.,Audry Perez (2),0,R
371,302.,Lenny Randle (12),0,R
372,302.,Jeff Reboulet (12),0,R
373,302.,Anthony Recker (7),0,R
374,302.,Tommie Reynolds (8),0,R
375,302.,Guillermo Rodriguez (2),0,R
376,302.,"Andrew Romine (10, 34)",0,R
377,302.,Vinny Rottino (5),0,R
378,302.,Willie Royster (1),0,R
379,302.,Dane Sardinha (6),0,R
380,302.,Larry See (2),0,R
381,302.,Bud Sheely (3),0,R
382,302.,Scott Sheldon (5),0,R
383,302.,Ted Sizemore (12),0,R
384,302.,Kyle Skipworth (1),0,R
385,302.,Geovany Soto (13),0,R
386,302.,Mike Squires (10),0,L
387,302.,Cody Stanley (1),0,R
388,302.,Nick Stavinoha (3),0,R
389,302.,"Tyler Stephenson (1, 23)",0,R
390,302.,Mike Sweeney (16),0,R
391,302.,Travis Tartamella (1),0,R
392,302.,Nick Testa (1),0,R
393,302.,Cesar Tovar (12),0,R
394,302.,Hector Valle (1),0,R
395,302.,Don Wakamatsu (1),0,R
396,302.,Pete Whisenant (8),0,R
397,302.,Joel Youngblood (14),0,R
398,302.,Sal Yvars (8),0,R
399,302.,"Seby Zavala (1, 26)",0,R
