,Rank,"Player (yrs, age)",Putouts as CF (s.1901),Throws
67,68.,Andre Dawson+ (21),2826,R
68,69.,Hi Myers (14),2823,R
69,70.,Ray Lankford (14),2804,L
70,71.,Carlos Gomez (13),2781,R
71,72.,Andy Van Slyke (13),2762,R
72,73.,Coco Crisp (15),2761,R
73,74.,Bill North (11),2759,R
74,75.,Melvin Upton Jr. (12),2758,R
75,76.,Otis Nixon (17),2751,R
76,77.,Jim Landis (11),2745,R
77,78.,Juan Pierre (14),2740,L
78,79.,Mike Kreevich (12),2736,R
79,80.,Aaron Rowand (11),2729,R
80,81.,Michael Bourn (11),2699,R
81,82.,"Mike Trout (10, 28)",2685,R
82,83.,Del Unser (15),2684,L
83,84.,Mookie Wilson (12),2682,R
84,85.,Jim Wynn (15),2669,R
85,86.,Mickey Stanley (15),2666,R
86,87.,Terry Moore (11),2649,R
87,88.,Denard Span (11),2632,L
88,89.,Bill Tuttle (11),2600,R
89,90.,Gorman Thomas (13),2582,R
90,91.,Jacoby Ellsbury (11),2575,L
91,92.,Fred Schulte (11),2572,R
92,93.,Ruppert Jones (12),2543,L
93,94.,Bobby Thomson (15),2517,R
94,95.,Cesar Geronimo (15),2505,L
95,96.,Vince DiMaggio (10),2487,R
96,97.,Austin Jackson (9),2432,R
97,98.,Johnny Mostil (10),2411,R
98,99.,Tommy Leach (19),2397,R
99,100.,Al Bumbry (14),2394,R
100,101.,Wally Berger (11),2393,R
101,102.,"Dexter Fowler (13, 34)",2391,R
102,103.,Mark Kotsay (17),2387,L
103,104.,Darren Lewis (13),2379,R
104,105.,Dale Murphy (18),2370,R
105,106.,Jerry Mumphrey (15),2350,R
106,107.,Ellis Burks (18),2348,R
107,108.,Chris Young (13),2342,R
108,109.,"Lorenzo Cain (11, 34)",2332,R
109,110.,Johnny Groth (15),2324,R
110,111.,Ken Berry (14),2295,R
111,112.,Hack Wilson+ (12),2176,R
112,113.,Brady Anderson (15),2163,L
113,114.,Grady Sizemore (10),2162,L
114,115.,Amos Strunk (17),2153,L
115,116.,Tommie Agee (12),2150,R
116,117.,Roberto Kelly (14),2132,R
117,117.,Al Oliver (18),2132,L
118,119.,Ron LeFlore (9),2127,R
119,120.,Rick Miller (15),2125,L
120,121.,Rebel Oakes (7),2121,R
121,122.,Corey Patterson (12),2087,R
122,123.,Doug Glanville (9),2061,R
123,124.,Eric Davis (17),2047,R
124,125.,Gus Bell (15),2042,R
125,126.,Mule Haas (12),2025,R
126,127.,"Cameron Maybin (14, 33)",2023,R
127,128.,Reggie Smith (17),1997,R
128,129.,Tom Goodwin (14),1984,R
129,130.,Stan Spence (9),1981,L
130,131.,Preston Wilson (10),1972,R
131,132.,Mike Devereaux (12),1965,R
132,133.,Cy Seymour (16),1931,L
133,134.,Jose Cardenal (18),1915,R
134,135.,Marlon Byrd (15),1912,R
135,136.,Tony Gonzalez (12),1903,R
136,137.,Darryl Hamilton (13),1901,R
137,138.,Al Simmons+ (20),1898,R
138,139.,Ira Flagstead (13),1861,R
139,140.,Juan Beniquez (17),1860,R
140,141.,Happy Felsch (6),1849,R
141,142.,Bobby Murcer (17),1826,R
142,143.,Andy Pafko (17),1821,R
143,144.,George Hendrick (18),1808,R
144,145.,Ethan Allen (13),1794,R
145,146.,"Kevin Pillar (8, 31)",1793,R
146,147.,"Billy Hamilton (8, 29)",1792,R
147,148.,"Jackie Bradley Jr. (8, 30)",1783,R
148,149.,Dave Martinez (16),1778,L
149,150.,Shane Victorino (12),1773,R
150,151.,Colby Rasmus (10),1771,L
151,152.,Ken Landreaux (11),1770,R
152,153.,Ray Powell (9),1769,R
153,154.,Angel Pagan (11),1767,R
154,155.,Randy Winn (13),1760,R
155,156.,Leonys Martín (9),1744,R
156,157.,Gary Matthews (12),1720,R
157,158.,"Matt Kemp (15, 35)",1712,R
158,159.,Jigger Statz (8),1711,R
159,160.,Chad Curtis (10),1700,R
160,160.,Benny Kauff (8),1700,L
161,162.,John Shelby (11),1674,R
162,163.,Roy Thomas (13),1648,L
163,164.,Lee Mazzilli (14),1640,R
164,165.,Vic Davalillo (16),1631,L
165,166.,Matty Alou (15),1629,L
166,167.,Stan Javier (17),1618,R
167,168.,David DeJesus (13),1590,L
168,169.,Brian Hunter (10),1584,R
169,169.,"Kevin Kiermaier (8, 30)",1584,R
170,171.,Tony Armas (14),1578,R
171,172.,"Ender Inciarte (7, 29)",1577,L
172,173.,Kiki Cuyler+ (18),1565,R
173,174.,Fielder Jones (15),1557,R
174,175.,Dave Philley (18),1556,R
175,176.,Tony Scott (11),1547,R
176,177.,Sam Rice+ (20),1544,R
177,178.,Rajai Davis (14),1537,R
178,179.,Eddie Milner (9),1533,L
179,180.,Drew Stubbs (9),1521,R
180,181.,Darin Erstad (14),1510,L
181,182.,Oddibe McDowell (7),1507,L
182,183.,Ginger Beaumont (12),1496,R
183,184.,Don Lock (8),1487,R
184,185.,Fred Snodgrass (9),1478,R
185,186.,Burt Shotton (14),1474,R
186,187.,"Jon Jay (11, 35)",1471,L
187,188.,Chris Singleton (6),1467,L
188,189.,Marvell Wynne (8),1452,L
189,190.,"Charlie Blackmon (10, 33)",1436,L
190,191.,Willy Taveras (7),1432,R
191,192.,"Jarrod Dyson (11, 35)",1430,R
192,193.,Lenny Green (12),1428,L
193,194.,Bob Dernier (10),1424,R
194,195.,Jay Payton (12),1417,R
195,196.,Johnny Frederick (6),1408,L
196,197.,Jackie Brandt (11),1407,R
197,198.,"Odubel Herrera (5, 28)",1405,R
198,199.,Joe Birmingham (9),1402,R
199,199.,Thurman Tucker (9),1402,R
200,201.,Bobby Del Greco (9),1386,R
201,202.,Harry Craft (6),1377,R
202,203.,"AJ Pollock (9, 32)",1374,R
203,204.,Dave May (12),1367,R
204,204.,Rowland Office (11),1367,L
205,206.,Jose Cruz (12),1359,R
206,206.,Carl Everett (14),1359,R
207,208.,Bobby Tolan (13),1353,L
208,209.,Ben Chapman (15),1348,R
209,209.,Wally Judnich (7),1348,L
210,211.,Johnny Bates (9),1345,L
211,212.,Nemo Leibold (13),1344,R
212,213.,Tom Oliver (4),1341,R
213,214.,Johnny Cooney (20),1327,L
214,215.,Chili Davis (19),1315,R
215,216.,Tillie Walker (13),1306,R
216,217.,Ted Uhlaender (8),1302,R
217,218.,Jack Smith (15),1296,L
218,219.,Danny Hoffman (9),1295,L
219,220.,"Juan Lagares (8, 31)",1294,R
220,221.,Johnny Rucker (6),1292,R
221,222.,Franklin Gutierrez (12),1290,R
222,223.,Ken Henderson (16),1281,R
223,224.,Melky Cabrera (15),1273,L
224,225.,Albie Pearson (9),1258,L
225,226.,Nate McLouth (10),1255,R
226,227.,"Aaron Hicks (8, 30)",1250,R
227,228.,Solly Hofman (14),1248,R
228,228.,Harry Rice (10),1248,R
229,230.,Ping Bodie (9),1243,R
230,231.,Rickey Henderson+ (25),1227,L
231,232.,Adolfo Phillips (8),1226,R
232,233.,Milt Thompson (13),1224,R
233,234.,Dusty Baker (19),1222,R
234,235.,Chuck Diering (9),1201,R
235,236.,Gary Geiger (12),1199,R
236,237.,Rondell White (15),1195,R
237,238.,Kevin McReynolds (12),1194,R
238,239.,Harry Walker (11),1191,R
239,240.,Eddie Brown (7),1189,R
240,241.,Peter Bourjos (10),1188,R
241,242.,George Metkovich (10),1182,L
242,243.,Darrin Jackson (12),1178,R
243,244.,Roy Weatherly (10),1175,R
244,245.,Rich Becker (8),1166,L
245,246.,"Brett Gardner (13, 36)",1162,L
246,246.,Larry Hisle (14),1162,R
247,248.,Billy Hatcher (12),1156,R
248,248.,Al Kaline+ (22),1156,R
249,250.,Hank Leiber (10),1152,R
250,250.,Rube Oldring (13),1152,R
251,252.,Jimmy Welsh (6),1151,R
252,253.,Gerald Young (8),1148,R
253,254.,Chuck Carr (8),1146,R
254,255.,Charlie Hemphill (11),1142,L
255,256.,Barney McCosky (11),1140,R
256,257.,Milton Bradley (12),1139,R
257,258.,"Byron Buxton (6, 26)",1137,R
258,258.,George Wright (5),1137,R
259,260.,Joe Carter (16),1130,R
260,261.,Gee Walker (15),1129,R
261,262.,Elliott Maddox (11),1126,R
262,263.,Rudy Law (7),1124,L
263,264.,Ben Revere (8),1119,R
264,265.,Damon Buford (9),1117,R
265,266.,Hoot Evers (12),1110,R
266,267.,Dave Roberts (10),1102,L
267,268.,Rick Bosetti (7),1096,R
268,269.,Don Demeter (11),1094,R
269,270.,Whitey Witt (10),1089,R
270,271.,Jo-Jo White (9),1085,R
271,272.,Rocco Baldelli (7),1083,R
272,273.,Jay Johnstone (20),1079,R
273,273.,Jerry Morales (15),1079,R
274,275.,Tommy Holmes (11),1078,L
275,275.,Sam Jethroe (4),1078,R
276,277.,Buster Adams (6),1077,R
277,278.,Cesar Tovar (12),1072,R
278,279.,Gerald Williams (14),1071,R
279,280.,Johnny Hopp (14),1062,L
280,281.,Irv Noren (11),1060,L
281,282.,Alex Rios (12),1053,R
282,283.,Gabe Kapler (12),1052,R
283,284.,Garret Anderson (17),1047,L
284,285.,Marvin Benard (9),1040,L
285,286.,Dain Clay (4),1036,R
286,287.,Felipe Alou (17),1033,R
287,288.,Milt Cuyler (8),1028,R
288,288.,Armando Marsans (8),1028,R
289,290.,"Jake Marisnick (8, 29)",1026,R
290,291.,Endy Chavez (13),1025,L
291,292.,Willie Tasby (6),1022,R
292,293.,Jim Rivera (10),1019,L
293,294.,Bake McBride (11),1018,R
294,295.,Luis Matos (7),1017,R
295,296.,Johnny Wyrostek (11),1015,R
296,297.,"Delino DeShields (6, 27)",1014,R
297,298.,Mitch Webster (13),1012,L
298,299.,Daryl Boston (11),1010,L
299,300.,Ruben Rivera (9),1007,R
300,301.,Mel Almada (7),998,L
301,302.,Jim Delsing (10),990,R
302,303.,Kiddo Davis (8),988,R
303,304.,Pete Reiser (10),982,R
304,305.,Hal Jeffcoat (12),970,R
305,306.,Johnny Grubb (16),968,R
306,307.,Nyjer Morgan (7),958,L
307,308.,Herm Winningham (9),952,R
308,309.,Cliff Heathcote (15),949,L
309,310.,Heinie Mueller (11),942,L
310,311.,Jimmie Hall (8),940,R
311,311.,Scott Podsednik (11),940,L
312,313.,Von Joshua (10),937,L
313,313.,Billy Maloney (6),937,R
314,315.,Charlie Jones (6),935,R
315,315.,Deion Sanders (9),935,L
316,317.,Terrence Long (8),930,L
317,318.,Jimmy Slagle (10),928,R
318,319.,Larry Herndon (14),926,R
319,320.,Josh Hamilton (9),925,L
320,321.,"Marcell Ozuna (8, 29)",923,R
321,322.,Mack Jones (10),917,R
322,323.,"Starling Marte (9, 31)",914,R
323,324.,Von Hayes (12),913,R
324,325.,Wally Westlake (10),908,R
325,326.,"Michael A. Taylor (7, 29)",906,R
326,327.,Jim Russell (10),904,R
327,328.,Andres Torres (9),902,R
328,329.,Alex Cole (7),900,L
329,330.,Rick Ankiel (11),899,L
330,330.,Sam Crawford+ (19),899,L
331,332.,Russ Snyder (12),897,R
332,333.,"Adam Eaton (9, 31)",891,L
333,334.,Joe Marty (5),889,R
334,335.,Goody Rosen (6),888,L
335,336.,Chick Stahl (10),887,L
336,337.,"Manuel Margot (5, 25)",881,R
337,338.,Dave Gallagher (9),878,R
338,339.,Jim Northrup (12),868,R
339,339.,Alex Sanchez (5),868,L
340,341.,Alejandro De Aza (10),865,L
341,341.,Peanuts Lowrey (13),865,R
342,343.,Dan Gladden (11),852,R
343,344.,Terry Puhl (15),846,R
344,345.,Les Mann (16),843,R
345,346.,Augie Galan (16),834,R
346,347.,Ichiro Suzuki (19),833,R
347,348.,Cito Gaston (11),832,R
348,349.,Frank Demaree (12),823,R
349,350.,Gregor Blanco (10),814,L
350,351.,Richard Hidalgo (9),812,R
351,352.,Cody Ross (12),810,L
352,353.,Jerry Martin (11),809,R
353,354.,Steve Brye (9),805,R
354,355.,Johnny Lindell (12),804,R
355,356.,"Michael Brantley (12, 33)",802,L
356,357.,Carl Furillo (15),801,R
357,358.,Freddy Leach (10),795,R
358,359.,Derrel Thomas (15),794,R
359,360.,Barry Bonnell (10),793,R
360,361.,Chick Fullis (8),792,R
361,362.,Quinton McCracken (12),789,R
362,362.,Dixie Walker (18),789,R
363,362.,Jerome Walton (10),789,R
364,365.,Juan Encarnacion (11),788,R
365,365.,Hersh Martin (6),788,R
366,367.,Kirk Gibson (17),785,L
367,368.,Lyman Bostock (4),784,R
368,368.,Carden Gillenwater (5),784,R
369,368.,Tike Redman (6),784,L
370,371.,Denny Sothern (5),780,R
371,371.,Claudell Washington (17),780,L
372,373.,Homer Smoot (5),778,R
373,374.,Jim Hickman (13),774,R
374,375.,Joey Gathright (7),772,R
375,375.,Desmond Jennings (7),772,R
376,377.,"Adam Engel (4, 28)",768,R
377,378.,Frank Thomas (16),764,R
378,379.,Shane Mack (9),763,R
379,380.,Freddie Lindstrom+ (13),760,R
380,381.,Harry Bay (8),756,L
381,382.,Derek Bell (11),753,R
382,383.,Dutch Zwilling (4),749,L
383,384.,Hank Aaron+ (23),741,R
384,385.,Paul Lehner (7),734,L
385,385.,Mike McCormick (10),734,R
386,387.,Brady Clark (9),731,R
387,388.,Bernie Neis (8),728,R
388,389.,Carl Reynolds (13),727,R
389,390.,Joe Pepitone (12),726,L
390,391.,Chick Hafey+ (13),724,R
391,392.,Jeremy Reed (8),723,L
392,393.,"Albert Almora (5, 26)",717,R
393,393.,Jacob Brumfield (7),717,R
394,393.,"Joc Pederson (7, 28)",717,L
395,396.,Heinie Manush+ (17),715,L
396,397.,Nook Logan (4),706,R
397,398.,Pepper Martin (13),704,R
398,399.,Henry Cotto (10),703,R
399,400.,Ryan Christenson (6),702,R
