,Rank,"Player (yrs, age)",Wild Pitches,Throws
373,373.,Jack Chesbro+ (11),62,R
374,373.,Al Fitzmorris (10),62,R
375,373.,Jaime Garcia (10),62,L
376,373.,Dave Goltz (12),62,R
377,373.,Burt Hooton (15),62,R
378,373.,Fergie Jenkins+ (19),62,R
379,373.,Matt Keough (9),62,R
380,373.,Pedro Martinez+ (18),62,R
381,373.,Bob Miller (17),62,R
382,373.,Jack Neagle (3),62,R
383,373.,Al Pratt (2),62,R
384,373.,Jack Quinn (23),62,R
385,373.,Phenomenal Smith (8),62,L
386,373.,Tom Underwood (11),62,L
387,388.,Chris Bosio (11),61,R
388,388.,Mordecai Brown+ (14),61,R
389,388.,Kirby Higbe (12),61,R
390,388.,Sterling Hitchcock (13),61,L
391,388.,Dutch Leonard (11),61,L
392,388.,Bruce Ruffin (12),61,L
393,388.,Walt Terrell (11),61,R
394,395.,Mike Boddicker (14),60,R
395,395.,Jose DeLeon (13),60,R
396,395.,"Mike Fiers (10, 35)",60,R
397,395.,Mudcat Grant (14),60,R
398,395.,Bob Knepper (15),60,L
399,395.,Lee Meadows (15),60,R
400,395.,Bobo Newsom (20),60,R
401,395.,Darren Oliver (20),60,L
402,395.,Fritz Ostermueller (15),60,L
403,395.,"Jeff Samardzija (13, 35)",60,R
404,395.,"Anibal Sanchez (15, 36)",60,R
405,395.,Cy Seymour (16),60,L
406,395.,Sonny Siebert (12),60,R
407,408.,Pedro Astacio (15),59,R
408,408.,Josh Beckett (14),59,R
409,408.,Tommy Bridges (16),59,R
410,408.,Darren Dreifort (9),59,R
411,408.,"Gio Gonzalez (13, 34)",59,L
412,408.,Bob Groom (10),59,R
413,408.,Ron Kline (17),59,R
414,408.,Dave McNally (14),59,L
415,408.,Cy Morgan (10),59,R
416,408.,Blondie Purcell (12),59,R
417,408.,Allie Reynolds (13),59,R
418,408.,Billy Rhines (9),59,R
419,408.,Jack Sanford (12),59,R
420,421.,Andy Ashby (14),58,R
421,421.,Freddie Fitzsimmons (19),58,R
422,421.,Harvey Haddix (14),58,L
423,421.,Andy Hassler (14),58,L
424,421.,Bruce Kison (15),58,R
425,421.,Ted Lilly (15),58,L
426,421.,Larry McKeon (3),58,
427,421.,"Oliver Perez (18, 38)",58,L
428,421.,Mark Redman (10),58,L
429,421.,Jim Shaw (9),58,R
430,421.,Scott Stratton (8),58,R
431,421.,Wayne Twitchell (10),58,R
432,421.,Woody Williams (15),58,R
433,421.,Carlos Zambrano (12),58,R
434,435.,James Baldwin (11),57,R
435,435.,Eddie Cicotte (14),57,R
436,435.,Mike Fetters (16),57,R
437,435.,Fred Goldsmith (7),57,R
438,435.,"Cole Hamels (15, 36)",57,L
439,435.,Jack Harper (8),57,R
440,435.,Kyle Lohse (16),57,R
441,435.,Jamie Moyer (25),57,L
442,435.,Russ Ortiz (12),57,R
443,435.,Orval Overall (7),57,R
444,435.,Mark Portugal (15),57,R
445,435.,"Jose Quintana (9, 31)",57,L
446,435.,Heathcliff Slocumb (10),57,R
447,435.,Mel Stottlemyre (11),57,R
448,435.,Stan Williams (14),57,R
449,450.,Steve Blass (10),56,R
450,450.,Bobby Bolin (13),56,R
451,450.,Lloyd Brown (12),56,L
452,450.,Greg Cadaret (10),56,L
453,450.,John D'Acquisto (10),56,R
454,450.,Chuck Dobson (9),56,R
455,450.,Jean Dubuc (9),56,R
456,450.,Jack Fisher (11),56,R
457,450.,Santiago Casilla (15),56,R
458,450.,Ron Guidry (14),56,L
459,450.,Bill Gullickson (14),56,R
460,450.,Roy Halladay+ (16),56,R
461,450.,Bruce Hurst (15),56,L
462,450.,Larry Jackson (14),56,R
463,450.,Jason Marquis (15),56,R
464,450.,Greg Minton (16),56,R
465,450.,Dan Schatzeder (15),56,L
