,Rank,"Player (yrs, age)",Assists as P,Throws
60,61.,Dolf Luque (20),786,R
61,62.,Wilbur Cooper (15),785,L
62,63.,Frank Smith (11),782,R
63,64.,Tom Zachary (19),773,L
64,65.,Brickyard Kennedy (12),769,R
65,65.,Jim Whitney (10),769,R
66,67.,Dennis Martinez (23),763,R
67,68.,Willie Sudhoff (10),762,R
68,69.,Art Nehf (15),749,L
69,70.,Jesse Barnes (13),748,R
70,71.,Bucky Walters (19),746,R
71,72.,Gus Weyhing (14),745,R
72,73.,Jim Kaat (25),744,L
73,74.,Kenny Rogers (20),743,L
74,75.,Hippo Vaughn (13),740,L
75,75.,Rube Waddell+ (13),740,L
76,77.,Jack Taylor (10),738,R
77,78.,Mel Harder (20),734,R
78,78.,Willis Hudlin (16),734,R
79,80.,Cy Falkenberg (12),728,R
80,81.,Steve Carlton+ (24),724,L
81,81.,Claude Hendrix (10),724,R
82,83.,Lefty Grove+ (17),722,L
83,83.,Adonis Terry (14),722,R
84,85.,Dutch Leonard (20),719,R
85,86.,Will White (10),715,R
86,87.,Bob Lemon+ (15),709,R
87,88.,Mickey Welch+ (13),705,R
88,89.,Earl Whitehill (17),701,L
89,90.,Claude Osteen (18),699,L
90,91.,Rube Marquard+ (18),697,L
91,91.,Bob Shawkey (15),697,R
92,93.,Ed Willett (10),695,R
93,94.,Theodore Breitenstein (11),692,L
94,94.,Tom Seaver+ (20),692,R
95,96.,Pink Hawley (10),688,R
96,97.,Don Drysdale+ (14),686,R
97,97.,Sherry Smith (14),686,L
98,99.,Bob Groom (10),682,R
99,100.,Rube Benton (15),680,L
100,101.,Red Ruffing+ (22),677,R
101,102.,Bert Cunningham (12),676,R
102,103.,Tom Hughes (13),675,R
103,104.,Lefty Tyler (12),672,L
104,105.,Harry Gumbert (15),670,R
105,105.,Early Wynn+ (23),670,R
106,107.,Murry Dickson (18),668,R
107,108.,Rick Reuschel (19),667,R
108,109.,Bill Hutchison (9),664,R
109,110.,Bert Blyleven+ (22),662,R
110,110.,Bill Lee (14),662,R
111,112.,Slim Sallee (14),661,L
112,113.,Fergie Jenkins+ (19),660,R
113,113.,Sadie McMahon (9),660,R
114,115.,Sam Leever (13),659,R
115,115.,Barney Pelty (10),659,R
116,115.,Jimmy Ring (12),659,R
117,118.,Paul Derringer (15),656,R
118,118.,Larry Jackson (14),656,R
119,120.,Bill Donovan (18),654,R
120,121.,Jesse Haines+ (19),651,R
121,122.,Babe Adams (19),648,R
122,122.,Al Spalding+ (8),648,R
123,124.,Hal Schumacher (13),646,R
124,125.,Dizzy Trout (15),645,R
125,126.,Jamie Moyer (25),644,L
126,127.,Guy Bush (17),643,R
127,128.,Guy Hecker (9),639,R
128,129.,George Mogridge (15),638,L
129,129.,Frank Tanana (21),638,L
130,131.,Silver King (10),637,R
131,132.,Danny MacFayden (17),635,R
132,133.,George Bradley (11),630,R
133,133.,Whitey Ford+ (16),630,L
134,133.,Bob Friend (16),630,R
135,136.,Larry French (14),628,L
136,137.,Earl Moore (14),627,R
137,138.,Nap Rucker (10),625,L
138,139.,Deacon Phillippe (13),624,R
139,139.,Dick Rudolph (13),624,R
140,139.,George Uhle (17),624,R
141,142.,Lew Burdette (18),622,R
142,143.,Bob Harmon (9),620,R
143,144.,Curt Davis (13),616,R
144,145.,Clarence Mitchell (18),615,L
145,146.,Don Sutton+ (23),613,R
146,147.,Earl Hamilton (14),612,L
147,147.,Frank Killen (10),612,L
148,149.,Win Mercer (9),611,R
149,149.,Hal Newhouser+ (17),611,L
150,151.,Nick Altrock (19),610,L
151,151.,Ray Fisher (10),610,R
152,151.,Jack Russell (15),610,R
153,154.,Mark Buehrle (16),608,L
154,155.,Jerry Reuss (22),603,L
155,156.,Liván Hernández (17),601,R
156,156.,Robin Roberts+ (19),601,R
157,158.,Matt Kilroy (10),599,L
158,158.,Urban Shocker (13),599,R
159,160.,Red Ehret (11),598,R
160,161.,Fernando Valenzuela (17),586,L
161,162.,Jack Stivetts (11),584,R
162,163.,Claude Passeau (13),583,R
163,164.,Jerry Koosman (19),582,L
164,165.,Kid Carsey (10),580,R
165,165.,Bob Caruthers (10),580,R
166,167.,Frank Dwyer (12),579,R
167,167.,Jack Taylor (9),579,R
168,167.,Hooks Wiltse (12),579,L
169,170.,Charlie Hough (25),578,R
170,171.,Juan Marichal+ (16),577,R
171,171.,Jim Palmer+ (19),577,R
172,173.,Roger Clemens (24),575,R
173,174.,John Ward+ (17),574,R
174,175.,Bump Hadley (16),573,R
175,176.,Jim Scott (9),570,R
176,176.,Mel Stottlemyre (11),570,R
177,176.,Dazzy Vance+ (16),570,R
178,179.,Orel Hershiser (18),569,R
179,180.,Casey Patten (8),568,L
180,181.,Kevin Brown (19),562,R
181,182.,Bill Bernhard (9),560,R
182,183.,Lefty Leifield (12),558,L
183,183.,Rube Walberg (15),558,L
184,185.,Fred Toney (12),555,R
185,186.,Nig Cuppy (10),552,R
186,187.,Jeff Pfeffer (13),549,R
187,188.,Frank Kitson (10),548,R
188,189.,Nolan Ryan+ (27),547,R
189,190.,Mark Baldwin (7),545,R
190,191.,Tully Sparks (12),544,R
191,192.,Bill Duggleby (8),543,R
192,192.,Andy Pettitte (18),543,L
193,194.,Bill Sherdel (15),540,L
194,195.,Bob Ewing (11),539,R
195,195.,Bob Smith (15),539,R
196,197.,Lon Warneke (15),538,R
197,198.,Jean Dubuc (9),537,R
198,199.,Bobo Newsom (20),534,R
199,200.,Wes Ferrell (15),532,R
200,200.,Joe Niekro (22),532,R
201,202.,Togie Pittinger (8),528,R
202,203.,Frank Owen (8),527,R
203,204.,Ray Caldwell (12),524,R
204,205.,Wilbur Wood (17),523,L
205,206.,Doyle Alexander (19),521,R
206,206.,Phil Douglas (9),521,R
207,206.,Slim Harriss (9),521,R
208,206.,George Suggs (8),521,R
209,210.,Red Lucas (16),516,R
210,211.,Sid Hudson (12),514,R
211,211.,Curt Simmons (20),514,L
212,213.,Ed Brandt (11),512,L
213,214.,Jack Coombs (14),510,R
214,214.,Bob Feller+ (18),510,R
215,216.,Bob Rhoads (8),509,R
216,216.,Dummy Taylor (9),509,R
217,218.,Cy Morgan (10),508,R
218,219.,Camilo Pascual (18),507,R
219,220.,Jimmy Callahan (13),506,R
220,220.,Jim Perry (17),506,R
221,220.,Charlie Root (17),506,R
222,223.,Joe Benz (9),504,R
223,223.,Rick Wise (18),504,R
224,225.,Larry Cheney (9),501,R
225,226.,Mike Caldwell (14),499,L
226,226.,Pete Donohue (12),499,R
227,228.,Larry Corcoran (8),498,R
228,229.,Hal Carlson (14),497,R
229,229.,Mike Mussina+ (18),497,R
230,231.,Dutch Ruether (11),494,L
231,232.,Mark Langston (16),493,L
232,232.,Dave Stieb (16),493,R
233,234.,Tim Hudson (17),492,R
234,235.,George Winter (8),490,R
235,236.,Billy Pierce (18),487,L
236,237.,Howie Camnitz (11),486,R
237,237.,Milt Pappas (17),486,R
238,239.,Bob Gibson+ (17),484,R
239,239.,Scott Stratton (8),484,R
240,241.,Johnny Schmitz (13),483,L
241,242.,Gerry Staley (15),481,R
242,243.,Jim Tobin (9),479,R
243,244.,Ed Morris (7),477,L
244,245.,Fred Frankhouse (13),476,R
245,245.,Ned Garvin (7),476,R
246,245.,Kid Gleason (22),476,R
247,245.,Mike Hampton (16),476,L
248,245.,Gene Packard (8),476,L
249,250.,Mike Torrez (18),472,R
250,250.,Kaiser Wilhelm (9),472,R
251,252.,Ken Holtzman (15),471,L
252,253.,Larry Benton (13),469,R
253,253.,George Blaeholder (11),469,R
254,253.,Tommy Bridges (16),469,R
255,253.,Ned Garver (14),469,R
256,257.,Eddie Lopat (12),468,L
257,257.,Bobby Shantz (16),468,L
258,259.,Joe Lake (6),466,R
259,260.,Randy Jones (10),465,L
260,260.,Charlie Leibrandt (14),465,L
261,260.,Mike Morgan (22),465,R
262,263.,Bob Purkey (13),464,R
263,264.,Ben Cantwell (11),463,R
264,265.,Steve Rogers (13),462,R
265,266.,Bob Buhl (15),461,R
266,266.,Ice Box Chamberlain (10),461,R
267,266.,Harry Coveleski (9),461,L
268,266.,Bill Hart (8),461,R
269,266.,Harry Staley (8),461,R
270,271.,Elden Auker (10),460,R
271,271.,Milt Gaston (11),460,R
272,273.,Patsy Flaherty (9),458,L
273,274.,"Bartolo Colon (21, 47)",456,R
274,274.,Jouett Meekin (10),456,R
275,276.,Ed Killian (8),455,L
276,277.,Frank Corridon (6),453,R
277,277.,Mike Cuellar (15),453,L
278,277.,Vern Law (16),453,R
279,277.,Derek Lowe (17),453,R
280,281.,Jimmy Key (15),452,L
281,282.,John Denny (13),451,R
282,282.,Bob Knepper (15),451,L
283,282.,David Wells (21),451,L
284,285.,Paul Splittorff (15),450,L
285,286.,Randy Johnson+ (22),448,L
286,286.,Mickey Lolich (16),448,L
287,286.,Van Mungo (14),448,R
288,289.,Noodles Hahn (8),447,L
289,289.,Lindy McDaniel (21),447,R
290,289.,Joe Oeschger (12),447,R
291,292.,Rip Sewell (13),445,R
292,293.,Mike Moore (14),444,R
293,293.,Stump Weidman (9),444,R
294,295.,Carl Weilman (8),442,L
295,296.,Jeff Tesreau (7),440,R
296,297.,Vern Kennedy (12),439,R
297,297.,Harry McIntire (9),439,R
298,297.,Kirk Rueter (13),439,L
299,300.,Joaquin Andujar (13),437,R
300,300.,Tom Candiotti (16),437,R
301,300.,Rip Collins (11),437,R
302,300.,Dick Ellsworth (13),437,L
303,300.,Ad Gumbert (9),437,R
304,305.,Buster Brown (9),434,R
305,305.,Pretzels Getzien (9),434,R
306,307.,John Smoltz+ (21),433,R
307,308.,Doc Crandall (10),432,R
308,308.,Roy Patterson (7),432,R
309,310.,Billy Rhines (9),431,R
310,311.,Mike Flanagan (18),430,L
311,312.,Fritz Peterson (11),429,L
312,313.,Rick Honeycutt (21),428,L
313,313.,Thornton Lee (16),428,L
314,313.,Bob Rush (13),428,R
315,316.,Vida Blue (17),427,L
316,316.,Lloyd Brown (12),427,L
317,316.,Ed Siever (7),427,L
318,319.,Dutch Leonard (11),426,L
319,320.,"Zack Greinke (17, 36)",425,R
320,321.,Dwight Gooden (16),423,R
321,322.,Joe Horlen (12),421,R
322,322.,Schoolboy Rowe (15),421,R
323,324.,Virgil Trucks (17),420,R
324,325.,Art Fromme (10),419,R
325,326.,Javier Vazquez (14),418,R
326,327.,Ed Doheny (9),417,L
327,327.,Dave McNally (14),417,L
328,329.,Bill Lee (14),415,L
329,329.,Bret Saberhagen (16),415,R
330,331.,Stan Bahnsen (16),414,R
331,331.,Guy Morton (11),414,R
332,333.,Jack Morris+ (18),413,R
333,334.,Jim Bagby (9),411,R
334,334.,Erskine Mayer (8),411,R
335,334.,Pat Ragan (11),411,R
336,334.,George Zettlein (6),411,R
337,338.,Smoky Joe Wood (14),409,R
338,339.,Dave Foutz (13),408,R
339,340.,Dave Davenport (6),407,R
340,341.,Bob Forsch (16),405,R
341,342.,Si Johnson (17),404,R
342,342.,Hugh McQuillan (10),404,R
343,342.,Rick Sutcliffe (18),404,R
344,342.,Johnny Vander Meer (13),404,L
345,346.,Russ Ford (7),403,R
346,347.,Max Butcher (10),402,R
347,347.,Jake Weimer (7),402,L
348,349.,Sheriff Blake (10),401,R
349,349.,Orval Overall (7),401,R
350,351.,Scott Erickson (15),400,R
351,351.,Irv Young (6),400,L
352,353.,Sam Gray (10),399,R
353,353.,Jack Scott (12),399,R
354,355.,Charlie Smith (10),398,R
355,356.,Cliff Melton (8),397,L
356,357.,Howie Pollet (14),396,L
357,358.,George Haddock (7),395,R
358,359.,Don Cardwell (14),394,R
359,359.,Mike McCormick (16),394,L
360,359.,Bob Welch (17),394,R
361,362.,Lefty Gomez+ (14),393,L
362,362.,Bill Phillips (7),393,R
363,364.,Ron Darling (13),391,R
364,365.,Roy Halladay+ (16),390,R
365,365.,George McQuillan (10),390,R
366,365.,Sloppy Thurston (9),390,R
367,368.,Woodie Fryman (18),389,L
368,368.,Ray Herbert (14),389,R
369,368.,Flint Rhem (12),389,R
370,368.,Luis Tiant (19),389,R
371,372.,Jim Barr (12),388,R
372,373.,Clint Brown (15),387,R
373,373.,General Crowder (11),387,R
374,373.,Steve Trachsel (16),387,R
375,376.,R.A. Dickey (15),386,R
376,376.,Rick Rhoden (16),386,R
377,378.,Spud Chandler (11),385,R
378,378.,Terry Mulholland (20),385,L
379,380.,Watty Clark (12),384,L
380,380.,Bill James (8),384,R
381,380.,Elam Vangilder (11),384,R
382,383.,Dave Roberts (13),383,L
383,384.,Rudy May (16),382,L
384,385.,Duke Esper (9),381,L
385,385.,Jack Warhop (8),381,R
386,387.,Otto Hess (10),380,L
387,387.,Zane Smith (13),380,L
388,389.,Fred Heimach (13),378,L
389,389.,Tom Seaton (6),378,R
390,389.,Jim Slaton (16),378,R
391,392.,Jake Westbrook (13),377,R
392,393.,Harry Brecheen (12),376,L
393,393.,Mudcat Grant (14),376,R
394,395.,Henry Porter (6),375,R
395,396.,Dean Chance (11),373,R
396,396.,Burt Hooton (15),373,R
397,396.,Fritz Ostermueller (15),373,L
398,396.,Hoyt Wilhelm+ (21),373,R
399,400.,Jim Bunning+ (17),372,R
