,Rank,"Player (yrs, age)",Assists as CF (s.1901),Throws
117,117.,Ben Chapman (15),58,R
118,117.,Dale Murphy (18),58,R
119,120.,Gus Bell (15),57,R
120,120.,"Billy Hamilton (8, 29)",57,R
121,122.,Ruppert Jones (12),56,L
122,122.,Aaron Rowand (11),56,R
123,124.,Wally Berger (11),55,R
124,124.,Lenny Dykstra (12),55,L
125,124.,Reggie Smith (17),55,R
126,124.,Mickey Stanley (15),55,R
127,128.,Michael Bourn (11),54,R
128,128.,"Jackie Bradley Jr. (8, 30)",54,R
129,128.,Doug Glanville (9),54,R
130,128.,Harry Rice (10),54,R
131,128.,Jimmy Slagle (10),54,R
132,133.,Armando Marsans (8),53,R
133,133.,Preston Wilson (10),53,R
134,135.,Hal Jeffcoat (12),52,R
135,135.,Les Mann (16),52,R
136,135.,Jerry Mumphrey (15),52,R
137,135.,Robin Yount+ (20),52,R
138,139.,Mel Almada (7),51,L
139,139.,Al Burch (6),51,R
140,139.,Ray Lankford (14),51,L
141,139.,Homer Smoot (5),51,R
142,143.,Brian Hunter (10),50,R
143,144.,Juan Beniquez (17),49,R
144,144.,Billy Maloney (6),49,R
145,146.,Tommie Agee (12),48,R
146,146.,Mule Haas (12),48,R
147,146.,"Matt Kemp (15, 35)",48,R
148,146.,Al Simmons+ (20),48,R
149,146.,Thurman Tucker (9),48,R
150,146.,Harry Walker (11),48,R
151,152.,Johnny Damon (18),47,L
152,152.,Curtis Granderson (16),47,R
153,152.,Charlie Hemphill (11),47,L
154,152.,Tommy Holmes (11),47,L
155,156.,Al Bumbry (14),46,R
156,156.,"Lorenzo Cain (11, 34)",46,R
157,156.,Johnny Cooney (20),46,L
158,156.,"Kevin Kiermaier (8, 30)",46,R
159,156.,Irv Noren (11),46,L
160,156.,Al Shaw (5),46,R
161,162.,Bobby Del Greco (9),45,R
162,162.,"Jarrod Dyson (11, 35)",45,R
163,162.,Tony Gonzalez (12),45,R
164,162.,Cliff Heathcote (15),45,L
165,162.,Sam Jethroe (4),45,R
166,162.,Mookie Wilson (12),45,R
167,168.,Harry Craft (6),44,R
168,168.,Kiki Cuyler+ (18),44,R
169,168.,"Dexter Fowler (13, 34)",44,R
170,168.,Don Lock (8),44,R
171,172.,Jackie Brandt (11),43,R
172,172.,Carl Everett (14),43,R
173,172.,Gary Geiger (12),43,R
174,172.,Rick Miller (15),43,L
175,172.,Tom Oliver (4),43,R
176,177.,Chuck Diering (9),42,R
177,177.,Elliott Maddox (11),42,R
178,177.,John Shelby (11),42,R
179,180.,Rick Bosetti (7),41,R
180,180.,Shano Collins (16),41,R
181,180.,Chad Curtis (10),41,R
182,180.,Vic Davalillo (16),41,L
183,180.,Dave Martinez (16),41,L
184,180.,Jay Payton (12),41,R
185,180.,Johnny Rucker (6),41,R
186,180.,Gorman Thomas (13),41,R
187,180.,Shane Victorino (12),41,R
188,189.,Harry Bay (8),40,L
189,189.,Rich Becker (8),40,L
190,189.,Melky Cabrera (15),40,L
191,189.,Johnny Frederick (6),40,L
192,189.,Lee Mazzilli (14),40,R
193,189.,Heinie Mueller (11),40,L
194,189.,Otis Nixon (17),40,R
195,189.,Corey Patterson (12),40,R
196,189.,Chick Stahl (10),40,L
197,189.,Jimmy Welsh (6),40,R
198,189.,Gerald Young (8),40,R
199,200.,Austin Jackson (9),39,R
200,200.,Elmer Miller (7),39,R
201,200.,Eddie Milner (9),39,L
202,200.,Adolfo Phillips (8),39,R
203,200.,Willy Taveras (7),39,R
204,205.,Marlon Byrd (15),38,R
205,205.,Kiddo Davis (8),38,R
206,205.,"Ender Inciarte (7, 29)",38,L
207,205.,Jay Johnstone (20),38,R
208,205.,Gary Matthews (12),38,R
209,205.,Brian McRae (10),38,R
210,211.,Sam Crawford+ (19),37,L
211,211.,George Hendrick (18),37,R
212,211.,Darrin Jackson (12),37,R
213,211.,Roberto Kelly (14),37,R
214,211.,Lee Magee (9),37,R
215,211.,Tony Scott (11),37,R
216,211.,"Mike Trout (10, 28)",37,R
217,211.,Dutch Zwilling (4),37,L
218,219.,Endy Chavez (13),36,L
219,219.,Frank Demaree (12),36,R
220,219.,Denny Sothern (5),36,R
221,219.,Johnny Wyrostek (11),36,R
222,223.,Rocco Baldelli (7),35,R
223,223.,Milton Bradley (12),35,R
224,223.,Vin Campbell (6),35,R
225,223.,Mike Devereaux (12),35,R
226,223.,Oddibe McDowell (7),35,L
227,223.,"Kevin Pillar (8, 31)",35,R
228,223.,Drew Stubbs (9),35,R
229,223.,Chief Wilson (9),35,R
230,223.,Chris Young (13),35,R
231,232.,Carden Gillenwater (5),34,R
232,232.,"Juan Lagares (8, 31)",34,R
233,232.,Freddy Leach (10),34,R
234,232.,Peanuts Lowrey (13),34,R
235,232.,"AJ Pollock (9, 32)",34,R
236,237.,Rajai Davis (14),33,R
237,237.,Von Joshua (10),33,L
238,237.,Ken Landreaux (11),33,R
239,237.,Al Oliver (18),33,L
240,237.,Angel Pagan (11),33,R
241,237.,Juan Pierre (14),33,L
242,237.,Pete Reiser (10),33,R
243,237.,Denard Span (11),33,L
244,237.,Frank Thomas (16),33,R
245,237.,Cesar Tovar (12),33,R
246,237.,Willie Wilson (19),33,R
247,237.,Whitey Witt (10),33,R
248,249.,Jacoby Ellsbury (11),32,L
249,249.,Shoeless Joe Jackson (13),32,R
250,249.,Hank Leiber (10),32,R
251,249.,Kevin McReynolds (12),32,R
252,249.,Bernie Neis (8),32,R
253,249.,Randy Winn (13),32,R
254,255.,Chili Davis (19),31,R
255,255.,Jo-Jo White (9),31,R
256,257.,Birdie Cree (8),30,R
257,257.,Coco Crisp (15),30,R
258,257.,Eric Davis (17),30,R
259,257.,Don Demeter (11),30,R
260,257.,Chick Fullis (8),30,R
261,257.,Jimmie Hall (8),30,R
262,257.,Darren Lewis (13),30,R
263,257.,Fred Osborn (3),30,R
264,257.,Jim Rivera (10),30,L
265,257.,Casey Stengel+ (14),30,L
266,257.,Marvell Wynne (8),30,L
267,268.,Buster Adams (6),29,R
268,268.,Dusty Baker (19),29,R
269,268.,Jimmy Barrett (10),29,R
270,268.,David DeJesus (13),29,L
271,268.,Billy Hatcher (12),29,R
272,268.,Myril Hoag (13),29,R
273,268.,Wally Judnich (7),29,L
274,268.,Ben Koehler (2),29,R
275,268.,Dave May (12),29,R
276,268.,Denny Sullivan (4),29,R
277,268.,Frank Welch (9),29,R
278,279.,Tony Armas (14),28,R
279,279.,Beals Becker (8),28,L
280,279.,Jim Delsing (10),28,R
281,279.,"Adam Eaton (9, 31)",28,L
282,279.,Tom Goodwin (14),28,R
283,279.,Freddie Lindstrom+ (13),28,R
284,279.,"Jake Marisnick (8, 29)",28,R
285,279.,Jerry Morales (15),28,R
286,279.,Chris Singleton (6),28,L
287,279.,Derrel Thomas (15),28,R
288,279.,Roy Weatherly (10),28,R
289,290.,Jose Cruz (12),27,R
290,290.,Cito Gaston (11),27,R
291,290.,Wilbur Good (11),27,L
292,290.,"Aaron Hicks (8, 30)",27,R
293,294.,Leon Culberson (6),26,R
294,294.,Mike Donlin (12),26,L
295,294.,Darin Erstad (14),26,L
296,294.,Carl Furillo (15),26,R
297,294.,Larry Hisle (14),26,R
298,294.,Jerry Martin (11),26,R
299,294.,Pepper Martin (13),26,R
300,294.,Bing Miller (16),26,R
301,294.,Ruben Rivera (9),26,R
302,294.,Bobby Tolan (13),26,L
303,294.,Ted Uhlaender (8),26,R
304,294.,Gerald Williams (14),26,R
305,306.,Brady Anderson (15),25,L
306,306.,Marvin Benard (9),25,L
307,306.,Chuck Carr (8),25,R
308,306.,Chet Chadbourne (5),25,R
309,306.,Dain Clay (4),25,R
310,306.,"Starling Marte (9, 31)",25,R
311,306.,Quinton McCracken (12),25,R
312,306.,Willie Tasby (6),25,R
313,306.,Bob Usher (6),25,R
314,315.,Felipe Alou (17),24,R
315,315.,Steve Brye (9),24,R
316,315.,Damon Buford (9),24,R
317,315.,Joe Carter (16),24,R
318,315.,"Brett Gardner (13, 36)",24,L
319,315.,Johnny Grubb (16),24,R
320,315.,Charlie Hanford (2),24,R
321,315.,Emmet Heidrick (8),24,R
322,315.,"Odubel Herrera (5, 28)",24,R
323,315.,Joe Marty (5),24,R
324,315.,Rowland Office (11),24,L
325,315.,Goody Rosen (6),24,L
326,315.,"Michael A. Taylor (7, 29)",24,R
327,315.,Jimmy Walsh (6),24,R
328,315.,Wally Westlake (10),24,R
329,330.,Fred Beck (5),23,L
330,330.,Peter Bourjos (10),23,R
331,330.,George Burns (15),23,R
332,330.,Hoot Evers (12),23,R
333,330.,Augie Galan (16),23,R
334,330.,Stan Javier (17),23,R
335,330.,Gabe Kapler (12),23,R
336,330.,Joe Kelly (5),23,R
337,330.,Hersh Martin (6),23,R
338,330.,Barney McCosky (11),23,R
339,330.,Alex Rios (12),23,R
340,330.,Rondell White (15),23,R
341,342.,Roger Bresnahan+ (17),22,R
342,342.,Jacob Brumfield (7),22,R
343,342.,Dave Fultz (7),22,R
344,342.,Jim Hickman (5),22,R
345,342.,Al Kaline+ (22),22,R
346,342.,Art Kruger (4),22,R
347,342.,"Cameron Maybin (14, 33)",22,R
348,342.,Bake McBride (11),22,R
349,342.,Earl McNeely (8),22,R
350,342.,John Moses (11),22,L
351,342.,Albie Pearson (9),22,L
352,342.,Colby Rasmus (10),22,L
353,342.,Tuck Stainback (13),22,R
354,342.,Ken Williams (14),22,R
355,342.,Herm Winningham (9),22,R
356,342.,George Wright (5),22,R
357,358.,Rick Ankiel (11),21,L
358,358.,Peter Bergeron (5),21,R
359,358.,Chick Hafey+ (13),21,R
360,358.,Jim Hickman (13),21,R
361,358.,Bob Johnson (13),21,R
362,358.,Heinie Manush+ (17),21,L
363,358.,Mike McCormick (10),21,R
364,358.,George Metkovich (10),21,L
365,358.,Alex Metzler (6),21,R
366,358.,Willie Montanez (14),21,L
367,358.,"Marcell Ozuna (8, 29)",21,R
368,358.,Dave Roberts (10),21,L
369,358.,Gee Walker (15),21,R
370,371.,"Charlie Blackmon (10, 33)",20,L
371,371.,Gino Cimoli (10),20,R
372,371.,Bert Daniels (5),20,R
373,371.,Bob Dernier (10),20,R
374,371.,Phil Geier (5),20,R
375,371.,Lenny Green (12),20,L
376,371.,Darryl Hamilton (13),20,R
377,371.,Ken Henderson (16),20,R
378,371.,"Jon Jay (11, 35)",20,L
379,371.,Cody Ross (12),20,L
380,371.,Rusty Torres (9),20,R
381,371.,Joe Wallis (5),20,R
382,383.,Lyman Bostock (4),19,R
383,383.,Fred Brickell (8),19,R
384,383.,Milt Byrnes (3),19,L
385,383.,Alex Cole (7),19,L
386,383.,Bill Cunningham (4),19,R
387,383.,Bobby Estalella (9),19,R
388,383.,Gus Felix (5),19,R
389,383.,Liz Funk (4),19,L
390,383.,Woodie Held (14),19,R
391,383.,Larry Herndon (14),19,R
392,383.,Richard Hidalgo (9),19,R
393,383.,Rudy Law (7),19,L
394,383.,Wally Mattick (3),19,R
395,383.,Greasy Neale (8),19,R
396,383.,Al Nixon (9),19,L
397,383.,Jake Powell (11),19,R
398,383.,Carl Reynolds (13),19,R
399,383.,Grady Sizemore (10),19,L
