,Rank,"Player (yrs, age)",Def. Games as CF (s.1901),Throws
191,192.,"Ender Inciarte (7, 29)",638,L
192,193.,Danny Hoffman (9),636,L
193,194.,Eddie Milner (9),634,L
194,195.,Johnny Cooney (20),632,L
195,196.,Jay Payton (12),626,R
196,197.,Ping Bodie (9),622,R
197,198.,Chris Singleton (6),619,L
198,199.,Tony Armas (14),618,R
199,200.,Rube Oldring (13),615,R
200,201.,Jigger Statz (8),614,R
201,202.,Ted Uhlaender (8),608,R
202,203.,Sam Rice+ (20),607,R
203,203.,Johnny Rucker (6),607,R
204,205.,Burt Shotton (14),606,R
205,206.,Willy Taveras (7),601,R
206,207.,Jose Cruz (12),600,R
207,208.,Peter Bourjos (10),599,R
208,208.,Hank Leiber (10),599,R
209,210.,Nemo Leibold (13),595,R
210,211.,"Odubel Herrera (5, 28)",594,R
211,212.,Bobby Del Greco (9),591,R
212,212.,Don Demeter (11),591,R
213,214.,Dave Philley (18),590,R
214,215.,Wally Judnich (7),583,L
215,216.,Ben Chapman (15),582,R
216,217.,Adolfo Phillips (8),576,R
217,218.,Jack Smith (15),575,L
218,219.,Tillie Walker (13),573,R
219,220.,Solly Hofman (14),565,R
220,221.,Thurman Tucker (9),562,R
221,222.,Melky Cabrera (15),561,L
222,222.,Bobby Tolan (13),561,L
223,224.,Albie Pearson (9),556,L
224,225.,Nate McLouth (10),555,R
225,226.,"Brett Gardner (13, 36)",553,L
226,227.,Billy Hatcher (12),551,R
227,228.,"Jake Marisnick (8, 29)",549,R
228,229.,Harry Craft (6),548,R
229,229.,Herm Winningham (9),548,R
230,231.,Gary Geiger (12),543,R
231,232.,Dave May (12),542,R
232,233.,"Aaron Hicks (8, 30)",541,R
233,234.,Darin Erstad (14),540,L
234,235.,Chili Davis (19),539,R
235,235.,Chuck Diering (9),539,R
236,237.,Charlie Hemphill (11),537,L
237,238.,Ken Henderson (16),532,R
238,239.,Harry Walker (11),531,R
239,240.,Barney McCosky (11),523,R
240,241.,Jay Johnstone (20),520,R
241,242.,Damon Buford (9),519,R
242,242.,Jo-Jo White (9),519,R
243,244.,Milt Thompson (13),518,R
244,245.,Dave Roberts (10),514,L
245,245.,Rondell White (15),514,R
246,247.,Darrin Jackson (12),510,R
247,247.,Jerry Morales (15),510,R
248,249.,Johnny Frederick (6),507,L
249,250.,Gerald Young (8),506,R
250,251.,Endy Chavez (13),505,L
251,252.,Tom Oliver (4),504,R
252,253.,Larry Hisle (14),500,R
253,254.,Daryl Boston (11),497,L
254,255.,Felipe Alou (17),489,R
255,255.,Al Kaline+ (22),489,R
256,257.,Dusty Baker (19),487,R
257,258.,Ben Revere (8),485,R
258,258.,Roy Weatherly (10),485,R
259,260.,Rudy Law (7),483,L
260,261.,Hoot Evers (12),477,R
261,262.,Rich Becker (8),476,L
262,263.,Franklin Gutierrez (12),475,R
263,263.,Elliott Maddox (11),475,R
264,265.,Mack Jones (10),474,R
265,266.,Chuck Carr (8),472,R
266,267.,Jimmy Slagle (10),470,R
267,267.,Gee Walker (15),470,R
268,269.,Harry Rice (10),469,R
269,269.,Cesar Tovar (12),469,R
270,271.,Milton Bradley (12),468,R
271,271.,Kevin McReynolds (12),468,R
272,273.,Johnny Hopp (14),467,L
273,274.,George Metkovich (10),466,L
274,274.,Jim Northrup (12),466,R
275,276.,Mel Almada (7),460,L
276,276.,Armando Marsans (8),460,R
277,278.,Willie Tasby (6),459,R
278,279.,Gabe Kapler (12),458,R
279,280.,Marvin Benard (9),456,L
280,281.,Ruben Rivera (9),455,R
281,282.,Gerald Williams (14),453,R
282,283.,Quinton McCracken (12),452,R
283,283.,Whitey Witt (10),452,R
284,285.,Joe Marty (5),450,R
285,286.,Larry Herndon (14),448,R
286,287.,Sam Crawford+ (19),446,L
287,287.,Rickey Henderson+ (25),446,L
288,287.,Chick Stahl (10),446,L
289,290.,Gregor Blanco (10),442,L
290,290.,Jimmie Hall (8),442,R
291,290.,Tommy Holmes (11),442,L
292,293.,Andres Torres (9),441,R
293,293.,George Wright (5),441,R
294,295.,Charlie Jones (6),438,R
295,296.,"Starling Marte (9, 31)",434,R
296,297.,Joe Carter (16),432,R
297,298.,Rick Ankiel (11),431,L
298,299.,"Michael A. Taylor (7, 29)",430,R
299,300.,Hal Jeffcoat (12),429,R
300,301.,"Albert Almora (5, 26)",427,R
301,301.,Kiddo Davis (8),427,R
302,301.,Alex Rios (12),427,R
303,304.,"Byron Buxton (6, 26)",425,R
304,304.,Mitch Webster (13),425,L
305,306.,Von Joshua (10),424,L
306,306.,"Manuel Margot (5, 25)",424,R
307,308.,Eddie Brown (7),423,R
308,309.,Buster Adams (6),422,R
309,309.,Russ Snyder (12),422,R
310,311.,Josh Hamilton (9),421,L
311,312.,"Delino DeShields (6, 27)",420,R
312,313.,Pete Reiser (10),419,R
313,314.,Sam Jethroe (4),417,R
314,315.,Les Mann (16),416,R
315,316.,Jerry Martin (11),412,R
316,316.,"Joc Pederson (7, 28)",412,L
