,Rank,"Player (yrs, age)",Fielding % as CF (s.1901),Throws
147,146.,Bill Tuttle (11),.9836,R
148,149.,Omar Moreno (12),.9835,L
149,150.,"Jarrod Dyson (11, 35)",.9833,R
150,150.,Garry Maddox (15),.9833,R
151,150.,Bobby Thomson (15),.9833,R
152,153.,Lance Johnson (14),.9832,L
153,154.,Mule Haas (12),.9829,R
154,155.,Terry Moore (11),.9828,R
155,156.,Gary Matthews (12),.9827,R
156,157.,Ethan Allen (13),.9826,R
157,158.,Richie Ashburn+ (15),.9825,R
158,158.,Lloyd Waner+ (18),.9825,R
159,160.,Bob Dernier (10),.9823,R
160,160.,Mickey Rivers (15),.9823,L
161,162.,Dave May (12),.9817,R
162,162.,John Shelby (11),.9817,R
163,164.,Jerry Mumphrey (15),.9816,R
164,164.,Bill Virdon (12),.9816,R
165,164.,Preston Wilson (10),.9816,R
166,167.,Bobby Del Greco (9),.9815,R
167,168.,Al Oliver (18),.9814,L
168,168.,Stan Spence (9),.9814,L
169,170.,Sam West (16),.9813,L
170,171.,Bill North (11),.9812,R
171,172.,Willie Mays+ (22),.9811,R
172,173.,Rick Monday (19),.9808,L
173,173.,Vada Pinson (18),.9808,L
174,175.,Bill Bruton (12),.9807,R
175,175.,Jim Wynn (15),.9807,R
176,177.,Barney McCosky (11),.9806,R
177,178.,Brian Hunter (10),.9802,R
178,178.,Mike Kreevich (12),.9802,R
179,180.,Albie Pearson (9),.9801,L
180,180.,Bobby Tolan (13),.9801,L
181,182.,Tony Armas (14),.9799,R
182,182.,Adolfo Phillips (8),.9799,R
183,184.,Jay Johnstone (20),.9798,R
184,185.,Jackie Brandt (11),.9797,R
185,185.,Carl Everett (14),.9797,R
186,187.,Roy Thomas (13),.9796,L
187,188.,Dave Philley (18),.9794,R
188,189.,Amos Strunk (17),.9793,L
189,190.,Juan Beniquez (17),.9790,R
190,191.,Herm Winningham (9),.9789,R
191,192.,Vince DiMaggio (10),.9786,R
192,192.,Larry Hisle (14),.9786,R
193,194.,Doc Cramer (20),.9785,R
194,195.,Johnny Frederick (6),.9784,L
195,196.,Willie Davis (18),.9781,L
196,197.,Matty Alou (15),.9780,L
197,198.,Jose Cardenal (18),.9777,R
198,198.,Don Lock (8),.9777,R
199,198.,Willie McGee (18),.9777,R
200,201.,Chili Davis (19),.9775,R
201,202.,Joe DiMaggio+ (13),.9772,R
202,203.,Reggie Smith (17),.9771,R
203,204.,Ira Flagstead (13),.9770,R
204,205.,Al Simmons+ (20),.9764,R
205,206.,Dom DiMaggio (11),.9761,R
206,207.,Fielder Jones (15),.9757,R
207,208.,Happy Felsch (6),.9747,R
208,209.,Tommy Leach (19),.9745,R
209,210.,Tommie Agee (12),.9739,R
210,210.,Fred Schulte (11),.9739,R
211,212.,Baby Doll Jacobson (11),.9721,R
212,212.,Cy Williams (19),.9721,L
213,214.,Wally Berger (11),.9718,R
214,215.,Taylor Douthit (11),.9716,R
215,215.,Hi Myers (14),.9716,R
216,217.,Edd Roush+ (18),.9714,L
217,218.,Earle Combs+ (12),.9713,R
218,219.,Johnny Mostil (10),.9701,R
219,220.,Dode Paskert (15),.9700,R
220,221.,Sam Chapman (11),.9699,R
221,222.,Hank Leiber (10),.9697,R
222,222.,Tris Speaker+ (22),.9697,L
223,222.,Jigger Statz (8),.9697,R
224,225.,Solly Hofman (14),.9694,R
225,226.,Ron LeFlore (9),.9691,R
226,227.,Earl Averill+ (13),.9689,R
227,228.,Johnny Rucker (6),.9680,R
228,229.,Kiki Cuyler+ (18),.9675,R
229,230.,Harry Walker (11),.9672,R
230,231.,Rube Oldring (13),.9665,R
231,232.,Fred Snodgrass (9),.9659,R
232,233.,Ginger Beaumont (12),.9643,R
233,234.,Max Carey+ (20),.9641,R
234,235.,Hack Wilson+ (12),.9640,R
235,236.,Ping Bodie (9),.9636,R
236,237.,Ty Cobb+ (24),.9632,R
237,238.,Ben Chapman (15),.9624,R
238,239.,Nemo Leibold (13),.9618,R
239,240.,Rebel Oakes (7),.9605,R
240,241.,Ray Powell (9),.9604,R
241,242.,Benny Kauff (8),.9603,L
242,243.,Jo-Jo White (9),.9596,R
243,244.,Jack Smith (15),.9592,L
244,245.,Joe Birmingham (9),.9590,R
245,246.,Cy Seymour (16),.9567,L
246,247.,Danny Hoffman (9),.9563,L
247,248.,Johnny Bates (9),.9535,L
248,249.,Sam Rice+ (20),.9529,R
249,250.,Charlie Hemphill (11),.9520,L
250,251.,Clyde Milan (16),.9515,R
251,252.,Tillie Walker (13),.9494,R
252,253.,Burt Shotton (14),.9442,R
