,Rank,"Player (yrs, age)",Double Plays Turned as LF (s.1901),Throws
228,197.,Russ Scarritt (4),6,R
229,197.,Enos Slaughter+ (19),6,R
230,197.,Matt Stairs (19),6,R
231,197.,Claudell Washington (17),6,L
232,197.,George Watkins (7),6,R
233,197.,Terry Whitfield (10),6,R
234,197.,Brad Wilkerson (8),6,L
235,236.,Bob Allison (13),5,R
236,236.,Morrie Arnovich (7),5,R
237,236.,Clyde Barnhart (9),5,R
238,236.,"Andrew Benintendi (5, 25)",5,L
239,236.,Emil Brown (10),5,R
240,236.,Rico Carty (15),5,R
241,236.,Phil Cavarretta (22),5,L
242,236.,Jerald Clark (7),5,R
243,236.,Wally Clement (2),5,R
244,236.,Rocky Colavito (14),5,R
245,236.,Wid Conroy (11),5,R
246,236.,Wil Cordero (14),5,R
247,236.,Roy Cullenbine (10),5,R
248,236.,Kiki Cuyler+ (18),5,R
249,236.,Kal Daniels (7),5,R
250,236.,David Dellucci (13),5,L
251,236.,Joe Evans (11),5,R
252,236.,Gus Felix (5),5,R
253,236.,Dave Gallagher (9),5,R
254,236.,Oscar Gamble (17),5,R
255,236.,Jonny Gomes (13),5,R
256,236.,Sid Gordon (13),5,R
257,236.,Denver Grigsby (3),5,R
258,236.,Tommy Harper (15),5,R
259,236.,Billy Hatcher (12),5,R
260,236.,Glenallen Hill (13),5,R
261,236.,Bill Hinchman (10),5,R
262,236.,Scotty Ingerton (1),5,R
263,236.,Monte Irvin+ (8),5,R
264,236.,George Jackson (3),5,R
265,236.,Jim Jackson (4),5,R
266,236.,Brian Jordan (15),5,R
267,236.,David Justice (14),5,L
268,236.,Charlie Keller (13),5,R
269,236.,"Matt Kemp (15, 35)",5,R
270,236.,Merlin Kopp (3),5,R
271,236.,Art Kruger (4),5,R
272,236.,Matt Lawton (12),5,R
273,236.,Nemo Leibold (13),5,R
274,236.,Jack Lelivelt (6),5,L
275,236.,Johnny Lindell (12),5,R
276,236.,Hector Lopez (12),5,R
277,236.,Hersh Martin (6),5,R
278,236.,Charlie Maxwell (14),5,L
279,236.,Kevin Mench (8),5,R
280,236.,Sam Mertes (10),5,R
281,236.,Alex Metzler (6),5,R
282,236.,Jason Michaels (11),5,R
283,236.,Clyde Milan (16),5,R
284,236.,Bing Miller (16),5,R
285,236.,Melvin Mora (13),5,R
286,236.,Walt Moryn (8),5,R
287,236.,David Murphy (10),5,L
288,236.,Greasy Neale (8),5,R
289,236.,Warren Newson (8),5,L
290,236.,Laynce Nix (11),5,L
291,236.,Al Oliver (18),5,L
292,236.,"Marcell Ozuna (8, 29)",5,R
293,236.,Vada Pinson (18),5,L
294,236.,Carlos Quentin (9),5,R
295,236.,Ryan Raburn (12),5,R
296,236.,Tommie Reynolds (8),5,R
297,236.,Pete Rose (24),5,R
298,236.,Michael Saunders (9),5,R
299,236.,Al Scheer (3),5,R
300,236.,Frank Schulte (15),5,R
301,236.,Kip Selbach (13),5,R
302,236.,Roy Sievers (17),5,R
303,236.,Al Spangler (13),5,L
304,236.,Shane Spencer (7),5,R
305,236.,Franklin Stubbs (10),5,L
306,236.,Leon Wagner (12),5,R
307,236.,Rondell White (15),5,R
308,236.,Willie Wilson (19),5,R
309,236.,Al Woods (7),5,L
310,311.,George Anderson (3),4,R
311,311.,Turner Barber (9),4,R
312,311.,Bill Barrett (9),4,R
313,311.,Johnny Bates (9),4,L
314,311.,Curt Blefary (8),4,R
315,311.,Daryl Boston (11),4,L
316,311.,Don Buford (10),4,R
