,Rank,"Player (yrs, age)",Runs Batted In,Bats
447,448.,Sam West (16),838,L
448,449.,Henry Larkin (10),836,R
449,450.,Oyster Burns (11),834,R
450,451.,Chick Hafey+ (13),833,R
451,452.,Mickey Cochrane+ (13),830,L
452,452.,Augie Galan (16),830,B
453,452.,Gene Woodling (17),830,L
454,455.,Harlond Clift (12),829,R
455,456.,"Paul Goldschmidt (10, 32)",828,R
456,456.,Hardy Richardson (14),828,R
457,458.,"Asdrubal Cabrera (14, 34)",827,B
458,458.,Jack Glasscock (17),827,R
459,458.,Willie Kamm (13),827,R
460,461.,Bob Boone (19),826,R
461,461.,Darrell Porter (17),826,L
462,463.,Hubie Brooks (15),824,R
463,463.,Tony Clark (15),824,B
464,463.,Kid Gleason (22),824,B
465,463.,Claudell Washington (17),824,L
466,467.,Brian Jordan (15),821,R
467,468.,Irish Meusel (11),819,R
468,468.,Tony Phillips (18),819,B
469,470.,Baby Doll Jacobson (11),818,R
470,470.,Carlos Pena (14),818,L
471,470.,Gus Suhr (11),818,L
472,473.,Harry Hooper+ (17),816,L
473,473.,Juan Uribe (16),816,R
474,473.,Jose Valentin (16),816,B
475,476.,Tony Armas (14),815,R
476,477.,Walker Cooper (18),812,R
477,477.,Willie Jones (15),812,R
478,477.,Tommy Leach (19),812,R
479,480.,Tom Daly (17),811,B
480,481.,Willie Keeler+ (19),810,L
481,481.,Joe Rudi (16),810,R
482,481.,Jimmy Sheckard (17),810,L
483,484.,Sherm Lollar (18),808,R
484,485.,Kevin McReynolds (12),807,R
485,486.,Sid Gordon (13),805,R
486,487.,Nick Swisher (12),803,B
487,488.,Max Carey+ (20),802,B
488,488.,Willie Montanez (14),802,L
489,490.,Joe Quinn (17),800,R
490,490.,Germany Smith (15),800,R
491,492.,Red Kress (14),799,R
492,492.,Cy Seymour (16),799,L
493,492.,Jayson Werth (15),799,R
494,492.,Heinie Zimmerman (13),799,R
495,496.,"Mike Trout (10, 28)",798,R
496,497.,Bob Allison (13),796,R
497,497.,"Carlos Santana (11, 34)",796,B
498,497.,"Giancarlo Stanton (11, 30)",796,R
499,497.,Jimmy Williams (11),796,R
500,501.,J.D. Drew (14),795,L
501,501.,Tommy Henrich (11),795,L
502,503.,Michael Cuddyer (15),794,R
503,503.,Larry Doyle (14),794,L
504,503.,George McQuinn (12),794,L
505,503.,Alex Rios (12),794,R
506,507.,Frank Schulte (15),793,L
507,507.,Ozzie Smith+ (19),793,B
508,509.,Carl Everett (14),792,B
509,509.,Shoeless Joe Jackson (13),792,L
510,509.,Andy Van Slyke (13),792,L
511,509.,Richie Zisk (13),792,R
512,513.,Luis Aparicio+ (18),791,R
513,513.,Duffy Lewis (11),791,R
514,515.,Nellie Fox+ (19),790,L
515,516.,Lou Boudreau+ (15),789,R
516,517.,"Carlos Gonzalez (12, 34)",785,L
517,517.,Joe Tinker+ (15),785,R
518,519.,Bibb Falk (12),784,L
519,520.,"Shin-Soo Choo (16, 37)",782,L
520,520.,Gorman Thomas (13),782,R
521,520.,Jason Thompson (11),782,L
