,Rank,"Player (yrs, age)",Offensive WAR,Bats
129,130.,Jack Clark (18),54.6,R
130,130.,Brian Giles (15),54.6,L
131,132.,Todd Helton (17),54.5,L
132,132.,Ivan Rodriguez+ (21),54.5,R
133,134.,Earl Averill+ (13),54.4,L
134,134.,Darrell Evans (21),54.4,L
135,134.,Jackie Robinson+ (10),54.4,R
136,137.,Willie Randolph (18),54.3,R
137,138.,Hank Greenberg+ (13),54.2,R
138,138.,Joe Sewell+ (14),54.2,L
139,140.,Lance Berkman (15),54.1,B
140,141.,Bob Johnson (13),53.9,R
141,142.,Ellis Burks (18),53.8,R
142,142.,Brian Downing (20),53.8,R
143,144.,Ted Simmons+ (21),53.6,B
144,145.,Fred Lynn (17),53.4,L
145,145.,George Sisler+ (15),53.4,L
146,147.,Cesar Cedeno (17),53.3,R
147,148.,Willie Keeler+ (19),53.2,L
148,149.,Mickey Cochrane+ (13),53.1,L
149,150.,Bill Dickey+ (17),53.0,L
150,150.,Joe Mauer (15),53.0,L
151,150.,Kirby Puckett+ (12),53.0,R
152,153.,Ralph Kiner+ (10),52.8,R
153,153.,Graig Nettles (22),52.8,L
154,155.,Scott Rolen (17),52.7,R
155,156.,"Andrew McCutchen (12, 33)",52.6,R
156,157.,Bobby Bonds (14),51.9,R
157,157.,Miguel Tejada (16),51.9,R
158,157.,David Wright (14),51.9,R
159,160.,Bob Elliott (15),51.7,R
160,161.,Frank Howard (16),51.3,R
161,161.,Chase Utley (16),51.3,L
162,163.,Billy Herman+ (15),51.0,R
163,163.,Tony Perez+ (23),51.0,R
164,165.,Carlos Delgado (17),50.9,L
165,166.,Rusty Staub (23),50.8,L
166,167.,Jack Glasscock (17),50.7,R
167,168.,Ron Cey (17),50.6,R
168,168.,Chuck Klein+ (17),50.6,L
169,170.,Elmer Flick+ (13),50.5,L
170,170.,Joe Kelley+ (17),50.5,R
171,172.,Lou Boudreau+ (15),50.3,R
172,172.,Orlando Cepeda+ (17),50.3,R
173,172.,Sammy Sosa (18),50.3,R
174,175.,"Ryan Braun (14, 36)",50.2,R
175,175.,Jim Fregosi (18),50.2,R
176,175.,Joe Medwick+ (17),50.2,R
177,178.,Norm Cash (17),50.0,L
178,179.,King Kelly+ (16),49.9,R
179,180.,Hanley Ramirez (15),49.7,R
180,181.,Gabby Hartnett+ (20),49.6,R
181,182.,Matt Holliday (15),49.4,R
182,183.,Deacon White+ (20),49.3,L
183,184.,Bill Terry+ (14),49.2,L
184,185.,Bill Madlock (15),49.1,R
185,186.,Lou Brock+ (19),49.0,L
186,187.,Dale Murphy (18),48.9,R
187,188.,Ozzie Smith+ (19),48.8,B
188,189.,John Olerud (17),48.6,L
189,189.,Jorge Posada (17),48.6,B
190,191.,Larry Doyle (14),48.5,L
191,191.,Julio Franco (23),48.5,R
192,191.,Ken Singleton (15),48.5,B
193,194.,Buddy Myer (17),48.2,L
194,195.,Buddy Bell (18),48.1,R
195,196.,Tony Lazzeri+ (14),48.0,R
196,197.,Sam Rice+ (20),47.9,L
197,198.,Willie Davis (18),47.8,L
198,198.,Ichiro Suzuki (19),47.8,L
199,200.,Brooks Robinson+ (23),47.7,R
200,201.,Bert Campaneris (19),47.6,R
201,201.,Larry Doby+ (13),47.6,L
202,201.,Heinie Manush+ (17),47.6,L
203,201.,Gene Tenace (15),47.6,R
204,205.,Torii Hunter (19),47.5,R
205,205.,Wally Schang (19),47.5,B
206,207.,Minnie Minoso (17),47.4,R
207,207.,Tony Phillips (18),47.4,B
208,209.,Al Oliver (18),47.1,L
209,209.,Amos Otis (17),47.1,R
210,211.,Eddie Yost (18),46.8,R
211,212.,Kiki Cuyler+ (18),46.5,R
212,212.,Chet Lemon (16),46.5,R
213,214.,Keith Hernandez (17),46.3,L
214,215.,Albert Belle (12),46.2,R
215,215.,Edd Roush+ (18),46.2,L
216,217.,Max Carey+ (20),46.1,B
217,217.,John McGraw+ (17),46.1,L
218,217.,Vern Stephens (15),46.1,R
219,220.,Bobby Doerr+ (14),46.0,R
220,221.,Jose Canseco (17),45.9,R
221,221.,Carney Lansford (15),45.9,R
222,223.,"Evan Longoria (13, 34)",45.7,R
223,223.,Rick Monday (19),45.7,L
224,223.,Jim Rice+ (16),45.7,R
225,226.,Jimmy Ryan (18),45.6,R
226,227.,Harry Hooper+ (17),45.2,L
227,228.,Paul Hines (20),45.1,R
228,228.,Jose Reyes (16),45.1,B
229,230.,Heinie Groh (16),45.0,R
230,230.,Sam Thompson+ (15),45.0,L
231,232.,Davey Lopes (16),44.9,R
232,232.,Bobby Veach (14),44.9,L
233,234.,Jose Cruz (19),44.7,L
234,234.,Ian Kinsler (14),44.7,R
235,236.,Jack Fournier (15),44.6,L
236,236.,Tim Salmon (14),44.6,R
237,238.,Steve Finley (19),44.5,L
238,239.,George Van Haltren (17),44.4,L
239,240.,Juan Gonzalez (17),44.2,R
240,240.,Roy White (15),44.2,B
241,242.,Larry Gardner (17),43.9,L
242,242.,Ed McKean (13),43.9,R
243,244.,Joe Judge (20),43.8,L
244,245.,Ray Durham (14),43.7,B
245,245.,Curtis Granderson (16),43.7,L
246,245.,Jimmy Rollins (17),43.7,B
247,248.,Mike Tiernan (13),43.5,L
248,249.,Earle Combs+ (12),43.4,L
249,249.,Magglio Ordonez (15),43.4,R
250,249.,Harry Stovey (14),43.4,R
251,252.,Donie Bush (16),43.3,B
252,253.,Bill Freehan (15),43.2,R
253,253.,Thurman Munson (11),43.2,R
254,255.,Augie Galan (16),43.1,B
255,255.,Bobby Murcer (17),43.1,L
256,257.,Cupid Childs (13),43.0,L
257,257.,Nomar Garciaparra (14),43.0,R
258,259.,Dixie Walker (18),42.9,L
259,260.,Eric Davis (17),42.8,R
260,261.,Jim Bottomley+ (16),42.7,L
261,261.,Jimmy Collins+ (14),42.7,R
262,261.,Babe Herman (13),42.7,L
263,264.,Roger Bresnahan+ (17),42.5,R
264,264.,Buck Ewing+ (18),42.5,R
265,266.,Pete Browning (13),42.4,R
266,266.,Luis Gonzalez (19),42.4,L
267,266.,Boog Powell (17),42.4,L
268,269.,Al Dark (14),42.3,R
269,269.,"Edwin Encarnacion (16, 37)",42.3,R
270,269.,Tony Fernandez (17),42.3,B
271,269.,Dick McAuliffe (16),42.3,L
272,269.,Jimmy Sheckard (17),42.3,L
273,274.,Luis Aparicio+ (18),42.2,R
274,274.,Chuck Knoblauch (12),42.2,R
275,276.,Bobby Bonilla (16),42.0,B
276,276.,"Shin-Soo Choo (16, 37)",42.0,L
277,276.,Del Pratt (13),42.0,R
278,276.,Darryl Strawberry (17),42.0,L
279,276.,Hack Wilson+ (12),42.0,R
280,281.,Aramis Ramirez (18),41.9,R
281,281.,Mark Teixeira (14),41.9,B
282,283.,Moises Alou (17),41.7,R
283,283.,Ken Griffey (19),41.7,L
284,283.,Dave Parker (19),41.7,L
285,286.,Pedro Guerrero (15),41.6,R
286,287.,Harlond Clift (12),41.5,R
287,288.,"Nelson Cruz (16, 39)",41.4,R
288,288.,"Dustin Pedroia (14, 36)",41.4,R
289,290.,Ed Konetchy (15),41.3,R
290,290.,Pie Traynor+ (17),41.3,R
291,290.,Robin Ventura (16),41.3,L
292,293.,Ernie Lombardi+ (17),41.2,R
293,294.,Cy Williams (19),41.1,L
294,295.,Wally Berger (11),40.9,R
295,295.,Dolph Camilli (12),40.9,L
296,297.,Gil Hodges (18),40.8,R
297,297.,Jason Kendall (15),40.8,R
298,299.,Harold Baines+ (22),40.7,L
299,299.,Bill Nicholson (16),40.7,L
300,301.,Ken Williams (14),40.5,L
301,302.,Frank Chance+ (17),40.4,R
302,302.,Rocky Colavito (14),40.4,R
303,302.,Tommy Leach (19),40.4,R
304,302.,Bid McPhee+ (18),40.4,R
305,306.,Jose Bautista (15),40.3,R
306,307.,"Jose Altuve (10, 30)",40.2,R
307,307.,Michael Young (14),40.2,R
308,309.,Mike Cameron (17),40.1,R
309,309.,Phil Cavarretta (22),40.1,L
310,309.,Joe Gordon+ (11),40.1,R
311,312.,Gary Matthews (16),40.0,R
312,313.,"Paul Goldschmidt (10, 32)",39.9,R
313,314.,Andruw Jones (17),39.8,R
314,314.,Darrell Porter (17),39.8,L
315,316.,Dave Bancroft+ (16),39.7,B
316,316.,Don Mattingly (14),39.7,L
317,318.,Chili Davis (19),39.5,B
318,318.,Charlie Keller (13),39.5,L
319,318.,Clyde Milan (16),39.5,L
320,321.,Lave Cross (21),39.4,R
321,322.,Kirk Gibson (17),39.2,L
322,322.,Ben Zobrist (14),39.2,B
323,324.,Shawn Green (15),39.1,L
324,324.,Eddie Stanky (11),39.1,R
325,326.,George Foster (18),39.0,R
326,327.,Sid Gordon (13),38.8,R
327,328.,Mark Grace (16),38.6,L
328,328.,Roy Thomas (13),38.6,L
329,330.,George Gore (14),38.5,L
330,330.,Maury Wills (14),38.5,B
331,332.,Richie Hebner (18),38.4,L
332,332.,Tony Oliva (15),38.4,L
333,334.,Jay Bell (18),38.3,R
334,334.,"Josh Donaldson (10, 34)",38.3,R
335,336.,J.D. Drew (14),38.2,L
336,336.,Hugh Duffy+ (17),38.2,R
337,336.,Ray Lankford (14),38.2,L
338,339.,Hughie Jennings+ (18),38.1,R
339,340.,Denny Lyons (13),38.0,R
340,341.,Hardy Richardson (14),37.9,R
341,342.,Brady Anderson (15),37.8,L
342,342.,Lonny Frey (14),37.8,L
343,342.,Jim Gilliam (14),37.8,B
344,345.,Red Schoendienst+ (19),37.7,B
345,346.,Jake Daubert (15),37.6,L
346,346.,"Freddie Freeman (11, 30)",37.6,L
347,346.,Andy Van Slyke (13),37.6,L
348,349.,Kent Hrbek (14),37.5,L
349,350.,Victor Martinez (16),37.4,B
350,351.,Nellie Fox+ (19),37.3,L
351,351.,Adam Jones (14),37.3,R
352,351.,Paul O'Neill (17),37.3,L
353,354.,Mickey Vernon (20),37.2,L
354,355.,Harry Davis (22),37.1,R
355,356.,Ben Chapman (15),37.0,R
356,356.,Troy Glaus (13),37.0,R
357,356.,Jeff Heath (14),37.0,L
358,359.,Dick Bartell (18),36.9,R
359,359.,Matt Williams (17),36.9,R
360,361.,Lenny Dykstra (12),36.8,L
361,361.,Steve Garvey (19),36.8,R
362,361.,"Buster Posey (11, 33)",36.8,R
363,364.,"Matt Kemp (15, 35)",36.6,R
364,364.,Andy Pafko (17),36.6,R
365,366.,Doug DeCinces (15),36.4,R
366,366.,Tommy Henrich (11),36.4,L
367,368.,"Asdrubal Cabrera (14, 34)",36.3,B
368,368.,Dummy Hoy (14),36.3,L
369,370.,Alfonso Soriano (16),36.2,R
370,371.,Adrian Gonzalez (15),36.1,L
371,371.,George Grantham (13),36.1,L
372,371.,Danny Murphy (16),36.1,R
373,374.,Felipe Alou (17),36.0,R
374,374.,Gavvy Cravath (11),36.0,R
375,374.,Lance Parrish (19),36.0,R
376,377.,Ron Hunt (12),35.9,R
377,378.,Greg Luzinski (15),35.8,R
378,379.,Jimmy Dykes (22),35.6,R
379,379.,Mike Griffin (12),35.6,L
380,379.,Fred Tenney (17),35.6,L
381,382.,Dusty Baker (19),35.5,R
382,382.,George Kell+ (15),35.5,R
383,382.,Harvey Kuenn (15),35.5,R
384,382.,Danny Tartabull (14),35.5,R
385,386.,Fielder Jones (15),35.4,L
386,386.,Kip Selbach (13),35.4,R
387,388.,Adam Dunn (14),35.3,L
388,388.,Del Ennis (14),35.3,R
389,388.,"Giancarlo Stanton (11, 30)",35.3,R
390,391.,Bill Joyce (8),35.2,L
391,391.,Edgar Renteria (16),35.2,R
392,391.,Willie Wilson (19),35.2,B
393,394.,Joe Adcock (17),35.1,R
394,394.,Don Baylor (19),35.1,R
395,394.,George Hendrick (18),35.1,R
396,394.,Bob Watson (19),35.1,R
397,398.,Derrek Lee (15),35.0,R
398,398.,Lonnie Smith (17),35.0,R
399,398.,Ezra Sutton (18),35.0,R
400,401.,Cecil Cooper (17),34.9,L
401,401.,Ted Kluszewski (15),34.9,L
402,401.,Mickey Tettleton (14),34.9,B
403,404.,David Justice (14),34.8,L
404,404.,Heinie Zimmerman (13),34.8,R
405,406.,Ron Fairly (21),34.6,L
406,406.,Riggs Stephenson (14),34.6,R
407,408.,Roger Maris (12),34.5,L
408,409.,Eric Chavez (17),34.4,L
409,409.,"Ryan Zimmerman (15, 35)",34.4,R
410,411.,Roger Peckinpaugh (17),34.3,R
411,412.,Brian McCann (15),34.2,L
412,412.,Roy Sievers (17),34.2,R
413,412.,Troy Tulowitzki (13),34.2,R
414,412.,Devon White (17),34.2,B
415,416.,Kid Elberfeld (14),34.1,R
416,416.,Prince Fielder (12),34.1,L
417,418.,Andres Galarraga (19),33.9,R
418,418.,Ryan Klesko (16),33.9,L
419,418.,Willie McGee (18),33.9,B
420,418.,Gene Woodling (17),33.9,L
421,422.,Ken Caminiti (15),33.8,B
422,422.,"Justin Upton (14, 32)",33.8,R
423,424.,Don Money (16),33.7,R
424,425.,Travis Fryman (13),33.6,R
425,426.,Kevin Mitchell (13),33.5,R
426,426.,Jhonny Peralta (15),33.5,R
427,428.,Pete Runnels (14),33.4,L
428,429.,Johnny Evers+ (18),33.3,L
429,429.,Topsy Hartsel (14),33.3,L
430,431.,Marty McManus (15),33.2,R
431,431.,Hal Trosky (11),33.2,L
432,433.,Dave Concepcion (19),33.1,R
433,433.,Paul Konerko (18),33.1,R
434,433.,Russell Martin (14),33.1,R
435,433.,"Carlos Santana (11, 34)",33.1,B
436,437.,Lu Blue (13),33.0,B
437,437.,Ron Gant (16),33.0,R
438,437.,Earl Torgeson (15),33.0,L
439,440.,Ginger Beaumont (12),32.9,L
440,440.,Bill Doran (12),32.9,B
441,440.,"Nick Markakis (15, 36)",32.9,L
442,440.,Deacon McGuire (26),32.9,R
443,440.,Omar Vizquel (24),32.9,B
444,445.,"Mookie Betts (7, 27)",32.8,R
445,445.,Rafael Furcal (14),32.8,B
446,445.,"Bryce Harper (9, 27)",32.8,L
447,445.,Howie Kendrick (15),32.8,R
448,445.,Mickey Rivers (15),32.8,L
449,450.,Bob Allison (13),32.7,R
450,450.,Smoky Burgess (18),32.7,L
451,450.,Ray Chapman (9),32.7,R
452,450.,Henry Larkin (10),32.7,R
453,450.,Rico Petrocelli (13),32.7,R
454,450.,Joe Tinker+ (15),32.7,R
455,456.,George Burns (16),32.6,R
456,456.,"Christian Yelich (8, 28)",32.6,L
457,458.,Max Bishop (12),32.5,L
458,458.,Howard Johnson (14),32.5,B
459,460.,George Burns (15),32.4,R
460,460.,Roy Campanella+ (10),32.4,R
461,460.,Dick Groat (14),32.4,R
462,460.,Chick Hafey+ (13),32.4,R
463,460.,Bobby Thomson (15),32.4,R
464,465.,Johnny Callison (16),32.3,L
465,465.,Wally Moses (17),32.3,L
466,467.,Rico Carty (15),32.2,R
467,467.,Miller Huggins+ (13),32.2,B
468,467.,Jimmy Williams (11),32.2,R
469,470.,Carl Crawford (15),32.1,L
470,470.,Bill White (13),32.1,L
471,472.,Johnny Pesky (10),31.9,L
472,472.,Steve Sax (14),31.9,R
473,474.,Reggie Sanders (17),31.8,R
474,475.,Pinky Higgins (14),31.7,R
475,475.,Mo Vaughn (12),31.7,L
476,477.,Bob Bailey (17),31.6,R
477,478.,Mike Hargrove (12),31.5,L
478,478.,Tommy Holmes (11),31.5,L
479,478.,Herman Long (16),31.5,L
480,478.,Billy Nash (15),31.5,R
481,478.,Al Rosen (10),31.5,R
482,483.,Tony Cuccinello (15),31.4,R
483,483.,Tom Daly (17),31.4,B
484,483.,Carlos Guillen (14),31.4,B
485,483.,Wally Joyner (16),31.4,L
486,483.,Vernon Wells (15),31.4,R
487,488.,Javy Lopez (15),31.2,R
488,488.,Gil McDougald (10),31.2,R
489,490.,Art Devlin (10),31.1,R
490,490.,"Manny Machado (9, 27)",31.1,R
491,490.,Stuffy McInnis (19),31.1,R
492,490.,Ross Youngs+ (10),31.1,L
493,494.,Hunter Pence (14),31.0,R
494,495.,Luis Castillo (15),30.9,B
495,495.,Mike Donlin (12),30.9,L
496,495.,Hans Lobert (14),30.9,R
497,495.,"Kyle Seager (10, 32)",30.9,L
498,499.,Bill Bradley (14),30.8,R
499,499.,Jay Buhner (15),30.8,R
500,499.,Hal Chase (15),30.8,R
501,499.,Roy Cullenbine (10),30.8,B
502,499.,Eddie Joost (17),30.8,R
503,499.,Dan McGann (12),30.8,B
504,499.,John Titus (11),30.8,L
505,506.,Don Buford (10),30.7,B
506,507.,Fred Dunlap (12),30.6,R
507,507.,Carl Furillo (15),30.6,R
508,507.,Kevin Seitzer (12),30.6,R
509,510.,Travis Jackson+ (15),30.5,R
510,511.,Jim Ray Hart (12),30.4,R
511,512.,Art Fletcher (13),30.3,R
512,512.,Joe Start (16),30.3,L
513,514.,Curt Flood (15),30.2,R
514,514.,Carlos Lee (14),30.2,R
515,516.,Tony Gonzalez (12),30.1,L
516,516.,Denis Menke (13),30.1,R
517,516.,Cecil Travis (12),30.1,L
518,519.,Willie Kamm (13),30.0,R
519,519.,Joe Kuhel (18),30.0,L
520,519.,Rabbit Maranville+ (23),30.0,R
521,519.,Tim McCarver (21),30.0,L
522,519.,Hal McRae (19),30.0,R
523,519.,Cy Seymour (16),30.0,L
524,519.,Chick Stahl (10),30.0,L
525,526.,Oyster Burns (11),29.9,R
526,527.,"Justin Turner (12, 35)",29.8,R
527,528.,"Elvis Andrus (12, 31)",29.7,R
528,528.,"Xander Bogaerts (8, 27)",29.7,R
529,528.,Elbie Fletcher (12),29.7,L
530,528.,Gary Gaetti (20),29.7,R
531,528.,Mike Smith (14),29.7,L
532,528.,John Ward+ (17),29.7,L
533,534.,Willie Horton (18),29.6,R
534,535.,Phil Rizzuto+ (13),29.5,R
535,536.,Walker Cooper (18),29.4,R
536,536.,Jack Rowe (12),29.4,L
537,536.,Roy Smalley (13),29.4,B
538,536.,Tim Wallach (17),29.4,R
539,540.,Jim Delahanty (13),29.3,R
540,540.,Robby Thompson (11),29.3,R
541,540.,Jayson Werth (15),29.3,R
542,543.,Tommy Harper (15),29.2,R
543,543.,Greg Vaughn (15),29.2,R
544,543.,Ned Williamson (13),29.2,R
545,543.,Rudy York (13),29.2,R
546,547.,Jeff Burroughs (16),29.1,R
547,547.,"Matt Carpenter (10, 34)",29.1,L
548,547.,Josh Hamilton (9),29.1,L
549,547.,Lee May (18),29.1,R
550,547.,Harry Steinfeldt (14),29.1,R
551,552.,Willie Jones (15),29.0,R
552,552.,Grady Sizemore (10),29.0,L
553,552.,Red Smith (9),29.0,R
554,555.,John Anderson (14),28.9,B
555,555.,Dom DiMaggio (11),28.9,R
556,557.,Bret Boone (14),28.8,R
557,557.,Jack Clements (17),28.8,L
558,557.,Kevin McReynolds (12),28.8,R
559,557.,Lefty O'Doul (11),28.8,L
560,557.,"Anthony Rendon (8, 30)",28.8,R
561,562.,Jack Doyle (17),28.7,R
562,562.,"Dexter Fowler (13, 34)",28.7,B
563,562.,Raul Ibanez (19),28.7,L
564,562.,Johnny Logan (13),28.7,R
565,562.,Freddy Parent (12),28.7,R
566,562.,Claude Ritchey (13),28.7,B
567,562.,Jim Sundberg (16),28.7,R
568,562.,Kevin Youkilis (10),28.7,R
569,570.,Marquis Grissom (17),28.6,R
570,570.,Tom Haller (12),28.6,L
571,570.,Benny Kauff (8),28.6,L
572,570.,Brian Roberts (14),28.6,B
573,574.,Bobby Avila (11),28.5,R
574,574.,Juan Samuel (16),28.5,R
575,574.,Elmer Valo (20),28.5,L
576,574.,Sam West (16),28.5,L
577,578.,Wally Moon (12),28.4,L
578,578.,A.J. Pierzynski (19),28.4,L
579,580.,Joe Carter (16),28.2,R
580,580.,Bob Horner (10),28.2,R
581,580.,Dwayne Murphy (12),28.2,L
582,583.,"Brett Gardner (13, 36)",28.1,L
583,583.,Raul Mondesi (13),28.1,R
584,583.,George Scott (14),28.1,R
585,586.,"Michael Brantley (12, 33)",28.0,L
586,586.,Yunel Escobar (11),28.0,R
587,586.,Charlie Hickman (12),28.0,R
588,586.,B.J. Surhoff (19),28.0,L
589,590.,Rick Ferrell+ (18),27.9,R
590,590.,Placido Polanco (16),27.9,R
591,590.,Vic Wertz (17),27.9,L
592,593.,Michael Cuddyer (15),27.8,R
593,593.,Jacoby Ellsbury (11),27.8,L
594,593.,Buddy Lewis (11),27.8,L
595,593.,Mike Napoli (12),27.8,R
596,593.,Hank Sauer (15),27.8,R
597,598.,Edgardo Alfonzo (12),27.7,R
598,598.,Jeff Blauser (13),27.7,R
599,598.,John Mayberry (15),27.7,L
600,601.,Jason Bay (11),27.6,R
601,601.,Phil Garner (16),27.6,R
602,601.,Melvin Mora (13),27.6,R
603,604.,Charlie Bennett (15),27.5,R
604,604.,Ray Boone (13),27.5,R
605,606.,"J.D. Martinez (10, 32)",27.4,R
606,607.,"Yadier Molina (17, 37)",27.3,R
607,607.,"Anthony Rizzo (10, 30)",27.3,L
608,609.,Larry Hisle (14),27.2,R
609,610.,Delino DeShields (13),27.1,L
610,610.,Cliff Floyd (17),27.1,L
611,610.,Oscar Gamble (17),27.1,L
612,610.,Davey Johnson (13),27.1,R
613,610.,Lloyd Moseby (12),27.1,L
614,610.,Ben Oglivie (16),27.1,L
615,610.,Denard Span (11),27.1,L
616,610.,Lloyd Waner+ (18),27.1,L
617,610.,Sam Wise (12),27.1,L
618,619.,Coco Crisp (15),27.0,B
619,619.,Sixto Lezcano (12),27.0,R
620,619.,Terry Steinbach (14),27.0,R
621,622.,Mike Stanley (15),26.9,R
622,623.,Von Hayes (12),26.8,L
623,623.,Ken Keltner (13),26.8,R
624,623.,Bob Meusel (11),26.8,R
625,623.,Dave Orr (8),26.8,R
626,623.,Milt Stock (14),26.8,R
627,628.,"Nolan Arenado (8, 29)",26.7,R
628,628.,Buck Freeman (11),26.7,L
629,628.,Ron LeFlore (9),26.7,R
630,628.,Todd Zeile (16),26.7,R
631,632.,Tony Taylor (19),26.6,R
