,Rank,"Player (yrs, age)",Errors Committed as P,Throws
87,86.,Frank Dwyer (12),54,R
88,86.,Noodles Hahn (8),54,L
89,86.,Casey Patten (8),54,L
90,86.,Ed Reulbach (13),54,R
91,86.,John Ward+ (17),54,R
92,93.,Frank Foreman (11),53,R
93,93.,Greg Maddux+ (23),53,R
94,93.,Christy Mathewson+ (17),53,R
95,93.,Doc Newton (8),53,L
96,93.,Wiley Piatt (6),53,L
97,98.,Cy Falkenberg (12),52,R
98,98.,Bob Groom (10),52,R
99,98.,Walter Johnson+ (21),52,R
100,98.,Sad Sam Jones (22),52,R
101,98.,Lee Meadows (15),52,R
102,98.,Barney Pelty (10),52,R
103,98.,Henry Porter (6),52,R
104,98.,Ray Sadecki (18),52,L
105,106.,Red Donahue (13),51,R
106,106.,Orel Hershiser (18),51,R
107,106.,Harry Howell (13),51,R
108,106.,Phil Knell (6),51,L
109,106.,Ted Lyons+ (21),51,R
110,106.,Terry Mulholland (20),51,L
111,106.,Doc White (13),51,L
112,113.,Guy Morton (11),50,R
113,113.,Dizzy Trout (15),50,R
114,115.,Jim Britt (2),49,
115,115.,Kevin Brown (19),49,R
116,115.,Bill Donovan (18),49,R
117,115.,Dave Foutz (13),49,R
118,115.,George Haddock (7),49,R
119,115.,Fergie Jenkins+ (19),49,R
120,115.,Tommy John (26),49,L
121,115.,Togie Pittinger (8),49,R
122,115.,Ed Seward (6),49,R
123,124.,"Bartolo Colon (21, 47)",48,R
124,124.,Ad Gumbert (9),48,R
125,126.,Dan Casey (7),47,L
126,126.,Patsy Flaherty (9),47,L
127,126.,Juan Marichal+ (16),47,R
128,126.,Lee Richmond (6),47,L
129,126.,Jesse Tannehill (15),47,L
130,126.,Earl Whitehill (17),47,L
131,132.,Larry Cheney (9),46,R
132,132.,Chuck Finley (17),46,L
133,132.,Bill Hart (8),46,R
134,132.,Al Mays (6),46,R
135,132.,Tully Sparks (12),46,R
136,132.,George Winter (8),46,R
137,138.,Joe Benz (9),45,R
138,138.,Mel Harder (20),45,R
139,138.,Joe Lake (6),45,R
140,138.,Frank Mountain (7),45,R
141,138.,Jack Quinn (23),45,R
142,143.,Howard Ehmke (15),44,R
143,143.,Carl Mays (15),44,R
144,143.,Tricky Nichols (6),44,R
145,143.,Kenny Rogers (20),44,L
146,143.,Phenomenal Smith (8),44,L
147,143.,Jack Warhop (8),44,R
148,149.,Jimmy Callahan (13),43,R
149,149.,Bill Doak (16),43,R
150,149.,Bill Duggleby (8),43,R
151,149.,Terry Larkin (6),43,R
152,149.,Dolf Luque (20),43,R
153,149.,Willie Mitchell (11),43,L
154,149.,Dupee Shaw (6),43,L
155,149.,Jack Taylor (10),43,R
156,157.,Al Atkinson (3),42,R
157,157.,Steve Carlton+ (24),42,L
158,157.,Hooks Dauss (15),42,R
159,157.,Bob Emslie (3),42,R
160,157.,Ned Garvin (7),42,R
161,157.,Bob Gibson+ (17),42,R
162,157.,Jerry Koosman (19),42,L
163,157.,Dennis Martinez (23),42,R
164,157.,Hank O'Day+ (7),42,R
165,157.,Jerry Reuss (22),42,L
166,157.,Tom Seaver+ (20),42,R
167,157.,Mike Sullivan (10),42,R
168,169.,Wilbur Cooper (15),41,L
169,169.,Al Maul (15),41,R
170,169.,Andy Messersmith (12),41,R
171,169.,Blue Moon Odom (13),41,R
172,169.,Dick Ruthven (14),41,R
173,169.,Bob Shawkey (15),41,R
174,169.,Billy Taylor (7),41,R
175,169.,Mike Torrez (18),41,R
176,169.,Ed Willett (10),41,R
177,178.,Bill Carrick (5),40,R
178,178.,John Harkins (5),40,R
179,178.,Eddie Plank+ (17),40,L
180,178.,Jim Scott (9),40,R
181,178.,Harry Staley (8),40,R
182,178.,Scott Stratton (8),40,R
183,178.,Bill Sweeney (2),40,R
184,178.,Bill Wight (12),40,L
185,186.,Doc Ayers (9),39,R
186,186.,A.J. Burnett (17),39,R
187,186.,Ray Fisher (10),39,R
188,186.,Larry French (14),39,L
189,186.,Henry Gruber (5),39,R
190,186.,Mark Langston (16),39,L
191,186.,Danny MacFayden (17),39,R
192,186.,Rube Marquard+ (18),39,L
193,186.,Hugh McQuillan (10),39,R
194,186.,Billy Rhines (9),39,R
195,186.,Sam Weaver (6),39,R
196,197.,Steve Barber (15),38,L
197,197.,Henry Boyle (6),38,R
198,197.,Sam Gray (10),38,R
199,197.,Lefty Grove+ (17),38,L
200,197.,Willis Hudlin (16),38,R
201,197.,Larry Jackson (14),38,R
202,197.,Frank Kitson (10),38,R
203,197.,Thornton Lee (16),38,L
204,197.,Mickey Lolich (16),38,L
205,197.,Gaylord Perry+ (22),38,R
206,197.,Bill Phillips (7),38,R
207,197.,Mike Smith (14),38,L
208,197.,Lefty Tyler (12),38,L
209,210.,Ed Cushman (6),37,L
210,210.,Ron Darling (13),37,R
211,210.,Rudy May (16),37,L
212,210.,Phil Niekro+ (24),37,R
213,210.,Frank Smith (11),37,R
214,210.,Rube Walberg (15),37,L
215,216.,George Blaeholder (11),36,R
216,216.,Mordecai Brown+ (14),36,R
217,216.,Charlie Ferguson (4),36,R
218,216.,Addie Joss+ (9),36,R
219,216.,Jerry Nops (6),36,L
220,221.,Stan Bahnsen (16),35,R
221,221.,Ed Daily (7),35,R
222,221.,Waite Hoyt+ (21),35,R
223,221.,Jim Hughey (7),35,R
224,221.,Tom Lovett (6),35,R
225,221.,Doc McJames (6),35,R
226,221.,Andy Pettitte (18),35,L
227,221.,Ben Sanders (5),35,R
228,221.,Ed Siever (7),35,L
229,221.,Dummy Taylor (9),35,R
230,221.,Luis Tiant (19),35,R
231,221.,Lee Viau (5),35,R
232,221.,Hooks Wiltse (12),35,L
233,234.,Bill Bernhard (9),34,R
234,234.,Bullet Joe Bush (17),34,R
235,234.,Nig Cuppy (10),34,R
236,234.,Hugh Daily (6),34,R
237,234.,Jesse Duryea (5),34,R
238,234.,Dwight Gooden (16),34,R
239,234.,Bill Hill (4),34,L
240,234.,Sam Leever (13),34,R
241,234.,Jack Neagle (3),34,R
242,234.,Jim Palmer+ (19),34,R
243,234.,Allen Russell (11),34,R
244,234.,Bill Singer (14),34,R
245,246.,Dean Chance (11),33,R
246,246.,Frank Corridon (6),33,R
247,246.,Jack Cronin (7),33,R
248,246.,Whitey Ford+ (16),33,L
249,246.,Carl Hubbell+ (16),33,L
250,246.,Johnny Lush (7),33,L
251,246.,Kid Madden (5),33,L
252,246.,Sam McDowell (15),33,L
253,246.,Mike Moore (14),33,R
254,246.,Cy Morgan (10),33,R
255,246.,Deacon Phillippe (13),33,R
256,246.,Sherry Smith (14),33,L
257,246.,George Uhle (17),33,R
258,246.,"Justin Verlander (16, 37)",33,R
259,260.,Doyle Alexander (19),32,R
260,260.,Mike Boddicker (14),32,R
261,260.,John Denny (13),32,R
262,260.,Phil Douglas (9),32,R
263,260.,Denny Driscoll (4),32,L
264,260.,Bill Hallahan (12),32,L
265,260.,Greg Harris (15),32,R
266,260.,Claude Hendrix (10),32,R
267,260.,Rick Honeycutt (21),32,L
268,260.,Dutch Leonard (20),32,R
269,260.,Walt Masterson (14),32,R
270,260.,Jock Menefee (9),32,R
271,260.,George Mogridge (15),32,L
272,260.,Joe Nuxhall (16),32,L
273,260.,Allie Reynolds (13),32,R
274,260.,Eddie Rommel (13),32,R
275,260.,Billy Serad (4),32,R
276,260.,Charlie Sweeney (6),32,R
277,260.,Frank Viola (15),32,L
278,260.,Jake Weimer (7),32,L
279,280.,Fred Beebe (7),31,R
280,280.,Howie Camnitz (11),31,R
281,280.,Jean Dubuc (9),31,R
282,280.,Dennis Eckersley+ (24),31,R
283,280.,George Hemming (8),31,R
284,280.,Sid Hudson (12),31,R
285,280.,"Edwin Jackson (17, 36)",31,R
286,280.,Bill James (8),31,R
287,280.,Sam Kimber (2),31,R
288,280.,Bob Lemon+ (15),31,R
289,280.,Harry McIntire (9),31,R
290,280.,Robin Roberts+ (19),31,R
291,280.,Steve Rogers (13),31,R
292,280.,Don Sutton+ (23),31,R
293,280.,Bob Wicker (6),31,R
294,280.,Kaiser Wilhelm (9),31,R
295,296.,Bert Blyleven+ (22),30,R
296,296.,Buster Brown (9),30,R
297,296.,Mike Cuellar (15),30,L
298,296.,Jim Devlin (5),30,R
299,296.,Murry Dickson (18),30,R
300,296.,Pete Dowling (4),30,L
301,296.,George Earnshaw (9),30,R
302,296.,Bob Ewing (11),30,R
303,296.,Art Fromme (10),30,R
304,296.,Otto Hess (10),30,L
305,296.,Danny Jackson (15),30,L
306,296.,Bob Knepper (15),30,L
307,296.,Willie McGill (7),30,L
308,296.,Pol Perritt (10),30,R
309,296.,Eppa Rixey+ (21),30,L
310,296.,"Anibal Sanchez (15, 36)",30,R
311,296.,James Shields (13),30,R
312,296.,Fernando Valenzuela (17),30,L
313,296.,Tim Wakefield (19),30,R
314,296.,David Wells (21),30,L
315,296.,Bobby Witt (16),30,R
316,317.,Nick Altrock (19),29,L
317,317.,Rube Benton (15),29,L
318,317.,Stan Coveleski+ (14),29,R
319,317.,Pete Donohue (12),29,R
320,317.,Doug Drabek (13),29,R
321,317.,Scott Erickson (15),29,R
322,317.,Harry Harper (10),29,L
323,317.,Clay Kirby (8),29,R
324,317.,Darold Knowles (16),29,L
325,317.,Jack Morris+ (18),29,R
326,317.,Ramon Ortiz (12),29,R
327,317.,Orval Overall (7),29,R
328,317.,Jim Perry (17),29,R
329,317.,Rick Reuschel (19),29,R
330,317.,Jim Shaw (9),29,R
331,317.,Bill Sherdel (15),29,L
332,317.,Johnny Vander Meer (13),29,L
333,317.,Tom Vickery (4),29,R
334,317.,Kip Wells (12),29,R
335,317.,Early Wynn+ (23),29,R
336,317.,Matt Young (10),29,L
337,317.,Tom Zachary (19),29,L
338,339.,Hank Aguirre (16),28,L
339,339.,Asa Brainard (4),28,R
340,339.,David Cone (17),28,R
341,339.,Pete Conway (5),28,R
342,339.,Fritz Coumbe (8),28,L
343,339.,Harry Coveleski (9),28,L
344,339.,Freddie Fitzsimmons (19),28,R
345,339.,Bump Hadley (16),28,R
346,339.,Jay Hughes (4),28,R
347,339.,John Lackey (15),28,R
348,339.,Bill Lee (14),28,L
349,339.,Dutch Leonard (11),28,L
350,339.,Fred Mitchell (7),28,R
351,339.,Bobo Newsom (20),28,R
352,339.,Billy Pierce (18),28,L
353,339.,Clayton Richard (11),28,L
354,339.,Bob Rush (13),28,R
355,339.,Jack Russell (15),28,R
356,339.,CC Sabathia (19),28,L
357,339.,Rip Sewell (13),28,R
358,339.,John Smoltz+ (21),28,R
359,339.,Ed Stein (8),28,R
360,339.,Bill Swift (13),28,R
361,339.,Carl Weilman (8),28,L
362,339.,Earl Wilson (11),28,R
363,364.,"Jake Arrieta (11, 34)",27,R
364,364.,Lew Burdette (18),27,R
365,364.,Danny Darwin (21),27,R
366,364.,Russ Ford (7),27,R
367,364.,Bob Friend (16),27,R
368,364.,Ned Garver (14),27,R
369,364.,Matt Garza (12),27,R
370,364.,Tom Griffin (14),27,R
371,364.,Jesse Haines+ (19),27,R
372,364.,Earl Hamilton (14),27,L
373,364.,Mike Hampton (16),27,L
374,364.,Steve Hargan (12),27,R
375,364.,Darryl Kile (12),27,R
376,364.,Ed Killian (8),27,L
377,364.,Lefty Leifield (12),27,L
378,364.,Red Ruffing+ (22),27,R
379,364.,Dan Schatzeder (15),27,L
380,364.,Virgil Trucks (17),27,R
381,364.,Milt Wilcox (16),27,R
382,364.,Hal Woodeshick (11),27,L
383,364.,Jamey Wright (19),27,R
384,385.,Bill Bailey (11),26,L
385,385.,Bill Bonham (10),26,R
386,385.,Jim Clancy (15),26,R
387,385.,Dave Davenport (6),26,R
388,385.,Paul Derringer (15),26,R
389,385.,Bob Harmon (9),26,R
390,385.,Slim Harriss (9),26,R
391,385.,Fred Norman (16),26,L
392,385.,Herb Pennock+ (22),26,L
393,385.,"Rick Porcello (12, 31)",26,R
394,385.,Bob Rhoads (8),26,R
395,385.,Pete Schneider (6),26,R
396,385.,Mel Stottlemyre (11),26,R
397,385.,Fred Toney (12),26,R
398,385.,Bob Walk (14),26,R
399,385.,Herm Wehmeier (13),26,R
