,Rank,"Player (yrs, age)",Intentional Bases on Balls,Bats
105,105.,Mark Grace (16),114,L
106,107.,Roy Campanella+ (10),113,R
107,107.,Steve Garvey (19),113,R
108,107.,Edgar Martinez+ (18),113,R
109,110.,Adrian Beltre (21),112,R
110,110.,Ken Caminiti (15),112,B
111,110.,"Robinson Cano (16, 37)",112,L
112,110.,Norm Cash (17),112,L
113,114.,Bill Buckner (22),111,L
114,114.,Joe DiMaggio+ (13),111,R
115,116.,Kent Hrbek (14),110,L
116,116.,Bill Mazeroski+ (17),110,R
117,116.,John Roseboro (14),110,L
118,119.,Gil Hodges (18),109,R
119,119.,Wally Joyner (16),109,L
120,121.,Enos Slaughter+ (19),108,L
121,122.,Rick Monday (19),107,L
122,122.,Paul O'Neill (17),107,L
123,122.,Cal Ripken Jr.+ (21),107,R
124,125.,Gary Carter+ (19),106,R
125,125.,George Foster (18),106,R
126,125.,Andres Galarraga (19),106,R
127,125.,John Mayberry (15),106,L
128,125.,Darrell Porter (17),106,L
129,125.,Bill Russell (18),106,R
130,125.,Chris Speier (19),106,R
131,132.,Carlton Fisk+ (24),105,R
132,132.,"Paul Goldschmidt (10, 32)",105,R
133,132.,Howard Johnson (14),105,B
134,132.,Ben Oglivie (16),105,L
135,136.,Garret Anderson (17),104,L
136,136.,Carlos Beltran (20),104,B
137,136.,"Mike Trout (10, 28)",104,R
138,136.,Dixie Walker (18),104,L
139,140.,Willie Montanez (14),103,L
140,141.,Lou Gehrig+ (17),102,L
141,141.,Tino Martinez (16),102,L
142,141.,Ruben Sierra (20),102,B
143,144.,Bill Dickey+ (17),101,L
144,144.,Joe Medwick+ (17),101,R
145,144.,Mike Scioscia (13),101,L
146,147.,Dan Driessen (15),100,L
147,147.,Paul Molitor+ (21),100,R
148,149.,Chris Chambliss (17),99,L
149,150.,Del Ennis (14),98,R
150,150.,Bob Watson (19),98,R
151,152.,Ken Boyer (15),97,R
152,152.,Jason Giambi (20),97,L
153,152.,Alex Rodriguez (22),97,R
154,152.,Bernie Williams (16),97,B
155,156.,Smoky Burgess (18),96,L
156,156.,Leon Durham (10),96,L
157,156.,Tom Haller (12),96,L
158,156.,Bobby Murcer (17),96,L
159,156.,Manny Sanguillen (13),96,R
160,161.,Richie Hebner (18),95,L
161,161.,Willie Horton (18),95,R
162,161.,Greg Luzinski (15),95,R
163,161.,Robin Yount+ (20),95,R
164,165.,Frank McCormick (13),94,R
165,165.,Graig Nettles (22),94,L
166,165.,Ron Santo+ (15),94,R
167,168.,Dave Concepcion (19),93,R
168,168.,Ron Oester (13),93,B
169,170.,Justin Morneau (14),92,L
170,171.,Moises Alou (17),91,R
171,171.,Don Baylor (19),91,R
172,171.,Albert Belle (12),91,R
173,171.,Yogi Berra+ (19),91,L
174,171.,Jim Edmonds (17),91,L
175,171.,Mark Teixeira (14),91,B
176,177.,Bob Boone (19),90,R
177,177.,Ralph Kiner+ (10),90,R
178,179.,"Bryce Harper (9, 27)",89,L
179,179.,Ed Kranepool (18),89,L
180,179.,Tim Wallach (17),89,R
181,182.,Alvin Davis (9),88,L
182,183.,Dolph Camilli (12),87,L
183,183.,Cliff Floyd (17),87,L
184,183.,"Freddie Freeman (11, 30)",87,L
185,183.,Joe Gordon+ (11),87,R
186,183.,Kevin Mitchell (13),87,R
187,188.,Joe Carter (16),86,R
188,188.,Gabby Hartnett+ (20),86,R
189,188.,Terry Kennedy (14),86,L
190,188.,Jim Spencer (15),86,L
191,188.,Mickey Vernon (20),86,L
192,188.,Matt Williams (17),86,R
193,194.,Warren Cromartie (10),85,L
194,194.,David Justice (14),85,L
195,194.,Lee May (18),85,R
196,194.,Kirby Puckett+ (12),85,R
197,194.,George Scott (14),85,R
198,194.,Arky Vaughan+ (14),85,L
199,200.,Buddy Bell (18),84,R
200,200.,Ryan Klesko (16),84,L
201,200.,Del Rice (17),84,R
202,200.,Jose Uribe (10),84,B
203,200.,Jim Wynn (15),84,R
204,205.,Cesar Cedeno (17),83,R
205,205.,Carl Furillo (15),83,R
206,205.,Cesar Geronimo (15),83,L
207,205.,Raul Ibanez (19),83,L
208,205.,John Kruk (10),83,L
209,210.,Hank Greenberg+ (13),82,R
210,210.,Von Hayes (12),82,L
211,210.,Elston Howard (14),82,R
212,210.,Lou Piniella (18),82,R
213,214.,Ed Bailey (14),81,L
214,214.,Travis Hafner (12),81,L
215,214.,"Evan Longoria (13, 34)",81,R
216,214.,B.J. Surhoff (19),81,L
217,218.,Shawn Green (15),80,L
218,218.,Aubrey Huff (13),80,L
219,218.,Paul Konerko (18),80,R
220,218.,"Giancarlo Stanton (11, 30)",80,R
221,222.,Cecil Cooper (17),79,L
222,222.,Mike Greenwell (12),79,L
223,222.,Jim Hegan (17),79,R
224,222.,"Nick Markakis (15, 36)",79,L
225,222.,Larry Parrish (15),79,R
226,222.,Ozzie Smith+ (19),79,B
227,222.,Lou Whitaker (19),79,L
228,229.,Glenn Davis (10),78,R
229,229.,Jorge Posada (17),78,B
230,229.,Hal Trosky (11),78,L
231,232.,Phil Cavarretta (22),77,L
232,232.,Eric Chavez (17),77,L
233,232.,Clay Dalrymple (12),77,L
234,232.,Jerry Grote (16),77,R
235,232.,Ken Henderson (16),77,B
236,232.,George Hendrick (18),77,R
237,232.,Geoff Jenkins (11),77,L
238,232.,Fred Lynn (17),77,L
239,232.,Pete O'Brien (12),77,L
240,232.,Terry Pendleton (15),77,B
241,232.,Jim Rice+ (16),77,R
242,232.,Claudell Washington (17),77,L
243,244.,Cecil Fielder (13),76,R
244,244.,Don Mincher (13),76,L
245,244.,Joe Morgan+ (22),76,L
246,247.,Bobby Bonds (14),75,R
247,247.,Jeromy Burnitz (14),75,L
248,247.,Walker Cooper (18),75,R
249,247.,Willie Davis (18),75,L
250,247.,Mike Hargrove (12),75,L
251,252.,Clete Boyer (16),74,R
252,252.,Phil Garner (16),74,R
253,252.,Juan Gonzalez (17),74,R
254,252.,Vic Wertz (17),74,L
255,256.,Johnny Callison (16),73,L
256,256.,Jeff Heath (14),73,L
257,256.,Denis Menke (13),73,R
258,256.,Joe Pepitone (12),73,L
259,256.,Miguel Tejada (16),73,R
260,256.,David Wright (14),73,R
261,262.,Kirk Gibson (17),72,L
262,262.,Dave Kingman (16),72,R
263,262.,Derrek Lee (15),72,R
264,262.,Tony Pena (18),72,R
265,262.,Gus Suhr (11),72,L
266,262.,Mickey Tettleton (14),72,B
267,268.,"Jay Bruce (13, 33)",71,L
268,268.,Brian McCann (15),71,L
269,268.,Ron Northey (12),71,L
270,271.,Ed Kirkpatrick (16),70,L
271,271.,Jason Thompson (11),70,L
272,271.,Bill White (13),70,L
273,274.,Brad Ausmus (18),69,R
274,274.,Sal Bando (16),69,R
275,274.,John Bateman (10),69,R
276,274.,Sean Casey (12),69,L
277,274.,Spud Davis (16),69,R
278,274.,Steve Finley (19),69,L
279,274.,Andruw Jones (17),69,R
280,274.,"Matt Kemp (15, 35)",69,R
281,274.,Don Kessinger (16),69,B
282,274.,Hal McRae (19),69,R
283,274.,Vada Pinson (18),69,L
284,274.,Pee Wee Reese+ (16),69,R
285,274.,Andre Thornton (14),69,R
286,287.,Luke Appling+ (20),68,R
287,287.,Craig Biggio+ (20),68,R
288,287.,Andre Ethier (12),68,L
289,287.,Rick Ferrell+ (18),68,R
290,287.,Ray Lankford (14),68,L
291,287.,Sherm Lollar (18),68,R
292,287.,Ken Oberkfell (16),68,L
293,287.,A.J. Pierzynski (19),68,L
294,287.,Alfonso Soriano (16),68,R
295,296.,Felipe Alou (17),67,R
296,296.,Bob Bailey (17),67,R
297,296.,Julio Franco (23),67,R
298,296.,Bill Freehan (15),67,R
299,296.,Adam LaRoche (12),67,L
300,296.,Kevin McReynolds (12),67,R
301,296.,Ivan Rodriguez+ (21),67,R
302,296.,Andy Seminick (15),67,R
303,304.,Alan Ashby (17),66,B
304,304.,"Nelson Cruz (16, 39)",66,R
305,304.,Tommy Davis (18),66,R
306,304.,Barry Larkin+ (19),66,R
307,304.,"Anthony Rizzo (10, 30)",66,L
308,304.,Brian Schneider (13),66,L
309,304.,Roy Sievers (17),66,R
310,304.,Roy White (15),66,B
311,304.,Dmitri Young (13),66,B
312,313.,Bruce Bochte (12),65,L
313,313.,Jeff Burroughs (16),65,R
314,313.,Rico Carty (15),65,R
315,313.,"Brandon Crawford (10, 33)",65,L
316,313.,Milt May (15),65,L
317,313.,Eddie Miller (14),65,R
318,313.,Andy Pafko (17),65,R
319,313.,Hanley Ramirez (15),65,R
320,321.,Vinny Castilla (16),64,R
321,321.,Joe Ferguson (14),64,R
322,321.,"Andrew McCutchen (12, 33)",64,R
323,321.,Rey Ordóñez (9),64,R
324,321.,Dave Rader (10),64,L
325,321.,Al Simmons+ (20),64,R
326,321.,Frank Thomas (16),64,R
327,321.,Leon Wagner (12),64,L
328,321.,Steve Yeager (15),64,R
329,330.,Kevin Bass (14),63,B
330,330.,Greg Brock (10),63,L
331,330.,Jose Canseco (17),63,R
332,330.,Tony Gonzalez (12),63,L
333,330.,Todd Hundley (14),63,B
334,330.,Carlos May (10),63,L
335,330.,Wes Parker (9),63,B
336,337.,Joe Adcock (17),62,R
337,337.,Gene Alley (11),62,R
338,337.,Roberto Alomar+ (17),62,B
339,337.,Hubie Brooks (15),62,R
340,337.,Elbie Fletcher (12),62,L
341,337.,Oscar Gamble (17),62,L
342,337.,Marty Marion (13),62,R
343,337.,Lance Parrish (19),62,R
344,337.,"Buster Posey (11, 33)",62,R
345,337.,Carlos Ruiz (12),62,R
346,337.,Del Unser (15),62,L
347,337.,Chase Utley (16),62,L
348,349.,Bob Elliott (15),61,R
349,349.,Rickey Henderson+ (25),61,R
350,349.,Jay Johnstone (20),61,L
351,349.,Jeff Kent (17),61,R
352,349.,James Loney (11),61,L
353,349.,Rico Petrocelli (13),61,R
354,349.,Jackie Robinson+ (10),61,R
355,349.,J.T. Snow (16),61,L
356,349.,Mike Sweeney (16),61,R
357,358.,Larry Doby+ (13),60,L
358,358.,Dwight Evans (20),60,R
359,358.,Tommy Helms (14),60,R
360,358.,Willie Jones (15),60,R
361,358.,Carlos Lee (14),60,R
362,358.,Garry Maddox (15),60,R
363,358.,Ted Sizemore (12),60,R
364,365.,Brady Anderson (15),59,L
365,365.,Billy Butler (10),59,R
366,365.,Eric Davis (17),59,R
367,365.,Tito Francona (15),59,L
368,365.,Gregg Jefferies (14),59,B
369,365.,Dick McAuliffe (16),59,L
370,365.,George McQuinn (12),59,L
371,365.,Wally Moon (12),59,L
372,365.,Thurman Munson (11),59,R
373,365.,Joe Rudi (16),59,R
374,365.,Ryne Sandberg+ (16),59,R
375,365.,Matt Stairs (19),59,L
376,365.,Jason Varitek (15),59,B
377,378.,"Nolan Arenado (8, 29)",58,R
378,378.,Jose Bautista (15),58,R
379,378.,Rocky Colavito (14),58,R
380,378.,Darren Daulton (14),58,L
381,378.,Doug Flynn (11),58,R
382,378.,Willie McGee (18),58,B
383,378.,Jose Oquendo (12),58,B
384,378.,Aramis Ramirez (18),58,R
385,378.,Hank Sauer (15),58,R
386,378.,Gene Tenace (15),58,R
387,378.,Mike Tresh (12),58,R
388,389.,Dale Berra (11),57,R
389,389.,Don Buford (10),57,B
390,389.,Doug DeCinces (15),57,R
391,389.,Gary Gaetti (20),57,R
392,389.,Mel Hall (13),57,L
393,389.,Rollie Hemsley (19),57,R
394,389.,Matt Holliday (15),57,R
395,389.,Davey Johnson (13),57,R
396,389.,Mike LaValliere (12),57,L
397,389.,Roy McMillan (16),57,R
398,389.,Lyle Overbay (14),57,L
399,389.,Spike Owen (13),57,B
400,389.,Adolfo Phillips (8),57,R
401,389.,Eddie Robinson (13),57,L
402,389.,Scott Rolen (17),57,R
403,389.,"Carlos Santana (11, 34)",57,B
404,389.,Vern Stephens (15),57,R
405,406.,"Ryan Braun (14, 36)",56,R
406,406.,"Jordy Mercer (9, 33)",56,R
407,406.,Miguel Montero (13),56,L
408,406.,Keith Moreland (12),56,R
409,406.,"Daniel Murphy (12, 35)",56,L
410,406.,Jose Reyes (16),56,B
411,406.,David Segui (15),56,B
412,406.,Mike Tyson (10),56,R
413,414.,Tony Clark (15),55,B
414,414.,Nate Colbert (10),55,R
415,414.,Willie Crawford (14),55,L
416,414.,Brian Downing (20),55,R
417,414.,Nick Etten (9),55,L
418,414.,"Carlos Gonzalez (12, 34)",55,L
419,414.,Josh Hamilton (9),55,L
420,414.,Ed Herrmann (11),55,L
421,414.,Brent Mayne (15),55,L
422,414.,Hal Morris (13),55,L
423,414.,"Pablo Sandoval (13, 33)",55,B
424,414.,Andy Van Slyke (13),55,L
425,426.,Tony Cuccinello (15),54,R
426,426.,"Edwin Encarnacion (16, 37)",54,R
427,426.,Nomar Garciaparra (14),54,R
428,426.,Jim Gentile (9),54,L
429,426.,Deron Johnson (16),54,R
430,426.,Mike Lum (15),54,L
431,426.,Mike Matheny (13),54,R
432,426.,Paul Sorrento (11),54,L
433,426.,Earl Torgeson (15),54,L
434,426.,Jose Valentin (16),54,B
435,426.,Greg Vaughn (15),54,R
436,426.,Wes Westrum (11),54,R
437,426.,Rudy York (13),54,R
438,439.,George Bell (12),53,R
439,439.,Pat Burrell (12),53,R
440,439.,Bobby Doerr+ (14),53,R
441,439.,Rich Gedman (13),53,L
442,439.,Glenn Hubbard (12),53,R
443,439.,Cliff Johnson (15),53,R
444,439.,J.C. Martin (14),53,L
445,439.,Orlando Merced (13),53,B
446,439.,Amos Otis (17),53,R
447,439.,Luke Sewell (20),53,R
448,439.,Bob Skinner (12),53,L
449,439.,Bobby Wine (12),53,R
450,439.,Gene Woodling (17),53,L
451,452.,Bernie Allen (12),52,L
452,452.,Bob Aspromonte (13),52,R
453,452.,Dusty Baker (19),52,R
454,452.,Bruce Benedict (12),52,R
455,452.,Bill Doran (12),52,B
456,452.,J.D. Drew (14),52,L
457,452.,Stan Hack (16),52,L
458,452.,Torii Hunter (19),52,R
459,452.,Billy Jurges (17),52,R
460,452.,Ken Keltner (13),52,R
461,452.,Jim Lefebvre (8),52,B
462,452.,Joe Oliver (13),52,R
463,452.,Babe Phelps (11),52,L
464,452.,Jimmy Rollins (17),52,B
465,452.,Benito Santiago (20),52,R
466,452.,Bobby Thomson (15),52,R
467,452.,Richie Zisk (13),52,R
468,469.,"José Abreu (7, 33)",51,R
469,469.,Randy Bush (12),51,L
470,469.,Wes Covington (11),51,L
471,469.,Goose Goslin+ (18),51,L
472,469.,Ken Griffey (19),51,L
473,469.,Greg Gross (17),51,L
474,469.,Toby Harrah (17),51,R
475,469.,Bob Johnson (13),51,R
476,469.,Mike Jorgensen (17),51,L
477,469.,Jason Kendall (15),51,R
478,469.,Carlos Pena (14),51,L
479,469.,Doug Rader (11),51,R
480,469.,Dickie Thon (15),51,R
481,482.,Bernie Carbo (12),50,L
482,482.,"Chris Davis (13, 34)",50,L
483,482.,Lenny Dykstra (12),50,L
484,482.,Wayne Garrett (10),50,L
485,482.,Bobby Grich (17),50,R
486,482.,Charlie Keller (13),50,L
487,482.,Jose Lind (9),50,R
488,482.,Raul Mondesi (13),50,R
489,482.,Jim Northrup (12),50,L
490,482.,Mickey Owen (13),50,R
491,482.,Lee Stevens (10),50,L
492,482.,Willie Upshaw (10),50,L
493,494.,Jesse Barfield (12),49,R
494,494.,Duffy Dyer (14),49,R
495,494.,Ron Hansen (15),49,R
496,494.,Jim Ray Hart (12),49,R
497,494.,Dal Maxvill (14),49,R
498,494.,"Yadier Molina (17, 37)",49,R
499,494.,Ray Mueller (14),49,R
500,494.,Jerry Mumphrey (15),49,B
501,494.,Gerardo Parra (11),49,L
502,494.,Terry Puhl (15),49,L
503,494.,Bill Robinson (16),49,R
504,494.,Reggie Sanders (17),49,R
505,494.,Tony Taylor (19),49,R
506,494.,Gus Triandos (13),49,R
507,494.,"Justin Upton (14, 32)",49,R
508,509.,Ivan de Jesus (15),48,R
509,509.,Tony Fernandez (17),48,B
510,509.,Tom Foley (13),48,L
511,509.,Jeff Francoeur (12),48,R
512,509.,Jim Fregosi (18),48,R
513,509.,Alex Gonzalez (16),48,R
514,509.,"Alex Gordon (14, 36)",48,L
515,509.,Chuck Klein+ (17),48,L
516,509.,Bobby Knoop (9),48,R
517,509.,Mark Lemke (11),48,B
518,509.,Jerry May (10),48,R
519,509.,Tommy McCraw (13),48,L
520,509.,Bill Skowron (14),48,R
521,509.,Birdie Tebbetts (14),48,R
522,509.,Alan Trammell+ (20),48,R
523,509.,Troy Tulowitzki (13),48,R
524,525.,Curt Blefary (8),47,L
525,525.,John Briggs (12),47,L
526,525.,Jim Eisenreich (15),47,L
527,525.,Brad Hawpe (9),47,L
528,525.,Tom Herr (13),47,B
529,525.,Art Howe (11),47,R
530,525.,Joe Kuhel (18),47,L
531,525.,Dave Martinez (16),47,L
532,525.,Phil Masi (14),47,R
533,525.,Ken McMullen (16),47,R
534,525.,Ken Reitz (11),47,R
535,525.,Steve Sax (14),47,R
536,525.,Norm Siebern (12),47,L
537,525.,Roy Smalley (13),47,B
538,525.,Danny Tartabull (14),47,R
539,525.,Paul Waner+ (20),47,L
540,525.,Todd Zeile (16),47,R
541,542.,Wally Berger (11),46,R
542,542.,Donn Clendenon (12),46,R
543,542.,Jeff Conine (17),46,R
544,542.,Mike Easler (14),46,L
545,542.,Darin Erstad (14),46,L
546,542.,Ralph Garr (13),46,L
547,542.,"Eric Hosmer (10, 30)",46,L
548,542.,Chet Lemon (16),46,R
549,542.,Stan Lopata (13),46,R
550,542.,Dave Magadan (16),46,L
551,542.,"J.D. Martinez (10, 32)",46,R
552,542.,Russell Martin (14),46,R
553,542.,Gary Matthews (16),46,R
554,542.,Lloyd Moseby (12),46,L
555,542.,Jorge Orta (16),46,L
556,542.,Mike Pagliarulo (11),46,L
557,542.,Pete Runnels (14),46,L
558,542.,Milt Thompson (13),46,L
559,542.,Johnny Wyrostek (11),46,L
560,561.,Joe Azcue (11),45,R
561,561.,"Cody Bellinger (4, 24)",45,L
562,561.,Larry Bowa (16),45,B
563,561.,Sid Bream (12),45,L
564,561.,Ollie Brown (13),45,R
565,561.,Augie Galan (16),45,B
566,561.,Joe Garagiola (9),45,L
567,561.,Woodie Held (14),45,R
568,561.,Shanty Hogan (13),45,R
569,561.,Corey Koskie (9),45,L
570,561.,Harvey Kuenn (15),45,R
571,561.,Carney Lansford (15),45,R
572,561.,Adam Lind (12),45,L
573,561.,Mike Lowell (13),45,R
574,561.,Willard Marshall (11),45,L
575,561.,John Milner (12),45,L
576,561.,Don Money (16),45,R
577,561.,Buck Rodgers (9),45,B
578,561.,Tim Salmon (14),45,R
579,561.,Kevin Stocker (8),45,B
580,581.,Eddie Bressoud (12),44,R
581,581.,Ed Brinkman (15),44,R
582,581.,Billy Cox (11),44,R
583,581.,Jody Davis (10),44,R
584,581.,Shawon Dunston (18),44,R
585,581.,Bruce Edwards (10),44,R
586,581.,Marquis Grissom (17),44,R
587,581.,Babe Herman (13),44,L
588,581.,Tony Phillips (18),44,B
589,581.,Frankie Pytlak (12),44,R
590,591.,Tom Brunansky (14),43,R
591,591.,Darrel Chaney (11),43,B
592,591.,"Shin-Soo Choo (16, 37)",43,L
593,591.,Mike Epstein (9),43,L
594,591.,Charlie Gehringer+ (19),43,L
595,591.,Alex Johnson (13),43,R
596,591.,Adam Kennedy (14),43,L
597,591.,Ray Knight (13),43,R
598,591.,Kenny Lofton (17),43,L
599,591.,Javy Lopez (15),43,R
600,591.,John Mabry (14),43,L
601,591.,Al Martin (11),43,L
602,591.,Minnie Minoso (17),43,R
603,591.,Manny Mota (20),43,R
604,591.,Jose Pagan (15),43,R
605,591.,Jeff Reed (17),43,L
606,591.,Al Rosen (10),43,R
607,591.,Ernie Whitt (15),43,L
608,591.,Taffy Wright (9),43,L
609,591.,"Ryan Zimmerman (15, 35)",43,R
610,611.,Willie Aikens (8),42,L
611,611.,Earl Battey (13),42,R
612,611.,Mike Fitzgerald (10),42,R
613,611.,Lonny Frey (14),42,L
614,611.,Sid Gordon (13),42,R
615,611.,Nick Johnson (10),42,L
616,611.,Cleon Jones (13),42,R
617,611.,Whitey Kurowski (9),42,R
618,611.,Roger Maris (12),42,L
619,611.,Damian Miller (11),42,R
620,611.,Edgar Renteria (16),42,R
621,611.,Nick Swisher (12),42,B
622,611.,Max West (7),42,L
623,611.,Mark Whiten (11),42,B
624,611.,Rick Wilkins (11),42,L
625,626.,Carlos Baerga (14),41,B
626,626.,Jay Buhner (15),41,R
627,626.,Melky Cabrera (15),41,B
628,626.,Joe Cronin+ (20),41,R
629,626.,Andy Etchebarren (15),41,R
630,626.,Johnny Grubb (16),41,L
631,626.,Randy Hundley (14),41,R
632,626.,Jeffrey Leonard (14),41,R
633,626.,"Manny Machado (9, 27)",41,R
634,626.,Dave May (12),41,L
635,626.,Lee Mazzilli (14),41,B
636,626.,Omar Moreno (12),41,L
637,626.,Jim Rivera (10),41,L
638,626.,Stan Spence (9),41,L
639,626.,Rennie Stennett (11),41,R
640,626.,Gorman Thomas (13),41,R
641,626.,Bill Virdon (12),41,L
642,626.,Pete Ward (9),41,L
643,626.,Butch Wynegar (13),41,B
644,645.,Richie Ashburn+ (15),40,L
645,645.,Lou Boudreau+ (15),40,R
646,645.,Jermaine Dye (14),40,R
647,645.,Jim Gantner (17),40,L
648,645.,Troy Glaus (13),40,R
649,645.,Ryan Hanigan (11),40,R
650,645.,Elrod Hendricks (12),40,L
651,645.,Jose Hernandez (15),40,R
652,645.,Pinky Higgins (14),40,R
653,645.,Jackie Jensen (11),40,R
654,645.,Felix Millan (12),40,R
655,645.,Dave Nilsson (8),40,L
656,657.,Kevin Elster (13),39,R
657,657.,Carl Everett (14),39,B
658,657.,"Maikel Franco (7, 27)",39,R
659,657.,Dick Groat (14),39,R
660,657.,Carlos Guillen (14),39,B
661,657.,Grady Hatton (12),39,L
662,657.,Bob Horner (10),39,R
663,657.,Julian Javier (13),39,R
664,657.,Derek Jeter+ (20),39,R
665,657.,Jason LaRue (12),39,R
666,657.,Dale Long (10),39,L
667,657.,Kendrys Morales (13),39,B
668,657.,Dwayne Murphy (12),39,L
669,657.,Jim Pagliaroni (11),39,R
670,657.,Johnny Ray (10),39,B
671,657.,Gene Richards (8),39,L
672,657.,Ray Sanders (7),39,L
673,657.,Carl Sawatski (11),39,L
674,657.,Dick Sisler (8),39,L
675,657.,Rube Walker (11),39,L
676,657.,Gus Zernial (11),39,R
677,678.,Matty Alou (15),38,L
678,678.,George Altman (9),38,L
679,678.,"Jose Altuve (10, 30)",38,R
680,678.,Michael Barrett (12),38,R
681,678.,Jason Bay (11),38,R
682,678.,Milton Bradley (12),38,B
683,678.,Jose Cardenal (18),38,R
684,678.,"Matt Carpenter (10, 34)",38,L
685,678.,Ripper Collins (9),38,B
686,678.,Jose Cruz (12),38,B
687,678.,Johnny Damon (18),38,L
688,678.,Al Dark (14),38,R
689,678.,Ron Gant (16),38,R
690,678.,Ival Goodman (10),38,L
691,678.,Frank House (10),38,L
692,678.,Roy Howell (11),38,L
693,678.,Ruppert Jones (12),38,L
694,678.,Willie Kirkland (9),38,L
695,678.,Mark Kotsay (17),38,L
696,678.,Hobie Landrith (14),38,L
697,678.,Davey Lopes (16),38,R
698,678.,George Mitterwald (11),38,R
699,678.,Russ Nixon (12),38,L
700,678.,Johnny Oates (11),38,L
701,678.,Aaron Robinson (8),38,L
702,678.,Juan Samuel (16),38,R
703,678.,Franklin Stubbs (10),38,L
704,678.,Walt Weiss (14),38,B
