,Rank,"Player (yrs, age)",WAR for Pitchers,Throws
60,61.,Charlie Buffinton (11),60.7,R
61,61.,Andy Pettitte (18),60.7,L
62,63.,"Max Scherzer (13, 35)",60.6,R
63,64.,Jim Bunning+ (17),60.4,R
64,65.,Mark Buehrle (16),60.0,L
65,65.,Hal Newhouser+ (17),60.0,L
66,67.,Jack Quinn (23),59.7,R
67,68.,Clark Griffith+ (21),59.3,R
68,69.,Bret Saberhagen (16),58.9,R
69,70.,"Cole Hamels (15, 36)",58.4,L
70,71.,Chuck Finley (17),58.3,L
71,72.,Eddie Cicotte (14),57.5,R
72,73.,Eppa Rixey+ (21),57.4,L
73,74.,Mordecai Brown+ (14),57.2,R
74,75.,Frank Tanana (21),57.1,L
75,76.,Jerry Koosman (19),57.0,L
76,77.,Tim Hudson (17),56.5,R
77,77.,Dave Stieb (16),56.5,R
78,79.,Mariano Rivera+ (19),56.3,R
79,80.,Red Ruffing+ (22),55.4,R
80,81.,Kevin Appier (16),54.9,R
81,82.,Jack Powell (16),54.8,R
82,82.,Urban Shocker (13),54.8,R
83,84.,Waite Hoyt+ (21),54.2,R
84,85.,Whitey Ford+ (16),53.6,L
85,85.,Al Spalding+ (8),53.6,R
86,85.,David Wells (21),53.6,L
87,88.,Billy Pierce (18),53.3,L
88,89.,Sandy Koufax+ (12),53.1,L
89,90.,Larry Jackson (14),52.6,R
90,91.,Wilbur Wood (17),52.2,L
91,92.,Theodore Breitenstein (11),51.8,L
92,93.,Dutch Leonard (20),51.7,R
93,94.,Tommy Bridges (16),51.6,R
94,95.,Early Wynn+ (23),51.5,R
95,96.,Orel Hershiser (18),51.4,R
96,97.,Bobo Newsom (20),51.3,R
97,98.,Johan Santana (12),51.1,L
98,99.,Kenny Rogers (20),50.5,L
99,100.,"Felix Hernandez (15, 34)",50.3,R
100,100.,Eddie Rommel (13),50.3,R
101,102.,Silver King (10),50.1,R
102,103.,Babe Adams (19),50.0,R
103,103.,Mark Langston (16),50.0,L
104,103.,Jamie Moyer (25),50.0,L
105,106.,Roy Oswalt (13),49.9,R
106,107.,Hoyt Wilhelm+ (21),49.7,R
107,108.,Dennis Martinez (23),49.3,R
108,109.,Wilbur Cooper (15),49.0,L
109,109.,Jimmy Key (15),49.0,L
110,111.,Wes Ferrell (15),48.9,R
111,112.,Mel Harder (20),48.5,R
112,113.,Dwight Gooden (16),48.2,R
113,114.,Mickey Lolich (16),47.9,L
114,115.,"Bartolo Colon (21, 47)",47.8,R
115,115.,Ron Guidry (14),47.8,L
116,117.,Addie Joss+ (9),47.7,R
117,117.,Gus Weyhing (14),47.7,R
118,119.,Jim Whitney (10),47.5,R
119,120.,Nap Rucker (10),47.1,L
120,120.,Frank Viola (15),47.1,L
121,122.,Bob Friend (16),46.8,R
122,122.,Burleigh Grimes+ (19),46.8,R
123,122.,Hippo Vaughn (13),46.8,L
124,125.,Bucky Walters (19),46.4,R
125,126.,Milt Pappas (17),46.2,R
126,126.,Bob Shawkey (15),46.2,R
127,128.,Noodles Hahn (8),45.7,L
128,129.,Brad Radke (12),45.6,R
129,130.,"Chris Sale (10, 31)",45.4,L
130,131.,Jim Kaat (25),45.2,L
131,131.,Dizzy Trout (15),45.2,R
132,133.,Steve Rogers (13),45.1,R
133,133.,George Uhle (17),45.1,R
134,135.,Larry French (14),45.0,L
135,135.,"Jon Lester (15, 36)",45.0,L
136,137.,Vida Blue (17),44.9,L
137,137.,Herb Pennock+ (22),44.9,L
138,139.,Bob Caruthers (10),44.8,R
139,140.,Dizzy Dean+ (12),43.9,R
140,140.,Al Orth (15),43.9,R
141,142.,Dolf Luque (20),43.8,R
142,143.,Carl Mays (15),43.6,R
143,143.,Sadie McMahon (9),43.6,R
144,143.,Jack Morris+ (18),43.6,R
145,146.,Bill Donovan (18),43.4,R
146,146.,Claude Passeau (13),43.4,R
147,146.,Javier Vazquez (14),43.4,R
148,146.,Bob Welch (17),43.4,R
149,150.,Lefty Gomez+ (14),43.2,L
150,151.,Sam McDowell (15),43.1,L
151,152.,Chief Bender+ (16),43.0,R
152,152.,Murry Dickson (18),43.0,R
153,154.,Jack Chesbro+ (11),42.7,R
154,155.,Curt Simmons (20),42.6,L
155,156.,Cliff Lee (13),42.5,L
156,156.,Al Leiter (19),42.5,L
157,158.,Ed Morris (7),42.4,L
158,159.,Tom Candiotti (16),42.3,R
159,159.,Virgil Trucks (17),42.3,R
160,159.,Doc White (13),42.3,L
161,162.,Lon Warneke (15),42.1,R
162,163.,Frank Dwyer (12),42.0,R
163,164.,Rich Gossage+ (22),41.6,R
164,165.,Harry Brecheen (12),41.3,L
165,165.,Sam Leever (13),41.3,R
166,167.,Bill Hutchison (9),41.2,R
167,168.,Mel Stottlemyre (11),40.7,R
168,169.,Jesse Tannehill (15),40.6,L
169,170.,Danny Darwin (21),40.3,R
170,170.,Jack Stivetts (11),40.3,R
171,172.,Bill Dinneen (12),40.2,R
172,173.,John Candelaria (19),39.9,L
173,173.,Sad Sam Jones (22),39.9,R
174,175.,Howard Ehmke (15),39.7,R
175,175.,"David Price (12, 34)",39.7,L
176,177.,Will White (10),39.5,R
177,178.,Nig Cuppy (10),39.2,R
178,179.,Paul Derringer (15),39.0,R
179,179.,Charlie Hough (25),39.0,R
180,181.,Pink Hawley (10),38.9,R
181,181.,Jon Matlack (13),38.9,L
182,181.,Rube Walberg (15),38.9,L
183,184.,Ned Garver (14),38.7,R
184,185.,Jim Perry (17),38.4,R
185,186.,Jeff Pfeffer (13),38.3,R
186,186.,Ed Reulbach (13),38.3,R
187,186.,Carlos Zambrano (12),38.3,R
188,189.,Candy Cummings+ (6),38.2,R
189,190.,John Lackey (15),38.1,R
190,191.,Curt Davis (13),37.9,R
191,192.,Bob Lemon+ (15),37.6,R
192,192.,Andy Messersmith (12),37.6,R
193,194.,Camilo Pascual (18),37.5,R
194,194.,Charlie Root (17),37.5,R
195,196.,Mark Gubicza (14),37.4,R
196,196.,Fernando Valenzuela (17),37.4,L
197,196.,Tom Zachary (19),37.4,L
198,199.,Dutch Leonard (11),37.3,L
199,200.,Jake Peavy (15),37.2,R
200,201.,"Adam Wainwright (15, 38)",36.9,R
201,202.,Hooks Dauss (15),36.8,R
202,202.,Claude Osteen (18),36.8,L
203,204.,Bob Rush (13),36.5,R
204,205.,Burt Hooton (15),36.4,R
205,206.,Catfish Hunter+ (15),36.3,R
206,207.,Earl Whitehill (17),36.1,L
207,208.,"Jacob deGrom (7, 32)",35.9,R
208,209.,Jesse Haines+ (19),35.7,R
209,210.,Josh Beckett (14),35.3,R
210,211.,Chris Carpenter (15),35.2,R
211,211.,Bump Hadley (16),35.2,R
212,213.,Slim Sallee (14),35.1,L
213,214.,Tom Gordon (21),35.0,R
214,214.,Thornton Lee (16),35.0,L
215,214.,Jose Rijo (14),35.0,R
216,217.,Dean Chance (11),34.9,R
217,217.,Deacon Phillippe (13),34.9,R
218,217.,Jered Weaver (12),34.9,R
219,220.,Doyle Alexander (19),34.8,R
220,220.,Rube Marquard+ (18),34.8,L
221,220.,George Mullin (14),34.8,R
222,223.,Preacher Roe (12),34.6,L
223,224.,Bruce Hurst (15),34.5,L
224,224.,Tim Wakefield (19),34.5,R
225,226.,Freddy Garcia (15),34.4,R
226,227.,Larry Dierker (14),34.3,R
227,227.,Fritz Ostermueller (15),34.3,L
228,227.,Schoolboy Rowe (15),34.3,R
229,230.,Sal Maglie (10),34.2,R
230,231.,"Johnny Cueto (13, 34)",34.1,R
231,231.,Jim Maloney (12),34.1,R
232,231.,John Tudor (12),34.1,L
233,234.,Charlie Leibrandt (14),34.0,L
234,234.,Ken Raffensberger (15),34.0,L
235,236.,Howie Pollet (14),33.8,L
236,237.,Freddie Fitzsimmons (19),33.6,R
237,238.,Derek Lowe (17),33.1,R
238,238.,Barry Zito (15),33.1,L
239,240.,Kid Gleason (22),33.0,R
240,240.,Pat Hentgen (14),33.0,R
241,240.,Brandon Webb (7),33.0,R
242,243.,Dan Haren (13),32.9,R
243,243.,Jerry Reuss (22),32.9,L
244,245.,Russ Ford (7),32.7,R
245,245.,Red Lucas (16),32.7,R
246,247.,Bill Lee (14),32.5,R
247,248.,Harry Howell (13),32.4,R
248,249.,"Corey Kluber (10, 34)",32.3,R
249,250.,Bobby Shantz (16),32.1,L
250,250.,"Stephen Strasburg (11, 31)",32.1,R
251,252.,Brickyard Kennedy (12),32.0,R
252,253.,"Madison Bumgarner (12, 30)",31.9,L
253,253.,Mort Cooper (11),31.9,R
254,253.,Rick Wise (18),31.9,R
255,256.,Bullet Joe Bush (17),31.7,R
256,256.,Jason Schmidt (14),31.7,R
257,258.,Jack Taylor (10),31.6,R
258,259.,Firpo Marberry (14),31.5,R
259,260.,Mike Boddicker (14),31.4,R
260,260.,Sid Fernandez (15),31.4,L
261,260.,Chris Short (15),31.4,L
262,263.,Johnny Antonelli (12),31.2,L
263,263.,Andy Benes (14),31.2,R
264,263.,Rick Sutcliffe (18),31.2,R
265,266.,John Denny (13),31.1,R
266,266.,George Zettlein (6),31.1,R
267,268.,John Hiller (15),31.0,L
268,268.,Earl Moore (14),31.0,R
269,270.,Ray Caldwell (12),30.9,R
270,270.,Ellis Kinder (12),30.9,R
271,270.,Lee Meadows (15),30.9,R
272,273.,Jim Barr (12),30.8,R
273,274.,Mike Garcia (14),30.7,R
274,274.,Kevin Millwood (16),30.7,R
275,274.,Van Mungo (14),30.7,R
276,274.,James Shields (13),30.7,R
277,278.,Willis Hudlin (16),30.6,R
278,279.,Red Donahue (13),30.5,R
279,279.,Frank Killen (10),30.5,L
280,281.,Ice Box Chamberlain (10),30.4,R
281,281.,Max Lanier (14),30.4,L
282,283.,Teddy Higuera (9),30.3,L
283,284.,Jim Devlin (5),30.2,R
284,284.,Greg Swindell (17),30.2,L
285,286.,Rick Rhoden (16),30.1,R
286,287.,"Gio Gonzalez (13, 34)",30.0,L
287,287.,Bill Hands (11),30.0,R
288,289.,Harvey Haddix (14),29.9,L
289,290.,A.J. Burnett (17),29.6,R
290,290.,Adonis Terry (14),29.6,R
291,290.,Smoky Joe Wood (14),29.6,R
292,293.,Syl Johnson (19),29.5,R
293,293.,Dick McBride (6),29.5,R
294,295.,Jim Bagby (9),29.4,R
295,295.,Scott Sanderson (19),29.4,R
296,297.,Matt Cain (13),29.3,R
297,297.,Bill Doak (16),29.3,R
298,297.,Frank Lary (12),29.3,R
299,297.,"Anibal Sanchez (15, 36)",29.3,R
300,297.,Sonny Siebert (12),29.3,R
301,297.,Lee Smith+ (18),29.3,R
302,303.,Mike Cuellar (15),29.2,L
303,303.,Ted Lilly (15),29.2,L
304,303.,Kevin Tapani (13),29.2,R
305,306.,Red Ames (17),29.1,R
306,306.,Don Newcombe (10),29.1,R
307,308.,General Crowder (11),29.0,R
308,308.,Bob Ewing (11),29.0,R
309,308.,Lindy McDaniel (21),29.0,R
310,311.,George Mogridge (15),28.9,L
311,312.,Mike Morgan (22),28.7,R
312,312.,Joe Niekro (22),28.7,R
313,314.,Billy Rhines (9),28.6,R
314,315.,Fred Toney (12),28.5,R
315,316.,Pedro Astacio (15),28.3,R
316,317.,Eddie Lopat (12),28.2,L
317,317.,Johnny Podres (15),28.2,L
318,319.,Trevor Hoffman+ (18),28.1,R
319,319.,John Ward+ (17),28.1,R
320,321.,Bob Buhl (15),28.0,R
321,322.,Johnny Allen (13),27.9,R
322,322.,Mike Moore (14),27.9,R
323,324.,Turk Farrell (14),27.8,R
324,324.,Jack McDowell (12),27.8,R
325,324.,Billy Wagner (16),27.8,L
326,324.,Hooks Wiltse (12),27.8,L
327,328.,Joe Dobson (14),27.7,R
328,328.,Alex Fernandez (10),27.7,R
329,328.,Guy Hecker (9),27.7,R
330,328.,Jim Scott (9),27.7,R
331,328.,Bill Sherdel (15),27.7,L
332,328.,Jarrod Washburn (12),27.7,L
333,334.,Doug Drabek (13),27.6,R
334,334.,Woody Williams (15),27.6,R
335,336.,Ed Brandt (11),27.5,L
336,336.,Don Wilson (9),27.5,R
337,338.,Larry Corcoran (8),27.4,R
338,338.,Mel Parnell (10),27.4,L
339,340.,Stu Miller (16),27.3,R
340,341.,Ewell Blackwell (10),27.2,R
341,342.,Ken Forsch (16),27.0,R
342,342.,Ken Holtzman (15),27.0,L
343,342.,Hal Schumacher (13),27.0,R
344,345.,Joe Nuxhall (16),26.8,L
345,345.,Mario Soto (12),26.8,R
346,345.,Johnny Vander Meer (13),26.8,L
347,345.,Kerry Wood (14),26.8,R
348,349.,Tim Belcher (14),26.7,R
349,349.,Watty Clark (12),26.7,L
350,349.,Denny Galehouse (15),26.7,R
351,352.,Ray Kremer (10),26.6,R
352,352.,Ervin Santana (15),26.6,R
353,354.,Floyd Bannister (15),26.4,L
354,354.,Joe Nathan (16),26.4,R
355,356.,Tex Hughson (8),26.1,R
356,356.,Ben Sheets (10),26.1,R
357,356.,Dave Stewart (16),26.1,R
358,356.,Kent Tekulve (16),26.1,R
359,360.,Vern Law (16),26.0,R
360,360.,Danny MacFayden (17),26.0,R
361,362.,Ramon Martinez (14),25.9,R
362,362.,Harry Staley (8),25.9,R
363,364.,Kevin Gross (15),25.8,R
364,365.,Dennis Leonard (12),25.7,R
365,365.,Jouett Meekin (10),25.7,R
366,365.,"Jose Quintana (9, 31)",25.7,L
367,365.,Allie Reynolds (13),25.7,R
368,365.,Tommy Thomas (12),25.7,R
369,365.,Jake Weimer (7),25.7,L
370,371.,Charlie Ferguson (4),25.6,R
371,371.,Gary Nolan (10),25.6,R
372,373.,Lew Burdette (18),25.5,R
373,373.,"Gerrit Cole (8, 29)",25.5,R
374,373.,Mike Flanagan (18),25.5,L
375,373.,Claude Hendrix (10),25.5,R
376,373.,Joe Horlen (12),25.5,R
377,373.,Jon Lieber (14),25.5,R
378,379.,Hal Carlson (14),25.3,R
379,379.,"Yu Darvish (8, 33)",25.3,R
380,381.,Jeff Fassero (16),25.2,L
381,381.,Earl Hamilton (14),25.2,L
382,383.,George Blaeholder (11),25.1,R
383,383.,Rip Sewell (13),25.1,R
384,385.,Wilson Alvarez (14),25.0,L
385,385.,Rollie Fingers+ (17),25.0,R
386,385.,"Lance Lynn (9, 33)",25.0,R
387,388.,Art Nehf (15),24.9,L
388,388.,Bob Purkey (13),24.9,R
389,390.,Scott Erickson (15),24.8,R
390,390.,Liván Hernández (17),24.8,R
391,390.,Dave McNally (14),24.8,L
392,390.,Charles Nagy (14),24.8,R
393,390.,Ron Reed (19),24.8,R
394,390.,Johnny Sain (11),24.8,R
395,390.,Steve Trachsel (16),24.8,R
396,390.,Carl Weilman (8),24.8,L
397,398.,Bronson Arroyo (16),24.7,R
398,398.,Joe Coleman (15),24.7,R
399,398.,Ray Collins (7),24.7,L
400,401.,Mark Baldwin (7),24.6,R
401,401.,Al Benton (14),24.6,R
402,401.,Kelvim Escobar (12),24.6,R
403,401.,Dan Quisenberry (12),24.6,R
404,401.,Sherry Smith (14),24.6,L
405,401.,Bob Veale (13),24.6,L
406,407.,Juan Guzman (10),24.5,R
407,407.,Johnny Schmitz (13),24.5,L
408,407.,Tully Sparks (12),24.5,R
409,407.,Bruce Sutter+ (12),24.5,R
410,407.,Ismael Valdez (12),24.5,R
411,412.,"Jake Arrieta (11, 34)",24.4,R
412,412.,Chris Bosio (11),24.4,R
413,412.,Josh Johnson (9),24.4,R
414,412.,Ed Killian (8),24.4,L
415,412.,Bob Ojeda (15),24.4,L
416,412.,Lefty Stewart (10),24.4,L
417,418.,Vean Gregg (8),24.3,L
418,419.,Tiny Bonham (10),24.2,R
419,420.,Francisco Rodriguez (16),24.1,R
420,420.,Ben Sanders (5),24.1,R
421,422.,Sam Gray (10),24.0,R
422,422.,Win Mercer (9),24.0,R
423,422.,Mike Scott (13),24.0,R
424,425.,Stan Bahnsen (16),23.9,R
425,425.,Red Ehret (11),23.9,R
426,425.,Bob Stanley (13),23.9,R
427,428.,Aaron Harang (14),23.8,R
428,428.,Mike Torrez (18),23.8,R
429,428.,Stan Williams (14),23.8,R
430,431.,Bob Smith (15),23.7,R
431,432.,John Franco (21),23.6,L
432,432.,Bill Gullickson (14),23.6,R
433,434.,Dave Goltz (12),23.5,R
434,435.,Dutch Ruether (11),23.4,L
435,436.,Dick Ellsworth (13),23.3,L
436,436.,Jonathan Papelbon (12),23.3,R
437,438.,Jack Coombs (14),23.2,R
438,438.,"J.A. Happ (14, 37)",23.2,L
439,438.,Matt Kilroy (10),23.2,L
440,441.,Orlando Hernandez (9),23.1,R
441,441.,Larry Jansen (9),23.1,R
442,441.,Nels Potter (12),23.1,R
443,444.,R.A. Dickey (15),23.0,R
444,444.,Tom Henke (14),23.0,R
445,444.,Scott Kazmir (12),23.0,L
446,444.,Frank Sullivan (11),23.0,R
447,448.,Dan Casey (7),22.9,L
448,448.,Spud Chandler (11),22.9,R
449,448.,Esteban Loaiza (14),22.9,R
450,448.,Jesse Orosco (24),22.9,L
451,452.,Sparky Lyle (16),22.8,L
452,452.,Stump Weidman (9),22.8,R
453,454.,Cy Falkenberg (12),22.7,R
454,454.,Dave Foutz (13),22.7,R
455,454.,Bill Monbouquette (11),22.7,R
456,454.,Ed Whitson (15),22.7,R
457,458.,Steve Gromek (17),22.6,R
458,458.,Ken Hill (14),22.6,R
459,458.,Don McMahon (18),22.6,R
460,458.,Don Mossi (12),22.6,L
461,458.,Billy O'Dell (13),22.6,L
462,458.,Jeff Tesreau (7),22.6,R
463,464.,Al Downing (17),22.5,L
464,464.,Denny Neagle (13),22.5,L
465,466.,Jon Garland (13),22.4,R
466,466.,Pedro Ramos (15),22.4,R
467,466.,Reb Russell (9),22.4,L
468,466.,Paul Splittorff (15),22.4,L
469,470.,Ryan Dempster (16),22.3,R
470,470.,Erik Hanson (11),22.3,R
471,470.,"Kyle Hendricks (7, 30)",22.3,R
472,470.,"Aaron Nola (6, 27)",22.3,R
473,470.,Gary Peters (14),22.3,L
474,475.,Dave Roberts (13),22.2,L
475,475.,Lefty Tyler (12),22.2,L
476,477.,Henry Boyle (6),22.1,R
477,477.,Guy Bush (17),22.1,R
478,477.,"Dallas Keuchel (9, 32)",22.1,L
479,477.,Whit Wyatt (16),22.1,R
480,481.,Jack Taylor (9),22.0,R
481,482.,John Burkett (15),21.8,R
482,482.,Hideo Nomo (12),21.8,R
483,482.,Orval Overall (7),21.8,R
484,485.,George Bradley (11),21.6,R
485,485.,Frank Kitson (10),21.6,R
486,485.,Hiroki Kuroda (7),21.6,R
487,485.,Mike Witt (12),21.6,R
488,489.,Andy Ashby (14),21.5,R
489,489.,Jesse Barnes (13),21.5,R
490,489.,Doug Davis (13),21.5,L
491,489.,Larry Gura (16),21.5,L
492,489.,John Montefusco (13),21.5,R
493,489.,Johnny Morrison (10),21.5,R
494,489.,Barney Pelty (10),21.5,R
495,489.,J.R. Richard (10),21.5,R
496,489.,Gerry Staley (15),21.5,R
497,498.,Al Brazle (10),21.4,L
498,498.,Ray Fisher (10),21.4,R
499,498.,Oral Hildebrand (10),21.4,R
500,498.,Doug Jones (16),21.4,R
501,498.,Mike Krukow (14),21.4,R
502,498.,Bill Lee (14),21.4,L
503,504.,"Carlos Carrasco (11, 33)",21.3,R
504,504.,Rick Honeycutt (21),21.3,L
505,504.,Lefty Leifield (12),21.3,L
506,504.,Dave Righetti (16),21.3,L
507,508.,Jim O'Toole (10),21.2,L
508,508.,Darren Oliver (20),21.2,L
509,508.,Marty Pattin (13),21.2,R
510,508.,Dick Rudolph (13),21.2,R
511,508.,Bob Tewksbury (13),21.2,R
512,513.,Bud Black (15),21.1,L
513,513.,Toad Ramsey (6),21.1,L
514,515.,Hank Aguirre (16),21.0,L
515,515.,Roy Face (16),21.0,R
516,515.,Rick Helling (12),21.0,R
517,515.,Ubaldo Jimenez (12),21.0,R
518,515.,Tug McGraw (19),21.0,L
519,515.,Johnny Rigney (8),21.0,R
520,515.,Todd Stottlemyre (14),21.0,R
521,522.,Bob Knepper (15),20.9,L
522,522.,Shane Rawley (12),20.9,L
523,522.,Steve Renko (15),20.9,R
524,522.,Ed Seward (6),20.9,R
525,526.,Dick Donovan (15),20.8,R
526,526.,George Earnshaw (9),20.8,R
527,526.,Keith Foulke (11),20.8,R
528,526.,Ben McDonald (9),20.8,R
529,530.,Jim Clancy (15),20.7,R
530,530.,Mike Hampton (16),20.7,L
531,530.,Fred Hutchinson (11),20.7,R
532,530.,Rudy May (16),20.7,L
533,530.,Zane Smith (13),20.7,L
534,530.,George Suggs (8),20.7,R
535,536.,Rick Aguilera (16),20.6,R
536,536.,Darryl Kile (12),20.6,R
537,536.,"Jordan Zimmermann (12, 34)",20.6,R
538,539.,Dick Drago (13),20.5,R
539,539.,Denny McLain (10),20.5,R
540,539.,George McQuillan (10),20.5,R
541,539.,Clarence Mitchell (18),20.5,L
542,539.,Jeff Montgomery (13),20.5,R
543,539.,Geoff Zahn (13),20.5,L
544,545.,Nelson Briles (14),20.4,R
545,545.,John Danks (10),20.4,L
546,545.,Babe Ruth+ (22),20.4,L
547,548.,Vic Sorrell (10),20.3,R
548,548.,Earl Wilson (11),20.3,R
549,550.,Ken Johnson (13),20.2,R
550,550.,Sam Jones (12),20.2,R
551,550.,Ron Kline (17),20.2,R
552,550.,Scott McGregor (13),20.2,L
553,554.,Rick Reed (15),20.1,R
554,554.,Ed Siever (7),20.1,L
555,556.,Clint Brown (15),20.0,R
556,556.,Doc Medich (11),20.0,R
557,556.,Aaron Sele (15),20.0,R
558,559.,Tim Lincecum (10),19.9,R
559,560.,Larry Benton (13),19.8,R
560,560.,Moe Drabowsky (17),19.8,R
561,560.,Pat Malone (10),19.8,R
562,560.,"Rick Porcello (12, 31)",19.8,R
563,560.,John Smiley (12),19.8,L
564,565.,Jim Abbott (10),19.7,L
565,565.,Gary Lavelle (13),19.7,L
566,565.,Johnny Niggeling (9),19.7,R
567,568.,Lloyd Brown (12),19.6,L
568,568.,Rick Mahler (13),19.6,R
569,568.,Mark Mulder (9),19.6,L
570,571.,Tom Browning (12),19.5,L
571,571.,Howie Camnitz (11),19.5,R
572,571.,Fritz Peterson (11),19.5,L
573,571.,Randy Wolf (16),19.5,L
574,575.,Joe Benz (9),19.4,R
575,575.,Doug Fister (10),19.4,R
576,575.,Kirby Higbe (12),19.4,R
577,575.,Bill Hoffer (6),19.4,R
578,575.,"Craig Kimbrel (11, 32)",19.4,R
579,575.,Kyle Lohse (16),19.4,R
580,575.,Bill Singer (14),19.4,R
581,582.,Mudcat Grant (14),19.3,R
582,582.,Togie Pittinger (8),19.3,R
583,582.,Bill Swift (11),19.3,R
584,582.,Jim Tobin (9),19.3,R
585,586.,Mark Eichhorn (11),19.2,R
586,586.,Greg Harris (15),19.2,R
587,586.,Jim Shaw (9),19.2,R
588,589.,Ivy Andrews (8),19.1,R
589,589.,Yovani Gallardo (12),19.1,R
590,589.,Guy Morton (11),19.1,R
591,589.,Pascual Perez (11),19.1,R
592,589.,Bob Shaw (11),19.1,R
593,589.,Mike Timlin (18),19.1,R
594,589.,John Wetteland (12),19.1,R
595,596.,Mike Caldwell (14),19.0,L
596,596.,"Jhoulys Chacin (12, 32)",19.0,R
597,596.,Pete Harnisch (14),19.0,R
598,596.,Denny Lemaster (11),19.0,L
599,596.,Jeff Reardon (16),19.0,R
600,601.,Rip Collins (11),18.9,R
601,601.,Bob Forsch (16),18.9,R
602,601.,Pretzels Getzien (9),18.9,R
603,601.,"Sonny Gray (8, 30)",18.9,R
604,601.,Michael Jackson (17),18.9,R
605,601.,Ron Perranoski (13),18.9,L
606,601.,Dupee Shaw (6),18.9,L
607,601.,Bill Swift (13),18.9,R
608,609.,Leon Cadore (10),18.8,R
609,609.,Ron Darling (13),18.8,R
610,609.,Randy Jones (10),18.8,L
611,609.,Ted Lewis (6),18.8,R
612,609.,Monte Pearson (10),18.8,R
613,609.,Brad Penny (14),18.8,R
614,615.,Jeremy Guthrie (13),18.7,R
615,615.,"Julio Teheran (10, 29)",18.7,R
616,617.,Jim Bibby (12),18.6,R
617,617.,Terry Forster (16),18.6,L
618,617.,"Joakim Soria (13, 36)",18.6,R
619,617.,Steve Stone (11),18.6,R
620,621.,Ned Garvin (7),18.5,R
621,621.,Slim Harriss (9),18.5,R
622,621.,Roberto Hernandez (17),18.5,R
623,621.,"Tanner Roark (8, 33)",18.5,R
624,625.,Clay Carroll (15),18.4,R
625,626.,Jack Kralick (9),18.3,L
626,626.,Matt Morris (11),18.3,R
627,628.,Rube Benton (15),18.2,L
628,628.,Jack Russell (15),18.2,R
629,630.,Steve Barber (15),18.1,L
630,630.,"Patrick Corbin (8, 30)",18.1,L
631,630.,Pat Dobson (11),18.1,R
632,630.,Steve Farr (11),18.1,R
633,630.,Cherokee Fisher (8),18.1,R
634,630.,Woodie Fryman (18),18.1,L
635,630.,Chan Ho Park (17),18.1,R
636,630.,Paul Quantrill (14),18.1,R
637,630.,Shane Reynolds (13),18.1,R
638,630.,Bill Walker (10),18.1,L
639,640.,Joaquin Benoit (16),18.0,R
