,Rank,"Player (yrs, age)",Def. Games as 2B,Throws
338,339.,Ed Abbaticchio (9),419,R
339,340.,Jake Wood (7),417,R
340,341.,Jerry Royster (16),416,R
341,342.,D'Angelo Jimenez (8),414,R
342,342.,"Yolmer Sanchez (7, 28)",414,R
343,344.,David Bell (12),413,R
344,345.,"Jed Lowrie (12, 36)",412,R
345,346.,Nick Punto (14),408,R
346,347.,Jay Bell (18),406,R
347,348.,Jack Perconte (7),405,R
348,349.,"Whit Merrifield (5, 31)",402,R
349,349.,Ken Oberkfell (16),402,R
350,351.,"Ozzie Albies (4, 23)",401,R
351,352.,Jose Castillo (5),400,R
352,352.,Paul Molitor+ (21),400,R
353,352.,Warren Morris (5),400,R
354,355.,Bobby Adams (14),399,R
355,356.,Joey Amalfitano (10),398,R
356,357.,Jimmy Brown (8),392,R
357,357.,Don Buford (10),392,R
358,357.,Mark Lewis (11),392,R
359,357.,Amby McConnell (4),392,R
360,361.,Vance Law (11),391,R
361,362.,Juan Bonilla (6),390,R
362,362.,"Jedd Gyorko (8, 31)",390,R
363,364.,Ted Lepcio (10),388,R
364,365.,Tom Foley (13),385,R
365,365.,Dave McKay (8),385,R
366,367.,Eddie Miksis (14),382,R
367,368.,Hub Collins (7),381,R
368,369.,Fred Manrique (9),376,R
369,370.,Sam Bohne (7),372,R
370,371.,Whitey Alpermann (4),368,R
371,372.,Chick Fewster (11),366,R
372,373.,"Asdrubal Cabrera (14, 34)",365,R
373,374.,Lew Fonseca (12),363,R
374,375.,Jeff Reboulet (12),361,R
375,376.,Sibby Sisti (13),359,R
376,377.,Manuel Lee (11),358,R
377,377.,Paul Popovich (11),358,R
378,377.,"Jonathan Villar (8, 29)",358,R
379,380.,Jack Dittmer (6),354,R
380,381.,Bob Ferguson (14),353,R
381,382.,Jeff Keppinger (9),352,R
382,383.,Frank Isbell (10),351,R
383,383.,Curt Wilkerson (11),351,R
384,385.,Mark Bellhorn (10),350,R
385,386.,Lee Magee (9),349,R
386,386.,Eddie Moore (10),349,R
387,388.,Sam Crane (7),348,R
388,389.,Ross Barnes (9),346,R
389,389.,Johnny Giavotella (7),346,R
390,389.,Gregg Jefferies (14),346,R
391,392.,"Daniel Descalso (10, 33)",345,R
392,392.,Roy Hughes (9),345,R
393,394.,Marv Breeding (4),344,R
394,394.,Junior Kennedy (7),344,R
395,396.,Casey Candaele (9),343,R
396,396.,Tom Carey (8),343,R
397,396.,Mark DeRosa (16),343,R
398,399.,Ken Aspromonte (7),342,R
399,399.,Alan Wiggins (7),342,R
