,Rank,"Player (yrs, age)",Times On Base,Bats
173,174.,Buddy Myer (17),3129,L
174,175.,Dale Murphy (18),3125,R
175,176.,Jack Clark (18),3112,R
176,177.,Billy Herman+ (15),3108,R
177,177.,Duke Snider+ (18),3108,L
178,179.,Steve Garvey (19),3107,R
179,180.,Scott Rolen (17),3103,R
180,181.,Heinie Manush+ (17),3100,L
181,182.,Andres Galarraga (19),3094,R
182,183.,Joe Mauer (15),3087,L
183,184.,Arky Vaughan+ (14),3086,L
184,185.,Dave Concepcion (19),3083,R
185,186.,Miguel Tejada (16),3082,R
186,187.,Edgar Renteria (16),3076,R
187,187.,Red Schoendienst+ (19),3076,B
188,189.,Aramis Ramirez (18),3063,R
189,190.,Kiki Cuyler+ (18),3060,R
190,191.,Joe DiMaggio+ (13),3050,R
191,192.,Bob Elliott (15),3044,R
192,193.,Orlando Cepeda+ (17),3041,R
193,194.,Adam Dunn (14),3034,L
194,195.,Willie Davis (18),3030,L
195,195.,Tony Fernandez (17),3030,B
196,197.,Matt Holliday (15),3022,R
197,198.,Jim Bottomley+ (16),3020,L
198,199.,Paul O'Neill (17),3019,L
199,200.,Mark McGwire (16),3018,R
200,201.,Sherry Magee (16),3014,R
201,202.,Dick Bartell (18),3010,R
202,202.,Gary Gaetti (20),3010,R
203,204.,Gary Carter+ (19),3008,R
204,205.,Bobby Grich (17),3006,R
205,206.,Ron Fairly (21),3005,L
206,207.,Jake Daubert (15),3003,L
207,208.,B.J. Surhoff (19),2999,L
208,209.,Jim Edmonds (17),2996,L
209,210.,Tommy Leach (19),2995,R
210,211.,Donie Bush (16),2991,B
211,211.,Todd Zeile (16),2991,R
212,213.,Hugh Duffy+ (17),2986,R
213,214.,Robin Ventura (16),2983,L
214,215.,Wally Moses (17),2980,L
215,216.,George Burns (15),2975,R
216,216.,Carlos Lee (14),2975,R
217,218.,Gary Matthews (16),2972,R
218,218.,Michael Young (14),2972,R
219,220.,Minnie Minoso (17),2969,R
220,221.,Garret Anderson (17),2966,L
221,222.,Ellis Burks (18),2960,R
222,223.,Johnny Bench+ (17),2958,R
223,223.,Jim Gilliam (14),2958,B
224,225.,Norm Cash (17),2953,L
225,226.,Bobby Bonilla (16),2950,B
226,227.,Ray Durham (14),2946,B
227,228.,Reggie Smith (17),2943,B
228,229.,Ron Cey (17),2942,R
229,230.,Victor Martinez (16),2936,B
230,231.,Joe Medwick+ (17),2934,R
231,232.,Bert Campaneris (19),2931,R
232,232.,Wally Joyner (16),2931,L
233,234.,Andruw Jones (17),2921,R
234,235.,Moises Alou (17),2919,R
235,235.,Johnny Mize+ (15),2919,L
236,235.,Pie Traynor+ (17),2919,R
237,238.,Mike Piazza+ (16),2916,R
238,238.,Jim Wynn (15),2916,R
239,240.,Edd Roush+ (18),2913,L
240,241.,Ed Konetchy (15),2912,R
241,242.,Charlie Grimm (20),2908,L
242,243.,Yogi Berra+ (19),2906,L
243,244.,Lloyd Waner+ (18),2905,L
244,245.,Derrek Lee (15),2903,R
245,246.,Dixie Walker (18),2897,L
246,247.,Sal Bando (16),2896,R
247,248.,Mark Teixeira (14),2891,B
248,249.,Gil Hodges (18),2889,R
249,250.,Adrian Gonzalez (15),2877,L
250,251.,Ken Boyer (15),2876,R
251,251.,Ken Griffey (19),2876,L
252,253.,Jay Bell (18),2873,R
253,254.,Jose Canseco (17),2867,R
254,255.,Clyde Milan (16),2865,L
255,256.,Bobby Doerr+ (14),2862,R
256,257.,Dave Bancroft+ (16),2854,B
257,258.,Bobby Bonds (14),2853,R
258,259.,Magglio Ordonez (15),2852,R
259,260.,Fred Lynn (17),2847,L
260,261.,"Edwin Encarnacion (16, 37)",2840,R
261,262.,Marquis Grissom (17),2835,R
262,263.,Phil Cavarretta (22),2834,L
263,264.,Lu Blue (13),2831,B
264,265.,Shawn Green (15),2827,L
265,266.,Earl Averill+ (13),2826,L
266,267.,Stuffy McInnis (19),2823,R
267,268.,Hal McRae (19),2818,R
268,269.,Fielder Jones (15),2813,L
269,269.,Chase Utley (16),2813,L
270,271.,Tim Wallach (17),2811,R
271,272.,Amos Otis (17),2810,R
272,272.,Kirby Puckett+ (12),2810,R
273,274.,Ben Chapman (15),2808,R
274,275.,Cesar Cedeno (17),2807,R
275,276.,Boog Powell (17),2806,L
276,277.,Joe Carter (16),2801,R
277,278.,Herman Long (16),2798,L
278,279.,Patsy Donovan (17),2796,L
279,280.,Curtis Granderson (16),2791,L
280,281.,Ian Kinsler (14),2784,R
281,282.,Juan Pierre (14),2783,L
282,283.,Chuck Knoblauch (12),2782,R
283,284.,Raul Ibanez (19),2776,L
284,285.,Brady Anderson (15),2775,L
285,285.,Cupid Childs (13),2775,L
286,285.,Chet Lemon (16),2775,R
287,288.,Dusty Baker (19),2773,R
288,288.,Charlie Jamieson (18),2773,L
289,290.,Ruben Sierra (20),2769,B
290,291.,Chris Chambliss (17),2768,L
291,292.,Roy White (15),2766,B
292,293.,Tino Martinez (16),2764,L
293,294.,Pinky Higgins (14),2763,R
294,295.,Don Mattingly (14),2762,L
295,296.,Ed McKean (13),2759,R
296,297.,Dick Allen (15),2758,R
297,298.,Cy Williams (19),2757,L
298,299.,Tom Brown (17),2753,L
299,300.,Bobby Murcer (17),2751,L
300,301.,George Scott (14),2744,R
301,302.,Bill Terry+ (14),2739,L
302,303.,Jose Reyes (16),2738,B
303,304.,Tony Lazzeri+ (14),2730,R
304,305.,Pete Runnels (14),2726,L
305,306.,Greg Luzinski (15),2724,R
306,307.,Willie McGee (18),2717,B
307,308.,Roger Peckinpaugh (17),2712,R
308,309.,George Kell+ (15),2711,R
309,309.,Tim Salmon (14),2711,R
310,311.,Rocky Colavito (14),2710,R
311,311.,Augie Galan (16),2710,B
312,313.,Maury Wills (14),2702,B
313,314.,Luis Castillo (15),2701,B
314,314.,Harvey Kuenn (15),2701,R
315,316.,Tony Taylor (19),2698,R
316,317.,Jeff Conine (17),2694,R
317,317.,Willie Wilson (19),2694,B
318,319.,Bobby Veach (14),2693,L
319,320.,"Shin-Soo Choo (16, 37)",2691,L
320,320.,Del Ennis (14),2691,R
321,320.,Carney Lansford (15),2691,R
322,323.,Chuck Klein+ (17),2689,L
323,324.,Larry Bowa (16),2682,B
324,325.,Bill Madlock (15),2681,R
325,326.,Tommy Corcoran (18),2678,R
326,326.,Bill Dickey+ (17),2678,L
327,328.,Alfonso Soriano (16),2677,R
328,329.,Jorge Posada (17),2674,B
329,330.,Placido Polanco (16),2672,R
330,331.,Willie Horton (18),2671,R
331,332.,Harlond Clift (12),2669,R
332,333.,Dick Groat (14),2659,R
333,334.,Cecil Cooper (17),2657,L
334,335.,Mike Cameron (17),2654,R
335,336.,Gabby Hartnett+ (20),2650,R
336,336.,Roy Thomas (13),2650,L
337,338.,George Foster (18),2643,R
338,339.,Mike Griffin (12),2642,L
339,340.,Chris Speier (19),2641,R
340,341.,Don Kessinger (16),2637,B
341,341.,"Andrew McCutchen (12, 33)",2637,R
342,343.,Tommy Tucker (13),2635,B
343,344.,Kip Selbach (13),2634,R
344,345.,Rick Ferrell+ (18),2633,R
345,346.,Mike Hargrove (12),2632,L
346,347.,Marty McManus (15),2631,R
347,348.,Mike Tiernan (13),2627,L
348,349.,"Ryan Braun (14, 36)",2626,R
349,350.,Larry Gardner (17),2617,L
350,351.,Prince Fielder (12),2616,L
351,352.,Kent Hrbek (14),2613,L
352,353.,Lou Boudreau+ (15),2609,R
353,354.,Jose Bautista (15),2608,R
354,355.,Orlando Cabrera (15),2601,R
355,356.,Roy Sievers (17),2595,R
356,357.,Frank Howard (16),2589,R
357,358.,David Wright (14),2584,R
358,359.,"Yadier Molina (17, 37)",2583,R
359,360.,Felipe Alou (17),2581,R
360,361.,Wally Pipp (15),2575,L
361,362.,Al Dark (14),2573,R
362,363.,George Hendrick (18),2569,R
363,364.,Lee May (18),2567,R
364,364.,Rick Monday (19),2567,L
365,366.,Larry Doyle (14),2565,L
366,366.,Hanley Ramirez (15),2565,R
367,368.,Devon White (17),2562,B
368,369.,Vern Stephens (15),2557,R
369,370.,Earle Combs+ (12),2553,L
370,370.,Heinie Groh (16),2553,R
371,372.,Jose Cardenal (18),2547,R
372,372.,Vic Wertz (17),2547,L
373,374.,Del Pratt (13),2546,R
374,375.,Ossie Bluege (18),2545,R
375,375.,John Ward+ (17),2545,L
376,377.,Jack Glasscock (17),2543,R
377,378.,Paul Hines (20),2541,R
378,378.,Brandon Phillips (17),2541,R
379,380.,Sam West (16),2539,L
380,381.,Mickey Cochrane+ (13),2538,L
381,382.,Davey Lopes (16),2535,R
382,383.,Tommy Davis (18),2534,R
383,383.,Gene Woodling (17),2534,L
384,385.,Steve Sax (14),2529,R
385,386.,Bob Watson (19),2527,R
386,387.,Miller Huggins+ (13),2524,B
387,388.,Bob Boone (19),2521,R
388,389.,Royce Clayton (17),2514,R
389,390.,Arlie Latham (17),2510,R
390,391.,Jimmy Collins+ (14),2509,R
391,391.,Mark Grudzielanek (15),2509,R
392,393.,Sam Thompson+ (15),2503,L
393,394.,Melky Cabrera (15),2499,B
394,395.,Hank Greenberg+ (13),2496,R
395,396.,"Justin Upton (14, 32)",2495,R
396,397.,David Justice (14),2492,L
397,397.,Mark McLemore (19),2492,B
398,399.,George Burns (16),2491,R
399,400.,Willie Kamm (13),2489,R
400,401.,Ralph Kiner+ (10),2486,R
401,402.,Kid Gleason (22),2485,B
402,403.,Bill Mazeroski+ (17),2483,R
403,404.,"Nelson Cruz (16, 39)",2482,R
404,404.,Rafael Furcal (14),2482,B
405,406.,A.J. Pierzynski (19),2480,L
406,406.,Garry Templeton (16),2480,B
407,406.,Eric Young Sr. (15),2480,R
408,409.,Bobby Lowe (18),2479,R
409,410.,Johnny Evers+ (18),2476,L
410,411.,Jim Fregosi (18),2473,R
411,412.,Carl Furillo (15),2471,R
412,413.,Harry Stovey (14),2470,R
413,414.,"Dustin Pedroia (14, 36)",2467,R
414,415.,Ken Caminiti (15),2466,B
415,415.,"Evan Longoria (13, 34)",2466,R
416,417.,Albert Belle (12),2464,R
417,417.,Hal Chase (15),2464,R
418,419.,Billy Nash (15),2462,R
419,419.,Wally Schang (19),2462,B
420,421.,Dom DiMaggio (11),2461,R
421,422.,Dolph Camilli (12),2457,L
422,423.,Juan Gonzalez (17),2455,R
423,423.,Richie Hebner (18),2455,L
424,425.,Ron Gant (16),2453,R
425,425.,Mo Vaughn (12),2453,L
426,427.,Johnny Callison (16),2448,L
427,427.,Elmer Flick+ (13),2448,L
428,427.,"Alex Gordon (14, 36)",2448,L
429,427.,Frank White (18),2448,R
430,431.,Frankie Crosetti (17),2447,R
431,432.,Dick McAuliffe (16),2445,L
432,432.,Bill Russell (18),2445,R
433,432.,"Ryan Zimmerman (15, 35)",2445,R
434,435.,Joe Adcock (17),2443,R
435,435.,Jack Tobin (13),2443,L
436,437.,Jermaine Dye (14),2439,R
437,438.,Bob Bailey (17),2433,R
438,438.,Andy Pafko (17),2433,R
439,440.,Lance Parrish (19),2431,R
440,441.,Ben Zobrist (14),2429,B
441,442.,Harry Davis (22),2425,R
442,442.,Ray Lankford (14),2425,L
443,442.,Rudy York (13),2425,R
444,445.,Larry Doby+ (13),2424,L
445,445.,Tony Oliva (15),2424,L
446,447.,Travis Fryman (13),2419,R
447,448.,Deacon White+ (20),2416,L
448,449.,Eddie Joost (17),2415,R
449,450.,Reggie Sanders (17),2411,R
450,451.,Ryan Klesko (16),2410,L
451,452.,Jhonny Peralta (15),2405,R
452,453.,Max Bishop (12),2403,L
453,454.,Matt Williams (17),2402,R
454,455.,Elmer Valo (20),2400,L
455,456.,Terry Pendleton (15),2398,B
456,457.,Tommy Harper (15),2397,R
457,457.,Bing Miller (16),2397,R
458,459.,Bret Boone (14),2396,R
459,460.,Billy Goodman (16),2389,L
460,461.,Claudell Washington (17),2388,L
461,462.,Adam Jones (14),2382,R
462,463.,Greg Vaughn (15),2377,R
463,464.,King Kelly+ (16),2374,R
464,465.,Dode Paskert (15),2369,R
465,466.,Vinny Castilla (16),2367,R
466,466.,Frank Schulte (15),2367,L
467,468.,Gee Walker (15),2365,R
468,469.,Home Run Baker+ (13),2361,L
469,469.,Roy McMillan (16),2361,R
470,471.,Larry Parrish (15),2360,R
471,472.,George Gore (14),2359,L
472,473.,Curt Flood (15),2357,R
473,474.,Pat Burrell (12),2356,R
474,475.,Carl Crawford (15),2355,L
475,476.,J.D. Drew (14),2354,L
476,477.,"Matt Kemp (15, 35)",2352,R
477,478.,Mark Kotsay (17),2351,L
478,479.,Shoeless Joe Jackson (13),2350,L
479,480.,Babe Herman (13),2349,L
480,480.,Deacon McGuire (26),2349,R
481,482.,"Carlos Santana (11, 34)",2345,B
482,483.,Tom Brunansky (14),2343,R
483,484.,Jose Offerman (15),2341,B
484,485.,Mark Loretta (15),2339,R
485,486.,Randy Winn (13),2338,B
486,487.,Hunter Pence (14),2337,R
487,488.,Bill Nicholson (16),2336,L
488,489.,J.T. Snow (16),2333,L
489,490.,Rico Carty (15),2332,R
490,490.,Kirk Gibson (17),2332,L
491,492.,Bill Freehan (15),2331,R
492,493.,Jackie Robinson+ (10),2330,R
493,493.,Bill White (13),2330,L
494,495.,Tony Cuccinello (15),2326,R
495,496.,Tom Daly (17),2322,B
496,496.,Delino DeShields (13),2322,L
497,498.,Gus Bell (15),2320,L
498,499.,Darrell Porter (17),2319,L
499,500.,Joe Gordon+ (11),2318,R
500,500.,Aubrey Huff (13),2318,L
501,502.,Russell Martin (14),2315,R
502,502.,John Mayberry (15),2315,L
503,504.,Dave Philley (18),2311,B
504,505.,"Asdrubal Cabrera (14, 34)",2310,B
505,506.,George McQuinn (12),2308,L
506,507.,Jack Fournier (15),2307,L
507,507.,Eric Karros (14),2307,R
508,509.,Earl Torgeson (15),2306,L
509,510.,Brian McCann (15),2305,L
510,511.,"Elvis Andrus (12, 31)",2303,R
511,512.,Dante Bichette (14),2302,R
512,512.,"Mike Trout (10, 28)",2302,R
513,514.,Jack Doyle (17),2300,R
514,515.,Claude Ritchey (13),2298,B
515,515.,Benito Santiago (20),2298,R
516,515.,Bobby Thomson (15),2298,R
517,518.,Vernon Wells (15),2297,R
518,519.,Jayson Werth (15),2293,R
519,520.,Jeff Burroughs (16),2289,R
520,521.,Phil Rizzuto+ (13),2288,R
521,522.,"Freddie Freeman (11, 30)",2283,L
522,523.,Brad Ausmus (18),2282,R
523,524.,Ted Kluszewski (15),2281,L
524,525.,Steve Brodie (12),2280,L
525,526.,Willie Jones (15),2279,R
526,526.,John McGraw+ (17),2279,L
527,528.,Leo Cardenas (16),2275,R
528,528.,Troy Glaus (13),2275,R
529,530.,Milt Stock (14),2274,R
530,531.,Ernie Lombardi+ (17),2268,R
531,532.,Jeromy Burnitz (14),2264,L
532,533.,Don Money (16),2263,R
533,534.,Lonny Frey (14),2262,L
534,535.,Kevin Seitzer (12),2261,R
535,536.,Pedro Guerrero (15),2259,R
536,536.,Andre Thornton (14),2259,R
537,538.,Andy Van Slyke (13),2256,L
538,539.,Darryl Strawberry (17),2255,L
539,540.,Dan Driessen (15),2253,L
540,541.,George Grantham (13),2248,L
541,542.,Ryan Howard (13),2243,L
542,543.,Roy Smalley (13),2239,B
543,544.,Jackie Jensen (11),2236,R
544,544.,Dave Kingman (16),2236,R
545,546.,Billy Jurges (17),2232,R
546,547.,Shannon Stewart (14),2231,R
547,548.,Whitey Lockman (15),2229,L
548,549.,Jeff Cirillo (14),2228,R
549,549.,Fred Pfeffer (16),2228,R
550,551.,Ron Hunt (12),2227,R
551,552.,Alex Rios (12),2223,R
552,553.,Justin Morneau (14),2222,L
553,554.,Mike Lowell (13),2219,R
554,555.,Joe Vosmik (13),2217,R
555,556.,Elbie Fletcher (12),2216,L
556,557.,Ginger Beaumont (12),2214,L
557,557.,Jim Sundberg (16),2214,R
558,559.,Nick Swisher (12),2211,B
559,560.,Ben Oglivie (16),2210,L
560,561.,Darin Erstad (14),2209,L
561,561.,Nomar Garciaparra (14),2209,R
562,561.,Joe Quinn (17),2209,R
563,564.,John Anderson (14),2206,B
564,564.,Frank Thomas (16),2206,R
565,566.,Eric Davis (17),2203,R
566,566.,Lonnie Smith (17),2203,R
567,568.,Sherm Lollar (18),2201,R
568,569.,"Paul Goldschmidt (10, 32)",2200,R
569,570.,Al Smith (12),2195,R
570,571.,Dave Martinez (16),2194,L
571,572.,Phil Garner (16),2192,R
572,572.,High Pockets Kelly+ (16),2192,R
573,574.,Travis Jackson+ (15),2190,R
574,575.,Topsy Hartsel (14),2185,L
575,575.,Eddie Stanky (11),2185,R
576,577.,Gus Suhr (11),2174,L
577,578.,Cliff Floyd (17),2171,L
578,579.,Edgardo Alfonzo (12),2169,R
579,580.,Sid Gordon (13),2168,R
580,580.,Lloyd Moseby (12),2168,L
581,582.,Tony Pena (18),2165,R
582,583.,Bill Bruton (12),2162,L
583,584.,Garry Maddox (15),2161,R
584,585.,Hughie Jennings+ (18),2160,R
585,586.,Howie Kendrick (15),2157,R
586,587.,Buddy Lewis (11),2156,L
587,588.,Hack Wilson+ (12),2155,R
588,589.,Jim Piersall (17),2153,R
589,590.,Danny Tartabull (14),2151,R
590,591.,Brian Roberts (14),2149,B
591,592.,Jorge Orta (16),2148,L
592,593.,Ken Williams (14),2146,L
593,594.,Johnny Temple (13),2145,R
594,595.,Bruce Bochte (12),2144,L
595,595.,Doug DeCinces (15),2144,R
596,597.,Johnny Pesky (10),2142,L
597,598.,Pete Browning (13),2141,R
598,598.,Dan McGann (12),2141,B
599,600.,Melvin Mora (13),2140,R
600,600.,Matt Stairs (19),2140,L
601,602.,Coco Crisp (15),2138,B
602,603.,Frank McCormick (13),2137,R
603,603.,Mike Smith (14),2137,L
604,605.,Von Hayes (12),2136,L
605,605.,Mike Sweeney (16),2136,R
606,607.,Gene Tenace (15),2135,R
607,608.,Eric Chavez (17),2131,L
608,608.,Jim Gantner (17),2131,L
609,610.,Harry Steinfeldt (14),2128,R
610,611.,Adam LaRoche (12),2125,L
611,612.,Matty Alou (15),2124,L
612,613.,Hal Trosky (11),2122,L
613,614.,Jay Buhner (15),2121,R
614,615.,Bill Hallman (14),2119,R
615,616.,Pinky Whitney (12),2118,R
616,617.,Al Lopez+ (19),2117,R
617,618.,Joe Tinker+ (15),2116,R
618,619.,John Titus (11),2115,L
619,620.,Mickey Tettleton (14),2111,B
620,621.,Bob Allison (13),2110,R
621,622.,Baby Doll Jacobson (11),2108,R
622,622.,Cy Seymour (16),2108,L
623,624.,Raul Mondesi (13),2105,R
624,625.,Lou Piniella (18),2104,R
625,626.,Pete Fox (13),2103,R
626,627.,Duke Farrell (18),2102,B
627,628.,Tom Herr (13),2099,B
628,629.,Michael Cuddyer (15),2098,R
629,630.,Ken Keltner (13),2097,R
630,631.,Billy Werber (11),2096,R
631,632.,Freddie Lindstrom+ (13),2094,R
632,633.,Willie Montanez (14),2093,L
633,634.,Juan Samuel (16),2092,R
634,635.,"Dexter Fowler (13, 34)",2091,B
635,636.,Gregg Jefferies (14),2089,B
636,636.,Bob Meusel (11),2089,R
637,638.,"Brett Gardner (13, 36)",2087,L
638,639.,Bill Doran (12),2085,B
639,640.,George Bell (12),2082,R
640,641.,Hardy Richardson (14),2081,R
641,642.,Tim McCarver (21),2079,L
642,642.,Tommy McCarthy+ (13),2079,R
643,644.,Fred Merkle (16),2078,R
644,644.,Jason Thompson (11),2078,L
645,644.,Ross Youngs+ (10),2078,L
646,647.,Cookie Rojas (16),2076,R
647,648.,Shano Collins (16),2075,R
648,649.,"Jay Bruce (13, 33)",2074,L
649,650.,Burt Shotton (14),2073,L
650,651.,Sean Casey (12),2070,L
651,652.,Sparky Adams (13),2069,R
652,652.,Pete O'Brien (12),2069,L
653,654.,Yunel Escobar (11),2065,R
654,655.,Mike Bordick (14),2063,R
655,655.,Monte Cross (15),2063,R
656,657.,Ferris Fain (9),2061,L
657,658.,Chick Stahl (10),2060,L
658,659.,Jose Guillen (14),2057,R
659,660.,Wally Moon (12),2056,L
660,661.,David DeJesus (13),2052,L
661,661.,Deron Johnson (16),2052,R
662,663.,Alfredo Griffin (18),2051,B
663,664.,Rich Aurilia (15),2050,R
664,664.,Jeff Heath (14),2050,L
665,664.,Riggs Stephenson (14),2050,R
666,667.,Cecil Fielder (13),2049,R
667,667.,Denard Span (11),2049,L
