,Rank,"Player (yrs, age)",Putouts as SS,Throws
262,263.,Gene DeMontreville (11),896,R
263,264.,Alvaro Espinoza (12),890,R
264,265.,Marco Scutaro (13),884,R
265,266.,Dale Berra (11),883,R
266,267.,Jose Offerman (15),880,R
267,268.,Mario Guerrero (8),878,R
268,269.,Billy Hunter (6),877,R
269,270.,Bobby Crosby (8),875,R
270,271.,Mark Grudzielanek (15),871,R
271,271.,Jim Levey (4),871,R
272,273.,Bob Lillis (10),859,R
273,274.,Lonny Frey (14),856,R
274,275.,Steve Jeltz (8),855,R
275,276.,Darrel Chaney (11),854,R
276,277.,Jackie Hernandez (9),852,R
277,278.,Ronny Cedeno (10),848,R
278,278.,Pete Runnels (14),848,R
279,280.,Andres Thomas (6),841,R
280,281.,Bobby Bragan (7),828,R
281,282.,Jim Mason (9),823,R
282,283.,Cliff Pennington (11),817,R
283,284.,"Nick Ahmed (7, 30)",803,R
284,285.,Felipe Lopez (11),798,R
285,286.,"Trevor Story (5, 27)",797,R
286,287.,Lee Tannehill (10),784,R
287,288.,Wayne Causey (11),779,R
288,289.,Alex Cora (14),777,R
289,290.,"Tim Anderson (5, 27)",774,R
290,291.,Wid Conroy (11),773,R
291,292.,"Orlando Arcia (5, 25)",771,R
292,293.,Jack Rowe (12),770,R
293,294.,Doc Farrell (9),764,R
294,295.,Swede Risberg (4),763,R
295,296.,John Peters (11),760,R
296,297.,George Scharein (4),757,R
297,297.,Fred Stanley (14),757,R
298,299.,Billy Clingman (10),756,R
299,300.,Stan Rojek (8),745,R
300,301.,Mariano Duncan (12),742,R
301,301.,George Magoon (5),742,R
302,303.,Solly Hemus (11),740,R
303,304.,Mark Christman (9),739,R
304,305.,Joe Koppe (8),737,R
305,305.,Rob Picciolo (9),737,R
306,307.,Bob Fisher (7),733,R
307,307.,Arnold Hauser (5),733,R
308,307.,Frank Scheibeck (8),733,R
309,310.,Whitey Wietelmann (9),730,R
310,311.,Danny Thompson (7),724,R
311,312.,Dick Culler (8),723,R
312,313.,Woody Woodward (9),720,R
313,314.,Manuel Lee (11),718,R
314,315.,John McDonald (16),717,R
315,316.,George Wright+ (12),714,R
316,317.,"Carlos Correa (6, 25)",711,R
317,318.,Andujar Cedeno (7),709,R
318,319.,Ryan Theriot (8),697,R
319,320.,Rogers Hornsby+ (23),691,R
320,321.,Rocky Bridges (11),686,R
321,321.,Marty Perez (10),686,R
322,323.,Danny Richardson (11),685,R
323,324.,Joe Hoover (3),683,R
324,325.,Charlie Babb (3),682,R
325,326.,Benji Gil (8),680,R
326,327.,Sadie Houck (8),679,R
327,328.,Candy Nelson (13),668,R
328,329.,Dave Anderson (10),665,R
329,330.,John Knight (8),660,R
330,330.,Bill White (5),660,R
331,332.,Ray Oyler (6),659,R
332,333.,Tony Womack (13),658,R
333,334.,Joe Cassidy (2),657,R
334,335.,Tom Downey (6),648,R
335,335.,Rey Quinones (4),648,R
336,337.,Mario Mendoza (9),645,R
337,338.,Paul Radford (12),643,R
338,339.,Skeeter Webb (12),641,R
339,340.,Everth Cabrera (7),638,R
340,340.,Bill Spiers (13),638,R
341,342.,Dale Sveum (12),634,R
342,343.,Desi Relaford (11),631,R
343,344.,Chick Fulmer (11),630,R
344,345.,Joe Dugan (14),627,R
345,346.,Ramon Santiago (13),620,R
346,347.,Luis Gomez (8),615,R
347,347.,"Dansby Swanson (5, 26)",615,R
348,349.,"Corey Seager (6, 26)",613,R
349,350.,Joe Sullivan (4),609,
350,351.,Rick Auerbach (11),608,R
351,352.,Billy Klaus (11),606,R
352,353.,Johnny Mitchell (5),604,R
353,354.,Tom Burns (13),600,R
354,354.,Ed Holly (4),600,R
355,356.,Juan Castro (17),598,R
356,357.,Tom Foley (13),597,R
357,357.,Tom Tresh (9),597,R
358,359.,Roberto Pena (6),596,R
359,360.,Mike Tyson (10),593,R
360,361.,"Miguel Rojas (7, 31)",588,R
361,362.,Ruben Tejada (9),586,R
362,363.,Kiko Garcia (10),583,R
363,363.,Gordon Slade (6),583,R
364,365.,Zeb Terry (7),575,R
365,366.,Pepe Frias (9),574,R
366,367.,Dave Chalk (9),561,R
367,367.,"Jed Lowrie (12, 36)",561,R
368,369.,Frank O'Rourke (14),555,R
369,370.,Neal Ball (7),554,R
370,371.,"Trea Turner (6, 27)",551,R
371,372.,Ollie O'Mara (6),548,R
372,373.,Craig Counsell (16),546,R
373,374.,Jose Valdivielso (5),544,R
374,375.,Johnny Berardino (11),540,R
375,376.,Bob Meacham (6),539,R
376,377.,Mike Aviles (10),537,R
377,377.,Billy Cox (11),537,R
378,379.,Sparky Adams (13),536,R
379,380.,Tim Bogar (9),530,R
380,381.,Alan Strange (5),529,R
381,382.,"Paul DeJong (4, 26)",527,R
382,383.,Tommy McMillan (4),526,R
383,384.,Mike Gallego (13),525,R
384,384.,Pop Smith (12),525,R
385,386.,Blondy Ryan (6),524,R
386,387.,Howie Shanks (14),518,R
387,388.,Travis Fryman (13),517,R
388,388.,Frankie Gustine (12),517,R
389,390.,Gil McDougald (10),516,R
390,390.,Johnny Rawlings (12),516,R
391,392.,Todd Cruz (6),513,R
392,393.,Lena Blackburne (8),511,R
393,393.,Hector Torres (9),511,R
394,395.,Addison Russell (5),507,R
395,396.,Barry McCormick (10),506,R
396,397.,Curt Wilkerson (11),503,R
397,398.,David Howard (9),502,R
398,399.,"Javier Baez (7, 27)",501,R
399,399.,Mark Loretta (15),501,R
