,Rank,"Player (yrs, age)",Errors Committed as 3B,Throws
201,200.,Al Nichols (3),114,
202,203.,Joe Foy (6),113,R
203,204.,Bob Dillinger (6),112,R
204,204.,Al Rosen (10),112,R
205,206.,Andy Carey (11),111,R
206,206.,Billy Johnson (9),111,R
207,206.,Luis Salazar (13),111,R
208,209.,Bill Boyd (4),110,
209,209.,Scott Brosius (11),110,R
210,209.,Rube Lutzke (5),110,R
211,209.,"Mike Moustakas (10, 31)",110,R
212,213.,Ken Reitz (11),109,R
213,214.,Casey Blake (13),108,R
214,215.,Charley Bassett (9),107,R
215,215.,Kelly Gruber (10),107,R
216,215.,Chase Headley (12),107,R
217,215.,Lew Riggs (10),107,R
218,215.,Bobby Wallace+ (25),107,R
219,220.,Toby Harrah (17),106,R
220,220.,"Pablo Sandoval (13, 33)",106,R
221,220.,Joe Stripp (11),106,R
222,223.,Buck Herzog (13),105,R
223,223.,Ray Jablonski (8),105,R
224,223.,Bob Kennedy (16),105,R
225,223.,Ray Knight (13),105,R
226,223.,Jim O'Rourke+ (23),105,R
227,223.,Charley Smith (10),105,R
228,229.,Steve Buechele (11),104,R
229,230.,Doug Baird (6),103,R
230,230.,Jimmy Johnston (13),103,R
231,230.,Marty McManus (15),103,R
232,230.,Alex Rodriguez (22),103,R
233,234.,Freddie Lindstrom+ (13),102,R
234,234.,Frank O'Rourke (14),102,R
235,234.,Gene Robertson (9),102,R
236,237.,Mike Lowell (13),101,R
237,238.,Jim Davenport (13),100,R
238,239.,Melvin Mora (13),99,R
239,240.,Charlie Hickman (12),98,R
240,240.,Hector Lopez (12),98,R
241,242.,Bob Horner (10),97,R
242,242.,Don Money (16),97,R
243,242.,Yank Robinson (10),97,R
244,242.,Pete Ward (9),97,R
245,242.,Don Wert (9),97,R
246,247.,Tony Batista (11),96,R
247,247.,Sean Berry (11),96,R
248,247.,"Todd Frazier (10, 34)",96,R
249,247.,Ken Oberkfell (16),96,R
250,247.,Hardy Richardson (14),96,R
251,252.,Wayne Garrett (10),95,R
252,252.,Bill Sweeney (8),95,R
253,254.,Ernie Courtney (6),94,R
254,254.,Wally Gilbert (5),94,R
255,254.,Howie Shanks (14),94,R
256,254.,Cecil Travis (12),94,R
257,258.,Bobby Adams (14),93,R
258,258.,Andy High (13),93,R
259,258.,Steve Ontiveros (8),93,R
260,261.,Pedro Feliz (11),92,R
261,261.,Bubba Phillips (10),92,R
262,263.,"Nolan Arenado (8, 29)",91,R
263,263.,Bill McKechnie+ (11),91,R
264,265.,Hubie Brooks (15),90,R
265,265.,David Freese (11),90,R
266,265.,Jim Gilliam (14),90,R
267,268.,Bill Dahlen (21),89,R
268,268.,Hank Majeski (13),89,R
269,270.,Fritz Maisel (6),88,R
270,270.,Gary Sheffield (22),88,R
271,270.,Eric Soderholm (9),88,R
272,273.,Mike Lamb (10),87,R
273,273.,Pepper Martin (13),87,R
274,273.,Ty Wigginton (12),87,R
275,276.,Odell Hale (10),86,R
276,276.,Fernando Tatis (11),86,R
277,278.,Mike Blowers (11),85,R
278,278.,Russ Davis (8),85,R
279,278.,Frankie Gustine (12),85,R
280,281.,Pinky May (5),84,R
281,281.,Bert Myers (3),84,R
282,281.,Billy Purtell (5),84,R
283,281.,Buck Weaver (9),84,R
284,285.,Joe Crede (10),83,R
285,285.,Chuck Dressen (8),83,R
286,285.,Ed Gremminger (4),83,R
287,288.,Chick Fulmer (11),82,R
288,288.,Otto Krueger (7),82,R
289,288.,Tim O'Rourke (5),82,R
290,291.,Roger Connor+ (18),81,L
291,291.,Herm Doscher (6),81,R
292,291.,Corey Koskie (9),81,R
293,291.,"Manny Machado (9, 27)",81,R
294,291.,Terry Turner (17),81,R
295,296.,Mike Shannon (9),80,R
296,297.,Fred Haney (7),79,R
297,297.,Jim Morrison (12),79,R
298,297.,Frank Thomas (16),79,R
299,300.,Joe Gerhardt (15),78,R
300,300.,Edgar Martinez+ (18),78,R
301,302.,Bill Gray (5),77,
302,302.,Pedro Guerrero (15),77,R
303,302.,John Hatfield (6),77,
304,302.,Lefty Marr (4),77,L
305,302.,Phil Nevin (12),77,R
306,307.,Buck Ewing+ (18),76,R
307,307.,Jiggs Parrott (4),76,
308,307.,Chris Sabo (9),76,R
309,307.,Rick Schu (9),76,R
310,311.,Chris Johnson (8),75,R
311,311.,Jeff King (11),75,R
312,313.,"Kris Bryant (6, 28)",74,R
313,313.,"Miguel Cabrera (18, 37)",74,R
314,313.,Darnell Coles (14),74,R
315,313.,"Rafael Devers (4, 23)",74,R
316,313.,George Perring (5),74,R
317,313.,Sibby Sisti (13),74,R
318,313.,Will Smalley (2),74,R
319,313.,Al Smith (12),74,R
320,321.,Edgardo Alfonzo (12),73,R
321,321.,Garrett Atkins (8),73,R
322,321.,Tony Cuccinello (15),73,R
323,321.,Jerry Royster (16),73,R
324,321.,Joe Sommer (10),73,R
325,321.,"Eugenio Suarez (7, 28)",73,R
326,321.,Jim Thome+ (22),73,R
327,328.,Hank Blalock (9),72,R
328,328.,Ray Boone (13),72,R
329,328.,Bernie Friberg (14),72,R
330,328.,Mike McGeary (11),72,R
331,328.,Joe Sewell+ (14),72,R
332,328.,Pete Sweeney (3),72,R
333,328.,Fred Waterman (4),72,
334,335.,Steve Bellan (3),71,
335,335.,Billy Cox (11),71,R
336,335.,Morgan Ensberg (8),71,R
337,335.,Vance Law (11),71,R
338,335.,Dave Magadan (16),71,R
339,335.,John Morrill (15),71,R
340,335.,Bill Stein (14),71,R
341,342.,Shane Andrews (7),70,R
342,342.,Jack Burdock (18),70,R
343,342.,Joe Evans (11),70,R
344,342.,Shea Hillenbrand (7),70,R
345,342.,Jack Howell (11),70,R
346,342.,Joe Yeager (10),70,R
347,348.,Emil Batch (4),69,R
348,348.,Chone Figgins (12),69,R
349,348.,Wes Helms (13),69,R
350,348.,John Knight (8),69,R
351,348.,Ed Mayer (2),69,
352,348.,Trevor Plouffe (9),69,R
353,348.,Lenny Randle (12),69,R
354,348.,Bobby Reeves (6),69,R
355,348.,Cal Ripken Jr.+ (21),69,R
356,357.,"Maikel Franco (7, 27)",68,R
357,357.,Frankie Frisch+ (19),68,R
358,357.,Sid Gordon (13),68,R
359,357.,Gil Hatfield (8),68,R
360,361.,Howard Freigau (7),67,R
361,362.,Art Phelan (5),66,R
362,363.,Chris Brown (6),65,R
363,363.,"Matt Carpenter (10, 34)",65,R
364,363.,Buck Gladmon (3),65,
365,363.,Frank LaPorte (11),65,R
366,363.,Tony Phillips (18),65,R
367,368.,Scott Cooper (7),64,R
368,368.,Jack Crooks (8),64,R
369,368.,Tim Hulett (12),64,R
370,368.,Kevin Kouzmanoff (7),64,R
371,368.,Gil McDougald (10),64,R
372,368.,Casey McGehee (8),64,R
373,368.,Dave Roberts (10),64,R
374,368.,Joe Torre+ (18),64,R
375,368.,Honus Wagner+ (21),64,R
376,368.,Russ Wrightstone (9),64,R
377,378.,Bert Haas (9),63,R
378,378.,Rico Petrocelli (13),63,R
379,378.,Pete Rose (24),63,R
380,378.,Rollie Zeider (9),63,R
381,382.,Kid Elberfeld (14),62,R
382,382.,Frank Ellerbe (6),62,R
383,382.,Don Gutteridge (12),62,R
384,382.,Craig Paquette (11),62,R
385,382.,Don Zimmer (12),62,R
386,387.,Jap Barbeau (4),61,R
387,387.,Bill Brubaker (10),61,R
388,387.,Clyde Engle (8),61,R
389,387.,Lenny Harris (18),61,R
390,387.,Steve Mesner (6),61,R
391,387.,Tommy Sheehan (4),61,R
392,393.,John McGlone (3),60,R
393,393.,Ed Spiezio (9),60,R
394,395.,"Jorge Cantu (8, 38)",59,R
395,395.,Mike Cubbage (8),59,R
396,395.,Nanny Fernandez (4),59,R
397,395.,King Kelly+ (16),59,R
398,395.,Harry Luff (4),59,
399,395.,Chad Tracy (9),59,R
