,Rank,"Player (yrs, age)",Caught Stealing as C,Throws
77,78.,Connie Mack+ (11),460,R
78,79.,Jimmie Wilson (18),459,R
79,80.,Harry Bemis (9),452,R
80,80.,Red Kleinow (8),452,R
81,82.,Walter Schmidt (10),449,R
82,83.,Alan Ashby (17),445,R
83,83.,Jody Davis (10),445,R
84,83.,Farmer Vaughn (13),445,R
85,86.,Terry Steinbach (14),436,R
86,87.,Mike Grady (11),435,R
87,88.,Bill Freehan (15),433,R
88,89.,Jack Lapp (9),430,R
89,89.,Boss Schmidt (6),430,R
90,91.,Tim Donahue (8),428,R
91,92.,Ted Easterly (7),427,R
92,92.,Thurman Munson (11),427,R
93,94.,Mike Piazza+ (16),423,R
94,95.,Ed Phelps (11),415,R
95,96.,Rick Cerone (18),413,R
96,97.,Nig Clarke (9),410,R
97,98.,Milt May (15),407,R
98,98.,Jim Stephens (6),407,R
99,98.,Ira Thomas (10),407,R
100,101.,Yogi Berra+ (19),403,R
101,101.,Tommy Clarke (10),403,R
102,103.,Zack Taylor (16),401,R
103,104.,Mickey Cochrane+ (13),388,R
104,104.,Rollie Hemsley (19),388,R
105,106.,Mickey O'Neil (9),387,R
106,106.,Jorge Posada (17),387,R
107,108.,Ernie Lombardi+ (17),385,R
108,109.,Joe Girardi (15),384,R
109,110.,Dick Buckley (8),381,R
110,111.,Lew Ritter (7),377,R
111,112.,Johnny Edwards (14),376,R
112,113.,Fred Jacklitsch (13),373,R
113,114.,Gus Mancuso (17),367,R
114,115.,Fritz Buelow (9),365,R
115,115.,Russell Martin (14),365,R
116,115.,Steve Yeager (15),365,R
117,118.,Bill Merritt (8),363,R
118,119.,Walter Blair (7),362,R
119,120.,Bruce Benedict (12),360,R
120,121.,Bo Diaz (13),357,R
121,122.,Charlie Ganzel (14),355,R
122,123.,Val Picinich (18),351,R
123,124.,Johnny Bassler (9),350,R
124,124.,Jerry Grote (16),350,R
125,124.,"Yadier Molina (17, 37)",350,R
126,124.,A.J. Pierzynski (19),350,R
127,128.,Ernie Whitt (15),347,R
128,129.,Ramon Hernandez (15),346,R
129,129.,Don Slaught (16),346,R
