,Rank,"Player (yrs, age)",Caught Stealing,Bats
373,367.,Bump Wills (6),65,B
374,367.,David Wright (14),65,R
375,376.,Bobby Doerr+ (14),64,R
376,376.,"Brett Gardner (13, 36)",64,L
377,376.,Tom Herr (13),64,B
378,376.,Bob Johnson (13),64,R
379,376.,Mark Kotsay (17),64,L
380,376.,Ski Melillo (12),64,R
381,376.,Al Oliver (18),64,L
382,376.,Corey Patterson (12),64,L
383,376.,Wally Pipp (15),64,L
384,376.,Ivan Rodriguez+ (21),64,R
385,386.,George Burns (16),63,R
386,386.,Roger Cedeno (11),63,B
387,386.,Bill Cissell (9),63,R
388,386.,Bob Dernier (10),63,R
389,386.,Dan Driessen (15),63,L
390,386.,Keith Hernandez (17),63,L
391,386.,Julian Javier (13),63,R
392,386.,Gregg Jefferies (14),63,B
393,386.,Alex Johnson (13),63,R
394,386.,"Matt Kemp (15, 35)",63,R
395,386.,Heinie Manush+ (17),63,L
396,386.,Bake McBride (11),63,L
397,386.,Tony Pena (18),63,R
398,386.,Dave Philley (18),63,B
399,386.,Alexei Ramírez (9),63,R
400,386.,Billy Rogell (14),63,B
401,386.,Deion Sanders (9),63,L
402,386.,Dickie Thon (15),63,R
403,404.,"Erick Aybar (12, 36)",62,B
404,404.,Phil Bradley (8),62,R
405,404.,Frankie Crosetti (17),62,R
406,404.,David DeJesus (13),62,L
407,404.,Dom DiMaggio (11),62,R
408,404.,Steve Garvey (19),62,R
409,404.,Charlie Grimm (20),62,L
410,404.,Adam Kennedy (14),62,L
411,404.,Spike Owen (13),62,B
412,404.,Rodney Scott (8),62,B
413,404.,"Jean Segura (9, 30)",62,R
414,404.,Robby Thompson (11),62,R
415,404.,Jack Tobin (13),62,L
416,404.,Jose Vizcaino (18),62,B
417,418.,Ethan Allen (13),61,R
418,418.,Jimmy Austin (18),61,B
419,418.,John Cangelosi (13),61,B
420,418.,Jack Clark (18),61,R
421,418.,Leon Durham (10),61,L
422,418.,Tony Gonzalez (12),61,L
423,418.,Larry Hisle (14),61,R
424,418.,Brian Hunter (10),61,R
425,418.,Jeffrey Leonard (14),61,R
426,418.,Dwayne Murphy (12),61,L
427,428.,Bill Almon (15),60,R
428,428.,Jay Bell (18),60,R
429,428.,Don Blasingame (12),60,L
430,428.,"Ryan Braun (14, 36)",60,R
431,428.,Tom Brookens (12),60,R
432,428.,Joey Cora (11),60,B
433,428.,Ira Flagstead (13),60,R
434,428.,Joe Gordon+ (11),60,R
435,428.,Bud Harrelson (16),60,B
436,428.,Jeff Kent (17),60,R
437,428.,Ken Landreaux (11),60,L
438,428.,Nemo Leibold (13),60,L
439,428.,Joe Orsulak (14),60,L
440,428.,Jorge Orta (16),60,L
441,428.,Dode Paskert (15),60,R
442,428.,Muddy Ruel (19),60,R
443,428.,Red Schoendienst+ (19),60,B
444,428.,Everett Scott (13),60,R
445,428.,Enos Slaughter+ (19),60,L
446,428.,Casey Stengel+ (14),60,L
447,428.,Del Unser (15),60,L
448,449.,Sam Bohne (7),59,R
449,449.,Alex Cole (7),59,L
450,449.,Tommy Davis (18),59,R
451,449.,Juan Encarnacion (11),59,R
452,449.,Dwight Evans (20),59,R
453,449.,Pinky Higgins (14),59,R
454,449.,Andruw Jones (17),59,R
455,449.,Buddy Lewis (11),59,L
456,449.,Dick McAuliffe (16),59,L
457,449.,Jo-Jo Moore (12),59,L
458,449.,Frank O'Rourke (14),59,R
459,449.,Terry Pendleton (15),59,B
460,449.,Fred Schulte (11),59,R
461,449.,Denard Span (11),59,L
462,449.,Jim Tabor (9),59,R
463,449.,Willie Upshaw (10),59,L
464,449.,Andy Van Slyke (13),59,L
465,449.,Greg Vaughn (15),59,R
466,449.,"Jonathan Villar (8, 29)",59,B
467,449.,Ralph Young (9),59,B
468,469.,Earl Averill+ (13),58,L
469,469.,Mike Bordick (14),58,R
470,469.,Jeromy Burnitz (14),58,L
471,469.,Horace Clarke (10),58,B
472,469.,Vic Davalillo (16),58,L
473,469.,Darin Erstad (14),58,L
474,469.,Carlton Fisk+ (24),58,R
475,469.,Scott Fletcher (15),58,R
476,469.,Ival Goodman (10),58,L
477,469.,Frankie Gustine (12),58,R
478,469.,Steve Henderson (12),58,R
479,469.,Felipe Lopez (11),58,B
480,469.,Harry Rice (10),58,L
481,469.,Phil Rizzuto+ (13),58,R
482,469.,Dave Roberts (10),58,L
483,469.,Jack Rothrock (11),58,B
484,469.,Alex Sanchez (5),58,L
485,469.,Earl Torgeson (15),58,L
486,469.,"Justin Upton (14, 32)",58,R
487,469.,Marvell Wynne (8),58,L
488,489.,Bobby Bonilla (16),57,B
489,489.,Orlando Cabrera (15),57,R
490,489.,Donn Clendenon (12),57,R
491,489.,Mariano Duncan (12),57,R
492,489.,Lonny Frey (14),57,L
493,489.,Larry Herndon (14),57,R
494,489.,Felix Jose (11),57,B
495,489.,Charlie Moore (15),57,R
496,489.,Jerry Morales (15),57,R
497,489.,John Moses (11),57,B
498,489.,Jim Piersall (17),57,R
499,489.,Dave Robertson (9),57,L
500,489.,George Scott (14),57,R
501,489.,Manny Trillo (17),57,R
502,489.,Gerald Williams (14),57,R
503,504.,Hubie Brooks (15),56,R
504,504.,Mike Davis (10),56,L
505,504.,"Ian Desmond (11, 34)",56,R
506,504.,Mike Devereaux (12),56,R
507,504.,Damion Easley (17),56,R
508,504.,Roy Hartzell (11),56,L
509,504.,Red Kress (14),56,R
510,504.,Harvey Kuenn (15),56,R
511,504.,Doc Lavan (12),56,R
512,504.,Hi Myers (14),56,R
513,504.,Ray Powell (9),56,L
514,504.,John Roseboro (14),56,L
515,504.,Michael Tucker (12),56,L
516,504.,Jose Valentin (16),56,B
517,504.,Sam West (16),56,L
518,519.,Tony Bernazard (10),55,B
519,519.,"Charlie Blackmon (10, 33)",55,L
520,519.,"Shin-Soo Choo (16, 37)",55,L
521,519.,Jimmy Dykes (22),55,R
522,519.,Tim Foli (16),55,R
523,519.,Ron Hunt (12),55,R
524,519.,Jackie Jensen (11),55,R
525,519.,"Cameron Maybin (14, 33)",55,R
526,519.,Melvin Mora (13),55,R
527,519.,Eddie Murphy (11),55,L
528,519.,Al Newman (8),55,B
529,519.,Tony Oliva (15),55,L
530,519.,Mitchell Page (8),55,L
531,519.,Hunter Pence (14),55,R
532,519.,Snuffy Stirnweiss (10),55,R
533,519.,Jimmy Walsh (6),55,R
534,519.,Preston Wilson (10),55,R
535,519.,Joel Youngblood (14),55,R
536,537.,Home Run Baker+ (13),54,L
537,537.,Bob Bescher (11),54,B
538,537.,Phil Cavarretta (22),54,L
539,537.,Carl Everett (14),54,B
540,537.,Lee Handley (10),54,R
541,537.,Lenny Harris (18),54,L
542,537.,Travis Jackson+ (15),54,R
543,537.,Baby Doll Jacobson (11),54,R
544,537.,Doc Johnston (11),54,L
545,537.,Jay Johnstone (20),54,L
546,537.,Don Kolloway (12),54,R
547,537.,Fred Lynn (17),54,L
548,537.,Elliott Maddox (11),54,R
549,537.,Pepper Martin (13),54,R
550,537.,Eric McNair (14),54,R
551,537.,Denis Menke (13),54,R
552,537.,Gerardo Parra (11),54,L
553,537.,Chris Speier (19),54,R
554,537.,Rennie Stennett (11),54,R
555,537.,Bill Virdon (12),54,L
556,537.,George Watkins (7),54,L
557,558.,Brad Ausmus (18),53,R
558,558.,Ernie Banks+ (19),53,R
559,558.,Bret Boone (14),53,R
560,558.,Bob Elliott (15),53,R
561,558.,Dee Fondy (8),53,L
562,558.,Bobby Higginson (11),53,L
563,558.,Cesar Izturis (13),53,B
564,558.,Mike Kreevich (12),53,R
565,558.,Carlos May (10),53,L
566,558.,Oddibe McDowell (7),53,L
567,558.,Irish Meusel (11),53,R
568,558.,Ben Revere (8),53,L
569,558.,U L Washington (11),53,B
570,558.,Herm Winningham (9),53,L
571,572.,Dick Allen (15),52,R
572,572.,Bobby Avila (11),52,R
573,572.,Wally Backman (14),52,B
574,572.,Chuck Carr (8),52,B
575,572.,Ray Chapman (9),52,R
576,572.,Bob Fothergill (12),52,R
577,572.,Shawn Green (15),52,L
578,572.,Mark Grudzielanek (15),52,R
579,572.,Ruben Sierra (20),52,B
580,572.,Gus Suhr (11),52,L
581,572.,Lloyd Waner+ (18),52,L
582,572.,Heinie Zimmerman (13),52,R
583,584.,Bill Barrett (9),51,R
584,584.,Derek Bell (11),51,R
585,584.,Max Bishop (12),51,L
586,584.,Willie Bloomquist (14),51,R
587,584.,Johnny Callison (16),51,L
588,584.,"Starlin Castro (11, 30)",51,R
589,584.,Johnny Hopp (14),51,L
590,584.,Sonny Jackson (12),51,L
591,584.,Stan Javier (17),51,B
592,584.,High Pockets Kelly+ (16),51,R
593,584.,Jim Landis (11),51,R
594,584.,Johnnie LeMaster (12),51,R
595,584.,Lee Magee (9),51,B
596,584.,Russell Martin (14),51,R
597,584.,Don Money (16),51,R
598,584.,Nyjer Morgan (7),51,L
599,584.,Angel Pagan (11),51,B
600,584.,Pete Runnels (14),51,L
601,584.,Jim Russell (10),51,B
602,584.,Luis Salazar (13),51,R
603,584.,John Stearns (11),51,R
604,584.,Jimmie Wilson (18),51,R
605,584.,Todd Zeile (16),51,R
606,607.,Luis Alicea (13),50,B
607,607.,Bob Allison (13),50,R
608,607.,Bob Boone (19),50,R
609,607.,Daryl Boston (11),50,L
610,607.,Lou Boudreau+ (15),50,R
611,607.,Bruce Campbell (13),50,L
612,607.,Doc Cook (4),50,L
613,607.,Bob Dillinger (6),50,R
614,607.,Jim Edmonds (17),50,L
615,607.,Carl Furillo (15),50,R
616,607.,Curtis Granderson (16),50,L
617,607.,Buddy Hassett (7),50,L
618,607.,Chuck Hinton (11),50,R
619,607.,Walter Holke (11),50,B
620,607.,Billy Jurges (17),50,R
621,607.,Bob Kennedy (16),50,R
622,607.,Thurman Munson (11),50,R
623,607.,Magglio Ordonez (15),50,R
624,607.,Bill Terry+ (14),50,L
625,607.,Roy Weatherly (10),50,L
626,627.,Carlos Beltran (20),49,B
627,627.,"Emilio Bonifacio (12, 35)",49,B
628,627.,John Briggs (12),49,L
629,627.,Ivan Calderon (10),49,R
630,627.,Cecil Cooper (17),49,L
631,627.,Craig Counsell (16),49,L
632,627.,Woody English (12),49,R
633,627.,Bibb Falk (12),49,L
634,627.,Chick Gandil (9),49,R
635,627.,Jack Graney (14),49,L
636,627.,Tommy Griffith (13),49,L
637,627.,Myril Hoag (13),49,R
638,627.,Oris Hockett (7),49,L
639,627.,Dave Kingman (16),49,R
640,627.,Lyn Lary (12),49,R
641,627.,Tim McCarver (21),49,L
642,627.,Danny Moeller (7),49,B
643,627.,"Rougned Odor (7, 26)",49,L
644,627.,Johnny Pesky (10),49,L
645,627.,Johnny Ray (10),49,B
646,627.,Bill Robinson (16),49,R
647,627.,Scott Rolen (17),49,R
648,627.,Chris Sabo (9),49,R
649,627.,Wally Schang (19),49,B
650,627.,Kevin Seitzer (12),49,R
651,627.,Ryan Theriot (8),49,R
652,627.,Gorman Thomas (13),49,R
653,627.,Jo-Jo White (9),49,L
654,627.,Billy Williams+ (18),49,L
655,627.,Kevin Young (12),49,R
656,627.,Ben Zobrist (14),49,B
657,658.,Lance Berkman (15),48,B
658,658.,Jim Busby (13),48,R
659,658.,Leo Cardenas (16),48,R
660,658.,Will Clark (15),48,L
661,658.,Doug DeCinces (15),48,R
662,658.,Joe Foy (6),48,R
663,658.,Ryan Freel (8),48,R
664,658.,Alex Gonzalez (13),48,R
665,658.,Mark Grace (16),48,L
666,658.,Jeff Heath (14),48,L
667,658.,Cleon Jones (13),48,R
668,658.,Eddie Joost (17),48,R
669,658.,Brian Jordan (15),48,R
670,658.,Larry Kopf (10),48,B
671,658.,Derrek Lee (15),48,R
672,658.,Eric Owens (9),48,R
673,658.,Carl Reynolds (13),48,R
674,658.,Bobby Richardson (12),48,R
675,658.,Jigger Statz (8),48,R
676,658.,Johnny Temple (13),48,R
677,658.,Zoilo Versalles (12),48,R
678,658.,Tillie Walker (13),48,R
679,680.,Garret Anderson (17),47,L
680,680.,Jesse Barfield (12),47,R
681,680.,Jack Burns (7),47,L
682,680.,Chick Fewster (11),47,R
683,680.,Tito Fuentes (13),47,B
684,680.,Wally Gerber (15),47,R
685,680.,Pedro Guerrero (15),47,R
686,680.,Carlos Guillen (14),47,B
687,680.,George Hendrick (18),47,R
688,680.,Don Hoak (11),47,R
689,680.,Howie Kendrick (15),47,R
690,680.,Carlos Lee (14),47,R
691,680.,Dave May (12),47,L
692,680.,Dale Mitchell (11),47,L
693,680.,Terry Moore (11),47,R
694,680.,Ken Oberkfell (16),47,L
695,680.,Andy Pafko (17),47,R
696,680.,Grady Sizemore (10),47,L
697,680.,Thurman Tucker (9),47,L
698,680.,Rondell White (15),47,R
699,680.,Gene Woodling (17),47,L
700,701.,Jesus Alou (15),46,R
701,701.,Max Alvis (9),46,R
702,701.,Sal Bando (16),46,R
703,701.,Ken Berry (14),46,R
704,701.,Tony Boeckel (6),46,R
705,701.,Roberto Clemente+ (18),46,R
706,701.,Mike Felder (10),46,B
707,701.,Art Fletcher (13),46,R
708,701.,George Harper (11),46,L
709,701.,Chipper Jones+ (19),46,B
