,Rank,"Player (yrs, age)",WAR Position Players,Bats
211,211.,Bobby Veach (14),47.8,L
212,213.,Johnny Evers+ (18),47.7,L
213,213.,Jim Rice+ (16),47.7,R
214,215.,Jimmy Rollins (17),47.6,B
215,216.,Tony Lazzeri+ (14),47.3,R
216,216.,Devon White (17),47.3,B
217,218.,Joe Judge (20),47.2,L
218,218.,Heinie Manush+ (17),47.2,L
219,220.,Tommy Leach (19),47.1,R
220,220.,Miguel Tejada (16),47.1,R
221,222.,Kiki Cuyler+ (18),47.0,R
222,222.,Art Fletcher (13),47.0,R
223,222.,Curtis Granderson (16),47.0,L
224,222.,King Kelly+ (16),47.0,R
225,226.,"Ryan Braun (14, 36)",46.9,R
226,227.,Gene Tenace (15),46.8,R
227,227.,Roy White (15),46.8,B
228,229.,Mike Cameron (17),46.7,R
229,230.,Lave Cross (21),46.6,R
230,230.,Matt Williams (17),46.6,R
231,232.,Dale Murphy (18),46.5,R
232,233.,Mark Grace (16),46.4,L
233,234.,Ed Konetchy (15),46.3,R
234,235.,Willie Wilson (19),46.1,B
235,236.,Chuck Klein+ (17),46.0,L
236,236.,Thurman Munson (11),46.0,R
237,236.,Vern Stephens (15),46.0,R
238,239.,Frank Chance+ (17),45.8,R
239,239.,Rusty Staub (23),45.8,L
240,241.,John McGraw+ (17),45.7,L
241,241.,Deacon White+ (20),45.7,L
242,243.,Omar Vizquel (24),45.6,B
243,244.,Del Pratt (13),45.5,R
244,245.,"Mookie Betts (7, 27)",45.4,R
245,245.,Lou Brock+ (19),45.4,L
246,247.,Tony Fernandez (17),45.3,B
247,248.,Harry Stovey (14),45.2,R
248,249.,Larry Doyle (14),45.1,L
249,249.,"Paul Goldschmidt (10, 32)",45.1,R
250,249.,Edd Roush+ (18),45.1,L
251,252.,J.D. Drew (14),44.9,L
252,252.,Paul Hines (20),44.9,R
253,252.,Roger Peckinpaugh (17),44.9,R
254,255.,Bill Freehan (15),44.7,R
255,255.,Augie Galan (16),44.7,B
256,257.,Chuck Knoblauch (12),44.6,R
257,257.,"Andrew McCutchen (12, 33)",44.6,R
258,259.,Rocky Colavito (14),44.5,R
259,259.,Troy Tulowitzki (13),44.5,R
260,259.,Ben Zobrist (14),44.5,B
261,262.,Carlos Delgado (17),44.4,L
262,262.,Matt Holliday (15),44.4,R
263,262.,Sam Thompson+ (15),44.4,L
264,265.,Cupid Childs (13),44.3,L
265,265.,Nomar Garciaparra (14),44.3,R
266,267.,Steve Finley (19),44.2,L
267,267.,George Foster (18),44.2,R
268,267.,Red Schoendienst+ (19),44.2,B
269,267.,Fred Tenney (17),44.2,L
270,267.,Dixie Walker (18),44.2,L
271,272.,Lonny Frey (14),44.0,L
272,273.,Earle Combs+ (12),43.9,L
273,273.,Al Dark (14),43.9,R
274,273.,Gil Hodges (18),43.9,R
275,276.,Travis Jackson+ (15),43.7,R
276,276.,Al Oliver (18),43.7,L
277,278.,Julio Franco (23),43.6,R
278,278.,Adrian Gonzalez (15),43.6,L
279,280.,Charlie Keller (13),43.5,L
280,281.,Jimmy Ryan (18),43.3,R
281,282.,Dolph Camilli (12),43.2,L
282,282.,Fielder Jones (15),43.2,L
283,284.,Hugh Duffy+ (17),43.1,R
284,284.,Tony Oliva (15),43.1,L
285,286.,"Brett Gardner (13, 36)",43.0,L
286,287.,Rabbit Maranville+ (23),42.9,R
287,288.,Amos Otis (17),42.8,R
288,289.,Jorge Posada (17),42.7,B
289,290.,Wally Berger (11),42.5,R
290,290.,Jose Canseco (17),42.5,R
291,290.,Lenny Dykstra (12),42.5,L
292,290.,Ken Williams (14),42.5,L
293,294.,Davey Lopes (16),42.4,R
294,294.,Don Mattingly (14),42.4,L
295,296.,Felipe Alou (17),42.3,R
296,296.,Hughie Jennings+ (18),42.3,R
297,296.,Mike Tiernan (13),42.3,L
298,299.,Darryl Strawberry (17),42.2,L
299,300.,Roger Bresnahan+ (17),42.1,R
300,300.,Gary Gaetti (20),42.1,R
301,302.,Phil Rizzuto+ (13),42.0,R
302,303.,Curt Flood (15),41.9,R
303,303.,Placido Polanco (16),41.9,R
304,305.,"Buster Posey (11, 33)",41.8,R
305,305.,Ken Singleton (15),41.8,B
306,307.,Doug DeCinces (15),41.7,R
307,307.,Jason Kendall (15),41.7,R
308,307.,Bill Nicholson (16),41.7,L
309,310.,Harlond Clift (12),41.5,R
310,310.,"Josh Donaldson (10, 34)",41.5,R
311,312.,Ben Chapman (15),41.3,R
312,312.,Andy Van Slyke (13),41.3,L
313,314.,Eddie Stanky (11),41.1,R
314,315.,"Giancarlo Stanton (11, 30)",41.0,R
315,316.,Mark Belanger (18),40.9,R
316,316.,Jack Fournier (15),40.9,L
317,316.,Jim Gilliam (14),40.9,B
318,316.,Darrell Porter (17),40.9,L
319,316.,Hardy Richardson (14),40.9,R
320,321.,Mike Griffin (12),40.8,L
321,321.,Gil McDougald (10),40.8,R
322,323.,Pete Browning (13),40.6,R
323,323.,David Justice (14),40.6,L
324,323.,Tim Salmon (14),40.6,R
325,326.,Dick Bartell (18),40.5,R
326,326.,Jim Sundberg (16),40.5,R
327,326.,Roy Thomas (13),40.5,L
328,329.,Carney Lansford (15),40.4,R
329,329.,"Yadier Molina (17, 37)",40.4,R
330,331.,Albert Belle (12),40.1,R
331,331.,Dave Concepcion (19),40.1,R
332,331.,Dave Parker (19),40.1,L
333,334.,Clyde Milan (16),40.0,L
334,335.,Moises Alou (17),39.9,R
335,335.,George Gore (14),39.9,L
336,335.,George Van Haltren (17),39.9,L
337,338.,"Manny Machado (9, 27)",39.8,R
338,338.,Reggie Sanders (17),39.8,R
339,338.,Maury Wills (14),39.8,B
340,341.,"Nelson Cruz (16, 39)",39.7,R
341,342.,Rafael Furcal (14),39.5,B
342,342.,Ernie Lombardi+ (17),39.5,R
343,342.,Lance Parrish (19),39.5,R
344,345.,Jesse Barfield (12),39.4,R
345,345.,George Burns (15),39.4,R
346,347.,Donie Bush (16),39.3,B
347,347.,Babe Herman (13),39.3,L
348,349.,Tommy Henrich (11),39.2,L
349,350.,"Nolan Arenado (8, 29)",39.1,R
350,350.,Carl Crawford (15),39.1,L
351,350.,Jake Daubert (15),39.1,L
352,350.,Rico Petrocelli (13),39.1,R
353,350.,Boog Powell (17),39.1,L
354,355.,Paul O'Neill (17),38.9,L
355,356.,Charlie Bennett (15),38.8,R
356,356.,"Freddie Freeman (11, 30)",38.8,L
357,356.,Magglio Ordonez (15),38.8,R
358,359.,Harold Baines+ (22),38.7,L
359,359.,Juan Gonzalez (17),38.7,R
360,359.,Russell Martin (14),38.7,R
361,359.,Ed McKean (13),38.7,R
362,359.,Bill White (13),38.7,L
363,364.,Kent Hrbek (14),38.6,L
364,365.,Lonnie Smith (17),38.5,R
365,365.,Tim Wallach (17),38.5,R
366,365.,"Ryan Zimmerman (15, 35)",38.5,R
367,368.,Johnny Callison (16),38.4,L
368,368.,Harry Davis (22),38.4,R
369,368.,Kirk Gibson (17),38.4,L
370,368.,"Jason Heyward (11, 30)",38.4,L
371,372.,Eric Chavez (17),38.3,L
372,372.,Sid Gordon (13),38.3,R
373,372.,Roger Maris (12),38.3,L
374,375.,Chili Davis (19),38.2,B
375,375.,Ray Lankford (14),38.2,L
376,375.,Bill Madlock (15),38.2,R
377,375.,Hack Wilson+ (12),38.2,R
378,379.,Steve Garvey (19),38.1,R
379,379.,Troy Glaus (13),38.1,R
380,381.,Hanley Ramirez (15),37.9,R
381,382.,Terry Turner (17),37.8,R
382,383.,Paul Blair (17),37.7,R
383,384.,Jeff Heath (14),37.6,L
384,384.,Frank Howard (16),37.6,R
385,384.,George Kell+ (15),37.6,R
386,384.,Dick McAuliffe (16),37.6,L
387,388.,Max Bishop (12),37.3,L
388,388.,Pie Traynor+ (17),37.3,R
389,390.,Jay Bell (18),37.2,R
390,390.,Jose Reyes (16),37.2,B
391,390.,Cy Williams (19),37.2,L
392,393.,Fred Dunlap (12),37.1,R
393,393.,Herman Long (16),37.1,L
394,395.,Dusty Baker (19),37.0,R
395,396.,Bill Bradley (14),36.9,R
396,396.,Dick Groat (14),36.9,R
397,396.,Kip Selbach (13),36.9,R
398,399.,Phil Cavarretta (22),36.8,L
399,399.,Garry Maddox (15),36.8,R
400,399.,"Andrelton Simmons (9, 30)",36.8,R
401,402.,Jose Bautista (15),36.7,R
402,402.,Lu Blue (13),36.7,B
403,402.,Andy Pafko (17),36.7,R
404,405.,"Jose Altuve (10, 30)",36.5,R
405,405.,Bill Mazeroski+ (17),36.5,R
406,405.,Don Money (16),36.5,R
407,405.,George Scott (14),36.5,R
408,409.,"Lorenzo Cain (11, 34)",36.4,R
409,410.,Don Buford (10),36.2,B
410,411.,Eric Davis (17),36.1,R
411,411.,Art Devlin (10),36.1,R
412,411.,Freddy Parent (12),36.1,R
413,411.,Ned Williamson (13),36.1,R
414,415.,Cecil Cooper (17),36.0,L
415,416.,Wally Joyner (16),35.8,L
416,417.,"Edwin Encarnacion (16, 37)",35.7,R
417,417.,Wally Moses (17),35.7,L
418,417.,Danny Murphy (16),35.7,R
419,420.,Roy Campanella+ (10),35.6,R
420,421.,Denny Lyons (13),35.5,R
421,422.,Miller Huggins+ (13),35.4,B
422,423.,Tommy Holmes (11),35.3,L
423,424.,Ron Fairly (21),35.2,L
424,424.,"Alex Gordon (14, 36)",35.2,L
425,426.,Mickey Vernon (20),35.1,L
426,427.,Brady Anderson (15),35.0,L
427,427.,Jim Bottomley+ (16),35.0,L
428,427.,Eddie Yost (18),35.0,R
429,430.,Willie Kamm (13),34.9,R
430,431.,Frank White (18),34.8,R
431,432.,Shawn Green (15),34.7,L
432,432.,Howie Kendrick (15),34.7,R
433,432.,Claude Ritchey (13),34.7,B
434,435.,George Burns (16),34.6,R
435,435.,"Shin-Soo Choo (16, 37)",34.6,L
436,435.,Carl Furillo (15),34.6,R
437,435.,Derrek Lee (15),34.6,R
438,439.,Jeff Cirillo (14),34.5,R
439,439.,Ken Griffey (19),34.5,L
440,439.,Pedro Guerrero (15),34.5,R
441,439.,"Anthony Rizzo (10, 30)",34.5,L
442,443.,Travis Fryman (13),34.4,R
443,443.,B.J. Surhoff (19),34.4,L
444,445.,Stuffy McInnis (19),34.3,R
445,445.,John Ward+ (17),34.3,L
446,447.,Willie McGee (18),34.2,B
447,448.,Bob Allison (13),34.1,R
448,448.,Jimmy Dykes (22),34.1,R
449,448.,Ron Gant (16),34.1,R
450,448.,Dan McGann (12),34.1,B
451,452.,"Nick Markakis (15, 36)",34.0,L
452,452.,Ken McMullen (16),34.0,R
453,454.,Robby Thompson (11),33.9,R
454,454.,Bobby Thomson (15),33.9,R
455,454.,"Justin Upton (14, 32)",33.9,R
456,457.,Tony Cuccinello (15),33.8,R
457,457.,Ray Durham (14),33.8,B
458,457.,Johnny Pesky (10),33.8,L
459,460.,"Bryce Harper (9, 27)",33.7,L
460,460.,Billy Nash (15),33.7,R
461,462.,Joe Adcock (17),33.6,R
462,462.,Heinie Zimmerman (13),33.6,R
463,464.,Ken Caminiti (15),33.5,B
464,464.,Mark Ellis (12),33.5,R
465,466.,"Kyle Seager (10, 32)",33.4,L
466,467.,Smoky Burgess (18),33.3,L
467,467.,Marty McManus (15),33.3,R
468,469.,Kid Elberfeld (14),33.2,R
469,469.,George Grantham (13),33.2,L
470,469.,Ken Keltner (13),33.2,R
471,469.,Dwayne Murphy (12),33.2,L
472,469.,Gene Woodling (17),33.2,L
473,474.,Dom DiMaggio (11),33.1,R
474,474.,Elbie Fletcher (12),33.1,L
475,474.,Johnny Logan (13),33.1,R
476,474.,Rick Monday (19),33.1,L
477,478.,Gavvy Cravath (11),33.0,R
478,478.,Richie Hebner (18),33.0,L
479,478.,Ray Schalk+ (18),33.0,R
480,478.,Earl Torgeson (15),33.0,L
481,482.,Bill Doran (12),32.9,B
482,482.,Brian Jordan (15),32.9,R
483,482.,Ezra Sutton (18),32.9,R
484,485.,Ron Hunt (12),32.8,R
485,486.,Mickey Rivers (15),32.7,L
486,486.,Jimmy Williams (11),32.7,R
487,488.,Rico Carty (15),32.6,R
488,488.,Dummy Hoy (14),32.6,L
489,490.,Adam Jones (14),32.5,R
490,490.,Joe Start (16),32.5,L
491,490.,Riggs Stephenson (14),32.5,R
492,490.,John Valentin (11),32.5,R
493,494.,Aramis Ramirez (18),32.4,R
494,494.,Edgar Renteria (16),32.4,R
495,494.,Kevin Youkilis (10),32.4,R
496,497.,Darin Erstad (14),32.3,L
497,497.,Al Rosen (10),32.3,R
498,497.,"Christian Yelich (8, 28)",32.3,L
499,497.,Ross Youngs+ (10),32.3,L
500,501.,Roy Cullenbine (10),32.1,B
501,501.,Bobby Murcer (17),32.1,L
502,503.,Scott Fletcher (15),32.0,R
503,504.,Victor Martinez (16),31.9,B
504,504.,Brian McCann (15),31.9,L
505,504.,Chick Stahl (10),31.9,L
506,507.,Frank McCormick (13),31.8,R
507,507.,Cy Seymour (16),31.8,L
508,509.,Andres Galarraga (19),31.7,R
509,509.,Sam West (16),31.7,L
510,511.,Jose Valentin (16),31.6,B
511,512.,Shane Victorino (12),31.5,R
512,513.,Eddie Joost (17),31.4,R
513,513.,Ted Kluszewski (15),31.4,L
514,513.,Marty Marion (13),31.4,R
515,513.,"Carlos Santana (11, 34)",31.4,B
516,517.,Bill Russell (18),31.3,R
517,517.,Rudy York (13),31.3,R
518,519.,Topsy Hartsel (14),31.2,L
519,519.,Wally Pipp (15),31.2,L
520,519.,"Anthony Rendon (8, 30)",31.2,R
521,522.,Duke Farrell (18),31.1,B
522,522.,Rick Ferrell+ (18),31.1,R
523,522.,Chick Hafey+ (13),31.1,R
524,525.,Jacoby Ellsbury (11),31.0,L
525,525.,Bill Joyce (8),31.0,L
526,525.,Hunter Pence (14),31.0,R
527,528.,Orlando Hudson (11),30.9,B
528,529.,Greg Vaughn (15),30.8,R
529,530.,Chris Speier (19),30.6,R
530,530.,Harry Steinfeldt (14),30.6,R
531,530.,Hal Trosky (11),30.6,L
532,533.,"Elvis Andrus (12, 31)",30.5,R
533,533.,Ginger Beaumont (12),30.5,L
534,533.,Arlie Latham (17),30.5,R
535,536.,"Michael Brantley (12, 33)",30.4,L
536,536.,Mike Hargrove (12),30.4,L
537,536.,Gary Matthews (16),30.4,R
538,536.,Jhonny Peralta (15),30.4,R
539,540.,Bobby Bonilla (16),30.3,B
540,541.,Lance Johnson (14),30.2,L
541,542.,Sherm Lollar (18),30.1,R
542,542.,Kevin McReynolds (12),30.1,R
543,542.,Mike Smith (14),30.1,L
544,545.,Cecil Travis (12),30.0,L
545,546.,Del Ennis (14),29.9,R
546,546.,Von Hayes (12),29.9,L
547,546.,"Starling Marte (9, 31)",29.9,R
548,546.,John Titus (11),29.9,L
549,550.,Pete Runnels (14),29.8,L
550,551.,Phil Garner (16),29.7,R
551,551.,Javy Lopez (15),29.7,R
552,553.,Marquis Grissom (17),29.6,R
553,554.,Raul Mondesi (13),29.5,R
554,554.,Brian Roberts (14),29.5,B
555,554.,"Justin Turner (12, 35)",29.5,R
556,557.,Jim Piersall (17),29.4,R
557,557.,Mickey Tettleton (14),29.4,B
558,557.,Chief Zimmer (19),29.4,R
559,560.,Mike Donlin (12),29.3,L
560,560.,Tom Haller (12),29.3,L
561,562.,Ray Chapman (9),29.2,R
562,562.,Joe Kuhel (18),29.2,L
563,562.,Jayson Werth (15),29.2,R
564,565.,"Asdrubal Cabrera (14, 34)",29.1,B
565,565.,Luis Castillo (15),29.1,B
566,565.,George Hendrick (18),29.1,R
567,565.,Kevin Mitchell (13),29.1,R
568,569.,Benny Kauff (8),29.0,L
569,569.,Johnny Kling (13),29.0,R
570,569.,Tino Martinez (16),29.0,L
571,572.,Coco Crisp (15),28.9,B
572,572.,Bing Miller (16),28.9,R
573,572.,Kevin Seitzer (12),28.9,R
574,575.,Edgardo Alfonzo (12),28.8,R
575,575.,John Anderson (14),28.8,B
576,575.,Bob Bailey (17),28.8,R
577,578.,Henry Larkin (10),28.7,R
578,578.,"Francisco Lindor (6, 26)",28.7,B
579,580.,Alfonso Soriano (16),28.6,R
580,580.,Vernon Wells (15),28.6,R
581,582.,Don Baylor (19),28.5,R
582,582.,Terry Pendleton (15),28.5,B
583,584.,Bobby Avila (11),28.4,R
584,584.,Baby Doll Jacobson (11),28.4,R
585,584.,Brandon Phillips (17),28.4,R
586,584.,Terry Puhl (15),28.4,L
587,584.,Jack Rowe (12),28.4,L
588,589.,"Matt Carpenter (10, 34)",28.3,L
589,589.,Billy Jurges (17),28.3,R
590,589.,Carlos Lee (14),28.3,R
591,589.,Buddy Lewis (11),28.3,L
592,589.,Sixto Lezcano (12),28.3,R
593,589.,Tim McCarver (21),28.3,L
594,589.,Melvin Mora (13),28.3,R
595,589.,Elmer Valo (20),28.3,L
596,589.,Bob Watson (19),28.3,R
597,598.,Del Crandall (16),28.2,R
598,598.,Josh Hamilton (9),28.2,L
599,598.,Cesar Tovar (12),28.2,R
600,598.,Rondell White (15),28.2,R
601,602.,J.J. Hardy (13),28.1,R
602,602.,Denis Menke (13),28.1,R
603,602.,Martin Prado (14),28.1,R
604,602.,"Jose Ramirez (8, 27)",28.1,B
605,602.,Denard Span (11),28.1,L
606,607.,Ross Barnes (9),28.0,R
607,607.,Paul Konerko (18),28.0,R
608,607.,Red Rolfe (10),28.0,L
609,607.,Terry Steinbach (14),28.0,R
610,611.,Jackie Jensen (11),27.9,R
611,611.,Hal McRae (19),27.9,R
612,611.,Roy Smalley (13),27.9,B
613,611.,Garry Templeton (16),27.9,B
614,611.,Lloyd Waner+ (18),27.9,L
615,616.,Dave Orr (8),27.8,R
616,616.,Amos Strunk (17),27.8,L
617,618.,Ossie Bluege (18),27.7,R
618,618.,Clete Boyer (16),27.7,R
619,618.,Carlos Guillen (14),27.7,B
620,618.,Grady Sizemore (10),27.7,L
621,622.,Dave Henderson (14),27.6,R
622,622.,Tip O'Neill (10),27.6,R
623,622.,Manny Sanguillen (13),27.6,R
624,625.,Chris Chambliss (17),27.5,L
625,625.,Davey Johnson (13),27.5,R
626,625.,Freddie Lindstrom+ (13),27.5,R
627,625.,Bob Meusel (11),27.5,R
628,625.,Lloyd Moseby (12),27.5,L
629,625.,"George Springer (7, 30)",27.5,R
630,625.,Randy Winn (13),27.5,B
