,Rank,"Player (yrs, age)",Range Factor/Game as 1B,Throws
50,51.,Dick Hoblitzell (11),10.315,R
51,52.,Elbie Fletcher (12),10.299,L
52,53.,Charlie Grimm (20),10.289,L
53,54.,Tommy Tucker (13),10.270,R
54,55.,Ed Morgan (7),10.234,R
55,56.,Frank McCormick (13),10.220,R
56,57.,Harry Davis (22),10.206,R
57,58.,Buck Jordan (10),10.201,R
58,59.,Ernie Banks+ (19),10.178,R
59,60.,Jim Bottomley+ (16),10.160,L
60,61.,Del Bissonette (5),10.102,L
61,62.,Jack Fournier (15),10.025,R
62,63.,Tony Lupien (6),10.020,L
63,64.,Doc Johnston (11),10.016,L
64,65.,Joe Harris (10),10.012,R
65,66.,Sam Leslie (10),9.997,L
66,67.,Joe Kuhel (18),9.990,L
67,68.,Dolph Camilli (12),9.947,L
68,69.,Henry Larkin (10),9.935,R
69,70.,Hank Greenberg+ (13),9.919,R
70,71.,Babe Dahlgren (12),9.909,R
71,72.,Don Hurst (7),9.891,L
72,73.,Rod Carew+ (19),9.885,R
73,74.,Dale Alexander (5),9.869,R
74,75.,Joe Judge (20),9.868,L
75,76.,Gus Suhr (11),9.864,R
76,77.,Bill Buckner (22),9.808,L
77,78.,Donn Clendenon (12),9.777,R
78,79.,Jack Burns (7),9.770,L
79,80.,Dick Siebert (11),9.762,L
80,81.,Rudy York (13),9.756,R
81,82.,Hal Trosky (11),9.747,R
82,83.,Chris Chambliss (17),9.746,R
83,84.,Buddy Hassett (7),9.744,L
84,85.,Cecil Cooper (17),9.736,L
85,86.,Keith Hernandez (17),9.727,L
86,87.,Phil Cavarretta (22),9.706,L
87,88.,Babe Young (8),9.697,L
88,89.,Steve Garvey (19),9.650,R
89,90.,Lou Gehrig+ (17),9.638,L
90,91.,Jason Thompson (11),9.617,L
91,92.,George Grantham (13),9.614,R
92,93.,Jimmie Foxx+ (20),9.603,R
93,94.,Eddie Murray+ (21),9.581,R
94,95.,Johnny Mize+ (15),9.527,R
95,96.,Will Clark (15),9.523,L
96,97.,Mickey Vernon (20),9.502,L
97,98.,Nick Etten (9),9.496,L
98,99.,George McQuinn (12),9.476,L
99,100.,John Mayberry (15),9.470,L
100,101.,Steve Balboni (11),9.468,R
101,102.,Todd Helton (17),9.465,L
102,103.,Jack Clark (18),9.448,R
103,104.,Alvin Davis (9),9.442,R
104,105.,Eddie Waitkus (11),9.405,L
105,106.,Ray Sanders (7),9.393,R
106,107.,"Albert Pujols (20, 40)",9.378,R
107,108.,Whitey Lockman (15),9.372,R
108,109.,Ferris Fain (9),9.370,L
109,110.,Dick Gernert (11),9.368,R
110,111.,Nate Colbert (10),9.351,R
111,112.,Ripper Collins (9),9.346,L
112,113.,Don Mattingly (14),9.334,L
113,114.,Mark Grace (16),9.328,L
114,114.,Wes Parker (9),9.328,L
115,116.,George Scott (14),9.327,R
116,117.,Andres Galarraga (19),9.316,R
117,118.,Eddie Robinson (13),9.297,R
118,119.,Bill White (13),9.272,L
119,120.,Joe Adcock (17),9.251,R
120,120.,Glenn Davis (10),9.251,R
121,122.,Stan Musial+ (22),9.249,L
122,123.,"Paul Goldschmidt (10, 32)",9.244,R
123,124.,Dee Fondy (8),9.239,L
124,125.,Pete O'Brien (12),9.234,L
125,126.,Joe Pepitone (12),9.233,L
126,127.,Andre Thornton (14),9.224,R
127,128.,Willie Montanez (14),9.210,L
128,129.,Leon Durham (10),9.199,L
129,130.,Orlando Cepeda+ (17),9.193,R
130,131.,Justin Morneau (14),9.184,R
131,132.,Kent Hrbek (14),9.182,R
132,133.,Wally Joyner (16),9.175,L
133,134.,Carlos Delgado (17),9.173,R
134,135.,Dale Long (10),9.170,L
135,136.,Lee May (18),9.143,R
136,137.,Ron Jackson (10),9.127,R
137,138.,Fred McGriff (19),9.126,L
138,139.,Jeff Bagwell+ (15),9.118,R
139,140.,Carl Yastrzemski+ (23),9.112,R
140,141.,Pete Rose (24),9.101,R
141,142.,Mike Sweeney (16),9.092,R
142,143.,Ted Kluszewski (15),9.082,L
143,144.,Eric Karros (14),9.078,R
144,145.,Willie Stargell+ (21),9.053,L
145,146.,Norm Siebern (12),9.040,R
146,147.,Lee Stevens (10),9.037,L
147,148.,Rafael Palmeiro (20),9.035,L
148,149.,Mike Epstein (9),9.033,L
149,150.,Gerald Perry (13),9.015,R
150,151.,Willie McCovey+ (22),8.994,L
151,152.,Mark Teixeira (14),8.993,R
152,153.,Greg Walker (9),8.986,R
153,154.,Paul Konerko (18),8.953,R
154,155.,Pedro Guerrero (15),8.932,R
155,156.,Jim Thome+ (22),8.928,R
156,157.,Mo Vaughn (12),8.927,R
157,158.,Mike Hargrove (12),8.923,L
158,158.,Ryan Howard (13),8.923,L
159,160.,Cecil Fielder (13),8.918,R
160,161.,Bob Robertson (11),8.917,R
161,162.,Adrian Gonzalez (15),8.907,L
162,163.,Willie Upshaw (10),8.901,L
163,164.,Bruce Bochte (12),8.898,L
164,165.,Lyle Overbay (14),8.889,L
165,166.,Lance Berkman (15),8.886,L
166,167.,Dick Allen (15),8.879,R
167,168.,Richie Sexson (12),8.876,R
168,169.,Ricky Jordan (8),8.867,R
169,170.,Adam LaRoche (12),8.860,L
170,171.,Bill Skowron (14),8.849,R
171,172.,Dick Stuart (10),8.840,R
172,173.,Earl Torgeson (15),8.823,L
173,174.,Bob Watson (19),8.808,R
174,175.,"José Abreu (7, 33)",8.800,R
175,176.,Mark McGwire (16),8.788,R
176,177.,"Anthony Rizzo (10, 30)",8.787,L
177,178.,Boog Powell (17),8.782,R
178,179.,Roy Sievers (17),8.775,R
179,180.,Ed Bouchee (7),8.773,L
180,181.,Greg Brock (10),8.771,R
181,182.,Kevin Young (12),8.765,R
182,183.,Jim Spencer (15),8.759,L
183,184.,Scott Hatteberg (14),8.720,R
184,185.,Gil Hodges (18),8.713,R
185,186.,Sean Casey (12),8.708,R
186,187.,Joe Mauer (15),8.705,R
187,188.,John Jaha (10),8.701,R
188,189.,Don Mincher (13),8.679,R
189,190.,Tony Perez+ (23),8.671,R
190,191.,Joe Torre+ (18),8.666,R
191,192.,"Freddie Freeman (11, 30)",8.661,R
192,193.,Prince Fielder (12),8.660,R
193,194.,Frank Thomas+ (19),8.658,R
194,195.,Tino Martinez (16),8.646,R
195,196.,Al Oliver (18),8.645,L
196,197.,Ed Kranepool (18),8.643,L
197,198.,Willie Aikens (8),8.638,R
198,199.,Jason Giambi (20),8.627,R
199,200.,Randy Milligan (8),8.622,R
200,201.,Sid Bream (12),8.620,L
201,202.,Vic Power (12),8.604,R
202,203.,Kevin Millar (12),8.583,R
203,204.,Daric Barton (8),8.582,R
204,205.,John Olerud (17),8.565,L
205,206.,Derrek Lee (15),8.562,R
206,207.,Carlos Pena (14),8.561,L
207,208.,Ike Davis (7),8.544,L
208,209.,Travis Lee (9),8.542,L
209,210.,Pat Putnam (8),8.537,R
210,211.,"Miguel Cabrera (18, 37)",8.535,R
211,211.,Jim Gentile (9),8.535,L
212,213.,Nick Johnson (10),8.531,L
213,214.,"Chris Davis (13, 34)",8.524,R
214,215.,"Eric Hosmer (10, 30)",8.522,L
215,216.,"Joey Votto (14, 36)",8.512,R
216,217.,Darrell Evans (21),8.490,R
217,218.,Norm Cash (17),8.479,L
218,219.,"Carlos Santana (11, 34)",8.436,R
219,220.,Rico Brogna (9),8.435,L
220,221.,Dan Driessen (15),8.433,R
221,222.,Adam Lind (12),8.414,L
222,223.,Casey Kotchman (10),8.406,L
223,224.,Walt Dropo (13),8.386,R
224,225.,John Kruk (10),8.385,L
225,226.,J.T. Snow (16),8.376,L
226,227.,Harmon Killebrew+ (22),8.334,R
227,228.,Doug Mientkiewicz (12),8.325,R
228,229.,Aubrey Huff (13),8.321,R
229,230.,"Logan Morrison (11, 32)",8.307,L
230,231.,Tony Clark (15),8.306,R
231,232.,Mike Napoli (12),8.277,R
232,233.,Tony Horton (7),8.265,R
233,234.,"Brandon Belt (10, 32)",8.255,L
234,235.,David Segui (15),8.253,L
235,236.,Danny Cater (12),8.242,R
236,237.,Mark Reynolds (13),8.233,R
237,238.,Hal Morris (13),8.224,L
238,239.,Paul Sorrento (11),8.221,R
239,240.,"Yonder Alonso (10, 33)",8.218,R
240,241.,Ron Fairly (21),8.209,L
241,241.,Fred Whitfield (9),8.209,L
242,243.,James Loney (11),8.172,L
243,244.,Adam Dunn (14),8.169,R
244,245.,"Justin Smoak (11, 33)",8.153,L
245,246.,Darin Erstad (14),8.140,L
246,247.,"Matt Adams (9, 31)",8.132,R
247,248.,Lucas Duda (10),8.123,R
248,249.,Pete Runnels (14),8.109,R
249,250.,Gordy Coleman (9),8.105,R
250,251.,Dave Kingman (16),8.098,R
251,252.,Kevin Youkilis (10),8.083,R
252,253.,Mike Ivie (11),8.073,R
253,254.,Ben Broussard (7),8.070,L
254,255.,Gene Tenace (15),8.046,R
255,256.,Julio Franco (23),8.037,R
256,257.,Todd Benzinger (9),8.021,R
257,258.,Joe Cunningham (12),8.012,L
258,259.,Ryan Klesko (16),7.995,L
259,260.,John Milner (12),7.973,L
260,261.,Franklin Stubbs (10),7.922,L
261,262.,Greg Colbrunn (13),7.821,R
262,263.,Jeff Conine (17),7.809,R
263,264.,Deron Johnson (16),7.792,R
264,265.,Tommy McCraw (13),7.787,L
265,266.,Vic Wertz (17),7.755,R
266,267.,Gaby Sanchez (7),7.682,R
267,268.,"Mitch Moreland (11, 34)",7.673,L
268,269.,Enos Cabell (15),7.461,R
269,270.,Dave Magadan (16),7.278,R
270,271.,Joe Collins (10),6.897,L
271,272.,Frank Torre (7),6.816,L
272,273.,Mike Jorgensen (17),6.717,L
273,274.,Rich Reese (10),6.677,L
274,275.,Mike Squires (10),6.503,L
275,276.,Mike Hegan (12),6.479,L
276,277.,Dave Bergman (17),6.367,L
277,278.,Tony Muser (9),5.770,L
