,Rank,"Player (yrs, age)",Doubles,Bats
178,177.,Julio Franco (23),407,R
179,177.,A.J. Pierzynski (19),407,L
180,177.,Frank White (18),407,R
181,182.,Jason Giambi (20),405,L
182,183.,Ryne Sandberg+ (16),403,R
183,184.,Ellis Burks (18),402,R
184,184.,Ozzie Smith+ (19),402,B
185,186.,Earl Averill+ (13),401,L
186,186.,Dante Bichette (14),401,R
187,186.,Marty McManus (15),401,R
188,186.,"Ryan Zimmerman (15, 35)",401,R
189,190.,Babe Herman (13),399,L
190,190.,Paul Hines (20),399,R
191,190.,Gee Walker (15),399,R
192,193.,Chuck Klein+ (17),398,L
193,194.,Todd Zeile (16),397,R
194,195.,Doc Cramer (20),396,L
195,195.,Gabby Hartnett+ (20),396,R
196,195.,Bob Johnson (13),396,R
197,195.,Chet Lemon (16),396,R
198,199.,Willie Davis (18),395,L
199,200.,Luis Aparicio+ (18),394,R
200,200.,Jay Bell (18),394,R
201,200.,Kiki Cuyler+ (18),394,R
202,200.,Charlie Grimm (20),394,L
203,200.,Jason Kendall (15),394,R
204,200.,Mike Lowell (13),394,R
205,200.,"Dustin Pedroia (14, 36)",394,R
206,207.,Bobby Veach (14),393,L
207,208.,Chris Chambliss (17),392,L
208,208.,"Evan Longoria (13, 34)",392,R
209,208.,Del Pratt (13),392,R
210,211.,Jose Cruz (19),391,L
211,211.,Mark Grudzielanek (15),391,R
212,211.,Bobby Wallace+ (25),391,R
213,214.,David Wright (14),390,R
214,215.,Albert Belle (12),389,R
215,215.,Dave Concepcion (19),389,R
216,215.,Joe DiMaggio+ (13),389,R
217,215.,Harry Hooper+ (17),389,L
218,215.,Bing Miller (16),389,R
219,220.,Juan Gonzalez (17),388,R
220,220.,Fred Lynn (17),388,L
221,222.,Jose Reyes (16),387,B
222,223.,Marquis Grissom (17),386,R
223,224.,Lou Boudreau+ (15),385,R
224,224.,Jeff Conine (17),385,R
225,224.,George Kell+ (15),385,R
226,227.,Melky Cabrera (15),383,B
227,227.,Mike Cameron (17),383,R
228,227.,Andruw Jones (17),383,R
229,227.,Kenny Lofton (17),383,L
230,231.,Bob Elliott (15),382,R
231,232.,Johnny Bench+ (17),381,R
232,232.,Bobby Doerr+ (14),381,R
