,Rank,"Player (yrs, age)",Total Zone Runs as CF (s.1953),Throws
347,302.,Dave Stegman (6),3,R
348,302.,Stan Swanson (1),3,R
349,302.,Jarvis Tatum (3),3,R
350,302.,"Leody Taveras (1, 21)",3,R
351,302.,Reggie Taylor (5),3,R
352,302.,George Thomas (13),3,R
353,302.,"Lane Thomas (2, 24)",3,R
354,302.,"Trea Turner (6, 27)",3,R
355,302.,Scott Van Slyke (6),3,R
356,302.,Jerry White (11),3,R
357,302.,Randy Winn (13),3,R
358,359.,Mike Aldrete (10),2,L
359,359.,Brandon Barnes (6),2,R
360,359.,Todd Benzinger (9),2,R
361,359.,Steve Bieser (2),2,R
362,359.,Rick Bladt (2),2,R
363,359.,Walt Bond (6),2,R
364,359.,Darrell Brown (4),2,R
365,359.,Emil Brown (10),2,R
366,359.,Jarvis Brown (5),2,R
367,359.,Travis Buck (6),2,R
368,359.,Jose Cardenal (18),2,R
369,359.,Rich Chiles (6),2,L
370,359.,Jack Clark (18),2,R
371,359.,Chili Davis (19),2,R
372,359.,Bob Dernier (10),2,R
373,359.,Charles Gipson (8),2,R
374,359.,Andy Gonzalez (3),2,R
375,359.,Zack Granite (1),2,L
376,359.,Shane Halter (8),2,R
377,359.,"Scott Heineman (2, 27)",2,R
378,359.,Ken Henderson (16),2,R
379,359.,David Howard (9),2,R
380,359.,Mike Howard (3),2,R
381,359.,Brandon Inge (13),2,R
382,359.,Ben Johnson (3),2,R
383,359.,Chris Jones (2),2,L
384,359.,Johnny Lewis (4),2,R
385,359.,Manny Martinez (3),2,R
386,359.,Mike McCoy (4),2,R
387,359.,Kerwin Moore (1),2,R
388,359.,Paul O'Neill (17),2,L
389,359.,Charlie Peete (1),2,R
390,359.,Paul Powell (3),2,R
391,359.,"Harold Ramirez (2, 25)",2,R
392,359.,"Hunter Renfroe (5, 28)",2,R
393,359.,Jason Romano (4),2,R
394,359.,Donnie Sadler (8),2,R
395,359.,"Scott Schebler (6, 29)",2,R
396,359.,"Andrew Stevenson (4, 26)",2,L
397,359.,Bobby Thompson (1),2,R
398,359.,Reggie Williams (4),2,R
399,359.,Gerald Young (8),2,R
