,Rank,"Player (yrs, age)",Bases on Balls,Throws
66,67.,Bill Hutchison (9),1132,R
67,67.,Johnny Vander Meer (13),1132,L
68,69.,Jerry Reuss (22),1127,L
69,70.,Ted Lyons+ (21),1121,R
70,70.,Bucky Walters (19),1121,R
71,72.,Mel Harder (20),1118,R
72,73.,Earl Moore (14),1108,R
73,74.,Bob Buhl (15),1105,R
74,75.,Luis Tiant (19),1104,R
75,76.,A.J. Burnett (17),1100,R
76,77.,Mickey Lolich (16),1099,L
77,77.,CC Sabathia (19),1099,L
78,79.,Lefty Gomez+ (14),1095,L
79,80.,Virgil Trucks (17),1088,R
80,81.,Whitey Ford+ (16),1086,L
81,82.,Jim Kaat (25),1083,L
82,83.,Eppa Rixey+ (21),1082,L
83,84.,Rick Sutcliffe (18),1081,R
84,85.,Eddie Plank+ (17),1072,L
85,86.,Ryan Dempster (16),1071,R
86,87.,Camilo Pascual (18),1069,R
87,88.,Bob Turley (12),1068,R
88,89.,Hooks Dauss (15),1067,R
89,90.,Liván Hernández (17),1066,R
90,91.,Ice Box Chamberlain (10),1065,R
91,92.,Bert Cunningham (12),1064,R
92,92.,Barry Zito (15),1064,L
93,94.,Curt Simmons (20),1063,L
94,95.,Bill Donovan (18),1059,R
95,96.,Murry Dickson (18),1058,R
96,97.,Jouett Meekin (10),1056,R
97,98.,Vern Kennedy (12),1049,R
98,99.,Dizzy Trout (15),1046,R
99,100.,Howard Ehmke (15),1042,R
100,101.,Wes Ferrell (15),1040,R
101,102.,Tommy Byrne (13),1037,L
102,103.,Red Ames (17),1034,R
103,103.,Dave Stewart (16),1034,R
104,103.,Dave Stieb (16),1034,R
105,103.,Bob Welch (17),1034,R
106,107.,Andy Pettitte (18),1031,L
107,107.,Rube Walberg (15),1031,L
108,109.,Jack Powell (16),1021,R
109,110.,Bob Shawkey (15),1018,R
110,111.,Steve Renko (15),1010,R
111,111.,John Smoltz+ (21),1010,R
112,113.,Orel Hershiser (18),1007,R
113,114.,Jim Slaton (16),1004,R
114,115.,Joe Coleman (15),1003,R
115,115.,Waite Hoyt+ (21),1003,R
116,117.,Jim Bunning+ (17),1000,R
117,118.,Greg Maddux+ (23),999,R
118,119.,Jim Perry (17),998,R
119,120.,Fergie Jenkins+ (19),997,R
120,121.,Kevin Gross (15),986,R
121,122.,Kirby Higbe (12),979,R
122,123.,Doyle Alexander (19),978,R
123,123.,Johnny Klippstein (18),978,R
124,123.,Jamey Wright (19),978,R
125,126.,Tom Gordon (21),977,R
126,127.,Pink Hawley (10),974,R
127,128.,Silver King (10),967,R
128,129.,George Uhle (17),966,R
129,130.,Rudy May (16),958,L
130,131.,Lee Meadows (15),956,R
131,132.,Dwight Gooden (16),954,R
132,132.,Catfish Hunter+ (15),954,R
133,134.,Jimmy Ring (12),953,R
134,135.,Pete Alexander+ (20),951,R
135,136.,Steve Barber (15),950,L
136,137.,"Bartolo Colon (21, 47)",948,R
137,138.,Jim Clancy (15),947,R
138,139.,Sadie McMahon (9),945,R
139,140.,Steve Trachsel (16),943,R
140,141.,Claude Osteen (18),940,L
141,142.,Mike Morgan (22),938,R
142,143.,Rick Reuschel (19),935,R
143,144.,Kevin Appier (16),933,R
144,144.,Al Downing (17),933,L
145,146.,Stan Bahnsen (16),924,R
146,147.,Ray Sadecki (18),922,L
147,148.,Darryl Kile (12),918,R
148,148.,Dolf Luque (20),918,R
149,150.,Tim Hudson (17),917,R
150,151.,Herb Pennock+ (22),916,L
151,152.,Tom Zachary (19),914,L
152,153.,Ken Holtzman (15),910,L
153,153.,Chan Ho Park (17),910,R
154,155.,Andy Benes (14),909,R
155,156.,Hideo Nomo (12),908,R
156,157.,Ron Darling (13),906,R
157,157.,Kid Gleason (22),906,R
158,159.,Robin Roberts+ (19),902,R
159,159.,Hal Schumacher (13),902,R
160,161.,Kevin Brown (19),901,R
161,161.,Mike Hampton (16),901,L
162,163.,Miguel Batista (18),899,R
163,164.,Carlos Zambrano (12),898,R
164,165.,Bob Friend (16),894,R
165,166.,Bill Lee (14),893,R
166,167.,Ed Reulbach (13),892,R
167,168.,Bill Dietrich (16),890,R
168,168.,Mike Flanagan (18),890,L
169,168.,Woodie Fryman (18),890,L
170,171.,Charlie Root (17),889,R
171,172.,Juan Pizarro (18),888,L
172,173.,Walt Masterson (14),886,R
173,174.,Ed Crane (9),885,R
174,175.,Tom Candiotti (16),883,R
175,176.,Ned Garver (14),881,R
176,177.,Steve Rogers (13),876,R
177,178.,Old Hoss Radbourn+ (12),875,R
178,179.,Danny Darwin (21),874,R
179,180.,Danny MacFayden (17),872,R
180,181.,Jesse Haines+ (19),871,R
181,181.,Jeff Suppan (17),871,R
182,183.,Van Mungo (14),868,R
183,184.,Scott Erickson (15),865,R
184,185.,Frank Viola (15),864,L
185,186.,Tim Belcher (14),860,R
186,186.,Russ Ortiz (12),860,R
187,186.,Jack Quinn (23),860,R
188,189.,Guy Bush (17),859,R
189,190.,Shawn Estes (13),858,L
190,190.,Rube Marquard+ (18),858,L
191,190.,Milt Pappas (17),858,R
192,190.,Bob Veale (13),858,L
193,194.,Bob Knepper (15),857,L
194,195.,Charlie Buffinton (11),856,R
195,196.,Don Drysdale+ (14),855,R
196,197.,Wilbur Cooper (15),853,L
197,197.,Tom Hughes (13),853,R
198,199.,Ken Hill (14),852,R
199,199.,Dan Petry (13),852,R
200,199.,Herm Wehmeier (13),852,R
201,202.,Bill Doak (16),851,R
202,202.,Joe Dobson (14),851,R
203,202.,"Justin Verlander (16, 37)",851,R
204,205.,Mudcat Grant (14),849,R
205,206.,Ubaldo Jimenez (12),848,R
206,206.,Christy Mathewson+ (17),848,R
207,208.,Floyd Bannister (15),846,L
208,208.,Freddie Fitzsimmons (19),846,R
209,208.,Willis Hudlin (16),846,R
210,211.,Kevin Millwood (16),843,R
211,212.,Gary Bell (12),842,R
212,213.,Jack Coombs (14),841,R
213,213.,Jose DeLeon (13),841,R
214,213.,Red Ehret (11),841,R
215,216.,Dazzy Vance+ (16),840,R
216,217.,Thornton Lee (16),838,L
217,217.,Mickey McDermott (12),838,L
218,219.,"Jon Lester (15, 36)",837,L
219,220.,Milt Gaston (11),836,R
220,221.,Sid Hudson (12),835,R
221,221.,Fritz Ostermueller (15),835,L
222,223.,Bob Forsch (16),832,R
223,224.,Andy Messersmith (12),831,R
224,224.,Randy Wolf (16),831,L
225,226.,Bill Dinneen (12),829,R
226,226.,Lefty Tyler (12),829,L
227,228.,Eddie Cicotte (14),827,R
228,229.,Dave McNally (14),826,L
229,230.,Larry Jackson (14),824,R
230,231.,Jim Lonborg (15),823,R
231,232.,Mike Cuellar (15),822,L
232,232.,Sam Jones (12),822,R
233,232.,Frank Killen (10),822,L
234,235.,Larry French (14),819,L
235,236.,Sandy Koufax+ (12),817,L
236,236.,Hippo Vaughn (13),817,L
237,238.,Danny Jackson (15),816,L
238,238.,"Francisco Liriano (14, 36)",816,L
239,238.,Todd Stottlemyre (14),816,R
240,241.,"Gio Gonzalez (13, 34)",815,L
241,241.,John Lackey (15),815,R
242,241.,Fred Norman (16),815,L
243,244.,Joe McGinnity+ (10),812,R
244,245.,Jim Maloney (12),810,R
245,246.,George Earnshaw (9),809,R
246,246.,Mel Stottlemyre (11),809,R
247,248.,Chris Short (15),806,L
248,249.,Wilson Alvarez (14),805,L
249,249.,"Felix Hernandez (15, 34)",805,R
250,251.,Rick Wise (18),804,R
251,252.,Rube Waddell+ (13),803,L
252,253.,Stan Coveleski+ (14),802,R
253,254.,Rick Rhoden (16),801,R
254,255.,Kid Carsey (10),800,R
255,255.,General Crowder (11),800,R
256,257.,Burt Hooton (15),799,R
257,258.,Tony Cloninger (12),798,R
258,258.,Aaron Sele (15),798,R
259,260.,Earl Wilson (11),796,R
260,261.,Ramon Martinez (14),795,R
261,261.,Mike McCormick (16),795,L
262,263.,Derek Lowe (17),794,R
263,264.,Jason Schmidt (14),792,R
264,265.,Bob Rush (13),789,R
265,266.,Blue Moon Odom (13),788,R
266,267.,Mark Gubicza (14),786,R
267,267.,Diego Segui (15),786,R
268,269.,Mike Mussina+ (18),785,R
269,270.,Doug Davis (13),783,L
270,270.,Bob Groom (10),783,R
271,272.,Bill Singer (14),781,R
272,273.,Paul Splittorff (15),780,L
273,274.,Bill Hallahan (12),779,L
274,274.,"Edwin Jackson (17, 36)",779,R
275,276.,Ed Brandt (11),778,L
276,276.,John Denny (13),778,R
277,276.,Hoyt Wilhelm+ (21),778,R
278,279.,Joe Nuxhall (16),776,L
279,280.,Pat Hentgen (14),775,R
280,281.,Clark Griffith+ (21),774,R
281,282.,Earl Hamilton (14),773,L
282,283.,J.R. Richard (10),770,R
283,283.,Milt Wilcox (16),770,R
284,285.,Tom Griffin (14),769,R
285,285.,Jason Marquis (15),769,R
286,287.,"Cole Hamels (15, 36)",767,L
287,287.,Mike Krukow (14),767,R
288,287.,Dick Ruthven (14),767,R
289,290.,Ray Burris (15),764,R
290,290.,Frank Dwyer (12),764,R
291,292.,Javier Vazquez (14),763,R
292,293.,Dave Burba (15),762,R
293,293.,Bob Harmon (9),762,R
294,295.,Paul Derringer (15),761,R
295,296.,Pedro Martinez+ (18),760,R
296,296.,"Oliver Perez (18, 38)",760,L
297,298.,Mel Parnell (10),758,L
298,299.,Johnny Schmitz (13),757,L
299,300.,Win Mercer (9),755,R
300,301.,Matt Kilroy (10),754,L
301,301.,Ervin Santana (15),754,R
302,303.,Ray Culp (11),752,R
303,304.,Jack Billingham (13),750,R
304,305.,Jim McCormick (10),749,R
305,306.,Rip Sewell (13),748,R
306,306.,Walt Terrell (11),748,R
307,306.,Stan Williams (14),748,R
308,309.,Alex Kellner (12),747,L
309,310.,James Shields (13),746,R
310,311.,Pud Galvin+ (15),745,R
311,311.,Howie Pollet (14),745,L
312,313.,Johnny Podres (15),743,L
313,314.,Sheriff Blake (10),740,R
314,314.,Richard Dotson (12),740,R
315,314.,Bruce Hurst (15),740,L
316,314.,Monte Pearson (10),740,R
317,318.,Dean Chance (11),739,R
318,318.,Dutch Ruether (11),739,L
319,318.,Eddie Smith (10),739,L
320,318.,Lon Warneke (15),739,R
321,322.,Johnny Allen (13),738,R
322,322.,Ray Caldwell (12),738,R
323,322.,Dennis Eckersley+ (24),738,R
324,325.,Dutch Leonard (20),737,R
325,325.,Jack Sanford (12),737,R
326,327.,Denny Galehouse (15),735,R
327,327.,Chuck Stobbs (15),735,L
328,327.,"Edinson Volquez (15, 36)",735,R
329,330.,Mark Buehrle (16),734,L
330,330.,Carl Mays (15),734,R
331,330.,Togie Pittinger (8),734,R
332,330.,Shane Rawley (12),734,L
333,334.,Al Benton (14),733,R
334,334.,Larry Cheney (9),733,R
335,336.,Rich Gossage+ (22),732,R
336,336.,Ed Stein (8),732,R
337,338.,Joaquin Andujar (13),731,R
338,338.,Ron Kline (17),731,R
339,340.,Claude Passeau (13),728,R
340,341.,Vic Raschi (10),727,R
341,342.,Pedro Astacio (15),726,R
342,343.,Carl Hubbell+ (16),725,L
343,343.,Mike LaCoss (14),725,R
344,343.,Don Larsen (14),725,R
345,346.,Jeff Fassero (16),724,L
346,346.,Pedro Ramos (15),724,R
347,346.,Eddie Rommel (13),724,R
348,346.,Wilbur Wood (17),724,L
349,350.,Jim Bibby (12),723,R
350,350.,Jon Garland (13),723,R
351,352.,Mike Boddicker (14),721,R
352,352.,Harry Gumbert (15),721,R
353,354.,Darren Oliver (20),720,L
354,355.,Mike Garcia (14),719,R
355,355.,David Wells (21),719,L
356,357.,Pete Harnisch (14),716,R
357,357.,Steve Stone (11),716,R
358,359.,Sid Fernandez (15),715,L
359,360.,George Haddock (7),714,R
360,360.,Bill Wight (12),714,L
361,362.,Clay Kirby (8),713,R
362,362.,Mike Witt (12),713,R
363,364.,Chief Bender+ (16),712,R
364,364.,Rube Benton (15),712,L
365,364.,Matt Cain (13),712,R
366,364.,Aaron Harang (14),712,R
367,364.,Tommy Thomas (12),712,R
368,369.,Larry Dierker (14),711,R
369,369.,Curt Schilling (20),711,R
370,369.,Woody Williams (15),711,R
371,372.,Yovani Gallardo (12),710,R
372,373.,Juan Marichal+ (16),709,R
373,374.,Freddy Garcia (15),708,R
374,374.,Jake Peavy (15),708,R
375,376.,Elden Auker (10),706,R
376,376.,Gary Peters (14),706,L
377,376.,Vic Sorrell (10),706,R
378,379.,Phil Knell (6),705,L
379,379.,Pat Malone (10),705,R
380,381.,Doug Drabek (13),704,R
381,381.,Bill Hart (8),704,R
382,383.,Jim Rooker (13),703,L
383,384.,Moe Drabowsky (17),702,R
384,385.,Fred Frankhouse (13),701,R
385,385.,Nap Rucker (10),701,L
386,387.,John Burkett (15),700,R
387,387.,Elam Vangilder (11),700,R
388,389.,Ed Whitson (15),698,R
389,390.,Claude Hendrix (10),697,R
390,391.,Willie McGill (7),696,L
391,392.,Ken Chase (8),694,L
392,392.,Kyle Lohse (16),694,R
393,394.,Sonny Siebert (12),692,R
394,395.,Larry Benton (13),691,R
395,396.,Jack Chesbro+ (11),690,R
396,396.,Cy Falkenberg (12),690,R
397,396.,George Hemming (8),690,R
398,396.,Jaime Navarro (12),690,R
399,400.,Red Donahue (13),689,R
400,401.,Dixie Davis (10),688,R
401,401.,Jorge De La Rosa (15),688,L
402,401.,Jim Shaw (9),688,R
403,404.,Johnny Antonelli (12),687,L
404,404.,Storm Davis (13),687,R
405,404.,Si Johnson (17),687,R
406,407.,Firpo Marberry (14),686,R
407,408.,Billy Hoeft (15),685,L
408,408.,Omar Olivares (12),685,R
409,410.,Phil Marchildon (9),684,R
410,411.,Pat Rapp (10),683,R
411,412.,Jack Kramer (12),682,R
412,413.,Scott Kazmir (12),681,L
413,413.,Terry Mulholland (20),681,L
414,415.,Vinegar Bend Mizell (9),680,L
415,416.,Harry Howell (13),677,R
416,417.,"Zack Greinke (17, 36)",676,R
417,417.,Bob Ojeda (15),676,L
418,417.,Frank Smith (11),676,R
419,420.,Dock Ellis (12),674,R
420,421.,Mordecai Brown+ (14),673,R
421,421.,Rip Collins (11),673,R
422,423.,Don Cardwell (14),671,R
423,423.,Pete Falcone (10),671,L
424,423.,Toad Ramsey (6),671,L
425,426.,Bob Smith (15),670,R
426,426.,Doc White (13),670,L
427,428.,Tom Brewer (8),669,R
428,428.,John Curtis (15),669,L
429,428.,Duke Esper (9),669,L
430,428.,Tim Lincecum (10),669,R
431,432.,Jimmy Key (15),668,L
432,433.,Ed Doheny (9),667,L
433,433.,Juan Guzman (10),667,R
434,435.,Kerry Wood (14),666,R
435,436.,Pat Dobson (11),665,R
436,436.,Kirk McCaskill (12),665,R
437,438.,Dutch Leonard (11),664,L
438,439.,Ralph Branca (12),663,R
439,439.,R.A. Dickey (15),663,R
440,439.,Jose Rijo (14),663,R
441,442.,Paul Foytack (11),662,R
442,442.,Bruce Kison (15),662,R
443,442.,Tom Underwood (11),662,L
444,445.,Bronson Arroyo (16),661,R
445,445.,Ted Lilly (15),661,L
446,445.,Al Orth (15),661,R
447,445.,Bill Sherdel (15),661,L
448,449.,Frank Foreman (11),659,R
449,449.,Cy Seymour (16),659,L
450,451.,Rick Honeycutt (21),657,L
451,451.,Urban Shocker (13),657,R
452,451.,Mario Soto (12),657,R
453,454.,Howie Camnitz (11),656,R
454,454.,Charlie Leibrandt (14),656,L
455,456.,Jim Hearn (13),655,R
456,457.,"Anibal Sanchez (15, 36)",653,R
457,458.,Greg Harris (15),652,R
458,459.,Jose Mesa (19),651,R
459,459.,Joe Oeschger (12),651,R
460,461.,Matt Clement (9),650,R
461,461.,Eddie Lopat (12),650,L
462,463.,Eric Plunk (14),647,R
463,464.,Carl Erskine (12),646,R
464,464.,Dave Goltz (12),646,R
465,466.,Don Robinson (15),643,R
466,466.,Bobby Shantz (16),643,L
467,468.,Jack Knott (11),642,R
468,468.,Whit Wyatt (16),642,R
469,470.,"Max Scherzer (13, 35)",641,R
470,471.,Art Nehf (15),640,L
471,471.,Don Wilson (9),640,R
472,473.,Sam Gray (10),639,R
473,474.,Jon Matlack (13),638,L
474,475.,Ad Gumbert (9),637,R
475,475.,Ron Villone (15),637,L
476,477.,Bill Bonham (10),636,R
477,478.,Kip Wells (12),635,R
478,479.,Ron Guidry (14),633,L
479,479.,Ron Reed (19),633,R
480,481.,Buster Brown (9),631,R
481,482.,Steve Gromek (17),630,R
482,482.,Slim Harriss (9),630,R
483,482.,Ken Heintzelman (13),630,L
484,482.,Tully Sparks (12),630,R
485,486.,Josh Beckett (14),629,R
486,487.,Lew Burdette (18),628,R
487,487.,Mark Gardner (13),628,R
488,489.,Chris Carpenter (15),627,R
489,489.,Mike Scott (13),627,R
490,491.,Jason Bere (11),626,R
491,492.,Scott Sanderson (19),625,R
492,493.,Doc Medich (11),624,R
493,493.,Clarence Mitchell (18),624,L
494,495.,Bud Black (15),623,L
495,495.,Hank Borowy (10),623,R
496,495.,Oral Hildebrand (10),623,R
497,495.,Lindy McDaniel (21),623,R
498,499.,Bill Gullickson (14),622,R
499,499.,Dennis Leonard (12),622,R
500,501.,Jim Abbott (10),620,L
501,501.,"J.A. Happ (14, 37)",620,L
502,501.,Joe Haynes (14),620,R
503,504.,Brad Penny (14),619,R
504,504.,Johnny Sain (11),619,R
505,506.,Jakie May (14),617,L
506,506.,Ed Walsh+ (14),617,R
507,508.,Frank Lary (12),616,R
508,509.,Dave Roberts (13),615,L
509,510.,Bob Ewing (11),614,R
510,510.,Steve Hargan (12),614,R
511,512.,Andy Hawkins (10),612,R
512,513.,Kelvim Escobar (12),611,R
513,513.,Max Lanier (14),611,L
514,513.,Ray Scarborough (10),611,R
515,513.,Bob Weiland (12),611,L
516,517.,Allen Russell (11),610,R
517,517.,Eric Show (11),610,R
518,519.,Nig Cuppy (10),609,R
519,519.,Sidney Ponson (12),609,R
520,519.,Jim Scott (9),609,R
521,522.,Jim Bagby (10),608,R
522,522.,Bob Miller (17),608,R
523,522.,Doc Scanlan (8),608,R
524,522.,Jim Wilson (12),608,R
525,526.,Joey Jay (13),607,R
526,526.,Kent Mercker (18),607,L
527,526.,Mark Portugal (15),607,R
528,529.,Rick Mahler (13),606,R
529,529.,Jack McDowell (12),606,R
530,529.,Bob Walk (14),606,R
531,532.,Jack Fisher (11),605,R
532,532.,Willie Mitchell (11),605,L
533,532.,Dan Spillner (12),605,R
534,535.,Juan Berenguer (15),604,R
535,535.,Esteban Loaiza (14),604,R
536,535.,Harry Staley (8),604,R
537,535.,David Weathers (19),604,R
538,539.,Marty Pattin (13),603,R
539,539.,Willie Sudhoff (10),603,R
540,541.,Pretzels Getzien (9),602,R
541,541.,Bill Stoneman (8),602,R
542,541.,C.J. Wilson (11),602,L
543,544.,"Trevor Cahill (12, 32)",601,R
544,544.,Harvey Haddix (14),601,L
545,544.,Jimmy Haynes (10),601,R
546,544.,"Ian Kennedy (14, 35)",601,R
547,544.,Jack Wilson (9),601,R
548,549.,Larry Gura (16),600,L
549,549.,Denny Lemaster (11),600,L
550,549.,Stu Miller (16),600,R
551,552.,Egyptian Healy (8),599,R
552,553.,Ray Benge (12),598,R
553,553.,George Pipgras (11),598,R
554,555.,Steve Blass (10),597,R
555,555.,Bobby Bolin (13),597,R
556,555.,Mike Caldwell (14),597,L
557,555.,Bob Caruthers (10),597,R
558,555.,George Caster (12),597,R
559,555.,Vern Law (16),597,R
560,555.,Allan Sothoron (11),597,R
561,562.,Dick Ellsworth (13),595,L
562,562.,Ted Gray (9),595,L
563,564.,Gil Meche (10),594,R
564,564.,Denny Neagle (13),594,L
565,566.,Ted Abernathy (14),592,R
566,566.,John Candelaria (19),592,L
567,566.,Roy Halladay+ (16),592,R
568,566.,Jeff Pfeffer (13),592,R
569,570.,Dave Righetti (16),591,L
570,570.,"Adam Wainwright (15, 38)",591,R
571,572.,Lloyd Brown (12),590,L
572,572.,Turk Lown (11),590,R
573,574.,Bill Voiselle (9),588,R
574,575.,Ernie Broglio (8),587,R
575,575.,Al Hollingsworth (11),587,L
576,575.,Sam Leever (13),587,R
577,575.,Al Smith (12),587,L
578,579.,Ken Forsch (16),586,R
579,579.,Charles Nagy (14),586,R
580,581.,"Clayton Kershaw (13, 32)",585,L
581,582.,Hank Gastright (7),584,R
582,582.,Jack Taylor (10),584,R
583,584.,Max Butcher (10),583,R
584,584.,Guy Morton (11),583,R
585,584.,Zane Smith (13),583,L
586,584.,Jack Taylor (9),583,R
587,584.,Fred Toney (12),583,R
588,589.,Harry Harper (10),582,L
589,589.,Tug McGraw (19),582,L
590,589.,Nels Potter (12),582,R
591,589.,Kirk Rueter (13),582,L
592,589.,Brett Tomko (14),582,R
593,594.,George Brunet (15),581,L
594,594.,Matt Garza (12),581,R
595,594.,Jesse Orosco (24),581,L
596,597.,Don McMahon (18),579,R
597,597.,Dick Tidrow (13),579,R
598,599.,Dick Fowler (10),578,R
599,599.,Bill James (8),578,R
600,599.,Cy Morgan (10),578,R
601,599.,Hank O'Day+ (7),578,R
602,599.,Steve Trout (12),578,L
603,604.,Jean Dubuc (9),577,R
604,604.,Mickey Haefner (8),577,L
605,606.,Cal Eldred (14),576,R
606,606.,Billy Rhines (9),576,R
607,608.,Jim Deshaies (12),575,L
608,609.,Ruben Gomez (10),574,R
609,610.,Buck Ross (10),573,R
610,610.,Slim Sallee (14),573,L
611,610.,Herb Score (8),573,L
612,613.,Lynn McGlothen (11),572,R
613,613.,Jeff Tesreau (7),572,R
614,615.,Mort Cooper (11),571,R
615,615.,Ray Herbert (14),571,R
616,615.,Jack Russell (15),571,R
617,615.,Jake Westbrook (13),571,R
618,619.,Dave Giusti (15),570,R
619,620.,Steve Avery (11),569,L
620,620.,Sugar Cain (7),569,R
621,620.,Jarrod Washburn (12),569,L
622,623.,Mike Sullivan (10),568,R
623,623.,Rick Waits (12),568,L
624,625.,Jason Hammel (13),567,R
625,625.,Hank Johnson (12),567,R
626,625.,Johan Santana (12),567,L
627,628.,Joe Coleman (10),566,R
628,629.,George Mogridge (15),565,L
629,629.,Carl Morton (8),565,R
630,629.,Bruce Ruffin (12),565,L
631,629.,Ed Willett (10),565,R
632,629.,Matt Young (10),565,L
633,634.,Jersey Bakley (6),564,R
634,635.,Doc McJames (6),563,R
635,635.,Julian Tavarez (17),563,R
636,637.,Ewell Blackwell (10),562,R
637,637.,Ken Brett (14),562,L
638,637.,Rick Helling (12),562,R
639,637.,Sal Maglie (10),562,R
640,641.,Tex Carleton (8),561,R
641,642.,Ray Moore (11),560,R
642,643.,Ross Grimsley (11),559,L
643,643.,Dave LaPoint (12),559,L
644,643.,Frank Sullivan (11),559,R
645,646.,Dick Drago (13),558,R
646,646.,Schoolboy Rowe (15),558,R
647,648.,Casey Patten (8),557,L
648,648.,Jim Tobin (9),557,R
649,650.,"Johnny Cueto (13, 34)",556,R
650,650.,Brett Myers (12),556,R
651,650.,Billy O'Dell (13),556,L
652,653.,Mark Clear (11),554,R
653,653.,Joe Horlen (12),554,R
654,653.,Lefty Leifield (12),554,L
655,653.,Kevin Tapani (13),554,R
656,657.,Alex Fernandez (10),552,R
657,657.,Vean Gregg (8),552,L
658,657.,Cal McLish (15),552,R
659,657.,Bob Porterfield (12),552,R
660,661.,Orval Overall (7),551,R
661,661.,Vicente Padilla (14),551,R
662,661.,Melido Perez (9),551,R
663,661.,Dummy Taylor (9),551,R
664,661.,Jered Weaver (12),551,R
665,666.,Clyde Wright (10),550,L
666,667.,Dennis Lamp (16),549,R
667,668.,Denny McLain (10),548,R
668,669.,Nelson Briles (14),547,R
669,670.,Bruce Chen (17),546,L
670,670.,Jim O'Toole (10),546,L
671,672.,Pete Vuckovich (11),545,R
672,673.,John D'Acquisto (10),544,R
673,673.,Mitch Williams (11),544,L
674,675.,Dan Casey (7),543,L
675,675.,Reggie Cleveland (13),543,R
676,675.,Bob Shirley (11),543,L
677,678.,Larry McWilliams (13),542,L
678,678.,Mike Pelfrey (12),542,R
679,680.,Russ Meyer (13),541,R
680,681.,Andy Ashby (14),540,R
681,682.,Jack Harshman (10),539,L
682,682.,Ellis Kinder (12),539,R
683,682.,Harry McIntire (9),539,R
684,685.,Dave Koslo (12),538,L
685,685.,Bill Walker (10),538,L
686,687.,"Jhoulys Chacin (12, 32)",537,R
687,687.,Wayne Twitchell (10),537,R
688,689.,Harry Brecheen (12),536,L
689,690.,George Blaeholder (11),535,R
690,690.,John Hiller (15),535,L
691,690.,Tim Leary (13),535,R
692,693.,Fred Beebe (7),534,R
693,693.,Mark Davis (15),534,L
694,693.,Wandy Rodriguez (11),534,L
695,693.,Joe Shaute (13),534,L
696,697.,Erik Bedard (11),533,L
697,698.,Bobby Mathews (15),532,R
698,698.,Barney Pelty (10),532,R
699,700.,Bill Lee (14),531,L
700,700.,Roy Parmelee (10),531,R
701,702.,Ike Delock (11),530,R
702,702.,Art Fromme (10),530,R
703,702.,Willard Nixon (9),530,R
704,702.,Tom Seaton (6),530,R
705,706.,"Lance Lynn (9, 33)",529,R
706,706.,Flint Rhem (12),529,R
