,Rank,"Player (yrs, age)",Batters Faced,Throws
659,660.,Moose Haas (12),6928,R
660,661.,Tex Carleton (8),6922,R
661,662.,"Jeff Samardzija (13, 35)",6891,R
662,662.,Bill Swift (11),6891,R
663,664.,Joe Haynes (14),6890,R
664,665.,Frank Castillo (13),6871,R
665,666.,Jimmy Callahan (13),6855,R
666,667.,Vic Aldridge (9),6852,R
667,668.,Bill Wight (12),6851,L
668,669.,Brian Moehler (14),6844,R
669,670.,Gary Nolan (10),6836,R
670,671.,Jakie May (14),6831,L
671,672.,Eric Milton (11),6826,L
672,673.,Jim O'Toole (10),6824,L
673,674.,Lee Richmond (6),6821,L
674,675.,Bob Rhoads (8),6820,R
675,676.,Bill Swift (13),6817,R
676,677.,Tom Underwood (11),6814,L
677,678.,Vicente Padilla (14),6808,R
678,679.,Jumbo McGinnis (6),6806,
679,680.,Jeff Tesreau (7),6805,R
680,681.,Jose Mesa (19),6804,R
681,682.,Dave Koslo (12),6803,L
682,683.,"Edinson Volquez (15, 36)",6797,R
683,684.,Jose Lima (13),6790,R
684,685.,Steve Blass (10),6780,R
685,686.,Allan Sothoron (11),6774,R
686,687.,Max Lanier (14),6772,L
687,688.,Gene Conley (11),6767,R
688,689.,Fred Goldsmith (7),6765,R
689,690.,Guy Morton (11),6751,R
690,691.,Harry McIntire (9),6748,R
691,692.,Jim Colborn (10),6744,R
692,693.,"Jordan Zimmermann (12, 34)",6740,R
693,694.,Art Houtteman (12),6713,R
694,695.,Andy Hawkins (10),6711,R
695,696.,Don Larsen (14),6708,R
696,697.,Paul Maholm (10),6704,L
697,698.,Al Hollingsworth (11),6703,L
698,698.,George Suggs (8),6703,R
699,700.,Larry McWilliams (13),6702,L
700,701.,Sloppy Thurston (9),6698,R
701,702.,Hugh McQuillan (10),6697,R
702,703.,Willie Mitchell (11),6694,L
703,704.,Clay Kirby (8),6682,R
704,705.,J.R. Richard (10),6674,R
705,706.,Bobby Bolin (13),6671,R
706,706.,Wandy Rodriguez (11),6671,L
707,708.,Pat Ragan (11),6660,R
708,709.,Terry Larkin (6),6659,R
709,710.,Jorge De La Rosa (15),6650,L
710,711.,Bob Porterfield (12),6646,R
711,712.,Dick Bosman (11),6643,R
712,713.,Ben Sheets (10),6640,R
713,714.,George Winter (8),6638,R
