,Rank,"Player (yrs, age)",Double Plays Turned as C,Throws
272,269.,Mike Ryan (11),45,R
273,274.,Moe Berg (15),44,R
274,274.,Mike Fitzgerald (10),44,R
275,274.,"Jeff Mathis (16, 37)",44,R
276,274.,Ken O'Dea (12),44,R
277,274.,"Salvador Perez (9, 30)",44,R
278,274.,Doc Powers (11),44,R
279,280.,Dick Buckley (8),43,R
280,280.,Einar Diaz (11),43,R
281,280.,Mike Difelice (13),43,R
282,280.,Hobie Landrith (14),43,R
283,280.,Victor Martinez (16),43,R
284,280.,Greg Myers (18),43,R
285,280.,Tom Needham (11),43,R
286,280.,Babe Phelps (11),43,R
287,280.,Hal Smith (7),43,R
288,280.,Bennie Tate (10),43,R
289,290.,Benny Bengough (10),42,R
290,290.,Chris Cannizzaro (13),42,R
291,290.,Geovany Soto (13),42,R
292,290.,Ira Thomas (10),42,R
293,290.,Alex Trevino (13),42,R
294,290.,Rick Wilkins (11),42,R
295,296.,Paul Bako (12),41,R
296,296.,Bob Brenly (9),41,R
297,296.,Ben Davis (7),41,R
298,296.,Gene Desautels (13),41,R
299,296.,Tom Kinslow (10),41,R
300,296.,Dave Rader (10),41,R
301,296.,Red Wilson (10),41,R
302,303.,Nig Clarke (9),40,R
303,303.,A.J. Ellis (11),40,R
304,303.,Hank Foiles (11),40,R
305,303.,Joe Ginsberg (13),40,R
306,303.,Ryan Hanigan (11),40,R
307,303.,Bill Merritt (8),40,R
308,303.,Junior Ortiz (13),40,R
309,303.,Bob Tillman (9),40,R
310,303.,Deacon White+ (20),40,R
311,312.,Harry Bemis (9),39,R
312,312.,"Welington Castillo (10, 33)",39,R
313,312.,Joe Mauer (15),39,R
314,312.,"James McCann (7, 30)",39,R
315,316.,Verne Clemons (7),38,R
316,316.,Lave Cross (21),38,R
317,316.,Peaches Graham (7),38,R
318,316.,"Yasmani Grandal (9, 31)",38,R
319,316.,Pinky Hargrave (10),38,R
320,316.,Frank House (10),38,R
321,316.,Geno Petralli (12),38,R
322,316.,Boss Schmidt (6),38,R
323,324.,Buck Crouse (8),37,R
324,324.,Tom Daly (17),37,R
325,324.,Ed FitzGerald (12),37,R
326,324.,Grover Hartley (14),37,R
327,324.,Johnny Peacock (9),37,R
328,324.,Ellie Rodriguez (9),37,R
329,324.,Billy Sullivan (12),37,R
330,331.,Francisco Cervelli (13),36,R
331,331.,"Tyler Flowers (12, 34)",36,R
332,331.,J.C. Martin (14),36,R
333,331.,Jerry May (10),36,R
334,331.,Bob Melvin (10),36,R
335,331.,Humberto Quintero (12),36,R
336,331.,Bob Stinson (12),36,R
337,331.,Mickey Tettleton (14),36,R
338,331.,Hal Wagner (12),36,R
339,340.,Ray Berres (11),35,R
340,340.,Harry Chiti (10),35,R
341,340.,John Clapp (11),35,R
342,340.,Johnny Estrada (8),35,R
343,340.,"Yan Gomes (9, 32)",35,R
344,340.,Brian Harper (16),35,R
345,340.,Mike Kahoe (11),35,R
346,340.,Tom Lampkin (13),35,R
347,340.,Grover Land (7),35,R
348,340.,Tubby Spencer (9),35,R
349,350.,Kenji Johjima (4),34,R
350,350.,Jerry McNertney (9),34,R
351,350.,Matt Nokes (11),34,R
352,350.,Fred Payne (6),34,R
353,350.,Eddie Perez (11),34,R
354,350.,Lew Ritter (7),34,R
355,350.,Jarrod Saltalamacchia (12),34,R
356,350.,Kelly Stinnett (14),34,R
357,358.,Tim Blackwell (10),33,R
358,358.,Fritz Buelow (9),33,R
359,358.,William Fischer (5),33,R
360,358.,Mike Guerra (9),33,R
361,358.,Truck Hannah (3),33,R
362,358.,Doug Mirabelli (12),33,R
363,358.,Johnny Oates (11),33,R
364,358.,Todd Pratt (14),33,R
365,358.,Bill Sarni (5),33,R
366,358.,Merv Shea (11),33,R
367,358.,Chris Snyder (10),33,R
368,358.,Roy Spencer (12),33,R
369,358.,Pinch Thomas (10),33,R
370,358.,Sam Trott (8),33,L
371,372.,Matt Batts (10),32,R
372,372.,Dick Bertell (7),32,R
373,372.,Jack Bliss (5),32,R
374,372.,Bruce Edwards (10),32,R
375,372.,Duane Josephson (8),32,R
376,372.,Jack O'Neill (5),32,R
377,372.,"Wilson Ramos (11, 32)",32,R
378,372.,Joe Tipton (7),32,R
379,372.,Rube Walker (11),32,R
380,381.,Bert Adams (8),31,R
381,381.,Josh Bard (10),31,R
382,381.,Fatty Briody (8),31,R
383,381.,Lew Brown (7),31,R
384,381.,Bob Clark (7),31,R
385,381.,Brian Downing (20),31,R
386,381.,Marc Hill (14),31,R
387,381.,Tim Laudner (9),31,R
388,381.,"Martin Maldonado (10, 33)",31,R
389,381.,Russ Nixon (12),31,R
390,381.,Yip Owens (4),31,R
391,381.,Aaron Robinson (8),31,R
392,381.,Mike Simon (7),31,R
393,381.,Jeff Torborg (10),31,R
394,381.,Bennie Warren (6),31,R
395,381.,"Mike Zunino (8, 29)",31,R
396,397.,Bob Barton (10),30,R
397,397.,Ryan Doumit (10),30,R
398,397.,Jorge Fabregas (9),30,R
399,397.,Toby Hall (9),30,R
