,Rank,"Player (yrs, age)",Triples,Bats
146,147.,Mike Mitchell (8),104,R
147,148.,Home Run Baker+ (13),103,L
148,148.,Tom Daly (17),103,B
149,148.,Charley Jones (12),103,R
150,151.,Luke Appling+ (20),102,R
151,151.,Bill Bruton (12),102,L
152,151.,Duff Cooley (13),102,L
153,151.,Jeff Heath (14),102,L
154,151.,King Kelly+ (16),102,R
155,151.,Danny Murphy (16),102,R
156,151.,Juan Samuel (16),102,R
157,158.,Cupid Childs (13),101,L
158,158.,Stuffy McInnis (19),101,R
159,158.,Sam West (16),101,L
160,161.,Dan McGann (12),100,B
161,161.,Hi Myers (14),100,R
162,163.,Larry Bowa (16),99,B
163,163.,Phil Cavarretta (22),99,L
164,163.,Jack Tobin (13),99,L
165,166.,Hank Aaron+ (23),98,R
166,166.,Andre Dawson+ (21),98,R
167,166.,Jack Glasscock (17),98,R
168,166.,Bill Phillips (10),98,R
169,166.,Deacon White+ (20),98,L
170,171.,Mike Donlin (12),97,L
171,171.,Herman Long (16),97,L
172,171.,Billy Shindle (13),97,R
173,171.,Ezra Sutton (18),97,R
174,175.,Bing Miller (16),96,R
175,175.,Joe Morgan+ (22),96,L
176,175.,Red Murray (11),96,R
177,175.,Cy Seymour (16),96,L
178,175.,Howie Shanks (14),96,R
179,175.,Amos Strunk (17),96,L
180,175.,Ichiro Suzuki (19),96,L
181,175.,Dixie Walker (18),96,L
182,175.,John Ward+ (17),96,L
183,184.,Lou Bierbauer (13),95,L
184,184.,Hughie Critz (12),95,R
185,184.,Curtis Granderson (16),95,L
186,184.,Billy Hamilton+ (14),95,L
187,184.,Bob Johnson (13),95,R
188,184.,Bob Meusel (11),95,R
189,184.,Germany Smith (15),95,R
190,191.,Jose Cruz (19),94,L
191,191.,Bob Elliott (15),94,R
192,191.,George Gore (14),94,L
193,191.,Baby Doll Jacobson (11),94,R
194,191.,Willie McGee (18),94,B
195,191.,Juan Pierre (14),94,L
196,197.,George Grantham (13),93,L
197,197.,Paul Hines (20),93,R
198,197.,Buddy Lewis (11),93,L
199,197.,Irish Meusel (11),93,R
200,197.,Ross Youngs+ (10),93,L
201,202.,Luis Aparicio+ (18),92,R
202,202.,Tony Fernandez (17),92,B
203,202.,Topsy Hartsel (14),92,L
204,202.,Tip O'Neill (10),92,R
205,202.,Joe Vosmik (13),92,R
206,202.,Walt Wilmot (10),92,B
207,208.,Dave Foutz (13),91,R
208,208.,Charlie Hickman (12),91,R
209,208.,Billy Southworth+ (13),91,L
210,208.,Andy Van Slyke (13),91,L
211,212.,Ernie Banks+ (19),90,R
212,212.,Jimmy Dykes (22),90,R
