,Rank,"Player (yrs, age)",Def. Games as OF,Throws
375,376.,Leon Wagner (12),1140,R
376,377.,Ken Landreaux (11),1138,R
377,378.,Dan Gladden (11),1137,R
378,379.,Rube Oldring (13),1131,R
379,379.,John Stone (11),1131,R
380,379.,Glenn Wilson (10),1131,R
381,382.,Gary Pettis (11),1128,R
382,383.,Ethan Allen (13),1123,R
383,384.,Nemo Leibold (13),1120,R
384,385.,Dave Collins (16),1118,L
385,385.,Al Smith (12),1118,R
386,387.,Billy Southworth+ (13),1115,R
387,388.,Adam Dunn (14),1113,R
388,389.,Carl Reynolds (13),1112,R
389,390.,"Bryce Harper (9, 27)",1111,R
390,390.,Cleon Jones (13),1111,L
391,392.,Mike Mitchell (8),1107,R
392,393.,Johnny Wyrostek (11),1105,R
393,394.,Jackie Brandt (11),1100,R
394,395.,Russ Snyder (12),1099,R
395,396.,Duff Cooley (13),1095,R
396,397.,Gary Ward (12),1094,R
397,398.,Tom Goodwin (14),1092,R
398,398.,Troy O'Leary (11),1092,L
399,398.,Alfonso Soriano (16),1092,R
