,Rank,"Player (yrs, age)",SB %,Bats
473,474.,Gary Geiger (12),68.132,L
474,474.,Felipe Lopez (11),68.132,B
475,476.,Bill Almon (15),68.085,R
476,476.,"Manny Machado (9, 27)",68.085,R
477,478.,Peter Bourjos (10),68.000,R
478,478.,Corey Hart (11),68.000,R
479,480.,Jason Kendall (15),67.986,R
480,481.,Gerald Young (8),67.982,B
481,482.,Pat Kelly (15),67.935,L
482,483.,Bud Harrelson (16),67.914,B
483,484.,Aaron Hill (13),67.890,R
484,485.,Jim Busby (13),67.832,R
485,486.,Tony Taylor (19),67.826,R
486,486.,Randy Velarde (16),67.826,R
487,488.,Al Kaline+ (22),67.822,R
488,489.,Pat Kelly (9),67.778,R
489,489.,Dan Meyer (12),67.778,L
490,489.,Alex Sanchez (5),67.778,L
491,492.,Tommy McCraw (13),67.773,L
492,493.,Craig Counsell (16),67.763,L
493,494.,Jerry Remy (10),67.752,L
494,495.,Gene Alley (11),67.742,R
495,496.,Larry Hisle (14),67.725,R
496,497.,Shane Mack (9),67.669,R
497,498.,Cesar Tovar (12),67.665,R
498,499.,Dante Bichette (14),67.556,R
499,500.,Yasiel Puig (7),67.521,R
500,501.,Cesar Izturis (13),67.485,B
501,502.,Ralph Garr (13),67.451,L
502,503.,George Brett+ (21),67.450,L
503,504.,Kevin Bass (14),67.411,B
504,505.,Alejandro De Aza (10),67.407,L
505,506.,Mark Reynolds (13),67.368,R
506,507.,Pedro Guerrero (15),67.361,R
507,508.,Joe Foy (6),67.347,R
508,508.,"Nick Markakis (15, 36)",67.347,L
509,510.,Tommie Agee (12),67.339,R
510,511.,Jamey Carroll (12),67.273,R
511,511.,Mike Hershberger (11),67.273,R
512,513.,Tony Bernazard (10),67.262,B
513,514.,Greg Vaughn (15),67.222,R
514,515.,Cesar Geronimo (15),67.213,L
515,516.,Ken Henderson (16),67.188,B
516,517.,Damion Easley (17),67.059,R
517,517.,Michael Tucker (12),67.059,L
518,517.,Jerry White (11),67.059,B
519,520.,Jerry Kenney (6),67.045,L
520,521.,"DJ LeMahieu (10, 31)",66.935,R
521,522.,Quinton McCracken (12),66.917,B
522,523.,Alex Gonzalez (13),66.897,R
523,523.,Zoilo Versalles (12),66.897,R
524,525.,Jim Piersall (17),66.860,R
525,526.,Eddie Milner (9),66.820,L
526,527.,Jerome Walton (10),66.667,R
527,527.,Rondell White (15),66.667,R
528,529.,Roy White (15),66.571,B
529,530.,Jerry Royster (16),66.549,R
530,531.,Ivan Rodriguez+ (21),66.492,R
531,532.,Reggie Jackson+ (21),66.472,L
532,533.,Carl Everett (14),66.460,B
533,534.,Herm Winningham (9),66.456,L
534,535.,Russell Martin (14),66.447,R
535,536.,Ivan Calderon (10),66.438,R
536,537.,Corey Koskie (9),66.355,L
537,538.,Torii Hunter (19),66.327,R
538,539.,Eric Karros (14),66.292,R
539,539.,Nelson Liriano (11),66.292,B
540,541.,Orlando Merced (13),66.279,B
541,542.,Daryl Boston (11),66.216,L
542,543.,Matty Alou (15),66.102,L
543,543.,Joey Cora (11),66.102,B
544,543.,Mark Whiten (11),66.102,B
545,546.,Dave Martinez (16),66.065,L
546,547.,Richie Ashburn+ (15),66.052,L
547,548.,David Green (6),66.019,R
548,549.,Bill Madlock (15),65.909,R
549,550.,Paul O'Neill (17),65.888,L
550,551.,Troy Glaus (13),65.882,R
551,552.,Bobby Tolan (13),65.870,L
552,553.,David Murphy (10),65.854,L
553,554.,Vladimir Guerrero+ (16),65.818,R
554,555.,Brad Ausmus (18),65.806,R
555,556.,"Todd Frazier (10, 34)",65.766,R
556,557.,Enos Cabell (15),65.746,R
557,558.,Lou Whitaker (19),65.596,L
558,559.,Don Buford (10),65.574,B
559,560.,Lenny Green (12),65.546,L
560,561.,Scott Brosius (11),65.517,R
561,561.,Jim Fregosi (18),65.517,R
562,563.,Cleon Jones (13),65.468,R
563,564.,Travis Fryman (13),65.455,R
564,564.,Fred McGriff (19),65.455,L
565,566.,Gerald Perry (13),65.438,L
566,567.,Mike Schmidt+ (18),65.414,R
567,568.,Mitchell Page (8),65.409,L
568,569.,Rod Carew+ (19),65.370,L
569,570.,Curt Wilkerson (11),65.323,B
570,571.,Magglio Ordonez (15),65.278,R
571,572.,Dusty Baker (19),65.238,R
572,573.,Garry Templeton (16),65.229,B
573,574.,John Kruk (10),65.169,L
574,575.,Adolfo Phillips (8),65.079,R
575,576.,Jeff Conine (17),65.060,R
576,577.,George Bell (12),65.049,R
577,577.,Bob Skinner (12),65.049,L
578,579.,Mike Greenwell (12),65.041,L
579,580.,Gerald Williams (14),65.031,R
580,581.,Johnnie LeMaster (12),64.828,R
581,582.,Paul Blair (17),64.773,R
582,583.,Cristian Guzman (11),64.767,B
