,Rank,"Player (yrs, age)",Strikeouts,Throws
84,85.,Kevin Appier (16),1994,R
85,86.,Johan Santana (12),1988,L
86,87.,Red Ruffing+ (22),1987,R
87,88.,"David Price (12, 34)",1981,L
88,89.,John Clarkson+ (12),1978,R
89,90.,Liván Hernández (17),1976,R
90,91.,Al Leiter (19),1974,L
91,92.,Bob Welch (17),1969,R
92,93.,Kenny Rogers (20),1968,L
93,94.,Whitey Ford+ (16),1956,L
94,95.,Bobby Witt (16),1955,R
95,96.,Amos Rusie+ (10),1950,R
96,97.,Danny Darwin (21),1942,R
97,98.,Tom Gordon (21),1928,R
98,99.,Ervin Santana (15),1926,R
99,100.,Hideo Nomo (12),1918,R
100,101.,Jerry Reuss (22),1907,L
101,102.,Josh Beckett (14),1901,R
102,103.,Barry Zito (15),1885,L
103,104.,Kid Nichols+ (15),1881,R
104,105.,Mark Buehrle (16),1870,L
105,106.,"Gio Gonzalez (13, 34)",1860,L
106,107.,Roy Oswalt (13),1852,R
107,108.,Mickey Welch+ (13),1850,R
108,109.,Frank Viola (15),1844,L
109,110.,Aaron Harang (14),1842,R
110,111.,Old Hoss Radbourn+ (12),1830,R
111,111.,"Adam Wainwright (15, 38)",1830,R
112,113.,"Madison Bumgarner (12, 30)",1824,L
113,113.,Cliff Lee (13),1824,L
114,115.,"Francisco Liriano (14, 36)",1815,L
115,116.,Randy Wolf (16),1814,L
116,117.,Pud Galvin+ (15),1807,R
117,118.,Tony Mullane (13),1803,R
118,119.,Hal Newhouser+ (17),1796,L
119,120.,Ron Guidry (14),1778,L
120,121.,John Burkett (15),1766,R
121,122.,Rudy May (16),1760,L
122,123.,Jason Schmidt (14),1758,R
123,124.,Joe Niekro (22),1747,R
124,125.,Sid Fernandez (15),1743,L
125,126.,Dave Stewart (16),1741,R
126,127.,Tim Lincecum (10),1736,R
127,127.,Ed Walsh+ (14),1736,R
128,129.,Tom Candiotti (16),1735,R
129,130.,Bob Friend (16),1734,R
130,131.,Joe Coleman (15),1728,R
131,131.,Milt Pappas (17),1728,R
132,133.,Kevin Gross (15),1727,R
133,134.,"Anibal Sanchez (15, 36)",1726,R
134,135.,Floyd Bannister (15),1723,L
135,136.,Derek Lowe (17),1722,R
136,137.,Ubaldo Jimenez (12),1720,R
137,138.,Chan Ho Park (17),1715,R
138,138.,Bret Saberhagen (16),1715,R
139,140.,Chief Bender+ (16),1711,R
140,141.,Larry Jackson (14),1709,R
141,142.,Jim McCormick (10),1704,R
142,143.,Bob Veale (13),1703,L
143,144.,Red Ames (17),1702,R
144,145.,Charlie Buffinton (11),1700,R
145,146.,Chris Carpenter (15),1697,R
146,146.,Curt Simmons (20),1697,L
147,146.,"Stephen Strasburg (11, 31)",1697,R
148,149.,Matt Cain (13),1694,R
149,150.,Bruce Hurst (15),1689,L
150,151.,Ted Lilly (15),1681,L
151,152.,Rick Sutcliffe (18),1679,R
152,153.,Carl Hubbell+ (16),1677,L
153,154.,Tommy Bridges (16),1674,R
154,155.,John Candelaria (19),1673,L
155,156.,Dave Stieb (16),1669,R
156,157.,Darryl Kile (12),1668,R
157,158.,Mike Moore (14),1667,R
158,158.,Gus Weyhing (14),1667,R
159,160.,Pedro Astacio (15),1664,R
160,161.,Vic Willis+ (13),1651,R
161,162.,"Ian Kennedy (14, 35)",1648,R
162,163.,Rick Wise (18),1647,R
163,164.,Jeff Fassero (16),1643,L
164,165.,Al Downing (17),1639,L
165,166.,Carlos Zambrano (12),1637,R
166,167.,Mike Cuellar (15),1632,L
167,168.,Chris Short (15),1629,L
168,169.,Andy Messersmith (12),1625,R
169,170.,Freddy Garcia (15),1621,R
170,170.,Jack Powell (16),1621,R
171,170.,Steve Rogers (13),1621,R
172,170.,Jered Weaver (12),1621,R
173,174.,Kyle Lohse (16),1615,R
174,175.,Ray Sadecki (18),1614,L
175,176.,"Johnny Cueto (13, 34)",1612,R
176,176.,Claude Osteen (18),1612,L
177,178.,Scott Sanderson (19),1611,R
178,179.,Hoyt Wilhelm+ (21),1610,R
179,180.,Scott Kazmir (12),1608,L
180,181.,Jose Rijo (14),1606,R
181,182.,Jim Maloney (12),1605,R
182,183.,Ken Holtzman (15),1601,L
183,184.,Jose DeLeon (13),1594,R
184,184.,Doug Drabek (13),1594,R
185,186.,Rube Marquard+ (18),1593,L
186,187.,Steve Trachsel (16),1591,R
187,188.,Ron Darling (13),1590,R
188,189.,Woodie Fryman (18),1587,L
189,189.,Todd Stottlemyre (14),1587,R
190,191.,Yovani Gallardo (12),1584,R
191,192.,Kerry Wood (14),1582,R
192,193.,Jim Perry (17),1576,R
193,194.,Harvey Haddix (14),1575,L
194,195.,Bronson Arroyo (16),1571,R
195,195.,Jim Whitney (10),1571,R
196,197.,"Rick Porcello (12, 31)",1561,R
197,198.,Jon Lieber (14),1553,R
198,198.,Adonis Terry (14),1553,R
199,200.,Bill Donovan (18),1552,R
200,201.,Greg Swindell (17),1542,L
201,202.,"Oliver Perez (18, 38)",1541,L
202,203.,"J.A. Happ (14, 37)",1539,L
203,204.,Jimmy Key (15),1538,L
204,205.,Dean Chance (11),1534,R
205,205.,Virgil Trucks (17),1534,R
206,207.,Doyle Alexander (19),1528,R
207,207.,Bobby Mathews (15),1528,R
208,209.,Juan Pizarro (18),1522,L
209,210.,Tim Belcher (14),1519,R
210,211.,Jon Matlack (13),1516,L
211,212.,Toad Ramsey (6),1515,L
212,212.,Bill Singer (14),1515,R
213,214.,Ricky Nolasco (12),1513,R
214,215.,Burleigh Grimes+ (19),1512,R
215,215.,Dave McNally (14),1512,L
216,215.,Sonny Siebert (12),1512,R
217,218.,"Edwin Jackson (17, 36)",1508,R
218,219.,Paul Derringer (15),1507,R
219,220.,Rich Gossage+ (22),1502,R
220,221.,Larry Dierker (14),1493,R
221,221.,J.R. Richard (10),1493,R
222,223.,Mike Flanagan (18),1491,L
223,223.,Burt Hooton (15),1491,R
224,225.,George Mullin (14),1482,R
225,225.,Kevin Tapani (13),1482,R
226,227.,Ron Reed (19),1481,R
227,228.,Woody Williams (15),1480,R
228,229.,Mike Krukow (14),1478,R
229,230.,R.A. Dickey (15),1477,R
230,231.,Jim Lonborg (15),1475,R
231,232.,Bob Knepper (15),1473,L
232,233.,Red Faber+ (20),1471,R
233,234.,Mike Scott (13),1469,R
234,235.,Lefty Gomez+ (14),1468,L
235,236.,Brad Radke (12),1467,R
236,237.,"Corey Kluber (10, 34)",1462,R
237,238.,Charlie Root (17),1459,R
238,239.,Steve Renko (15),1455,R
239,240.,Earl Wilson (11),1452,R
240,241.,"Jeff Samardzija (13, 35)",1449,R
241,241.,Mario Soto (12),1449,R
242,243.,Johnny Podres (15),1435,L
243,244.,"Gerrit Cole (8, 29)",1430,R
244,245.,Jason Hammel (13),1428,R
245,246.,Ramon Martinez (14),1427,R
246,247.,Allie Reynolds (13),1423,R
247,248.,Jim Clancy (15),1422,R
248,249.,Gary Peters (14),1420,L
249,250.,Rick Rhoden (16),1419,R
250,251.,Hippo Vaughn (13),1416,L
251,252.,"Lance Lynn (9, 33)",1415,R
252,252.,Denny Neagle (13),1415,L
253,254.,Ray Culp (11),1411,R
254,254.,Wilbur Wood (17),1411,L
255,256.,Aaron Sele (15),1407,R
256,257.,Mike Torrez (18),1404,R
257,258.,Earl Moore (14),1403,R
258,258.,Mike Morgan (22),1403,R
259,258.,Shane Reynolds (13),1403,R
260,261.,Dave Burba (15),1398,R
261,262.,"Yu Darvish (8, 33)",1392,R
262,263.,Jeff Suppan (17),1390,R
263,264.,Mike Hampton (16),1387,L
264,265.,Doc White (13),1384,L
265,266.,Esteban Loaiza (14),1382,R
266,267.,Matt Garza (12),1380,R
267,268.,Brett Myers (12),1379,R
268,269.,Gary Bell (12),1378,R
269,270.,Sam Jones (12),1376,R
270,271.,Mordecai Brown+ (14),1375,R
271,272.,Eddie Cicotte (14),1374,R
272,273.,Mike Witt (12),1373,R
273,274.,Joe Nuxhall (16),1372,L
274,275.,Mark Gubicza (14),1371,R
275,276.,Pete Harnisch (14),1368,R
276,276.,Tom Hughes (13),1368,R
277,278.,Lindy McDaniel (21),1361,R
278,279.,Bob Shawkey (15),1360,R
279,280.,Stan Bahnsen (16),1359,R
280,280.,"Jacob deGrom (7, 32)",1359,R
281,282.,"Jake Arrieta (11, 34)",1350,R
282,282.,Eppa Rixey+ (21),1350,L
283,282.,Earl Whitehill (17),1350,L
284,285.,"Chris Archer (8, 31)",1349,R
285,285.,Mark Baldwin (7),1349,R
286,287.,Wilson Alvarez (14),1330,L
287,287.,Mike Boddicker (14),1330,R
288,289.,Jack Quinn (23),1329,R
289,290.,Terry Mulholland (20),1325,L
290,290.,Ben Sheets (10),1325,R
291,292.,Dennis Leonard (12),1323,R
292,292.,"Edinson Volquez (15, 36)",1323,R
293,294.,Mike McCormick (16),1321,L
294,295.,Bullet Joe Bush (17),1318,R
295,295.,Bump Hadley (16),1318,R
296,297.,Jack McDowell (12),1311,R
297,298.,Kelvim Escobar (12),1310,R
298,298.,"Jose Quintana (9, 31)",1310,L
299,300.,Steve Barber (15),1309,L
300,301.,"Carlos Carrasco (11, 33)",1305,R
301,301.,Denny Lemaster (11),1305,L
302,301.,Pedro Ramos (15),1305,R
303,301.,Stan Williams (14),1305,R
304,305.,Fred Norman (16),1303,L
305,306.,Pat Dobson (11),1301,R
306,307.,Rollie Fingers+ (17),1299,R
307,308.,Diego Segui (15),1298,R
308,309.,Johnny Vander Meer (13),1294,L
309,310.,Pat Hentgen (14),1290,R
310,311.,Joe Blanton (13),1284,R
311,311.,John Smiley (12),1284,L
312,313.,Don Wilson (9),1283,R
313,314.,Denny McLain (10),1282,R
314,315.,Murry Dickson (18),1281,R
315,315.,Wandy Rodriguez (11),1281,L
316,317.,"Trevor Bauer (9, 29)",1279,R
317,317.,Doug Davis (13),1279,L
318,317.,Bill Gullickson (14),1279,R
319,320.,Bob Lemon+ (15),1277,R
320,321.,"Charlie Morton (13, 36)",1276,R
321,322.,Brad Penny (14),1273,R
322,322.,Jorge De La Rosa (15),1273,L
323,324.,"Jordan Zimmermann (12, 34)",1271,R
324,325.,Bob Buhl (15),1268,R
325,326.,Mudcat Grant (14),1267,R
326,327.,Ed Whitson (15),1266,R
327,328.,Jack Chesbro+ (11),1265,R
328,328.,Bob Turley (12),1265,R
329,330.,Darren Oliver (20),1259,L
330,330.,C.J. Wilson (11),1259,L
331,332.,Mel Stottlemyre (11),1257,R
332,333.,Mark Gardner (13),1256,R
333,333.,Dizzy Trout (15),1256,R
334,335.,Wilbur Cooper (15),1252,L
335,335.,Scott Erickson (15),1252,R
336,335.,Alex Fernandez (10),1252,R
337,338.,Don Robinson (15),1251,R
338,338.,Lee Smith+ (18),1251,R
339,340.,Miguel Batista (18),1250,R
340,341.,Erik Bedard (11),1246,L
341,342.,Bob Rush (13),1244,R
342,343.,Juan Guzman (10),1243,R
343,344.,Van Mungo (14),1242,R
344,344.,Charles Nagy (14),1242,R
345,346.,Bill Hutchison (9),1235,R
346,347.,"Mike Leake (10, 32)",1231,R
347,348.,Herb Pennock+ (22),1227,L
348,349.,Danny Jackson (15),1225,L
349,350.,Sad Sam Jones (22),1223,R
350,350.,Jack Stivetts (11),1223,R
351,352.,Silver King (10),1222,R
352,353.,Matt Clement (9),1217,R
353,353.,Ed Morris (7),1217,L
354,353.,Nap Rucker (10),1217,L
355,356.,Matt Morris (11),1214,R
356,356.,Jeff Weaver (11),1214,R
357,358.,Don Cardwell (14),1211,R
358,359.,Shawn Estes (13),1210,L
359,360.,Brett Tomko (14),1209,R
360,361.,Waite Hoyt+ (21),1206,R
361,362.,"Julio Teheran (10, 29)",1204,R
362,363.,Hooks Dauss (15),1201,R
363,364.,Chris Capuano (12),1199,L
364,365.,Billy Wagner (16),1196,L
365,366.,"Patrick Corbin (8, 30)",1195,L
366,367.,Russ Ortiz (12),1192,R
367,368.,Jim Slaton (16),1191,R
368,369.,"Derek Holland (12, 33)",1190,L
369,370.,Jamey Wright (19),1189,R
370,371.,Larry French (14),1187,L
371,372.,Jack Sanford (12),1182,R
372,373.,Ken Hill (14),1181,R
373,374.,Jesse Orosco (24),1179,L
374,374.,Marty Pattin (13),1179,R
375,376.,Turk Farrell (14),1177,R
376,377.,Bobby Bolin (13),1175,R
377,377.,Erik Hanson (11),1175,R
378,379.,Jason Marquis (15),1174,R
379,380.,Andy Ashby (14),1173,R
380,380.,Mariano Rivera+ (19),1173,R
381,380.,Ismael Valdez (12),1173,R
382,383.,Matt Kilroy (10),1170,L
383,383.,Dutch Leonard (20),1170,R
384,385.,Cy Falkenberg (12),1164,R
385,385.,Stu Miller (16),1164,R
386,387.,Nelson Briles (14),1163,R
387,387.,Dizzy Dean+ (12),1163,R
388,389.,Johnny Antonelli (12),1162,L
389,389.,Moe Drabowsky (17),1162,R
390,391.,Mel Harder (20),1161,R
391,392.,Dutch Leonard (11),1160,L
392,393.,Bob Groom (10),1159,R
393,394.,Johnny Klippstein (18),1158,R
394,395.,"Homer Bailey (14, 34)",1157,R
395,396.,Jon Garland (13),1156,R
396,397.,Bud Norris (10),1153,R
397,398.,Arthur Rhodes (20),1152,L
398,399.,Jason Vargas (14),1147,L
399,400.,John Denny (13),1146,R
400,401.,Dick Ruthven (14),1145,R
401,402.,Octavio Dotel (15),1143,R
402,403.,Francisco Rodriguez (16),1142,R
403,404.,Jack Billingham (13),1141,R
404,404.,Greg Harris (15),1141,R
405,406.,Bruce Chen (17),1140,L
406,406.,Dick Ellsworth (13),1140,L
407,406.,Billy Hoeft (15),1140,L
408,406.,Lon Warneke (15),1140,R
409,410.,Ed Reulbach (13),1137,R
410,410.,Milt Wilcox (16),1137,R
411,412.,Dock Ellis (12),1136,R
412,413.,George Uhle (17),1135,R
413,414.,Mark Portugal (15),1134,R
414,415.,Ice Box Chamberlain (10),1133,R
415,415.,Bob Forsch (16),1133,R
416,415.,Trevor Hoffman+ (18),1133,R
417,415.,Billy O'Dell (13),1133,L
418,419.,Dolf Luque (20),1130,R
419,420.,Don Newcombe (10),1129,R
420,421.,Bill Hands (11),1128,R
421,421.,Bob Ojeda (15),1128,L
422,423.,Bill Dinneen (12),1127,R
423,423.,"Wade Miley (10, 33)",1127,L
424,423.,Eric Milton (11),1127,L
425,426.,Bill Monbouquette (11),1122,R
426,427.,Charlie Leibrandt (14),1121,L
427,427.,Vicente Padilla (14),1121,R
428,429.,Tony Cloninger (12),1120,R
429,430.,"Trevor Cahill (12, 32)",1119,R
430,431.,Mike Garcia (14),1117,R
431,432.,Jaime Navarro (12),1113,R
432,433.,Dave Righetti (16),1112,L
433,434.,Guy Hecker (9),1110,R
434,435.,Tug McGraw (19),1109,L
435,436.,Bucky Walters (19),1107,R
436,437.,Dave Goltz (12),1105,R
437,438.,Claude Passeau (13),1104,R
438,439.,Larry Corcoran (8),1103,R
439,439.,Dave Giusti (15),1103,R
440,439.,Jarrod Washburn (12),1103,L
441,442.,John Danks (10),1102,L
442,443.,Frank Castillo (13),1101,R
443,444.,Frank Lary (12),1099,R
444,445.,Chick Fraser (14),1098,R
445,446.,Marco Estrada (12),1094,R
446,447.,Claude Hendrix (10),1092,R
447,447.,Vern Law (16),1092,R
448,447.,Melido Perez (9),1092,R
449,450.,Carl Pavano (14),1091,R
450,451.,Glendon Rusch (12),1088,L
451,452.,Orlando Hernandez (9),1086,R
452,453.,Rube Walberg (15),1085,L
453,454.,Teddy Higuera (9),1081,L
454,454.,John Montefusco (13),1081,R
455,454.,Eric Plunk (14),1081,R
456,457.,Jim Bibby (12),1079,R
457,458.,"Dallas Keuchel (9, 32)",1078,L
458,459.,Lew Burdette (18),1074,R
459,460.,Bruce Kison (15),1073,R
460,460.,Ted Lyons+ (21),1073,R
461,462.,Bobby Shantz (16),1072,L
462,463.,Johnny Allen (13),1070,R
463,463.,Pretzels Getzien (9),1070,R
464,465.,Joe McGinnity+ (10),1068,R
465,466.,"Jhoulys Chacin (12, 32)",1067,R
466,467.,"Sonny Gray (8, 30)",1066,R
467,468.,Ray Burris (15),1065,R
468,468.,Joe Horlen (12),1065,R
469,468.,Steve Stone (11),1065,R
470,468.,Brandon Webb (7),1065,R
471,472.,Lee Meadows (15),1063,R
472,472.,Dan Petry (13),1063,R
473,474.,Chris Young (13),1062,R
474,475.,Clay Kirby (8),1061,R
475,476.,Chris Bosio (11),1059,R
476,477.,Joaquin Benoit (16),1058,R
477,477.,Rick Helling (12),1058,R
478,477.,Joel Pineiro (12),1058,R
479,480.,Paul Splittorff (15),1057,L
480,481.,Tom Griffin (14),1054,R
481,482.,Chad Billingsley (9),1052,R
482,482.,Jack Coombs (14),1052,R
483,484.,Frank Smith (11),1051,R
484,485.,Gil Meche (10),1050,R
485,486.,Storm Davis (13),1048,R
486,486.,"Mike Minor (9, 32)",1048,L
487,488.,Ken Forsch (16),1047,R
488,489.,Jeremy Guthrie (13),1046,R
489,490.,Ken Johnson (13),1042,R
490,490.,"Robbie Ray (7, 28)",1042,L
491,492.,Dan Plesac (18),1041,L
492,492.,Will White (10),1041,R
493,494.,Phil Hughes (12),1040,R
494,495.,Bud Black (15),1039,L
495,495.,Gary Nolan (10),1039,R
496,495.,Jim O'Toole (10),1039,L
497,498.,Rick Honeycutt (21),1038,L
498,498.,Jose Mesa (19),1038,R
499,500.,Babe Adams (19),1036,R
500,500.,John Hiller (15),1036,L
501,502.,"Rich Hill (16, 40)",1035,L
502,503.,Joaquin Andujar (13),1032,R
503,504.,Sidney Ponson (12),1031,R
504,505.,Rick Aguilera (16),1030,R
505,505.,Howard Ehmke (15),1030,R
506,507.,Bryn Smith (13),1028,R
507,508.,Clay Buchholz (13),1024,R
508,508.,Pat Malone (10),1024,R
509,510.,Jack Fisher (11),1017,R
510,511.,Fritz Peterson (11),1015,L
511,512.,Bill Doak (16),1014,R
512,513.,Mat Latos (9),1011,R
513,513.,Zane Smith (13),1011,L
514,515.,Mark Davis (15),1007,L
515,516.,Ray Caldwell (12),1006,R
516,516.,Michael Jackson (17),1006,R
517,518.,Justin Masterson (8),1004,R
518,519.,Kirk McCaskill (12),1003,R
519,519.,Don McMahon (18),1003,R
520,519.,Lefty Tyler (12),1003,L
521,522.,George Earnshaw (9),1002,R
522,523.,Tom Browning (12),1000,L
523,523.,Ralph Terry (12),1000,R
524,525.,Joey Jay (13),999,R
525,526.,Bob Ewing (11),998,R
526,526.,Bill Lee (14),998,R
527,528.,Sterling Hitchcock (13),997,L
528,529.,"Jake Odorizzi (9, 30)",995,R
529,530.,Joe Dobson (14),992,R
530,531.,Shane Rawley (12),991,L
531,531.,"Masahiro Tanaka (7, 31)",991,R
532,533.,"Mike Fiers (10, 35)",990,R
533,534.,Ron Kline (17),989,R
534,534.,Smoky Joe Wood (14),989,R
535,536.,John Tudor (12),988,L
536,537.,Dick Drago (13),987,R
537,538.,Harry Howell (13),986,R
538,538.,Hiroki Kuroda (7),986,R
539,540.,Bill Bonham (10),985,R
540,540.,Wes Ferrell (15),985,R
541,540.,Gavin Floyd (13),985,R
542,543.,Paul Maholm (10),984,L
543,544.,"Danny Duffy (10, 31)",983,L
544,544.,LaTroy Hawkins (21),983,R
545,544.,Urban Shocker (13),983,R
546,547.,Stan Coveleski+ (14),981,R
547,547.,Carl Erskine (12),981,R
548,547.,Jesse Haines+ (19),981,R
549,550.,Steve Avery (11),980,L
550,550.,Jose Lima (13),980,R
551,552.,Joe Nathan (16),976,R
552,552.,Jim Rooker (13),976,L
553,552.,David Weathers (19),976,R
554,555.,Len Barker (11),975,R
555,555.,Juan Berenguer (15),975,R
556,555.,John Franco (21),975,L
557,555.,Dick Tidrow (13),975,R
558,559.,Richard Dotson (12),973,R
559,560.,Tommy Bond (10),972,R
560,561.,Kirby Higbe (12),971,R
561,561.,Eric Show (11),971,R
562,563.,Doug Fister (10),970,R
563,563.,Rick Reed (15),970,R
564,565.,Sadie McMahon (9),967,R
565,566.,Jake Westbrook (13),965,R
566,566.,Hooks Wiltse (12),965,L
567,568.,Kyle Farnsworth (16),963,R
568,568.,"Ivan Nova (11, 33)",963,R
569,568.,Kip Wells (12),963,R
570,571.,Jeremy Bonderman (9),961,R
571,571.,Colby Lewis (11),961,R
572,573.,Frank Sullivan (11),959,R
573,574.,Dave Roberts (13),957,L
574,575.,Preacher Roe (12),956,L
575,576.,Clark Griffith+ (21),955,R
576,576.,Doc Medich (11),955,R
577,578.,Rick Mahler (13),952,R
578,579.,Jim Deshaies (12),951,L
579,580.,Rube Benton (15),950,L
580,580.,Dupee Shaw (6),950,L
581,582.,Rich Harden (9),949,R
582,583.,Al Orth (15),948,R
583,583.,Tom Underwood (11),948,L
584,585.,Armando Benitez (15),946,R
585,586.,Roberto Hernandez (17),945,R
586,586.,Jim Scott (9),945,R
587,588.,Vic Raschi (10),944,R
588,588.,Jesse Tannehill (15),944,L
589,590.,Fernando Rodney (17),943,R
590,591.,Gene Garber (19),940,R
591,591.,Larry McWilliams (13),940,L
592,593.,Mike Caldwell (14),939,L
593,593.,Cal Eldred (14),939,R
594,593.,Lynn McGlothen (11),939,R
595,593.,"Andrew Miller (15, 35)",939,L
596,597.,Thornton Lee (16),937,L
597,598.,"Kenley Jansen (11, 32)",936,R
598,599.,Orval Overall (7),935,R
599,600.,"Kevin Gausman (8, 29)",934,R
600,600.,Howie Pollet (14),934,L
601,600.,Bill Stoneman (8),934,R
602,603.,Jim Merritt (11),932,L
603,603.,Don Mossi (12),932,L
604,605.,"Tyler Clippard (14, 35)",931,R
605,605.,"Tanner Roark (8, 33)",931,R
606,607.,Reggie Cleveland (13),930,R
607,607.,Hardie Henderson (6),930,R
608,609.,Jeremy Hellickson (10),929,R
609,609.,Deacon Phillippe (13),929,R
610,609.,Walt Terrell (11),929,R
611,612.,Larry Cheney (9),926,R
612,612.,"Craig Kimbrel (11, 32)",926,R
613,614.,Jaime Garcia (10),925,L
614,614.,Pete Richert (13),925,L
615,614.,Ron Villone (15),925,L
616,617.,Paul Byrd (14),923,R
617,618.,"Aaron Nola (6, 27)",922,R
618,619.,Steve Bedrosian (14),921,R
619,619.,George Brunet (15),921,L
620,619.,Don Gullett (9),921,L
621,619.,Willie Mitchell (11),921,L
622,623.,Jason Bere (11),920,R
623,623.,Syl Johnson (19),920,R
624,623.,Addie Joss+ (9),920,R
625,623.,Odalis Perez (10),920,L
626,623.,John Ward+ (17),920,R
627,628.,Vinegar Bend Mizell (9),918,L
628,629.,Noodles Hahn (8),917,L
629,629.,Kent Mercker (18),917,L
630,631.,Howie Camnitz (11),915,R
631,631.,Josh Johnson (9),915,R
632,633.,Jon Niese (9),914,L
633,634.,Mort Cooper (11),913,R
634,634.,Schoolboy Rowe (15),913,R
635,636.,Johnny Sain (11),910,R
636,636.,Stump Weidman (9),910,R
637,638.,Doug Jones (16),909,R
638,639.,Brandon McCarthy (13),908,R
639,640.,Kevin Correia (13),906,R
640,640.,Hal Schumacher (13),906,R
641,642.,"Aroldis Chapman (11, 32)",905,L
642,643.,Steve Gromek (17),904,R
643,643.,Scott McGregor (13),904,L
644,645.,"Kyle Gibson (8, 32)",903,R
645,646.,Harry Brecheen (12),901,L
646,646.,Andrew Cashner (10),901,R
647,646.,Jouett Meekin (10),901,R
648,649.,Bob Caruthers (10),900,R
649,649.,Ryan Vogelsong (12),900,R
650,651.,Chuck Stobbs (15),897,L
651,652.,Steve Blass (10),896,R
652,652.,Dontrelle Willis (9),896,L
653,654.,Bob Miller (17),895,R
654,654.,Ramon Ortiz (12),895,R
655,654.,Mike Stanton (19),895,L
656,657.,Joey Hamilton (10),894,R
657,657.,Ben McDonald (9),894,R
658,659.,Theodore Breitenstein (11),893,L
659,660.,Mark Leiter (11),892,R
660,661.,"Wade Davis (12, 34)",891,R
661,661.,Steve Hargan (12),891,R
662,663.,José Contreras (11),889,R
663,663.,Jose Guzman (8),889,R
664,663.,Grant Jackson (18),889,L
665,666.,Jim Abbott (10),888,L
666,666.,Gene Conley (11),888,R
667,666.,Tim Leary (13),888,R
668,669.,Bobby Jones (10),887,R
669,670.,Randy Myers (14),884,L
670,671.,Dave Boswell (8),882,R
671,671.,Scott Feldman (13),882,R
