,Rank,"Player (yrs, age)",Def. Games as C,Throws
325,325.,Farmer Vaughn (13),553,R
326,327.,Morgan Murphy (11),552,R
327,328.,Sam Agnew (7),551,R
328,328.,Ray Berres (11),551,R
329,330.,Con Daily (12),548,R
330,330.,Hal Smith (7),548,R
331,332.,Kelly Shoppach (9),547,R
332,333.,Jack Boyle (13),544,R
333,333.,Hank Foiles (11),544,R
334,335.,Mike Napoli (12),539,R
335,336.,Bill Holbert (12),538,R
336,337.,Mike Difelice (13),533,R
337,337.,Johnny Oates (11),533,R
338,339.,Ryan Doumit (10),530,R
339,339.,Ed Phelps (11),530,R
340,341.,Moe Berg (15),529,R
341,342.,Dick Dietz (8),528,R
342,342.,Ronny Paulino (8),528,R
343,342.,Lenny Webster (12),528,R
344,345.,Josh Bard (10),527,R
345,345.,Mike Grady (11),527,R
346,345.,Jack Ryan (13),527,R
347,348.,Jerry May (10),525,R
348,348.,Jamie Quirk (18),525,R
349,350.,Bill Haselman (13),524,R
350,351.,Tony Eusebio (9),522,R
351,351.,Doug Mirabelli (12),522,R
352,353.,Johnny Peacock (9),518,R
353,354.,Jeff Newman (9),513,R
354,355.,Joe Astroth (10),511,R
355,356.,"Drew Butera (11, 36)",509,R
356,357.,Ramon Castro (13),503,R
357,357.,Jack Lapp (9),503,R
358,359.,Ed Ott (8),502,R
359,360.,Andy Allanson (8),501,R
360,360.,Eddie Perez (11),501,R
361,362.,Jerry McNertney (9),493,R
362,362.,Gabby Street (8),493,R
363,364.,"Travis d'Arnaud (8, 31)",489,R
364,365.,Paul Richards (8),486,R
365,366.,Larry Woodall (10),484,R
366,367.,Mickey Livingston (10),483,R
367,368.,Mike Guerra (9),482,R
368,369.,"Rene Rivera (12, 36)",481,R
369,369.,Steve Swisher (9),481,R
370,369.,Jerry Zimmerman (8),481,R
371,372.,Tom Prince (17),478,R
372,373.,Dick Buckley (8),477,R
373,374.,Matt Batts (10),474,R
374,374.,Chad Moeller (11),474,R
375,376.,John Clapp (11),472,R
376,377.,Glenn Borgmann (9),471,R
377,378.,Bob Kearney (8),469,R
378,379.,Bennie Tate (10),468,R
379,380.,Rube Walker (11),466,R
380,381.,Ben Davis (7),465,R
381,381.,Tom Needham (11),465,R
382,383.,Nig Clarke (9),462,R
383,383.,Roxy Walters (11),462,R
384,385.,Tim Donahue (8),461,R
385,385.,Larry Haney (12),461,R
386,387.,Ted Easterly (7),459,R
387,387.,Jake Gibbs (10),459,R
388,389.,Harry Chiti (10),458,R
389,389.,Barney Gilligan (10),458,R
390,389.,Deacon White+ (20),458,R
391,392.,Chris Bando (9),457,R
392,392.,Carl Sawatski (11),457,R
393,394.,Earl Williams (8),456,R
394,395.,Humberto Quintero (12),454,R
395,396.,Matt Treanor (9),453,R
396,397.,Ira Thomas (10),450,R
397,398.,Kenji Johjima (4),447,R
398,398.,Boss Schmidt (6),447,R
399,400.,Ron Hodges (12),445,R
