,Rank,"Player (yrs, age)",Bases on Balls,Bats
625,626.,Bruce Campbell (13),548,L
626,626.,Mike Lowell (13),548,R
627,626.,Tim McCarver (21),548,L
628,629.,"Matthew Joyce (13, 35)",547,L
629,629.,Hideki Matsui (10),547,L
630,629.,Bob O'Farrell (21),547,R
631,629.,John Roseboro (14),547,L
632,633.,Eddie Lake (11),546,R
633,633.,Ken Oberkfell (16),546,L
634,635.,Ed Bailey (14),545,L
635,635.,Frank Schulte (15),545,L
636,635.,Hal Trosky (11),545,L
637,638.,Tito Francona (15),544,L
638,639.,Bill Mueller (11),543,B
639,640.,Jody Reed (11),542,R
640,641.,Snuffy Stirnweiss (10),541,R
641,641.,Devon White (17),541,B
642,643.,Chone Figgins (12),540,B
643,644.,Glenn Hubbard (12),539,R
644,644.,Kevin Youkilis (10),539,R
645,646.,Bernie Carbo (12),538,L
646,647.,Bill Terry+ (14),537,L
647,648.,Tommy McCarthy+ (13),536,R
648,649.,Jim McTamany (7),535,R
649,649.,Al Oliver (18),535,L
650,649.,Curt Walker (12),535,L
651,652.,Ruppert Jones (12),534,L
652,653.,Roy Campanella+ (10),533,R
653,653.,Rickie Weeks (14),533,R
654,653.,Richie Zisk (13),533,R
655,656.,"Brandon Belt (10, 32)",532,L
656,656.,Mike Jorgensen (17),532,L
657,656.,Wes Parker (9),532,B
658,659.,Larry Parrish (15),529,R
659,660.,Eddie Foster (13),528,R
660,660.,Doug Rader (11),528,R
661,662.,Joe Carter (16),527,R
662,662.,Tony Clark (15),527,B
663,662.,Michael Cuddyer (15),527,R
664,662.,Fred Pfeffer (16),527,R
665,666.,George Pinkney (10),526,L
666,666.,Red Rolfe (10),526,L
667,666.,Randy Winn (13),526,B
668,669.,Harry Davis (22),525,R
669,670.,Willie Keeler+ (19),524,L
670,670.,Jim Piersall (17),524,R
671,670.,David Segui (15),524,B
672,673.,Greg Gross (17),523,L
673,673.,Don Hoak (11),523,R
674,673.,Freddie Patek (14),523,R
675,676.,Leo Cardenas (16),522,R
676,676.,Nick Johnson (10),522,L
677,676.,Kevin McReynolds (12),522,R
678,676.,Mike Sweeney (16),522,R
679,680.,Hank Bauer (14),521,R
680,680.,Gary Pettis (11),521,B
