,Rank,"Player (yrs, age)",Double Plays Turned as 1B,Throws
98,99.,Sean Casey (12),947,R
99,100.,Hal Chase (15),943,L
100,101.,"Miguel Cabrera (18, 37)",940,R
101,102.,James Loney (11),938,L
102,103.,Stan Musial+ (22),935,L
103,104.,Tony Clark (15),927,R
104,105.,Tommy Tucker (13),926,R
105,106.,"Anthony Rizzo (10, 30)",921,L
106,107.,Earl Sheely (9),917,R
107,108.,Jim Thome+ (22),913,R
108,109.,Ed Kranepool (18),900,L
109,110.,"Justin Smoak (11, 33)",896,L
110,111.,Dan Brouthers+ (19),891,L
111,112.,Eddie Waitkus (11),886,L
112,113.,Kevin Young (12),871,R
113,114.,Walter Holke (11),868,L
114,115.,Ron Fairly (21),854,L
115,115.,David Segui (15),854,L
116,117.,Fred Merkle (16),853,R
117,118.,Babe Dahlgren (12),848,R
118,119.,Willie Upshaw (10),845,L
119,120.,Dick Stuart (10),837,R
120,121.,Bruce Bochte (12),833,L
121,122.,Zeke Bonura (7),815,R
122,123.,Nick Etten (9),797,L
123,124.,Don Mincher (13),796,R
124,125.,Alvin Davis (9),789,R
125,126.,Joe Pepitone (12),781,L
126,127.,Jack Fournier (15),777,R
127,128.,Jack Burns (7),776,L
128,128.,Frank Thomas+ (19),776,R
129,130.,Jeff Conine (17),775,R
130,131.,"Mitch Moreland (11, 34)",773,L
131,132.,Travis Lee (9),771,L
132,132.,Bob Watson (19),771,R
133,134.,Wes Parker (9),757,L
134,135.,Roy Sievers (17),747,R
135,136.,"Brandon Belt (10, 32)",743,L
136,136.,Charlie Comiskey+ (13),743,R
137,138.,Cecil Fielder (13),742,R
138,139.,Fred Luderus (12),736,R
139,140.,Don Hurst (7),732,L
140,140.,Dick Siebert (11),732,L
141,142.,Phil Todt (8),716,L
142,143.,"José Abreu (7, 33)",714,R
143,144.,George Stovall (12),702,R
144,145.,Dan McGann (12),701,R
145,145.,Willie Stargell+ (21),701,L
146,147.,Ripper Collins (9),695,L
147,148.,Dee Fondy (8),690,L
148,149.,Nate Colbert (10),686,R
149,149.,"Carlos Santana (11, 34)",686,R
150,151.,Harry Davis (22),682,R
151,152.,Mike Epstein (9),681,L
152,153.,Greg Brock (10),680,R
153,154.,Harmon Killebrew+ (22),678,R
154,155.,Whitey Lockman (15),672,R
155,155.,Dale Long (10),672,L
156,157.,Jim Gentile (9),671,L
157,158.,Kitty Bransfield (12),670,R
158,158.,Hal Morris (13),670,L
159,160.,Doug Mientkiewicz (12),664,R
160,161.,John Reilly (10),655,R
161,161.,Norm Siebern (12),655,R
162,163.,Candy LaChance (12),650,R
163,164.,Casey Kotchman (10),649,L
164,164.,Pete Rose (24),649,R
165,166.,Paul Sorrento (11),646,R
166,167.,Buddy Hassett (7),642,L
167,168.,Chick Gandil (9),641,R
168,169.,Dick Allen (15),640,R
169,169.,Dick Hoblitzell (11),640,R
170,171.,Lee Stevens (10),638,L
171,172.,Kevin Millar (12),636,R
172,173.,Sid Bream (12),620,L
173,174.,Mark Reynolds (13),618,R
174,175.,Lance Berkman (15),617,L
175,176.,Carl Yastrzemski+ (23),610,R
176,177.,Jack Doyle (17),608,R
177,178.,Joe Torre+ (18),607,R
178,179.,Mike Jorgensen (17),601,L
179,180.,"Yonder Alonso (10, 33)",593,R
180,181.,Deron Johnson (16),587,R
181,182.,Glenn Davis (10),584,R
182,182.,Dick Gernert (11),584,R
183,184.,Joe Collins (10),580,L
184,185.,Darrell Evans (21),571,R
185,186.,Rico Brogna (9),567,L
186,187.,Andre Thornton (14),558,R
187,188.,Doc Johnston (11),556,L
188,189.,Tommy McCraw (13),552,L
189,190.,Greg Walker (9),547,R
190,191.,Vic Wertz (17),537,R
191,192.,Danny Cater (12),534,R
192,193.,Tony Lupien (6),532,L
193,194.,Mike Sweeney (16),530,R
194,195.,Steve Balboni (11),521,R
195,196.,Buck Jordan (10),516,R
196,197.,Greg Colbrunn (13),515,R
197,197.,Scott Hatteberg (14),515,R
198,199.,Bill Phillips (10),511,R
199,200.,Ray Sanders (7),510,R
200,201.,Dale Alexander (5),502,R
201,202.,Ryan Klesko (16),500,L
202,203.,Al Oliver (18),499,L
203,204.,Bob Robertson (11),494,R
204,205.,Pete Runnels (14),492,R
205,206.,Ron Jackson (10),491,R
206,207.,Mike Napoli (12),488,R
207,208.,Nick Johnson (10),487,L
208,209.,Randy Milligan (8),486,R
209,210.,Joe Mauer (15),481,R
210,211.,Adam Lind (12),480,L
211,212.,Ed Morgan (7),479,R
212,213.,Gerald Perry (13),477,R
213,214.,Jack Clark (18),475,R
214,215.,Frank Chance+ (17),470,R
215,216.,Dave Bergman (17),469,L
216,217.,Del Bissonette (5),468,L
217,218.,Ike Davis (7),461,L
218,219.,Tom Jones (8),456,R
219,220.,John Jaha (10),455,R
220,221.,Kevin Youkilis (10),452,R
221,222.,Daric Barton (8),450,R
222,222.,John Morrill (15),450,R
223,224.,Joe Start (16),449,L
224,225.,Ben Broussard (7),448,L
225,225.,Leon Durham (10),448,L
226,227.,Gordy Coleman (9),442,R
227,228.,Ed Bouchee (7),435,L
228,228.,Darin Erstad (14),435,L
229,230.,Sid Farrar (8),431,R
230,231.,Willie Aikens (8),430,R
231,232.,Sam Leslie (10),429,L
232,233.,Enos Cabell (15),425,R
233,233.,"Logan Morrison (11, 32)",425,L
234,235.,Joe Cunningham (12),424,L
235,236.,Vic Saier (8),423,R
236,237.,Tony Horton (7),422,R
237,237.,Dots Miller (12),422,R
238,239.,Fred Whitfield (9),421,L
239,240.,Gene Tenace (15),420,R
240,241.,Julio Franco (23),415,R
241,241.,Billy Goodman (16),415,R
242,243.,John Kruk (10),412,L
243,244.,Babe Young (8),410,L
244,245.,"Matt Adams (9, 31)",404,R
245,245.,Adam Dunn (14),404,R
246,247.,George Grantham (13),400,R
247,247.,Jeff King (11),400,R
248,249.,Aubrey Huff (13),399,R
249,249.,Mickey Rocco (4),399,L
250,251.,Joe Hauser (6),397,L
251,252.,Lucas Duda (10),396,R
252,253.,Mike Squires (10),395,L
253,254.,Dick Kryhoski (7),394,L
254,255.,Henry Larkin (10),388,R
255,256.,Dan Meyer (12),386,R
256,257.,Steve Bilko (10),384,R
257,258.,Todd Benzinger (9),381,R
258,258.,Dave Kingman (16),381,R
259,260.,Pat Putnam (8),379,R
260,261.,Bob Boyd (9),378,L
261,261.,John Milner (12),378,L
262,263.,Gaby Sanchez (7),367,R
263,264.,George Brett+ (21),365,R
264,265.,Mike Ivie (11),364,R
265,265.,Perry Werden (7),364,R
266,267.,Luke Easter (6),363,R
267,268.,John Ganzel (7),362,R
268,269.,Ryan Garko (6),361,R
269,270.,Garrett Jones (8),360,L
270,271.,Justin Bour (6),358,R
271,272.,Dave Orr (8),356,R
272,273.,"Edwin Encarnacion (16, 37)",355,R
273,274.,Joe Harris (10),354,R
274,275.,Rich Reese (10),353,L
275,276.,Norm Larker (6),349,L
276,277.,Bud Clancy (9),346,L
277,278.,Kendrys Morales (13),345,R
278,279.,Ricky Jordan (8),342,R
279,280.,Pedro Guerrero (15),341,R
280,281.,"C.J. Cron (7, 30)",339,R
281,281.,Tito Francona (15),339,L
282,283.,Ken Harrelson (9),338,R
283,284.,Frank Isbell (10),337,R
284,285.,Jiggs Donahue (9),336,L
285,286.,John Anderson (14),335,R
286,287.,Nick Esasky (8),334,R
287,287.,Johnny Hopp (14),334,L
288,287.,Patsy Tebeau (13),334,R
289,290.,"Josh Bell (5, 27)",332,R
290,291.,"Chris Carter (8, 33)",330,R
291,292.,Billy Butler (10),329,R
292,292.,Frank Torre (7),329,L
293,294.,Jake Stahl (9),328,R
294,295.,Howie Schultz (6),326,R
295,296.,Dick Burrus (6),324,L
296,297.,Lew Fonseca (12),323,R
297,297.,Harvey Hendrick (11),323,R
298,297.,Bob Oliver (8),323,R
299,300.,Lou Finney (15),320,R
300,300.,Gregg Jefferies (14),320,R
301,302.,Preston Ward (9),319,R
302,303.,Franklin Stubbs (10),318,L
303,303.,"Ryan Zimmerman (15, 35)",318,R
304,305.,Felipe Alou (17),317,R
305,305.,Pat Tabler (12),317,R
306,307.,Dave Magadan (16),316,R
307,307.,Dick Sisler (8),316,R
308,309.,Ray Grimes (6),314,R
309,309.,Bob Horner (10),314,R
310,311.,Lee Thomas (8),313,R
311,312.,Nick Swisher (12),312,L
312,313.,Todd Zeile (16),310,R
313,314.,Johnny McCarthy (11),308,L
314,314.,"Wil Myers (8, 29)",308,R
315,316.,Dan Johnson (10),306,R
316,316.,Lamar Johnson (9),306,R
317,318.,Mike Jacobs (7),303,R
318,319.,Mike Hegan (12),300,L
319,319.,Fritz Mollwitz (7),300,R
320,319.,Dave Revering (5),300,R
321,322.,Les Fleming (7),299,L
322,322.,Rocky Nelson (9),299,L
323,324.,Von Hayes (12),295,R
324,324.,Tony Muser (9),295,L
325,326.,Don Kolloway (12),293,R
326,327.,Dave Foutz (13),289,R
327,327.,Nippy Jones (8),289,R
328,327.,Dmitri Young (13),289,R
329,330.,Richie Hebner (18),288,R
330,331.,Conor Jackson (7),286,R
331,332.,"Daniel Murphy (12, 35)",285,R
332,333.,"Yuli Gurriel (5, 36)",284,R
333,334.,"Matt Olson (5, 26)",283,R
334,335.,Mark Trumbo (10),282,R
335,336.,Gail Harris (6),280,L
336,336.,Pete LaCock (9),280,L
337,338.,George Crowe (9),279,L
338,339.,Tom Paciorek (18),278,R
339,340.,Orlando Merced (13),277,R
340,341.,John Mabry (14),276,R
341,341.,Scott Spiezio (12),276,R
342,343.,Bert Haas (9),275,R
343,344.,Shea Hillenbrand (7),272,R
344,345.,Ray Knight (13),271,R
345,345.,Gene Paulette (6),271,R
346,345.,Rusty Staub (23),271,R
347,345.,Ed Stevens (6),271,L
348,349.,Ron Coomer (9),269,R
349,350.,Dave Stapleton (7),266,R
350,351.,Harry Davis (3),264,L
351,352.,Marv Throneberry (7),263,L
352,353.,Jack Boyle (13),262,R
353,353.,Ed Cartwright (5),262,R
354,355.,Phil Nevin (12),257,R
355,356.,Ross Gload (10),254,L
356,357.,Harry Stovey (14),253,R
357,358.,Bill Everitt (7),252,R
358,359.,Hank Arft (5),251,L
359,359.,Norm Zauchin (6),251,R
360,361.,Charlie Carr (7),250,R
361,362.,"Jesus Aguilar (7, 30)",249,R
362,363.,Carlos Quintana (5),247,R
363,364.,George Metkovich (10),246,L
364,364.,Earl Williams (8),246,R
365,366.,Larry Biittner (14),242,L
366,367.,"Matt Carpenter (10, 34)",239,R
367,367.,Dave McCarty (11),239,L
368,369.,Randall Simon (8),238,L
369,370.,Gail Hopkins (7),237,R
370,370.,Frank Robinson+ (21),237,R
371,372.,Brian Hunter (9),234,L
372,372.,Daryle Ward (11),234,L
373,374.,Tom Hutton (12),233,L
374,375.,Brian Daubach (8),229,R
375,376.,John Ellis (13),224,R
376,376.,Craig Wilson (7),224,R
377,378.,Ray Boone (13),222,R
378,378.,Jimmy Wasdell (11),222,L
379,380.,Harry Heilmann+ (17),221,R
380,380.,Kevin Seitzer (12),221,R
381,382.,Russell Branyan (14),219,R
382,382.,Jim Hickman (13),219,R
383,382.,Brandon Moss (11),219,R
384,385.,Broderick Perkins (7),217,L
385,386.,Michael Cuddyer (15),212,R
386,386.,Gene Larkin (7),212,R
387,386.,Jake Virtue (5),212,L
388,389.,Jake Jones (5),209,R
389,389.,Ty Wigginton (12),209,R
390,391.,Wil Cordero (14),208,R
391,391.,Tim Jordan (7),208,R
392,393.,Chris Shelton (5),207,R
393,394.,Shano Collins (16),206,R
394,394.,Charlie Hickman (12),206,R
395,396.,Mox McQuery (5),205,
396,397.,Claude Rossman (5),204,L
397,398.,Dan Stearns (7),203,R
398,399.,Frank Howard (16),201,R
399,399.,Brett Wallace (6),201,R
