,Rank,"Player (yrs, age)",Assists as 2B,Throws
171,172.,Billy Ripken (12),2146,R
172,173.,Danny Richardson (11),2140,R
173,174.,Mark Loretta (15),2135,R
174,175.,"Kolten Wong (8, 29)",2105,R
175,176.,Alfonso Soriano (16),2081,R
176,177.,Frank LaPorte (11),2075,R
177,178.,"Gordon Beckham (11, 33)",2070,R
178,179.,Bill Regan (6),2068,R
179,180.,Tony Phillips (18),2057,R
180,181.,Quilvio Veras (7),2056,R
181,182.,Ben Zobrist (14),2050,R
182,183.,Danny O'Connell (10),2049,R
183,184.,Jackie Robinson+ (10),2047,R
184,185.,Fresco Thompson (9),2044,R
185,186.,"Daniel Murphy (12, 35)",2035,R
186,187.,Dick Egan (9),2022,R
187,188.,Hod Ford (15),2009,R
188,189.,Jerry Adair (13),2008,R
189,190.,Scott Fletcher (15),2002,R
190,190.,Yank Robinson (10),2002,R
191,192.,Hardy Richardson (14),1986,R
192,193.,Miguel Cairo (17),1985,R
193,194.,Tim Teufel (11),1978,R
194,195.,Freddie Maguire (6),1959,R
195,196.,Wally Backman (14),1953,R
196,197.,Mike Andrews (8),1951,R
197,198.,Charley Bassett (9),1936,R
198,199.,Dots Miller (12),1935,R
199,200.,Alex Kampouris (9),1909,R
200,201.,Pete Coscarart (9),1894,R
201,202.,Sparky Adams (13),1888,R
202,203.,"Cesar Hernandez (8, 30)",1865,R
203,204.,Jose Lopez (9),1859,R
204,205.,Julio Franco (23),1845,R
205,205.,"Dee Strange-Gordon (10, 32)",1845,R
206,207.,Billy Martin (11),1840,R
207,208.,Jack Crooks (8),1825,R
208,208.,Don Kolloway (12),1825,R
209,210.,Gary Sutherland (13),1816,R
210,211.,Ray Morgan (8),1802,R
211,212.,Jerry Hairston (16),1776,R
212,213.,Jose Oquendo (12),1765,R
213,214.,Bobby Young (8),1754,R
214,215.,Jack Brohamer (9),1743,R
215,216.,Joe Quest (10),1739,R
216,217.,Randy Velarde (16),1736,R
217,218.,Marlon Anderson (12),1724,R
218,219.,Wayne Terwilliger (9),1723,R
219,220.,Bill Sweeney (8),1717,R
220,221.,Mike Tyson (10),1716,R
221,222.,Billy Goodman (16),1714,R
222,223.,Danny Murtaugh (9),1705,R
223,224.,Jorge Orta (16),1693,R
224,224.,Dave Shean (9),1693,R
225,226.,Scooter Gennett (7),1685,R
226,227.,Pep Young (10),1682,R
227,228.,Don Heffner (11),1678,R
228,229.,Pete Runnels (14),1675,R
229,230.,"Joe Panik (7, 29)",1666,R
230,231.,Reddy Mack (6),1655,
231,232.,John Ward+ (17),1646,R
232,233.,Charlie Neal (8),1645,R
233,234.,Danny Espinosa (8),1632,R
234,235.,Germany Schaefer (15),1623,R
235,236.,Frankie Gustine (12),1617,R
236,237.,Jamey Carroll (12),1612,R
237,237.,Jim Lefebvre (8),1612,R
238,239.,Bill Cissell (9),1608,R
239,239.,Rabbit Maranville+ (23),1608,R
240,241.,Joe Gedeon (7),1605,R
241,242.,Johnny Hodapp (9),1601,R
242,243.,Derrel Thomas (15),1597,R
243,244.,Darwin Barney (8),1596,R
244,245.,Mike Gallego (13),1591,R
245,246.,Freddy Sanchez (10),1586,R
246,247.,Don Gutteridge (12),1575,R
247,248.,Bill Greenwood (6),1570,L
248,249.,Morrie Rath (6),1565,R
249,250.,Eddie Mayo (9),1564,R
250,251.,Tony Piet (8),1562,R
251,252.,Doug Griffin (8),1551,R
252,253.,George Creamer (7),1549,R
253,253.,Odell Hale (10),1549,R
254,253.,Jose Offerman (15),1549,R
255,256.,Sam Barkley (6),1545,R
256,257.,Pat Kelly (9),1542,R
257,258.,John Hummel (12),1541,R
258,259.,Pedro Garcia (5),1539,R
259,260.,Craig Counsell (16),1527,R
260,261.,John Farrell (5),1526,R
261,262.,Rabbit Warstler (11),1520,R
262,263.,Gil McDougald (10),1518,R
263,263.,Pokey Reese (8),1518,R
264,265.,John O'Brien (6),1516,R
265,266.,Pete Rose (24),1502,R
266,267.,Tony Womack (13),1501,R
267,268.,Jerry Browne (10),1492,R
268,269.,Jim Delahanty (13),1490,R
269,270.,Gene DeMontreville (11),1487,R
270,271.,Jeff Frye (8),1481,R
271,272.,Don Johnson (6),1457,R
272,273.,"Logan Forsythe (10, 33)",1448,R
273,274.,Granny Hamner (17),1440,R
274,275.,Mariano Duncan (12),1433,R
275,276.,Cotton Tierney (6),1430,R
276,277.,Buck Herzog (13),1429,R
277,278.,Carlos Garcia (10),1423,R
278,279.,Aaron Miles (9),1415,R
279,280.,Jerry Coleman (9),1408,R
280,281.,Luis Rivas (8),1394,R
281,282.,Bernie Friberg (14),1390,R
282,282.,Tony Graffanino (13),1390,R
283,284.,Sam Wise (12),1387,R
284,285.,Marco Scutaro (13),1384,R
285,286.,Jeff Treadway (9),1382,R
286,287.,Nelson Liriano (11),1381,R
287,288.,Carlos Febles (6),1376,R
288,289.,Steve Yerkes (7),1371,R
289,290.,Chuck Schilling (5),1366,R
290,291.,Brent Gates (7),1365,R
291,292.,Edgardo Alfonzo (12),1362,R
292,293.,Chuck Hiller (8),1349,R
293,294.,Mickey Witek (7),1346,R
294,295.,Stu Martin (8),1339,R
295,296.,Jerry Kindall (9),1327,R
296,297.,"Starlin Castro (11, 30)",1323,R
297,298.,Rey Sanchez (15),1320,R
298,299.,Kazuo Matsui (7),1312,R
299,299.,Bill McClellan (8),1312,L
300,301.,Gene Baker (8),1303,R
301,302.,Tadahito Iguchi (4),1289,R
302,303.,Tim Flannery (11),1287,R
303,304.,Johnny Berardino (11),1284,R
304,305.,Ken Boswell (11),1280,R
305,306.,Paul Molitor+ (21),1274,R
306,307.,Bert Niehoff (6),1261,R
307,308.,Marty Perez (10),1257,R
308,309.,Davey Williams (6),1252,R
309,310.,Chuck Cottier (9),1250,R
310,310.,Keith Lockhart (10),1250,R
311,312.,Billy Moran (7),1240,R
312,313.,Michael Young (14),1239,R
313,314.,Skip Schumaker (11),1237,R
314,315.,Bob Randall (5),1232,R
315,315.,Bip Roberts (12),1232,R
316,317.,Sam Bohne (7),1228,R
317,318.,Rodney Scott (8),1197,R
318,319.,Hal Lanier (10),1188,R
319,320.,Lenny Randle (12),1186,R
320,321.,Lew Fonseca (12),1172,R
321,322.,Alex Cora (14),1171,R
322,323.,Warren Morris (5),1163,R
323,324.,Alexi Casilla (9),1159,R
324,325.,Hub Collins (7),1157,R
325,326.,Dave Nelson (10),1151,R
326,327.,Ed Abbaticchio (9),1149,R
327,328.,Jimmy Brown (8),1146,R
328,329.,Ross Barnes (9),1143,R
329,330.,Jack Perconte (7),1140,R
330,331.,Rob Andrews (5),1137,R
331,332.,Larry Milbourne (11),1136,R
332,332.,Luis Sojo (13),1136,R
333,334.,Jim Viox (5),1132,R
334,335.,Amby McConnell (4),1126,R
335,336.,Chris Getz (7),1116,R
336,337.,John Kerr (8),1108,R
337,338.,D'Angelo Jimenez (8),1107,R
338,339.,Donnie Hill (9),1101,R
339,340.,Mark Lewis (11),1100,R
340,341.,David Bell (12),1094,R
341,341.,"Josh Harrison (10, 32)",1094,R
342,343.,Whitey Alpermann (4),1093,R
343,344.,"Eric Sogard (10, 34)",1090,R
344,345.,Tim Cullen (7),1087,R
345,345.,Junior Spivey (5),1087,R
346,347.,Terry Shumpert (14),1083,R
347,348.,Steve Lombardozzi (6),1081,R
348,349.,Zeb Terry (7),1077,R
349,350.,Bob Ferguson (14),1075,R
350,350.,Eddie Moore (10),1075,R
351,352.,Jerry Royster (16),1066,R
352,353.,Vance Law (11),1065,R
353,354.,Ted Lepcio (10),1059,R
354,355.,Tom Carey (8),1049,R
355,356.,"Whit Merrifield (5, 31)",1042,R
356,357.,Dave McKay (8),1038,R
357,358.,Lee Magee (9),1036,R
358,359.,Juan Bonilla (6),1035,R
359,359.,"Yolmer Sanchez (7, 28)",1035,R
360,361.,"Jed Lowrie (12, 36)",1034,R
361,362.,Frank Isbell (10),1023,R
362,363.,Roy Hughes (9),1013,R
363,364.,"Jedd Gyorko (8, 31)",1007,R
364,365.,Barry McCormick (10),1004,R
365,366.,Ted Kubiak (10),1001,R
366,367.,Chick Fewster (11),997,R
367,367.,Ken Hubbs (3),997,R
368,369.,Pete Mackanin (9),994,R
369,370.,Pete Kilduff (5),993,R
370,371.,Bobby Adams (14),989,R
371,372.,Eddie Miksis (14),988,R
372,373.,Joey Amalfitano (10),987,R
373,374.,Lou Stringer (6),983,R
374,375.,Jack Barry (11),981,R
375,376.,Ken Oberkfell (16),979,R
376,377.,"Ozzie Albies (4, 23)",978,R
377,378.,Heinie Groh (16),977,R
378,379.,Jose Castillo (5),974,R
379,380.,Woody Williams (4),973,R
380,381.,Homer Bush (7),968,R
381,382.,Baldy Louden (6),967,R
382,383.,"Asdrubal Cabrera (14, 34)",961,R
383,384.,Sam Crane (7),956,R
384,385.,Tom Foley (13),953,R
385,386.,Jake Wood (7),951,R
386,387.,Mark Bellhorn (10),946,R
387,387.,Nick Punto (14),946,R
388,389.,Paul Popovich (11),939,R
389,390.,Ivy Olson (14),938,R
390,391.,Jose Vizcaino (18),937,R
391,392.,Benny McCoy (4),935,R
392,393.,Jay Bell (18),924,R
393,394.,Ken Aspromonte (7),914,R
394,394.,Al Weis (10),914,R
395,396.,Bret Barberie (6),912,R
396,397.,Lenn Sakata (11),908,R
397,398.,Rollie Zeider (9),903,R
398,399.,Irv Hall (4),901,R
399,400.,Jim Connor (4),896,R
