,Rank,"Player (yrs, age)",AB per SO,Bats
230,231.,Roy Weatherly (10),16.36,L
231,232.,George Harper (11),16.34,L
232,233.,Tip O'Neill (10),16.32,R
233,234.,Cy Perkins (17),16.31,R
234,235.,Joe Kelley+ (17),16.29,R
235,235.,Chief Meyers (9),16.29,R
236,237.,Jesus Alou (15),16.27,R
237,238.,Ted Kluszewski (15),16.24,L
238,238.,Pop Schriver (14),16.24,R
239,240.,Bobby Lowe (18),16.23,R
240,241.,Bug Holliday (10),16.19,R
241,242.,Marty Barrett (10),16.16,R
242,243.,George Van Haltren (17),16.15,L
243,244.,George Gore (14),16.14,L
244,244.,Joe Harris (10),16.14,R
245,246.,Wally Moses (17),16.10,L
246,247.,Jiggs Donahue (9),16.08,L
247,248.,Arlie Latham (17),16.03,R
248,249.,Fielder Jones (15),15.99,L
249,250.,Barney McCosky (11),15.98,L
250,251.,Buck Herzog (13),15.96,R
251,252.,Del Pratt (13),15.95,R
252,252.,Ozzie Smith+ (19),15.95,B
253,254.,Shorty Fuller (9),15.92,R
254,254.,Chick Galloway (10),15.92,R
255,254.,Zack Wheat+ (19),15.92,L
256,257.,Don Kolloway (12),15.91,R
257,258.,Bones Ely (14),15.89,R
258,259.,Davy Force (15),15.86,R
259,259.,Gregg Jefferies (14),15.86,B
260,261.,Joe Mulvey (12),15.81,R
261,262.,Heinie Peitz (16),15.80,R
262,263.,Rube Bressler (19),15.78,R
263,263.,Albie Pearson (9),15.78,L
264,265.,Don Mattingly (14),15.77,L
265,265.,Johnny Ray (10),15.77,B
266,267.,Stan Musial+ (22),15.76,L
267,268.,Cy Seymour (16),15.75,L
268,269.,Mike Tiernan (13),15.73,L
269,270.,Juan Pierre (14),15.71,L
270,271.,Jake Daubert (15),15.69,L
271,271.,Fred Tenney (17),15.69,L
272,273.,Gene DeMontreville (11),15.65,R
273,273.,Dan McGann (12),15.65,B
274,275.,Stan Hack (16),15.62,L
275,276.,Art Fletcher (13),15.61,R
276,276.,Stan Spence (9),15.61,L
277,278.,Don Hurst (7),15.60,L
278,279.,Whitey Lockman (15),15.51,L
279,280.,Ralph Young (9),15.50,B
280,281.,Johnny Temple (13),15.44,R
281,282.,Frank Demaree (12),15.41,R
282,282.,Larry Gardner (17),15.41,L
283,284.,Duke Farrell (18),15.40,B
284,284.,Danny Richardson (11),15.40,R
285,286.,Bobby Wallace+ (25),15.39,R
286,287.,Matty Alou (15),15.36,L
287,288.,Boileryard Clarke (13),15.35,R
288,289.,Manny Sanguillen (13),15.29,R
289,290.,Bucky Harris+ (12),15.28,R
290,291.,Shad Barry (10),15.20,R
291,292.,George Burns (16),15.18,R
292,293.,Tim Foli (16),15.16,R
293,294.,Augie Galan (16),15.11,B
294,294.,Hans Lobert (14),15.11,R
295,296.,Harry Hooper+ (17),15.09,L
296,297.,Emmet Heidrick (8),15.08,L
297,298.,Ferris Fain (9),15.06,L
298,299.,Greg Gross (17),14.98,L
299,300.,Bill Hallman (14),14.96,R
300,300.,Blondie Purcell (12),14.96,R
301,302.,Zack Taylor (16),14.92,R
302,303.,Phil Todt (8),14.91,L
303,304.,Jack Manning (12),14.89,R
304,305.,Bill Cissell (9),14.83,R
305,306.,Ray Schalk+ (18),14.82,R
306,307.,Goose Goslin+ (18),14.80,L
307,308.,Larry Bowa (16),14.79,B
308,308.,Freddy Parent (12),14.79,R
309,310.,Enos Slaughter+ (19),14.77,L
310,311.,George Davis+ (20),14.76,B
311,312.,Dave Bancroft+ (16),14.75,B
312,313.,Malachi Kittridge (16),14.70,R
313,314.,Bill Wambsganss (13),14.68,R
314,315.,Duff Cooley (13),14.67,L
315,316.,Dick Hoblitzell (11),14.66,L
316,316.,Walter Holke (11),14.66,B
317,318.,Richie Ashburn+ (15),14.65,L
318,319.,Carl Furillo (15),14.63,R
319,320.,Dick Groat (14),14.62,R
320,321.,Phil Rizzuto+ (13),14.61,R
321,322.,Harry Lord (9),14.59,L
322,322.,Carl Reynolds (13),14.59,R
323,324.,Frank Shugart (8),14.56,L
324,325.,Fernando Vina (12),14.52,L
325,326.,Willie Kamm (13),14.45,R
326,327.,Red Rolfe (10),14.41,L
327,328.,Mule Haas (12),14.39,L
328,329.,Cookie Lavagetto (10),14.38,R
