,Rank,"Player (yrs, age)",Putouts as C,Throws
48,49.,Ray Schalk+ (18),7168,R
49,50.,Mike Matheny (13),7117,R
50,51.,Alan Ashby (17),7086,R
51,52.,Sherm Lollar (18),7059,R
52,53.,"Wilson Ramos (11, 32)",7019,R
53,54.,Tom Haller (12),7012,R
54,55.,Deacon McGuire (26),6856,R
55,56.,Rod Barajas (14),6768,R
56,57.,Darrell Porter (17),6756,R
57,58.,John Buck (11),6733,R
58,59.,Damian Miller (11),6696,R
59,60.,Darrin Fletcher (14),6678,R
60,61.,Miguel Olivo (13),6675,R
61,62.,Al Lopez+ (19),6644,R
62,63.,"Yasmani Grandal (9, 31)",6583,R
63,64.,Terry Kennedy (14),6555,R
64,65.,Rick Cerone (18),6548,R
65,66.,Todd Hundley (14),6535,R
66,67.,Roy Campanella+ (10),6520,R
67,68.,"Salvador Perez (9, 30)",6511,R
68,69.,Elston Howard (14),6447,R
69,70.,"Alex Avila (12, 33)",6423,R
70,71.,Mickey Cochrane+ (13),6414,R
71,72.,Paul Lo Duca (11),6311,R
72,73.,Butch Wynegar (13),6281,R
73,74.,"Jeff Mathis (16, 37)",6271,R
74,75.,Thurman Munson (11),6253,R
75,76.,Brent Mayne (15),6186,R
76,77.,Earl Battey (13),6176,R
77,78.,Don Slaught (16),6158,R
78,79.,Gregg Zaun (16),6134,R
79,80.,Dioner Navarro (13),6113,R
80,81.,Steve Yeager (15),6110,R
81,82.,Ernie Whitt (15),6091,R
82,83.,Joe Oliver (13),6059,R
83,84.,Nick Hundley (12),6045,R
84,85.,"Yan Gomes (9, 32)",6038,R
85,86.,Jose Molina (15),6033,R
86,87.,Michael Barrett (12),6020,R
87,88.,Manny Sanguillen (13),5996,R
88,89.,Brian Schneider (13),5987,R
89,90.,Steve O'Neill (17),5967,R
90,91.,Rollie Hemsley (19),5868,R
91,92.,Joe Mauer (15),5831,R
92,93.,John Flaherty (14),5784,R
93,94.,Randy Hundley (14),5765,R
94,95.,"Jason Castro (10, 33)",5760,R
95,96.,"Tyler Flowers (12, 34)",5700,R
96,97.,Ernie Lombardi+ (17),5694,R
97,98.,John Bateman (10),5686,R
98,99.,Henry Blanco (16),5659,R
99,100.,Gus Mancuso (17),5613,R
100,101.,Mike Macfarlane (13),5597,R
101,102.,Clay Dalrymple (12),5557,R
102,103.,Jody Davis (10),5520,R
103,104.,Geovany Soto (13),5504,R
104,105.,Red Dooin (15),5480,R
105,106.,Johnny Kling (13),5474,R
106,107.,Jeff Reed (17),5455,R
107,108.,Yorvit Torrealba (13),5451,R
108,109.,Luke Sewell (20),5444,R
109,110.,Darren Daulton (14),5417,R
110,111.,Pat Borders (17),5397,R
111,112.,"Martin Maldonado (10, 33)",5391,R
112,113.,Victor Martinez (16),5375,R
113,114.,"Mike Zunino (8, 29)",5364,R
114,115.,Del Rice (17),5353,R
115,116.,Muddy Ruel (19),5347,R
116,117.,Joe Azcue (11),5329,R
117,118.,Bo Diaz (13),5294,R
118,119.,Rich Gedman (13),5274,R
119,120.,Ed Bailey (14),5267,R
120,121.,Smoky Burgess (18),5214,R
121,121.,George Gibson (14),5214,R
122,123.,Wally Schang (19),5202,R
123,124.,Wilbert Robinson+ (17),5174,R
124,125.,Walker Cooper (18),5166,R
125,126.,David Ross (15),5124,R
126,127.,Charlie Bennett (15),5123,R
127,127.,Gus Triandos (13),5123,R
128,129.,Malachi Kittridge (16),5114,R
129,130.,"J.T. Realmuto (7, 29)",5105,R
130,131.,Milt May (15),5091,R
131,132.,Jarrod Saltalamacchia (12),5049,R
132,133.,Andy Seminick (15),5030,R
133,134.,Kirt Manwaring (13),4946,R
134,135.,Ed Taubensee (11),4941,R
135,136.,Frankie Hayes (14),4938,R
136,137.,Mike Heath (14),4919,R
137,138.,Jimmie Wilson (18),4916,R
138,139.,Francisco Cervelli (13),4913,R
139,140.,Dave Valle (13),4898,R
140,141.,Andy Etchebarren (15),4884,R
141,142.,Chief Zimmer (19),4883,R
142,143.,Joe Torre+ (18),4850,R
143,144.,Ray Fosse (12),4831,R
144,145.,Chris Hoiles (10),4830,R
145,145.,Bill Killefer (13),4830,R
146,147.,Ron Hassey (14),4828,R
147,148.,Jack Clements (17),4787,L
148,149.,Billy Sullivan (16),4776,R
149,150.,Scott Servais (11),4769,R
150,151.,Ron Karkovice (12),4757,R
151,152.,Jason LaRue (12),4751,R
152,153.,Buck Rodgers (9),4750,R
153,154.,Sammy White (11),4738,R
154,155.,Birdie Tebbetts (14),4667,R
155,156.,Hank Severeid (15),4657,R
156,157.,Bruce Benedict (12),4651,R
157,158.,A.J. Ellis (11),4622,R
158,159.,"Welington Castillo (10, 33)",4620,R
159,160.,Chad Kreuter (16),4571,R
160,161.,Chris Snyder (10),4565,R
161,162.,Chief Meyers (9),4537,R
162,163.,Dave Duncan (11),4528,R
163,164.,Mickey Owen (13),4527,R
164,165.,Gerald Laird (13),4509,R
165,166.,Jack Warner (14),4508,R
166,167.,Paul Bako (12),4477,R
167,168.,Charlie O'Brien (15),4441,R
168,169.,Ryan Hanigan (11),4440,R
169,170.,John Romano (10),4415,R
170,171.,Ivey Wingo (17),4409,R
171,172.,Greg Myers (18),4404,R
172,173.,Eddie Ainsmith (15),4399,R
173,174.,Spud Davis (16),4374,R
174,175.,Lou Criger (16),4354,R
175,176.,Ossee Schrecongost (11),4321,R
176,177.,Roger Bresnahan+ (17),4309,R
177,178.,Frank Snyder (16),4308,R
178,179.,"Tucker Barnhart (7, 29)",4306,R
179,180.,Bob O'Farrell (21),4295,R
180,181.,George Mitterwald (11),4289,R
181,182.,Oscar Stanage (14),4276,R
182,183.,Bill Bergen (11),4233,R
183,184.,Ed Herrmann (11),4230,R
184,184.,Bob Tillman (9),4230,R
185,186.,"James McCann (7, 30)",4227,R
186,187.,Pop Snyder (18),4208,R
187,188.,Mike Fitzgerald (10),4184,R
188,189.,Einar Diaz (11),4155,R
189,190.,Phil Roof (15),4151,R
190,191.,Jim Pagliaroni (11),4139,R
191,192.,Mike LaValliere (12),4138,R
192,193.,Bill Rariden (12),4127,R
193,194.,Tom Pagnozzi (12),4124,R
194,195.,Duke Farrell (18),4105,R
195,196.,"Robinson Chirinos (9, 36)",4049,R
196,197.,Paul Casanova (10),4040,R
197,198.,Buck Martinez (17),4038,R
198,199.,Derek Norris (6),4004,R
199,200.,"Travis d'Arnaud (8, 31)",4000,R
200,201.,Mike Redmond (13),3999,R
201,202.,Mickey Tettleton (14),3978,R
202,203.,Mike Tresh (12),3961,R
203,204.,Clyde McCullough (15),3953,R
204,205.,Gene Tenace (15),3945,R
205,206.,Joe Ferguson (14),3905,R
206,207.,Mike Stanley (15),3884,R
207,208.,Otto Miller (13),3870,R
208,209.,Alex Trevino (13),3850,R
209,210.,Buddy Rosar (13),3845,R
210,211.,"Roberto Perez (7, 31)",3836,R
211,212.,Cy Perkins (17),3809,R
212,213.,Toby Hall (9),3795,R
213,214.,Duke Sims (11),3762,R
214,215.,Kelly Stinnett (14),3734,R
215,216.,Fred Kendall (12),3733,R
216,217.,Heinie Peitz (16),3726,R
217,218.,Charlie Moore (15),3723,R
218,219.,Ellie Rodriguez (9),3713,R
219,220.,John Stearns (11),3712,R
220,221.,Russ Nixon (12),3708,R
221,222.,Phil Masi (14),3690,R
222,223.,Frank Bowerman (15),3673,R
223,224.,Wes Westrum (11),3639,R
224,225.,Brian Harper (16),3618,R
225,226.,B.J. Surhoff (19),3617,R
226,227.,Rick Wilkins (11),3608,R
227,228.,Bob Swift (14),3601,R
228,229.,Silver Flint (13),3592,R
229,230.,Ozzie Virgil (11),3582,R
230,231.,Bob Brenly (9),3577,R
231,232.,"Christian Vazquez (6, 29)",3569,R
232,233.,Clint Courtney (11),3556,R
233,234.,Johnny Estrada (8),3538,R
234,235.,"Rene Rivera (12, 36)",3502,R
235,236.,Duffy Dyer (14),3501,R
236,237.,Doc Bushong (13),3481,R
237,238.,Mike Ryan (11),3473,R
238,239.,Jack O'Connor (21),3441,R
239,240.,Matt Nokes (11),3422,R
240,241.,Stan Lopata (13),3406,R
241,242.,Dave Rader (10),3391,R
242,243.,Brian Downing (20),3383,R
243,243.,Pat Moran (14),3383,R
244,243.,Ronny Paulino (8),3383,R
245,246.,Mike Napoli (12),3377,R
246,247.,"Sandy Leon (9, 31)",3339,R
247,248.,Matt Walbeck (11),3303,R
248,249.,Buck Ewing+ (18),3301,R
249,250.,Brook Fordyce (10),3299,R
250,251.,Jimmy Archer (12),3293,R
251,252.,"Willson Contreras (5, 28)",3265,R
252,253.,Barry Foote (10),3263,R
253,254.,Harry Danning (10),3257,R
254,255.,Val Picinich (18),3251,R
255,256.,Jocko Milligan (10),3230,R
256,257.,Tony Eusebio (9),3224,R
257,258.,Chris Widger (10),3205,R
258,259.,Shanty Hogan (13),3190,R
259,260.,Jorge Fabregas (9),3185,R
260,261.,Chris Cannizzaro (13),3161,R
261,262.,"Austin Hedges (6, 27)",3160,R
262,263.,Dick Brown (9),3150,R
263,264.,Hank Gowdy (17),3149,R
264,265.,Ed McFarland (14),3139,R
265,266.,J.C. Martin (14),3135,R
266,267.,Tim Laudner (9),3122,R
267,268.,Hobie Landrith (14),3116,R
268,268.,Hal Smith (10),3116,R
269,270.,Todd Pratt (14),3111,R
270,271.,"Gary Sanchez (6, 27)",3110,R
271,272.,Damon Berryhill (10),3104,R
272,273.,Josh Bard (10),3102,R
273,274.,Kelly Shoppach (9),3099,R
274,275.,Ray Mueller (14),3095,R
275,276.,John Henry (9),3055,R
276,277.,Mike González (17),3050,R
277,278.,Larry McLean (13),3032,R
278,279.,Chad Moeller (11),3024,R
279,280.,Mike Difelice (13),3023,R
280,281.,Al Todd (11),3006,R
281,282.,Jeff Torborg (10),2998,R
282,283.,"Stephen Vogt (8, 35)",2970,R
283,284.,Bill Carrigan (10),2961,R
284,284.,Marc Hill (14),2961,R
285,286.,Frankie Pytlak (12),2958,R
286,287.,Junior Ortiz (13),2934,R
287,288.,Art Wilson (14),2930,R
288,289.,Devin Mesoraco (8),2927,R
289,290.,Tom Lampkin (13),2918,R
290,291.,Gary Bennett (13),2915,R
291,291.,Bob Melvin (10),2915,R
292,291.,Chris Stewart (12),2915,R
293,294.,Brayan Pena (12),2911,R
294,295.,Ryan Doumit (10),2907,R
295,296.,Red Wilson (10),2884,R
296,297.,"Caleb Joseph (7, 34)",2880,R
297,297.,Zack Taylor (16),2880,R
298,299.,Dick Dietz (8),2860,R
299,300.,Matt Treanor (9),2858,R
300,301.,Ed Sweeney (9),2853,R
301,302.,"Drew Butera (11, 36)",2842,R
302,303.,Jose Lobaton (9),2841,R
303,304.,Bill Holbert (12),2840,R
304,305.,Gene Desautels (13),2837,R
305,306.,Humberto Quintero (12),2835,R
306,307.,Jim Essian (12),2834,R
307,308.,Bill Haselman (13),2828,R
308,309.,Joe Sugden (13),2812,R
309,310.,Hal Smith (7),2810,R
310,311.,Ben Davis (7),2791,R
311,312.,Eddie Perez (11),2789,R
312,313.,Elrod Hendricks (12),2783,R
313,314.,"Austin Romine (9, 31)",2764,R
314,315.,Geno Petralli (12),2744,R
315,316.,Kenji Johjima (4),2732,R
316,317.,Doug Mirabelli (12),2719,R
317,318.,Hank DeBerry (11),2701,R
318,318.,Connie Mack+ (11),2701,R
319,320.,J.P. Arencibia (6),2691,R
320,320.,Ramon Castro (13),2691,R
321,322.,Josh Thole (8),2687,R
322,323.,Doc Powers (11),2670,R
323,324.,Jerry May (10),2649,R
324,325.,Lenny Webster (12),2648,R
325,326.,Frank House (10),2642,R
326,327.,Charlie Ganzel (14),2626,R
327,328.,Les Moss (13),2612,R
328,329.,Johnny Bassler (9),2607,R
329,330.,Brian Johnson (8),2602,R
330,331.,Walter Schmidt (10),2598,R
331,332.,Boileryard Clarke (13),2587,R
332,333.,Ray Hayworth (15),2581,R
333,334.,Les Nunamaker (12),2577,R
334,335.,Jake Early (9),2566,R
335,336.,Pop Schriver (14),2564,R
336,337.,Admiral Schlei (8),2527,R
337,338.,Harry Bemis (9),2496,R
338,339.,Barney Gilligan (10),2488,R
339,340.,Doggie Miller (13),2484,R
340,341.,Ed Ott (8),2482,R
341,342.,"Tony Wolters (5, 28)",2470,R
342,343.,Craig Biggio+ (20),2456,R
343,344.,Ken O'Dea (12),2450,R
344,345.,Jake Gibbs (10),2441,R
345,346.,Jack Boyle (13),2432,R
346,347.,Joel Skinner (9),2425,R
347,348.,Hal Wagner (12),2423,R
348,349.,Bubbles Hargrave (12),2420,R
349,350.,Red Kleinow (8),2419,R
350,351.,Bob Kearney (8),2416,R
351,351.,Johnny Oates (11),2416,R
352,353.,Bob Stinson (12),2415,R
353,354.,"Josh Phegley (8, 32)",2399,R
354,355.,Ed FitzGerald (12),2398,R
355,356.,Andy Allanson (8),2395,R
356,356.,Joe Garagiola (9),2395,R
357,358.,Gabby Street (8),2391,R
358,359.,"Omar Narvaez (5, 28)",2389,R
359,360.,Hank Foiles (11),2362,R
360,361.,Carlos Hernandez (10),2349,R
361,362.,Con Daily (12),2346,R
362,363.,Jamie Quirk (18),2344,R
363,364.,Jerry McNertney (9),2337,R
364,365.,Bobby Wilson (10),2321,R
365,366.,John Clapp (11),2307,R
366,367.,Joe Ginsberg (13),2304,R
367,368.,Al Evans (12),2295,R
368,369.,Alberto Castillo (12),2292,R
369,370.,Jack Lapp (9),2285,R
370,371.,Hank Conger (7),2284,R
371,372.,Johnny Gooch (11),2279,R
372,373.,Scott Bradley (9),2277,R
373,374.,Steve Swisher (9),2274,R
374,375.,Tom Prince (17),2267,R
375,376.,Mark Parent (13),2262,R
376,377.,Aaron Robinson (8),2259,R
377,378.,Glenn Borgmann (9),2257,R
378,379.,Tommy Clarke (10),2254,R
379,380.,"Kevin Plawecki (6, 29)",2253,R
380,381.,Babe Phelps (11),2251,R
381,382.,"Jorge Alfaro (5, 27)",2247,R
382,383.,"Carlos Santana (11, 34)",2241,R
383,384.,John Wathan (10),2224,R
384,385.,Javier Valentin (10),2203,R
385,386.,King Kelly+ (16),2198,R
386,387.,Harry Chiti (10),2197,R
387,388.,Greg Olson (5),2193,R
388,389.,Cameron Rupp (5),2192,R
389,390.,John Baker (7),2190,R
390,390.,Scott Hatteberg (14),2190,R
391,392.,Sal Fasano (11),2189,R
392,393.,Wil Nieves (12),2186,R
393,394.,Al Spohrer (8),2182,R
394,394.,Deacon White+ (20),2182,R
395,396.,Bob Schmidt (7),2161,R
396,397.,Ed Phelps (11),2147,R
397,398.,Dick Buckley (8),2142,R
398,399.,Roy Spencer (12),2138,R
399,400.,Jerry Zimmerman (8),2131,R
