,Rank,"Player (yrs, age)",Assists as SS,Throws
56,57.,Arky Vaughan+ (14),4780,R
57,58.,Lou Boudreau+ (15),4760,R
58,59.,Rafael Furcal (14),4678,R
59,60.,Phil Rizzuto+ (13),4666,R
60,61.,Travis Jackson+ (15),4636,R
61,62.,Jay Bell (18),4595,R
62,63.,Tony Fernandez (17),4511,R
63,64.,Eddie Miller (14),4500,R
64,65.,"Elvis Andrus (12, 31)",4487,R
65,66.,Frankie Crosetti (17),4484,R
66,67.,Leo Durocher+ (17),4431,R
67,68.,Mike Bordick (14),4410,R
68,69.,Johnny Logan (13),4397,R
69,70.,Jose Reyes (16),4363,R
70,71.,J.J. Hardy (13),4340,R
71,72.,Bucky Dent (12),4332,R
72,73.,Bones Ely (14),4328,R
73,74.,Wally Gerber (15),4319,R
74,75.,Alex Gonzalez (16),4271,R
75,76.,Jim Fregosi (18),4169,R
76,77.,Al Dark (14),4168,R
77,78.,Vern Stephens (15),4150,R
78,79.,Jhonny Peralta (15),4123,R
79,80.,Jack Wilson (12),4059,R
80,81.,Ivan de Jesus (15),4036,R
81,82.,Walt Weiss (14),4007,R
82,83.,Rafael Ramirez (13),3978,R
83,84.,Bud Harrelson (16),3975,R
84,85.,Joe Sewell+ (14),3933,R
85,86.,Troy Tulowitzki (13),3889,R
86,87.,Billy Rogell (14),3886,R
87,88.,Dick Schofield (14),3873,R
88,89.,Rick Burleson (13),3871,R
89,90.,Eddie Joost (17),3844,R
90,91.,Spike Owen (13),3814,R
91,92.,Freddy Parent (12),3788,R
92,93.,Shawon Dunston (18),3731,R
93,94.,Alcides Escobar (11),3708,R
94,95.,Zoilo Versalles (12),3645,R
95,96.,Doc Lavan (12),3628,R
96,97.,Chico Carrasquel (10),3619,R
97,98.,Alex Rodriguez (22),3605,R
98,99.,Jose Valentin (16),3565,R
99,100.,Alex Gonzalez (13),3538,R
100,101.,Roger Metzger (11),3535,R
101,102.,"Brandon Crawford (10, 33)",3516,R
102,103.,Alexei Ramírez (9),3513,R
103,104.,Ron Hansen (15),3503,R
104,105.,Cristian Guzman (11),3490,R
105,106.,Craig Reynolds (15),3484,R
106,107.,Glenn Wright (11),3473,R
107,108.,Ernie Banks+ (19),3441,R
108,109.,Dal Maxvill (14),3405,R
109,110.,"Erick Aybar (12, 36)",3393,R
110,111.,Lyn Lary (12),3388,R
111,112.,Al Bridwell (11),3351,R
112,113.,Ivy Olson (14),3313,R
113,114.,Buddy Kerr (9),3297,R
114,115.,Neifi Perez (12),3282,R
115,116.,Roy Smalley (13),3274,R
116,117.,Deivi Cruz (9),3200,R
117,118.,Gene Alley (11),3198,R
118,118.,Dickie Thon (15),3198,R
119,120.,Gary Disarcina (12),3172,R
120,121.,Hughie Jennings+ (18),3143,R
121,122.,Frank Taveras (11),3099,R
122,123.,Arthur Irwin (13),3093,R
123,124.,Kid Elberfeld (14),3080,R
124,125.,Cesar Izturis (13),3078,R
125,126.,Shorty Fuller (9),3051,R
126,127.,"Andrelton Simmons (9, 30)",3004,R
127,128.,Bobby Wine (12),2974,R
128,129.,Nomar Garciaparra (14),2955,R
129,130.,Ray Chapman (9),2950,R
130,131.,Rich Aurilia (15),2927,R
131,132.,Rey Sanchez (15),2865,R
132,133.,Julio Lugo (12),2864,R
133,134.,Joe DeMaestri (11),2852,R
134,135.,Chick Galloway (10),2839,R
135,136.,Jose Uribe (10),2821,R
136,137.,Tommy Thevenow (15),2818,R
137,138.,Granny Hamner (17),2811,R
138,138.,Johnnie LeMaster (12),2811,R
139,140.,"Asdrubal Cabrera (14, 34)",2798,R
140,141.,Chris Gomez (16),2778,R
141,142.,Yunel Escobar (11),2777,R
142,143.,Jeff Blauser (13),2735,R
143,144.,Tony Kubek (9),2734,R
144,145.,Skeeter Newsome (12),2713,R
145,146.,Hanley Ramirez (15),2690,R
146,147.,Buck Weaver (9),2670,R
147,148.,David Eckstein (10),2667,R
148,149.,Hod Ford (15),2644,R
149,150.,Rey Ordóñez (9),2642,R
150,151.,John Ward+ (17),2641,R
151,152.,Eddie Bressoud (12),2633,R
152,153.,Heinie Wagner (12),2629,R
153,154.,Stephen Drew (12),2627,R
154,155.,Juan Uribe (16),2619,R
155,156.,Frank Fennelly (7),2615,R
156,157.,Jack Barry (11),2607,R
157,158.,Yuniesky Betancourt (9),2584,R
158,159.,Tom Veryzer (12),2579,R
159,160.,Gene Michael (10),2576,R
160,161.,Charlie Hollocher (7),2569,R
161,162.,Jose Vizcaino (18),2526,R
162,163.,Woody English (12),2523,R
163,164.,"Jean Segura (9, 30)",2518,R
164,165.,Davy Force (15),2470,R
165,166.,Pat Meares (9),2469,R
166,167.,Terry Turner (17),2452,R
167,168.,"Ian Desmond (11, 34)",2451,R
168,169.,Frank Duffy (10),2445,R
169,170.,Heinie Sand (6),2443,R
170,171.,Kevin Stocker (8),2438,R
171,172.,Toby Harrah (17),2403,R
172,173.,"Starlin Castro (11, 30)",2379,R
173,174.,Jason Bartlett (10),2367,R
174,175.,Bill Gleason (8),2360,R
175,176.,Red Kress (14),2357,R
176,177.,Denis Menke (13),2355,R
177,178.,Kevin Elster (13),2351,R
178,179.,Adam Everett (11),2316,R
179,180.,Roy Smalley (11),2291,R
180,181.,Rico Petrocelli (13),2283,R
181,182.,Michael Young (14),2278,R
182,183.,"Didi Gregorius (9, 30)",2270,R
183,184.,Rabbit Warstler (11),2267,R
184,185.,Carlos Guillen (14),2258,R
185,186.,Clint Barmes (13),2256,R
186,187.,Charley O'Leary (11),2241,R
187,188.,"Jordy Mercer (9, 33)",2239,R
188,189.,Billy Myers (7),2220,R
189,190.,Scott Fletcher (15),2212,R
190,191.,"Xander Bogaerts (8, 27)",2209,R
191,192.,Felix Fermin (10),2199,R
192,193.,Mark Koenig (12),2193,R
193,194.,"Marcus Semien (8, 29)",2182,R
194,195.,Jose Hernandez (15),2174,R
195,196.,Bob Allen (7),2172,R
196,197.,Ricky Gutierrez (12),2165,R
197,198.,Johnny Lipon (9),2143,R
198,199.,Cecil Travis (12),2128,R
199,200.,Charlie Gelbert (9),2125,R
200,201.,Harvey Kuenn (15),2116,R
201,202.,"Adeiny Hechavarria (9, 31)",2085,R
202,203.,"Freddy Galvis (9, 30)",2084,R
203,204.,Hal Lanier (10),2083,R
204,205.,Chico Fernandez (8),2082,R
205,205.,Brendan Ryan (10),2082,R
206,207.,Enzo Hernandez (8),2080,R
207,208.,U L Washington (11),2077,R
208,209.,Larry Kopf (10),2054,R
209,210.,Bill Knickerbocker (10),2043,R
210,211.,Angel Berroa (9),2028,R
211,212.,Julio Franco (23),2020,R
212,213.,Topper Rigney (6),2017,R
213,214.,Billy Urbanski (7),2001,R
214,215.,Don Buddin (6),1988,R
215,216.,"José Iglesias (9, 30)",1967,R
216,217.,Jack Rowe (12),1944,R
217,218.,George Strickland (10),1941,R
218,219.,"Zack Cozart (9, 34)",1929,R
219,220.,Willy Miranda (9),1916,R
220,221.,"Francisco Lindor (6, 26)",1908,R
221,221.,Jackie Tavener (6),1908,R
222,223.,Rafael Belliard (17),1886,R
223,224.,Khalil Greene (7),1883,R
224,225.,George Wright+ (12),1881,R
225,226.,Eric McNair (14),1879,R
226,227.,Andre Rodgers (11),1870,R
227,228.,Ernie Johnson (10),1869,R
228,228.,John Peters (11),1869,R
229,230.,Larry Brown (12),1855,R
230,231.,Marco Scutaro (13),1834,R
231,232.,Luis Rivera (11),1831,R
232,233.,Johnny Pesky (10),1810,R
233,234.,Lennie Merullo (7),1808,R
234,235.,Sonny Jackson (12),1801,R
235,236.,Dick Schofield (19),1793,R
236,237.,Rudy Hulswitt (7),1787,R
237,238.,"Nick Ahmed (7, 30)",1786,R
238,239.,Bobby Crosby (8),1770,R
239,240.,Mark Grudzielanek (15),1768,R
240,241.,Frank Shugart (8),1764,R
241,242.,Ruben Amaro (11),1762,R
242,243.,Ronny Cedeno (10),1758,R
243,244.,Dale Berra (11),1754,R
244,245.,Sadie Houck (8),1748,R
245,246.,Eddie Lake (11),1719,R
246,247.,Alvaro Espinoza (12),1717,R
247,248.,John Valentin (11),1707,R
248,249.,Jose Pagan (15),1702,R
249,250.,Rafael Santana (7),1697,R
250,250.,Kurt Stillwell (9),1697,R
251,252.,"Trevor Story (5, 27)",1694,R
252,253.,Dick McAuliffe (16),1685,R
253,254.,Candy Nelson (13),1680,R
254,255.,Bill Almon (15),1673,R
255,256.,Sam Wise (12),1672,R
256,257.,Cliff Pennington (11),1663,R
257,258.,Andres Thomas (6),1632,R
258,259.,Darrel Chaney (11),1614,R
259,260.,Virgil Stallcup (7),1608,R
260,261.,Jose Offerman (15),1605,R
261,262.,Glenn Hoffman (9),1597,R
262,263.,Felipe Lopez (11),1581,R
263,264.,Andujar Cedeno (7),1575,R
264,265.,Alex Grammas (10),1569,R
265,266.,"Carlos Correa (6, 25)",1559,R
266,267.,Daryl Spencer (10),1551,R
267,268.,Ike Caveney (4),1540,R
268,269.,Buck Herzog (13),1527,R
269,270.,Sam Dente (9),1524,R
270,271.,John Sullivan (6),1516,R
271,272.,Steve Jeltz (8),1515,R
272,273.,Mario Guerrero (8),1488,R
273,273.,Phil Lewis (4),1488,R
274,275.,Woodie Held (14),1472,R
275,276.,Tom Burns (13),1461,R
276,276.,Eddie Kasko (10),1461,R
277,278.,Alex Cora (14),1459,R
278,279.,Mario Mendoza (9),1452,R
279,280.,Billy Hunter (6),1438,R
280,281.,Mariano Duncan (12),1436,R
281,281.,Jim Mason (9),1436,R
282,283.,"Tim Anderson (5, 27)",1432,R
283,284.,Dick Howser (8),1428,R
284,285.,John McDonald (16),1406,R
285,286.,Chick Fulmer (11),1399,R
286,287.,Bob Lillis (10),1386,R
287,288.,Bill White (5),1381,R
288,289.,Everth Cabrera (7),1375,R
289,289.,Solly Hemus (11),1375,R
290,291.,Hal Rhyne (7),1374,R
291,292.,Danny Thompson (7),1367,R
292,293.,Gene DeMontreville (11),1360,R
293,294.,Fred Stanley (14),1345,R
294,295.,Ryan Theriot (8),1344,R
295,296.,Manuel Lee (11),1340,R
296,297.,Joe Boley (6),1330,R
297,298.,Stan Rojek (8),1315,R
298,299.,Woody Woodward (9),1310,R
299,300.,Billy Clingman (10),1301,R
300,301.,Tom Carey (9),1294,R
301,301.,Jimmy Cooney (7),1294,R
302,303.,Jim Levey (4),1291,R
303,304.,Lee Tannehill (10),1290,R
304,305.,"Orlando Arcia (5, 25)",1288,R
305,306.,Ned Williamson (13),1286,R
306,307.,"Dansby Swanson (5, 26)",1285,R
307,308.,Jackie Hernandez (9),1283,R
308,309.,Ruben Tejada (9),1272,R
309,310.,Tony Womack (13),1268,R
310,311.,"Jed Lowrie (12, 36)",1267,R
311,312.,Bill Cissell (9),1265,R
312,313.,Ramon Santiago (13),1264,R
313,314.,Marty Perez (10),1263,R
314,315.,Rogers Hornsby+ (23),1262,R
315,315.,Joe Koppe (8),1262,R
316,317.,Juan Castro (17),1261,R
317,317.,Lonny Frey (14),1261,R
318,319.,Ray Boone (13),1260,R
319,320.,Benji Gil (8),1256,R
320,321.,Arnold Hauser (5),1246,R
321,322.,Pete Runnels (14),1231,R
322,322.,"Corey Seager (6, 26)",1231,R
323,324.,Bobby Bragan (7),1227,R
324,325.,Rey Quinones (4),1220,R
325,326.,Jimmy Esmond (4),1214,R
326,327.,Ray Oyler (6),1207,R
327,328.,Dave Anderson (10),1206,R
328,329.,Ed Caskin (7),1204,R
329,329.,Craig Counsell (16),1204,R
330,329.,Desi Relaford (11),1204,R
331,329.,Hector Torres (9),1204,R
332,333.,Ed Abbaticchio (9),1200,R
333,334.,Paul Radford (12),1187,R
334,335.,Billy Klaus (11),1169,R
335,336.,Henry Easterday (4),1168,R
336,337.,Bill Spiers (13),1165,R
337,338.,Rocky Bridges (11),1161,R
338,339.,Whitey Wietelmann (9),1148,R
339,340.,Rob Picciolo (9),1147,R
340,341.,Dale Sveum (12),1143,R
341,342.,Addison Russell (5),1142,R
342,343.,George Magoon (5),1141,R
343,344.,Dick Culler (8),1139,R
344,345.,Frank Scheibeck (8),1132,R
345,346.,Pop Smith (12),1131,R
346,347.,Tim Bogar (9),1129,R
347,348.,Bob Fisher (7),1125,R
348,349.,"Jorge Polanco (7, 26)",1113,R
349,350.,Jimmy Cooney (3),1109,R
350,351.,Skeeter Webb (12),1108,R
351,352.,Wayne Causey (11),1107,R
352,353.,Roberto Pena (6),1106,R
353,353.,Swede Risberg (4),1106,R
354,355.,Luis Gomez (8),1105,R
355,356.,Todd Cruz (6),1091,R
356,357.,Wid Conroy (11),1079,R
357,358.,Dickey Pearce (7),1076,R
358,359.,Doc Farrell (9),1070,R
359,360.,Danny Richardson (11),1062,R
360,361.,Kiko Garcia (10),1061,R
361,362.,"Trea Turner (6, 27)",1060,R
362,363.,"Paul DeJong (4, 26)",1057,R
363,364.,Travis Fryman (13),1052,R
364,365.,Rick Auerbach (11),1045,R
365,366.,Mike Gallego (13),1043,R
366,367.,"Miguel Rojas (7, 31)",1039,R
367,368.,"Jonathan Villar (8, 29)",1038,R
368,369.,Wil Cordero (14),1037,R
369,369.,Tom Tresh (9),1037,R
370,371.,Bob Meacham (6),1020,R
371,372.,Mark Christman (9),1019,R
372,372.,Lou Say (7),1019,R
373,374.,Mike Tyson (10),1013,R
374,375.,Zeb Terry (7),1012,R
375,376.,"Javier Baez (7, 27)",1009,R
376,377.,Hubie Brooks (15),1008,R
377,377.,George Scharein (4),1008,R
378,379.,David Howard (9),999,R
379,380.,Mike Aviles (10),996,R
380,381.,Jose Valdivielso (5),982,R
381,382.,Ollie Beard (3),979,R
382,383.,Tom Foley (13),977,R
383,383.,Phil Tomney (3),977,R
384,385.,Alex Cintron (9),973,R
385,386.,Pepe Frias (9),972,R
386,387.,Wayne Tolleson (10),964,R
387,388.,Joe Hoover (3),961,R
388,389.,Mike Benjamin (13),952,R
389,390.,Pat Listach (6),951,R
390,391.,Jimmy Macullar (6),949,L
391,391.,Johnny Mitchell (5),949,R
392,393.,Mark Loretta (15),944,R
393,394.,Barry McCormick (10),939,R
394,395.,Curt Wilkerson (11),938,R
395,396.,Larvell Blanks (9),932,R
396,397.,Gordon Slade (6),925,R
397,398.,Johnny Rawlings (12),923,R
398,399.,Charlie Babb (3),921,R
399,400.,Sparky Adams (13),916,R
