,Rank,"Player (yrs, age)",Games Started,Throws
220,221.,Pink Hawley (10),344,R
221,222.,Pedro Astacio (15),343,R
222,222.,Lon Warneke (15),343,R
223,224.,Theodore Breitenstein (11),342,L
224,224.,Jon Garland (13),342,R
225,226.,Roy Oswalt (13),341,R
226,226.,Charlie Root (17),341,R
227,228.,Joe Coleman (15),340,R
228,228.,Red Donahue (13),340,R
229,228.,Johnny Podres (15),340,L
230,228.,Rube Waddell+ (13),340,L
231,232.,Todd Stottlemyre (14),339,R
232,233.,Murry Dickson (18),338,R
233,233.,Howard Ehmke (15),338,R
234,235.,Kirk Rueter (13),336,L
235,236.,Chief Bender+ (16),334,R
236,236.,Danny MacFayden (17),334,R
237,238.,Esteban Loaiza (14),333,R
238,238.,Mike McCormick (16),333,L
239,238.,Bob Shawkey (15),333,R
240,238.,Jack Stivetts (11),333,R
241,238.,Ed Whitson (15),333,R
242,243.,Josh Beckett (14),332,R
243,243.,Mordecai Brown+ (14),332,R
244,243.,Chris Carpenter (15),332,R
245,243.,Jack Chesbro+ (11),332,R
246,243.,Terry Mulholland (20),332,L
247,243.,Dick Ruthven (14),332,R
248,243.,Hippo Vaughn (13),332,L
249,250.,Matt Cain (13),331,R
250,250.,Darryl Kile (12),331,R
251,250.,Ted Lilly (15),331,L
252,250.,Claude Passeau (13),331,R
253,250.,Jered Weaver (12),331,R
254,255.,Ned Garver (14),330,R
255,255.,Fritz Peterson (11),330,L
256,255.,Woody Williams (15),330,R
257,258.,Larry Dierker (14),329,R
258,258.,Mark Gubicza (14),329,R
259,258.,Hal Schumacher (13),329,R
260,261.,Mark Baldwin (7),328,R
261,261.,"Gio Gonzalez (13, 34)",328,L
262,261.,Willis Hudlin (16),328,R
263,261.,Ray Sadecki (18),328,L
264,261.,Virgil Trucks (17),328,R
265,266.,Stan Bahnsen (16),327,R
266,266.,Bill Donovan (18),327,R
267,266.,Jon Lieber (14),327,R
268,266.,"Anibal Sanchez (15, 36)",327,R
269,270.,Earl Moore (14),326,R
270,270.,"Adam Wainwright (15, 38)",326,R
271,272.,George Bradley (11),325,R
272,272.,Carl Mays (15),325,R
273,272.,Al Spalding+ (8),325,R
274,275.,Danny Jackson (15),324,L
275,275.,Cliff Lee (13),324,L
276,277.,Wes Ferrell (15),323,R
277,277.,Ron Guidry (14),323,L
278,279.,John Denny (13),322,R
279,279.,Woodie Fryman (18),322,L
280,279.,Guy Hecker (9),322,R
281,279.,Dizzy Trout (15),322,R
282,283.,Bob Rush (13),321,R
283,283.,Jesse Tannehill (15),321,L
284,285.,Lefty Gomez+ (14),320,L
285,285.,Art Nehf (15),320,L
286,287.,Brad Penny (14),319,R
287,287.,Mike Scott (13),319,R
288,289.,Frank Dwyer (12),318,R
289,289.,Pete Harnisch (14),318,R
290,289.,"Edwin Jackson (17, 36)",318,R
291,289.,Eddie Lopat (12),318,L
292,289.,Jason Marquis (15),318,R
293,289.,Jon Matlack (13),318,L
294,289.,Hideo Nomo (12),318,R
295,296.,Al Downing (17),317,L
296,296.,Dock Ellis (12),317,R
297,296.,Urban Shocker (13),317,R
298,299.,Ken Hill (14),315,R
299,299.,Ubaldo Jimenez (12),315,R
300,299.,Ed Walsh+ (14),315,R
301,302.,Sandy Koufax+ (12),314,L
302,302.,Jason Schmidt (14),314,R
303,304.,Tom Hughes (13),313,R
304,305.,Jesse Barnes (13),312,R
305,305.,Ricky Nolasco (12),312,R
306,307.,Rube Benton (15),311,L
307,307.,Bert Cunningham (12),311,R
308,307.,"David Price (12, 34)",311,L
309,310.,Bob Caruthers (10),310,R
310,310.,Dick Ellsworth (13),310,L
311,310.,Earl Wilson (11),310,R
312,313.,Mike Boddicker (14),309,R
313,313.,Red Ehret (11),309,R
314,313.,Scott McGregor (13),309,L
315,313.,Jaime Navarro (12),309,R
316,313.,Allie Reynolds (13),309,R
317,318.,Guy Bush (17),308,R
318,318.,"Johnny Cueto (13, 34)",308,R
319,318.,Jouett Meekin (10),308,R
320,318.,Chris Short (15),308,L
321,318.,Bill Singer (14),308,R
322,323.,Mike Caldwell (14),307,L
323,323.,Yovani Gallardo (12),307,R
324,323.,Ed Morris (7),307,L
325,323.,Sonny Siebert (12),307,R
326,327.,Pat Hentgen (14),306,R
327,327.,Slim Sallee (14),306,L
328,327.,Rube Walberg (15),306,L
329,330.,Joaquin Andujar (13),305,R
330,330.,Jack Billingham (13),305,R
331,330.,Sadie McMahon (9),305,R
332,333.,Ray Burris (15),302,R
333,333.,Dennis Leonard (12),302,R
334,333.,Red Lucas (16),302,R
335,333.,Carlos Zambrano (12),302,R
336,337.,Don Cardwell (14),301,R
337,337.,Ice Box Chamberlain (10),301,R
338,339.,Tom Browning (12),300,L
339,339.,R.A. Dickey (15),300,R
340,339.,Sid Fernandez (15),300,L
341,339.,Frank Killen (10),300,L
342,339.,"Francisco Liriano (14, 36)",300,L
343,339.,Win Mercer (9),300,R
344,339.,Dan Petry (13),300,R
345,339.,Ed Reulbach (13),300,R
346,339.,Jarrod Washburn (12),300,L
347,348.,Sam Leever (13),299,R
348,348.,Mike Witt (12),299,R
349,350.,Jason Hammel (13),298,R
350,350.,"J.A. Happ (14, 37)",298,L
351,352.,Scott Kazmir (12),297,L
352,352.,Ramon Martinez (14),297,R
353,352.,Charles Nagy (14),297,R
354,352.,Wilbur Wood (17),297,L
355,356.,Bud Black (15),296,L
356,356.,"Mike Leake (10, 32)",296,R
357,358.,"Madison Bumgarner (12, 30)",295,L
358,358.,Richard Dotson (12),295,R
359,358.,Ross Grimsley (11),295,L
360,358.,Andy Messersmith (12),295,R
361,362.,Dean Chance (11),294,R
362,362.,Don Newcombe (10),294,R
363,362.,Jimmy Ring (12),294,R
364,362.,Walt Terrell (11),294,R
365,366.,Mudcat Grant (14),293,R
366,366.,Jack Sanford (12),293,R
367,368.,General Crowder (11),292,R
368,368.,Pretzels Getzien (9),292,R
369,368.,Matt Kilroy (10),292,L
