,Rank,"Player (yrs, age)",Assists as 1B,Throws
97,98.,Rod Carew+ (19),774,R
98,99.,James Loney (11),768,L
99,100.,David Segui (15),766,L
100,100.,Gus Suhr (11),766,R
101,102.,Dick Stuart (10),758,R
102,103.,Chick Gandil (9),754,R
103,104.,Darrell Evans (21),752,R
104,104.,Hal Trosky (11),752,R
105,106.,Tommy Tucker (13),750,R
106,107.,Prince Fielder (12),744,R
107,107.,Earl Sheely (9),744,R
108,109.,Dick Siebert (11),741,L
109,110.,Kitty Bransfield (12),737,R
110,111.,Dan Driessen (15),732,R
111,112.,"Miguel Cabrera (18, 37)",727,R
112,113.,Hank Greenberg+ (13),724,R
113,114.,Eddie Waitkus (11),716,L
114,115.,Willie Montanez (14),714,L
115,116.,Tony Clark (15),709,R
116,116.,Jim Thome+ (22),709,R
117,118.,Ron Fairly (21),704,L
118,119.,Mo Vaughn (12),703,R
119,120.,Tom Jones (8),698,R
120,121.,Don Mincher (13),696,R
121,122.,Wes Parker (9),695,L
122,123.,Cecil Fielder (13),691,R
123,124.,Stan Musial+ (22),688,L
124,125.,Hal Morris (13),685,L
125,126.,Greg Brock (10),684,R
126,127.,"Brandon Belt (10, 32)",677,L
127,128.,Walt Dropo (13),672,R
128,129.,Walter Holke (11),665,L
129,129.,Pete Rose (24),665,R
130,131.,Dick Hoblitzell (11),661,R
131,132.,Dan Brouthers+ (19),655,L
132,133.,Bob Watson (19),653,R
133,134.,Jack Doyle (17),651,R
134,135.,Buddy Hassett (7),649,L
135,136.,Dee Fondy (8),641,L
136,137.,Eddie Robinson (13),636,R
137,138.,Joe Pepitone (12),627,L
138,139.,Phil Todt (8),623,L
139,140.,Glenn Davis (10),617,R
140,141.,Frank Chance+ (17),615,R
141,142.,Bruce Bochte (12),614,L
142,143.,Rico Brogna (9),609,L
143,144.,Ripper Collins (9),608,L
144,145.,Zeke Bonura (7),595,R
145,146.,Kevin Young (12),590,R
146,147.,Babe Dahlgren (12),587,R
147,148.,Don Hurst (7),586,L
148,149.,Jeff Conine (17),584,R
149,149.,Travis Lee (9),584,L
150,151.,Lance Berkman (15),580,L
151,152.,Kevin Millar (12),578,R
152,153.,"Chris Davis (13, 34)",573,R
153,154.,Alvin Davis (9),572,R
154,155.,Norm Siebern (12),571,R
155,156.,Nate Colbert (10),568,R
156,157.,Jim Gentile (9),564,L
157,158.,"Mitch Moreland (11, 34)",562,L
158,159.,Sean Casey (12),558,R
159,160.,Jiggs Donahue (9),556,L
160,161.,Harmon Killebrew+ (22),555,R
161,162.,Roy Sievers (17),551,R
162,163.,Dale Long (10),550,L
163,164.,Nick Etten (9),545,L
164,164.,Casey Kotchman (10),545,L
165,166.,"Carlos Santana (11, 34)",539,R
166,167.,Mike Jorgensen (17),537,L
167,168.,Jack Burns (7),525,L
168,169.,Jason Giambi (20),514,R
169,170.,Tommy McCraw (13),513,L
170,171.,Carl Yastrzemski+ (23),512,R
171,172.,Charlie Comiskey+ (13),510,R
172,172.,Whitey Lockman (15),510,R
173,172.,"Justin Smoak (11, 33)",510,L
174,175.,Doc Johnston (11),507,L
175,176.,Andre Thornton (14),501,R
176,177.,Frank Thomas+ (19),497,R
177,178.,Paul Sorrento (11),495,R
178,179.,Joe Torre+ (18),478,R
179,180.,Mike Epstein (9),477,L
180,181.,"José Abreu (7, 33)",465,R
181,182.,Jake Stahl (9),462,R
182,183.,Danny Cater (12),458,R
183,184.,"Yonder Alonso (10, 33)",457,R
184,184.,Candy LaChance (12),457,R
185,186.,Frank Isbell (10),455,R
186,186.,Ryan Klesko (16),455,L
187,188.,Bob Robertson (11),453,R
188,189.,Ed Bouchee (7),451,L
189,190.,Dave Bergman (17),448,L
190,190.,Gordy Coleman (9),448,R
191,192.,Doug Mientkiewicz (12),447,R
192,192.,Vic Wertz (17),447,R
193,194.,Lee Stevens (10),445,L
194,195.,Mike Sweeney (16),442,R
195,196.,Greg Colbrunn (13),436,R
196,197.,Al Oliver (18),433,L
197,198.,Randy Milligan (8),424,R
198,199.,Dick Gernert (11),423,R
199,199.,Nick Johnson (10),423,L
200,201.,Perry Werden (7),420,R
201,202.,Dick Allen (15),418,R
202,202.,Deron Johnson (16),418,R
203,204.,John Ganzel (7),416,R
204,205.,Dots Miller (12),407,R
205,206.,Buck Jordan (10),405,R
206,207.,Scott Hatteberg (14),404,R
207,208.,Mike Napoli (12),403,R
208,209.,Tony Lupien (6),399,L
209,210.,Joe Harris (10),388,R
210,210.,Ron Jackson (10),388,R
211,212.,Steve Balboni (11),386,R
212,212.,Kevin Youkilis (10),386,R
213,214.,Willie Stargell+ (21),384,L
214,215.,Gerald Perry (13),382,R
215,216.,Vic Saier (8),378,R
216,217.,Leon Durham (10),377,L
217,218.,Joe Collins (10),376,L
218,218.,John Kruk (10),376,L
219,218.,Joe Mauer (15),376,R
220,221.,John Morrill (15),375,R
221,222.,Franklin Stubbs (10),370,L
222,223.,Charlie Carr (7),367,R
223,224.,Sam Leslie (10),366,L
224,225.,Garrett Jones (8),365,L
225,226.,Jeff King (11),364,R
226,226.,Mark Reynolds (13),364,R
227,228.,Enos Cabell (15),363,R
228,228.,Greg Walker (9),363,R
229,230.,"Matt Adams (9, 31)",360,R
230,231.,Steve Bilko (10),359,R
231,231.,Jack Clark (18),359,R
232,233.,Sid Farrar (8),358,R
233,234.,John Jaha (10),356,R
234,235.,Fred Whitfield (9),353,L
235,236.,Ike Davis (7),352,L
236,237.,Dave Magadan (16),347,R
237,238.,Pete Runnels (14),346,R
238,239.,Mickey Rocco (4),342,L
239,240.,Adam Lind (12),339,L
240,240.,Gaby Sanchez (7),339,R
241,242.,"Logan Morrison (11, 32)",336,L
242,243.,John Anderson (14),332,R
243,244.,Ed Morgan (7),330,R
244,244.,Ray Sanders (7),330,R
245,246.,Dale Alexander (5),328,R
246,246.,Pat Tabler (12),328,R
247,248.,Norm Larker (6),326,L
248,249.,Pat Putnam (8),323,R
249,249.,Mike Squires (10),323,L
250,251.,Darin Erstad (14),320,L
251,252.,Tony Horton (7),318,R
252,253.,Joe Hauser (6),316,L
253,254.,Aubrey Huff (13),315,R
254,254.,Dave Revering (5),315,R
255,256.,Dick Kryhoski (7),312,L
256,257.,Dave Kingman (16),311,R
257,258.,Lucas Duda (10),309,R
258,258.,Pedro Guerrero (15),309,R
259,260.,Frank Torre (7),308,L
260,261.,"Josh Bell (5, 27)",305,R
261,261.,Julio Franco (23),305,R
262,261.,Bill Phillips (10),305,R
263,264.,Ben Broussard (7),303,L
264,264.,Babe Young (8),303,L
265,266.,Todd Benzinger (9),301,R
266,267.,Willie Aikens (8),300,R
267,267.,Bud Clancy (9),300,L
268,269.,Joe Cunningham (12),299,L
269,269.,Todd Zeile (16),299,R
270,271.,Preston Ward (9),297,R
271,272.,George Brett+ (21),291,R
272,273.,Patsy Tebeau (13),290,R
273,274.,"Daniel Murphy (12, 35)",289,R
274,275.,Ed Cartwright (5),288,R
275,275.,Dan Meyer (12),288,R
276,277.,John Milner (12),287,L
277,278.,Mike Hegan (12),286,L
278,278.,John Reilly (10),286,R
279,280.,Dick Burrus (6),284,L
280,281.,George Crowe (9),283,L
281,282.,Harry Heilmann+ (17),282,R
282,282.,Howie Schultz (6),282,R
283,284.,Del Bissonette (5),281,L
284,285.,Ken Harrelson (9),280,R
285,286.,Adam Dunn (14),279,R
286,287.,Mike Ivie (11),278,R
287,288.,Gene Tenace (15),275,R
288,288.,Lee Thomas (8),275,R
289,290.,Daric Barton (8),274,R
290,291.,Tito Francona (15),271,L
291,292.,Luke Easter (6),270,R
292,293.,Larry Biittner (14),269,L
293,294.,Billy Butler (10),268,R
294,295.,Nick Swisher (12),267,L
295,296.,Rich Reese (10),266,L
296,297.,"Yuli Gurriel (5, 36)",265,R
297,298.,Lamar Johnson (9),263,R
298,299.,Carlos Quintana (5),259,R
299,300.,Fritz Mollwitz (7),254,R
300,300.,Dave Orr (8),254,R
301,300.,Bob Unglaub (6),254,R
302,303.,"C.J. Cron (7, 30)",252,R
303,304.,John Mabry (14),251,R
304,304.,"Matt Olson (5, 26)",251,R
305,306.,Henry Larkin (10),250,R
306,307.,Von Hayes (12),247,R
307,308.,Billy Goodman (16),245,R
308,308.,Claude Rossman (5),245,L
309,310.,Nick Esasky (8),244,R
310,311.,Johnny Hopp (14),243,L
311,312.,Lew Fonseca (12),242,R
312,312.,Johnny McCarthy (11),242,L
313,314.,Dmitri Young (13),240,R
314,315.,Ed Stevens (6),239,L
315,316.,George Grantham (13),238,R
316,317.,Ryan Garko (6),237,R
317,317.,Dick Sisler (8),237,R
318,317.,Rusty Staub (23),237,R
319,320.,Shano Collins (16),235,R
320,321.,Ron Coomer (9),234,R
321,322.,Felipe Alou (17),233,R
322,322.,Gail Harris (6),233,L
323,324.,Jack Boyle (13),232,R
324,325.,Jim Hickman (13),231,R
325,325.,Gene Paulette (6),231,R
326,327.,Joe Start (16),229,L
327,328.,Tim Jordan (7),228,R
328,328.,Pete LaCock (9),228,L
329,328.,Dave McCarty (11),228,L
330,331.,Kendrys Morales (13),227,R
331,332.,Brian Daubach (8),226,R
332,332.,Bob Horner (10),226,R
333,334.,"Edwin Encarnacion (16, 37)",225,R
334,335.,Don Kolloway (12),224,R
335,335.,Orlando Merced (13),224,R
336,335.,Scott Spiezio (12),224,R
337,338.,Bob Boyd (9),223,L
338,339.,Gregg Jefferies (14),221,R
339,340.,Justin Bour (6),220,R
340,340.,Les Fleming (7),220,L
341,340.,Del Gainer (10),220,R
342,343.,Pop Dillon (5),219,R
343,344.,Harvey Hendrick (11),218,R
344,344.,Brian Hunter (9),218,L
345,344.,Phil Weintraub (7),218,L
346,347.,Ricky Jordan (8),217,R
347,348.,Richie Hebner (18),216,R
348,349.,Scott Stahoviak (5),215,R
349,350.,Charlie Hickman (12),213,R
350,350.,Mark Trumbo (10),213,R
351,350.,Ty Wigginton (12),213,R
352,353.,Shea Hillenbrand (7),212,R
353,354.,Tom Paciorek (18),211,R
354,355.,"Chris Carter (8, 33)",209,R
355,355.,Pancho Herrera (3),209,R
356,357.,Tom Hutton (12),207,L
357,358.,Phil Nevin (12),202,R
358,359.,Dave Stapleton (7),201,R
359,359.,Marv Throneberry (7),201,L
360,359.,"Ryan Zimmerman (15, 35)",201,R
361,362.,"Jesus Aguilar (7, 30)",199,R
362,362.,Dave Foutz (13),199,R
363,362.,Tony Solaita (7),199,L
364,362.,Brett Wallace (6),199,R
365,366.,Joe Kelley+ (17),198,R
366,367.,Rocky Nelson (9),197,L
367,368.,Roy Cullenbine (10),196,R
368,369.,Frank Howard (16),195,R
369,369.,Carlos Lee (14),195,R
370,369.,Bob Oliver (8),195,R
371,372.,Ray Grimes (6),194,R
372,372.,Hap Myers (5),194,R
373,374.,Mike Jacobs (7),192,R
374,374.,Harry Swacina (4),192,R
375,376.,Lou Finney (15),191,R
376,376.,Bert Haas (9),191,R
377,376.,Conor Jackson (7),191,R
378,376.,Hughie Jennings+ (18),191,R
379,376.,Dan Johnson (10),191,R
380,381.,George Metkovich (10),189,L
381,382.,Tony Muser (9),187,L
382,383.,Jose Offerman (15),186,R
383,383.,Frank Robinson+ (21),186,R
384,385.,Hank Arft (5),184,L
385,386.,Bill Everitt (7),183,R
386,387.,Buck Ewing+ (18),180,R
387,387.,Kevin Seitzer (12),180,R
388,387.,Randall Simon (8),180,L
389,390.,Curt Blefary (8),177,R
390,390.,Bill Sweeney (3),177,R
391,390.,Frank Thomas (16),177,R
392,393.,Carmelo Martinez (9),175,R
393,394.,Ray Knight (13),174,R
394,394.,Jake Virtue (5),174,L
395,396.,Chuck Harrison (5),173,R
396,396.,Nippy Jones (8),173,R
397,396.,Norm Zauchin (6),173,R
398,399.,"Rhys Hoskins (4, 27)",172,R
399,400.,"Christian Walker (6, 29)",171,R
