,Rank,"Player (yrs, age)",Fielding % as C,Throws
160,161.,Damon Berryhill (10),.9880,R
161,161.,Rick Dempsey (24),.9880,R
162,161.,Bill Dickey+ (17),.9880,R
163,164.,Bob Tillman (9),.9879,R
164,165.,Joel Skinner (9),.9878,R
165,165.,Ed Taubensee (11),.9878,R
166,167.,Carlton Fisk+ (24),.9877,R
167,167.,Jeff Reed (17),.9877,R
168,169.,Pat Borders (17),.9876,R
169,169.,Smoky Burgess (18),.9876,R
170,169.,Todd Hundley (14),.9876,R
171,169.,Mike Scioscia (13),.9876,R
172,173.,Clint Courtney (11),.9875,R
173,174.,Clay Dalrymple (12),.9874,R
174,174.,Del Rice (17),.9874,R
175,176.,Benito Santiago (20),.9873,R
176,177.,Andy Etchebarren (15),.9872,R
177,177.,Gus Triandos (13),.9872,R
178,177.,Steve Yeager (15),.9872,R
179,180.,Joe Ferguson (14),.9871,R
180,180.,Ed Herrmann (11),.9871,R
181,180.,Don Slaught (16),.9871,R
182,183.,Jody Davis (10),.9870,R
183,183.,Ryan Doumit (10),.9870,R
184,183.,Geno Petralli (12),.9870,R
185,183.,Ozzie Virgil (11),.9870,R
186,187.,Fred Kendall (12),.9869,R
187,187.,J.C. Martin (14),.9869,R
188,187.,Ted Simmons+ (21),.9869,R
189,190.,Johnny Oates (11),.9868,R
190,191.,Earl Grace (8),.9867,R
191,191.,Gregg Zaun (16),.9867,R
192,193.,Joe Astroth (10),.9866,R
193,193.,George Mitterwald (11),.9866,R
194,195.,Ray Hayworth (15),.9865,R
195,196.,Junior Ortiz (13),.9864,R
196,197.,Ed Bailey (14),.9862,R
197,197.,Hank Foiles (11),.9862,R
198,197.,Phil Roof (15),.9862,R
199,200.,Bo Diaz (13),.9861,R
200,201.,Duke Sims (11),.9860,R
201,202.,Bob Boone (19),.9859,R
202,202.,Joe Garagiola (9),.9859,R
203,202.,Hal Smith (10),.9859,R
204,205.,Milt May (15),.9858,R
205,205.,Manny Sanguillen (13),.9858,R
206,205.,Gene Tenace (15),.9858,R
207,208.,Alan Ashby (17),.9857,R
208,208.,Moe Berg (15),.9857,R
209,210.,Stan Lopata (13),.9856,R
210,211.,Barry Foote (10),.9854,R
211,211.,Ray Fosse (12),.9854,R
212,211.,Terry Kennedy (14),.9854,R
213,214.,Brian Harper (16),.9853,R
214,215.,John Stearns (11),.9851,R
215,215.,Chris Widger (10),.9851,R
216,217.,Shanty Hogan (13),.9850,R
217,218.,Mickey Cochrane+ (13),.9849,R
218,218.,Harry Danning (10),.9849,R
219,218.,Wes Westrum (11),.9849,R
220,221.,Paul Casanova (10),.9847,R
221,222.,Al Lopez+ (19),.9845,R
222,222.,Buck Martinez (17),.9845,R
223,222.,Bob Swift (14),.9845,R
224,225.,Bob Brenly (9),.9844,R
225,225.,Tim Laudner (9),.9844,R
226,227.,Sammy White (11),.9842,R
227,228.,Dave Duncan (11),.9841,R
228,228.,Jim Essian (12),.9841,R
229,228.,Rick Ferrell+ (18),.9841,R
230,228.,Rich Gedman (13),.9841,R
231,232.,Gabby Hartnett+ (20),.9840,R
232,232.,Clyde McCullough (15),.9840,R
233,234.,Spud Davis (16),.9837,R
234,234.,Roy Spencer (12),.9837,R
235,236.,Bob Stinson (12),.9836,R
236,237.,Bubbles Hargrave (12),.9835,R
237,237.,Ed Ott (8),.9835,R
238,237.,Kelly Stinnett (14),.9835,R
239,240.,Dave Rader (10),.9832,R
240,241.,Phil Masi (14),.9831,R
241,241.,Ken O'Dea (12),.9831,R
242,241.,Mike Tresh (12),.9831,R
243,244.,Joe Ginsberg (13),.9830,R
244,244.,Johnny Peacock (9),.9830,R
245,246.,Hobie Landrith (14),.9829,R
246,247.,Chris Cannizzaro (13),.9826,R
247,248.,Darrell Porter (17),.9825,R
248,249.,Charlie Berry (11),.9824,R
249,249.,Muddy Ruel (19),.9824,R
250,251.,Thurman Munson (11),.9822,R
251,252.,John Wathan (10),.9821,R
252,253.,John Bateman (10),.9820,R
253,254.,Jamie Quirk (18),.9817,R
254,255.,Hank DeBerry (11),.9816,R
255,255.,Mickey Owen (13),.9816,R
256,257.,Mike Heath (14),.9809,R
257,257.,Ray Schalk+ (18),.9809,R
258,259.,Jeff Newman (9),.9807,R
259,259.,Hal Wagner (12),.9807,R
260,261.,Dick Dietz (8),.9805,R
261,261.,Frank Snyder (16),.9805,R
262,263.,Andy Allanson (8),.9804,R
263,263.,Walter Schmidt (10),.9804,R
264,265.,Johnny Bassler (9),.9802,R
265,266.,Mike González (17),.9801,R
266,267.,Charlie Moore (15),.9797,R
267,268.,Alex Trevino (13),.9795,R
268,269.,Al Evans (12),.9787,R
269,270.,Ernie Lombardi+ (17),.9786,R
270,271.,Clyde Kluttz (9),.9784,R
271,272.,Les Moss (13),.9783,R
272,273.,Birdie Tebbetts (14),.9782,R
273,274.,John Henry (9),.9781,R
274,275.,Cy Perkins (17),.9780,R
275,276.,Hank Severeid (15),.9778,R
276,277.,Rollie Hemsley (19),.9777,R
277,278.,Frankie Hayes (14),.9775,R
278,278.,Gus Mancuso (17),.9775,R
279,278.,Luke Sewell (20),.9775,R
280,281.,George Gibson (14),.9773,R
281,281.,Jimmie Wilson (18),.9773,R
282,283.,Andy Seminick (15),.9769,R
283,283.,Zack Taylor (16),.9769,R
284,285.,Al Todd (11),.9768,R
285,286.,Walker Cooper (18),.9766,R
286,287.,Bill Killefer (13),.9765,R
287,288.,Billy Sullivan (16),.9763,R
288,289.,Bob O'Farrell (21),.9759,R
289,290.,Jake Early (9),.9758,R
290,291.,Pat Moran (14),.9757,R
291,292.,Ed FitzGerald (12),.9754,R
292,293.,Tommy Clarke (10),.9753,R
293,293.,Hank Gowdy (17),.9753,R
294,295.,Chief Meyers (9),.9743,R
295,296.,Glenn Myatt (16),.9741,R
296,297.,Babe Phelps (11),.9736,R
297,298.,Otto Miller (13),.9733,R
298,299.,Johnny Gooch (11),.9728,R
299,299.,Larry McLean (13),.9728,R
300,299.,Bill Rariden (12),.9728,R
301,302.,Les Nunamaker (12),.9725,R
302,302.,Steve O'Neill (17),.9725,R
303,304.,Bill Bergen (11),.9724,R
304,305.,Mickey O'Neil (9),.9722,R
305,306.,Art Wilson (14),.9718,R
306,307.,Red Kleinow (8),.9716,R
307,307.,Al Spohrer (8),.9716,R
308,309.,Jimmy Archer (12),.9711,R
309,309.,Butch Henline (11),.9711,R
310,309.,Earl Smith (12),.9711,R
311,312.,Lou Criger (16),.9710,R
312,312.,Johnny Kling (13),.9710,R
313,314.,Bill Carrigan (10),.9707,R
314,315.,Roger Bresnahan+ (17),.9706,R
315,316.,Val Picinich (18),.9700,R
316,317.,Ossee Schrecongost (11),.9696,R
317,318.,Jack Lapp (9),.9691,R
318,319.,Ed Phelps (11),.9684,R
319,320.,Admiral Schlei (8),.9676,R
320,321.,Wally Schang (19),.9674,R
321,322.,Ed McFarland (14),.9666,R
322,323.,Harry Bemis (9),.9663,R
323,324.,Eddie Ainsmith (15),.9660,R
324,324.,Jack Warner (14),.9660,R
325,326.,Doc Powers (11),.9648,R
326,327.,Ed Sweeney (9),.9641,R
327,328.,Heinie Peitz (16),.9627,R
328,329.,Frank Bowerman (15),.9625,R
329,330.,Ivey Wingo (17),.9618,R
330,331.,Jack O'Connor (21),.9616,R
331,332.,Oscar Stanage (14),.9611,R
332,333.,Malachi Kittridge (16),.9608,R
333,334.,Joe Sugden (13),.9568,R
334,335.,Red Dooin (15),.9567,R
335,336.,Sam Agnew (7),.9551,R
336,337.,Chief Zimmer (19),.9517,R
337,338.,Jack Ryan (13),.9471,R
338,339.,Boileryard Clarke (13),.9470,R
339,340.,Mike Grady (11),.9458,R
340,341.,John Grim (11),.9427,R
341,342.,Charlie Bennett (15),.9421,R
342,343.,Wilbert Robinson+ (17),.9415,R
343,344.,Duke Farrell (18),.9379,R
344,344.,Deacon McGuire (26),.9379,R
345,346.,Jack Clements (17),.9371,L
346,347.,Morgan Murphy (11),.9360,R
347,348.,Charlie Ganzel (14),.9346,R
348,349.,Pop Schriver (14),.9340,R
349,350.,Buck Ewing+ (18),.9306,R
350,351.,Jocko Milligan (10),.9303,R
351,352.,Jack Boyle (13),.9293,R
352,353.,Connie Mack+ (11),.9269,R
353,354.,Farmer Vaughn (13),.9264,R
354,355.,Doggie Miller (13),.9177,R
355,356.,Doc Bushong (13),.9158,R
356,357.,Con Daily (12),.9126,R
357,358.,Silver Flint (13),.9109,R
358,359.,Bill Holbert (12),.9074,R
359,360.,King Kelly+ (16),.8925,R
360,361.,Pop Snyder (18),.8919,R
