,Rank,"Player (yrs, age)",Putouts as RF (s.1901),Throws
372,373.,Hank Edwards (11),527,L
373,374.,Chuck Workman (6),526,R
374,375.,Johnny Barrett (5),525,L
375,375.,Wes Schulmerich (4),525,R
376,377.,Harvey Kuenn (15),524,R
377,378.,Ed Coleman (5),521,R
378,379.,Bill Robinson (16),520,R
379,380.,Ken Harrelson (9),515,R
380,380.,David Murphy (10),515,L
381,382.,Jim Dwyer (18),513,L
382,383.,Darryl Hamilton (13),512,R
383,383.,Russ Snyder (12),512,R
384,383.,Walt Williams (10),512,R
385,386.,Max Marshall (3),511,R
386,387.,Casey Blake (13),510,R
387,387.,Garrett Jones (8),510,L
388,389.,Dan Pasqua (10),509,L
389,390.,Lou Piniella (18),506,R
390,391.,Milton Bradley (12),505,R
391,392.,Gabe Gross (7),504,R
392,393.,Darren Bragg (11),502,R
393,394.,"Ryan Braun (14, 36)",500,R
394,394.,Paul Householder (8),500,R
395,396.,Aubrey Huff (13),499,R
396,397.,Bob Bailor (11),498,R
397,397.,Andy Kosco (10),498,R
398,399.,Al Pilarcik (6),497,L
399,400.,"Randal Grichuk (7, 28)",496,R
