,Rank,"Player (yrs, age)",Sit. Wins Saved (WPA/LI),Throws
174,175.,George Uhle (17),12.32,R
175,176.,Carlos Zambrano (12),12.10,R
176,177.,Keith Foulke (11),12.08,R
177,177.,Teddy Higuera (9),12.08,L
178,179.,Jered Weaver (12),12.07,R
179,180.,Derek Lowe (17),12.02,R
180,181.,Mark Gubicza (14),11.97,R
181,182.,Sal Maglie (10),11.92,R
182,182.,Bruce Sutter+ (12),11.92,R
183,184.,Tex Hughson (8),11.89,R
184,185.,Larry Jansen (9),11.85,R
185,186.,Bill Lee (14),11.82,R
186,187.,Sam McDowell (15),11.81,L
187,188.,Joe Horlen (12),11.79,R
188,189.,"Aroldis Chapman (11, 32)",11.78,L
189,190.,"Craig Kimbrel (11, 32)",11.77,R
190,191.,Jim Maloney (12),11.73,R
191,192.,Ellis Kinder (12),11.68,R
192,193.,Doug Drabek (13),11.65,R
193,194.,Bobo Newsom (20),11.64,R
194,195.,Troy Percival (14),11.63,R
195,196.,Howie Pollet (14),11.61,L
196,197.,Dave McNally (14),11.59,L
197,198.,Dizzy Trout (15),11.52,R
198,199.,Alex Fernandez (10),11.38,R
199,200.,Sad Sam Jones (22),11.37,R
200,201.,Rudy May (16),11.26,L
201,202.,"David Robertson (12, 35)",11.25,R
202,203.,Kelvim Escobar (12),11.16,R
203,203.,Al Leiter (19),11.16,L
204,205.,John Wetteland (12),11.00,R
205,206.,Watty Clark (12),10.98,L
206,207.,Dick Hall (19),10.94,R
207,208.,Ben McDonald (9),10.85,R
208,209.,Arthur Rhodes (20),10.82,L
209,209.,Jason Schmidt (14),10.82,R
210,209.,Don Wilson (9),10.82,R
211,212.,Ray Kremer (10),10.69,R
212,212.,"Sergio Romo (13, 37)",10.69,R
213,214.,Huston Street (13),10.64,R
214,215.,Johnny Murphy (13),10.63,R
215,216.,"Dallas Keuchel (9, 32)",10.49,L
216,217.,Mark Eichhorn (11),10.48,R
217,218.,Ken Forsch (16),10.44,R
218,219.,General Crowder (11),10.40,R
219,220.,Rube Walberg (15),10.34,L
220,221.,Bobby Shantz (16),10.30,L
221,222.,Johnny Morrison (10),10.29,R
222,223.,John Franco (21),10.27,L
223,224.,Jarrod Washburn (12),10.25,L
224,225.,Don McMahon (18),10.22,R
225,226.,Harry Gumbert (15),10.14,R
226,227.,Whit Wyatt (16),10.07,R
227,228.,Koji Uehara (9),10.06,R
228,229.,Curt Simmons (20),10.04,L
229,230.,Fred Toney (12),10.02,R
230,231.,"Joakim Soria (13, 36)",10.01,R
231,232.,Don Mossi (12),9.98,L
232,233.,Kenny Rogers (20),9.88,L
233,234.,Van Mungo (14),9.85,R
234,235.,"Mark Melancon (12, 35)",9.80,R
235,236.,Allie Reynolds (13),9.75,R
236,236.,Brad Ziegler (11),9.75,R
237,238.,Billy O'Dell (13),9.72,L
238,239.,Johnny Antonelli (12),9.68,L
239,240.,Jack McDowell (12),9.64,R
240,241.,Don Gullett (9),9.63,L
241,241.,Mark Langston (16),9.63,L
242,243.,Mario Soto (12),9.62,R
243,244.,Doug Jones (16),9.55,R
244,245.,Ron Reed (19),9.54,R
245,246.,Ed Brandt (11),9.51,L
246,246.,Dennis Leonard (12),9.51,R
247,246.,Monte Pearson (10),9.51,R
248,246.,Preacher Roe (12),9.51,L
249,250.,"Gio Gonzalez (13, 34)",9.42,L
250,251.,Jesse Barnes (13),9.40,R
251,252.,John Hiller (15),9.39,L
252,253.,"Yu Darvish (8, 33)",9.35,R
253,254.,Armando Benitez (15),9.34,R
254,255.,Johnny Rigney (8),9.29,R
255,256.,Frank Lary (12),9.26,R
256,257.,Pete Donohue (12),9.21,R
257,258.,Ewell Blackwell (10),9.19,R
258,258.,Dick Donovan (15),9.19,R
259,260.,Rafael Soriano (14),9.12,R
260,261.,Mike Timlin (18),9.11,R
261,261.,Barry Zito (15),9.11,L
262,263.,Guy Bush (17),9.10,R
263,264.,Bob Veale (13),9.08,L
264,265.,Kerry Wood (14),9.01,R
265,266.,Orlando Hernandez (9),8.99,R
266,266.,Claude Osteen (18),8.99,L
267,268.,Mel Parnell (10),8.98,L
268,269.,"Darren O'Day (13, 37)",8.92,R
269,270.,Mike Scott (13),8.88,R
270,271.,Rafael Betancourt (12),8.83,R
271,272.,Lefty Stewart (10),8.80,L
272,273.,John Lackey (15),8.79,R
273,274.,Kevin Millwood (16),8.75,R
274,275.,Dan Plesac (18),8.73,L
275,276.,Sparky Lyle (16),8.72,L
276,276.,Cliff Melton (8),8.72,L
277,278.,"Carlos Carrasco (11, 33)",8.65,R
278,279.,"Jose Quintana (9, 31)",8.64,L
279,280.,Bump Hadley (16),8.58,R
280,281.,"Joe Smith (13, 36)",8.53,R
281,282.,Frank Tanana (21),8.49,L
282,283.,Fred Hutchinson (11),8.46,R
283,284.,"Zack Britton (10, 32)",8.45,L
284,285.,Jose Fernandez (4),8.42,R
285,286.,Joaquin Benoit (16),8.40,R
286,287.,Hank Aguirre (16),8.39,L
287,288.,Bob Stanley (13),8.38,R
288,288.,"Masahiro Tanaka (7, 31)",8.38,R
289,290.,Lew Burdette (18),8.29,R
290,291.,Jeff Reardon (16),8.24,R
291,292.,Gary Lavelle (13),8.23,L
292,293.,Hiroki Kuroda (7),8.22,R
293,294.,"Tyler Clippard (14, 35)",8.20,R
294,295.,Marius Russo (6),8.18,L
295,296.,"Greg Holland (10, 34)",8.12,R
296,297.,Syl Johnson (19),8.11,R
297,298.,Hank Borowy (10),8.10,R
298,299.,Dan Haren (13),8.09,R
299,299.,Pat Neshek (13),8.09,R
300,301.,Octavio Dotel (15),8.05,R
301,302.,Jose DeLeon (13),8.03,R
302,303.,Bill Hands (11),7.99,R
303,304.,Scot Shields (10),7.98,R
304,305.,Larry Dierker (14),7.97,R
305,306.,Juan Guzman (10),7.95,R
306,307.,"Jake Arrieta (11, 34)",7.94,R
307,308.,Bill Singer (14),7.90,R
308,309.,Freddy Garcia (15),7.89,R
309,310.,Fritz Ostermueller (15),7.88,L
310,310.,Sherry Smith (14),7.88,L
311,312.,Wilson Alvarez (14),7.86,L
312,313.,"Aaron Nola (6, 27)",7.85,R
313,314.,Mike Henneman (10),7.84,R
314,314.,Johnny Vander Meer (13),7.84,L
315,316.,"Sean Doolittle (9, 33)",7.83,L
316,317.,Josh Johnson (9),7.81,R
317,318.,Clay Carroll (15),7.79,R
318,318.,Burleigh Grimes+ (19),7.79,R
319,320.,Ron Perranoski (13),7.78,L
320,321.,Alejandro Pena (15),7.74,R
321,322.,Ugueth Urbina (11),7.73,R
322,323.,Jamie Moyer (25),7.72,L
323,324.,Al Benton (14),7.67,R
324,325.,Slim Sallee (14),7.66,L
325,326.,Sonny Siebert (12),7.64,R
326,327.,"Sonny Gray (8, 30)",7.61,R
327,328.,Randy Myers (14),7.58,L
328,329.,Andy Benes (14),7.57,R
329,329.,Hippo Vaughn (13),7.57,L
330,329.,"Tony Watson (10, 35)",7.57,L
331,332.,Rick Aguilera (16),7.56,R
332,332.,Pascual Perez (11),7.56,R
333,334.,Tom Candiotti (16),7.54,R
334,334.,Camilo Pascual (18),7.54,R
335,336.,"Dellin Betances (9, 32)",7.51,R
336,337.,"Kenta Maeda (5, 32)",7.48,R
337,338.,Paul Dean (9),7.47,R
338,339.,Chris Bosio (11),7.46,R
339,340.,Steve Gromek (17),7.45,R
340,341.,Ralph Terry (12),7.44,R
341,342.,John Smiley (12),7.42,L
342,343.,Bob Howry (13),7.40,R
343,344.,Bryn Smith (13),7.38,R
344,345.,Johnny Sain (11),7.36,R
345,346.,Rick Rhoden (16),7.33,R
346,347.,Dave Righetti (16),7.28,L
347,348.,"Mike Clevinger (5, 29)",7.27,R
348,349.,Lindy McDaniel (21),7.26,R
349,350.,Willie Hernandez (13),7.25,L
350,350.,Bill Walker (10),7.25,L
351,352.,Jim Turner (9),7.22,R
352,353.,Dave Smith (13),7.21,R
353,354.,"Bartolo Colon (21, 47)",7.20,R
354,355.,Mickey Lolich (16),7.17,L
355,356.,Vic Aldridge (9),7.16,R
356,357.,"Roberto Osuna (6, 25)",7.15,R
357,358.,B.J. Ryan (11),7.14,L
358,359.,Ted Wilks (10),7.12,R
359,360.,Jose Valverde (12),7.07,R
360,361.,Ken Raffensberger (15),7.05,L
361,362.,Jim Bagby (9),7.01,R
362,363.,Lee Meadows (15),6.98,R
363,363.,Mike Witt (12),6.98,R
364,365.,Fernando Valenzuela (17),6.97,L
365,366.,Jeff Montgomery (13),6.92,R
366,367.,Ramon Martinez (14),6.91,R
367,368.,"Steve Cishek (11, 34)",6.89,R
368,369.,Tom Zachary (19),6.88,L
369,370.,Cy Blanton (9),6.87,R
370,370.,"Hyun Jin Ryu (7, 33)",6.87,L
371,372.,Mike Marshall (14),6.85,R
372,373.,Larry Andersen (17),6.84,R
373,373.,Pat Hentgen (14),6.84,R
374,375.,Ryan Madson (13),6.83,R
375,376.,"Rich Hill (16, 40)",6.82,L
376,377.,Oral Hildebrand (10),6.74,R
377,377.,Damaso Marte (11),6.74,L
378,377.,Ben Sheets (10),6.74,R
379,380.,Robb Nen (10),6.69,R
380,381.,Bill Swift (11),6.68,R
381,382.,Dutch Ruether (11),6.67,L
382,383.,Eric Gagne (10),6.65,R
383,384.,"Felipe Vazquez (5, 28)",6.64,L
384,385.,Grant Balfour (12),6.63,R
385,386.,Leon Cadore (10),6.61,R
386,386.,J.J. Putz (12),6.61,R
387,388.,Jim Brewer (17),6.60,L
388,389.,Eddie Fisher (15),6.56,R
389,390.,Mike Flanagan (18),6.55,L
390,390.,Jeff Nelson (15),6.55,R
391,392.,Danny Darwin (21),6.53,R
392,393.,Takashi Saito (7),6.52,R
393,394.,"Lance Lynn (9, 33)",6.50,R
394,394.,Matt Thornton (13),6.50,L
395,396.,Charlie Hough (25),6.49,R
396,397.,Mark Mulder (9),6.47,L
397,398.,Jim Tobin (9),6.46,R
398,399.,Steve Howe (12),6.39,L
399,400.,Joaquin Andujar (13),6.36,R
400,401.,Dave Dravecky (8),6.34,L
401,402.,Guy Morton (11),6.32,R
402,403.,Tim Belcher (14),6.30,R
403,403.,Jesse Crain (10),6.30,R
404,405.,Mike Adams (10),6.29,R
405,405.,Stan Williams (14),6.29,R
406,407.,Mike Boddicker (14),6.28,R
407,407.,Luke Gregerson (11),6.28,R
408,409.,Denny Galehouse (15),6.27,R
409,409.,Bryan Harvey (9),6.27,R
410,411.,Britt Burns (8),6.25,L
411,411.,Larry Gura (16),6.25,L
412,413.,Rube Benton (15),6.23,L
413,413.,Willis Hudlin (16),6.23,R
414,413.,Eddie Watt (10),6.23,R
415,416.,Duane Ward (9),6.22,R
416,417.,Rick Reed (15),6.20,R
417,418.,Charlie Leibrandt (14),6.19,L
418,419.,"Noah Syndergaard (5, 27)",6.16,R
419,420.,"Ken Giles (7, 29)",6.14,R
420,421.,Justin Duchscherer (8),6.10,R
421,422.,Clem Labine (13),6.09,R
422,423.,"Will Harris (9, 35)",6.08,R
423,424.,Bob Forsch (16),6.02,R
424,424.,Frank Miller (7),6.02,R
425,426.,Gary Peters (14),6.00,L
426,427.,Steve Hamilton (12),5.91,L
427,428.,Mike Stanton (19),5.89,L
428,429.,Clint Brown (15),5.87,R
429,430.,Dave Rozema (10),5.84,R
430,431.,Bob Porterfield (12),5.83,R
431,432.,Red Barrett (11),5.82,R
432,432.,Jason Frasor (12),5.82,R
433,432.,Bill Henry (16),5.82,L
434,435.,Jack Harshman (10),5.79,L
435,435.,Bob Rush (13),5.79,R
436,437.,Hugh Casey (9),5.78,R
437,437.,Steve Reed (14),5.78,R
438,437.,Greg Swindell (17),5.78,L
439,440.,Bob Tewksbury (13),5.77,R
440,441.,Brian Fuentes (12),5.76,L
441,441.,Rich Harden (9),5.76,R
442,441.,Dave Koslo (12),5.76,L
443,441.,"James Paxton (8, 31)",5.76,L
444,445.,Bob Friend (16),5.75,R
445,445.,Reb Russell (9),5.75,L
446,447.,"Trevor Bauer (9, 29)",5.74,R
447,447.,Hisashi Iwakuma (6),5.74,R
448,449.,Jonathan Broxton (13),5.73,R
449,450.,"Wade Davis (12, 34)",5.68,R
450,451.,Gene Garber (19),5.67,R
451,451.,Jay Howell (15),5.67,R
452,451.,Jason Isringhausen (16),5.67,R
453,454.,Johnny Niggeling (9),5.65,R
454,455.,"Josh Hader (4, 26)",5.62,L
455,456.,"Pedro Strop (12, 35)",5.58,R
456,457.,"Walker Buehler (4, 25)",5.57,R
457,458.,Chuck Taylor (8),5.56,R
458,459.,Moose Haas (12),5.55,R
459,460.,Bob Purkey (13),5.54,R
460,461.,Erik Hanson (11),5.52,R
461,462.,Frank Sullivan (11),5.51,R
462,463.,Harvey Haddix (14),5.47,L
463,464.,Tex Carleton (8),5.45,R
464,464.,Denny Neagle (13),5.45,L
465,466.,Steve Farr (11),5.44,R
466,467.,Sandy Consuegra (8),5.43,R
467,468.,Ivy Andrews (8),5.40,R
468,469.,Jim Kaat (25),5.38,L
469,470.,Scott Downs (13),5.37,L
470,470.,"Blake Snell (5, 27)",5.37,L
471,472.,Rick Wise (18),5.35,R
472,473.,"Kelvin Herrera (10, 30)",5.32,R
473,473.,Jim O'Toole (10),5.32,L
474,475.,Connie Johnson (5),5.31,R
475,475.,Fritz Peterson (11),5.31,L
476,477.,Virgil Barnes (9),5.28,R
477,477.,Brad Lidge (11),5.28,R
478,479.,Bobby Burke (10),5.26,L
479,480.,"Shane Bieber (3, 25)",5.25,R
480,481.,Rod Beck (13),5.24,R
481,481.,Jeff Pfeffer (13),5.24,R
482,483.,"Jack Flaherty (4, 24)",5.21,R
483,483.,Todd Jones (16),5.21,R
484,483.,Bill Stafford (8),5.21,R
485,486.,Lou Fette (5),5.20,R
486,486.,"Marcus Stroman (6, 29)",5.20,R
487,486.,Bob Wickman (15),5.20,R
488,489.,Al Downing (17),5.19,L
489,490.,Tom Burgmeier (17),5.17,L
490,490.,Bob Locker (10),5.17,R
491,492.,Wilbur Wood (17),5.16,L
492,493.,Roger Nelson (9),5.15,R
493,493.,George Pipgras (11),5.15,R
494,493.,Pete Richert (13),5.15,L
495,496.,Kirby Higbe (12),5.14,R
496,497.,Chad Bradford (12),5.12,R
497,498.,Dick Radatz (7),5.11,R
498,498.,Justin Thompson (5),5.11,L
499,500.,Zane Smith (13),5.10,L
500,501.,Larry Benton (13),5.09,R
501,501.,Norm Charlton (13),5.09,L
502,501.,Gregg Olson (14),5.09,R
503,501.,Lefty Tyler (12),5.09,L
504,505.,Steve Bedrosian (14),5.08,R
505,506.,Rheal Cormier (16),5.07,L
506,506.,Dave LaRoche (14),5.07,L
507,506.,Matt Morris (11),5.07,R
508,506.,Scott Sullivan (10),5.07,R
509,510.,Rob Dibble (7),5.05,R
510,510.,Steve Ontiveros (10),5.05,R
511,512.,Greg McMichael (8),5.02,R
512,513.,"Michael Pineda (7, 31)",5.01,R
513,514.,Doyle Alexander (19),5.00,R
514,515.,Storm Davis (13),4.99,R
515,516.,Joe Beggs (9),4.98,R
516,517.,Clay Buchholz (13),4.97,R
517,517.,George Earnshaw (9),4.97,R
518,519.,Luke Hamlin (9),4.95,R
519,519.,"Carlos Martinez (8, 28)",4.95,R
520,521.,Todd Worrell (11),4.92,R
521,522.,"Luis Severino (5, 26)",4.91,R
522,523.,Scott Garrelts (10),4.88,R
523,524.,Kevin Tapani (13),4.87,R
524,525.,C.J. Wilson (11),4.85,L
525,526.,George Mogridge (15),4.84,L
526,527.,"Luis Castillo (4, 27)",4.79,R
527,528.,Dave Giusti (15),4.78,R
528,529.,Terry Forster (16),4.77,L
529,529.,Pat Jarvis (8),4.77,R
530,531.,Ned Garver (14),4.74,R
531,531.,Carmen Hill (10),4.74,R
532,533.,John Denny (13),4.72,R
533,533.,Pete Harnisch (14),4.72,R
534,533.,Monty Stratton (5),4.72,R
535,536.,Bullet Joe Bush (17),4.71,R
536,536.,Javier Lopez (14),4.71,L
537,536.,Joe Sambito (11),4.71,L
538,539.,John Burkett (15),4.70,R
539,539.,Kiko Calero (7),4.70,R
540,541.,Bud Black (15),4.69,L
541,542.,"Alex Colome (8, 31)",4.68,R
542,542.,Rick Honeycutt (21),4.68,L
543,542.,Frank Linzy (11),4.68,R
544,545.,Jesse Petty (7),4.67,L
545,546.,Jeff Zimmerman (3),4.64,R
546,547.,Al Brazle (10),4.58,L
547,548.,"Cody Allen (8, 31)",4.56,R
548,548.,Jim Hearn (13),4.56,R
549,550.,Jim Konstanty (11),4.55,R
550,551.,"Yusmeiro Petit (13, 35)",4.54,R
551,551.,Bob Turley (12),4.54,R
552,553.,Mark Prior (5),4.52,R
553,554.,Mat Latos (9),4.51,R
554,555.,"Julio Teheran (10, 29)",4.49,R
555,555.,"Brandon Woodruff (4, 27)",4.49,R
556,557.,Brendan Donnelly (9),4.48,R
557,558.,Dave Veres (10),4.45,R
558,559.,Mace Brown (10),4.44,R
559,559.,Sam Gray (10),4.44,R
560,559.,Terry Leach (11),4.44,R
561,562.,Danny MacFayden (17),4.43,R
562,562.,"Mike Minor (9, 32)",4.43,L
563,564.,"Mychal Givens (6, 30)",4.42,R
564,565.,Roy Face (16),4.41,R
565,565.,"Neftali Feliz (9, 32)",4.41,R
566,565.,Shaun Marcum (9),4.41,R
567,568.,Doug Corbett (8),4.40,R
568,568.,Clyde Shoun (14),4.40,L
569,570.,Bob Lee (5),4.38,R
570,570.,Jeff Shaw (12),4.38,R
571,572.,Sheriff Blake (10),4.37,R
572,573.,Dock Ellis (12),4.36,R
573,573.,Bill Hallahan (12),4.36,L
574,575.,Al Demaree (8),4.35,R
575,576.,"Chris Devenski (5, 29)",4.34,R
576,576.,Jim Kern (13),4.34,R
577,578.,"Raisel Iglesias (6, 30)",4.32,R
578,579.,Mark Fidrych (5),4.30,R
579,579.,"Blake Treinen (7, 32)",4.30,R
580,581.,Ken Johnson (13),4.28,R
581,582.,"Patrick Corbin (8, 30)",4.27,L
582,582.,Francisco Cordero (14),4.27,R
583,584.,Jon Lieber (14),4.26,R
584,585.,Al Hrabosky (13),4.24,L
585,586.,Satchel Paige+ (6),4.23,R
586,587.,Jim Brosnan (9),4.20,R
587,587.,Al Holland (10),4.20,L
588,589.,Paul Assenmacher (14),4.19,L
589,589.,"Taylor Rogers (5, 29)",4.19,L
590,591.,Tom Niedenfuer (10),4.17,R
591,592.,"Jeurys Familia (9, 30)",4.15,R
592,592.,Scott Williamson (9),4.15,R
593,594.,Casey Janssen (9),4.14,R
594,594.,Bill Sherdel (15),4.14,L
595,596.,Tim Burke (8),4.13,R
596,597.,Scott Perry (7),4.12,R
597,598.,Pol Perritt (10),4.09,R
598,599.,Ralph Branca (12),4.08,R
599,599.,Johnny Schmitz (13),4.08,L
600,601.,Nelson Briles (14),4.05,R
601,601.,Bill Doak (16),4.05,R
602,603.,Tom Sturdivant (10),4.04,R
603,604.,Greg Minton (16),4.03,R
604,604.,Bob Moose (10),4.03,R
605,606.,Ed Figueroa (8),4.02,R
606,606.,Jim Johnson (13),4.02,R
607,608.,Hideo Nomo (12),4.01,R
608,608.,Antonio Osuna (11),4.01,R
609,608.,Rip Sewell (13),4.01,R
610,608.,"Justin Wilson (9, 32)",4.01,L
611,612.,Andrew Bailey (8),4.00,R
612,612.,Hung-Chih Kuo (7),4.00,L
613,612.,Johnny Podres (15),4.00,L
614,612.,Drew Storen (8),4.00,R
615,616.,Billy Loes (11),3.99,R
616,616.,Babe Ruth+ (22),3.99,L
617,616.,Lefty Williams (7),3.99,L
618,619.,Roger McDowell (12),3.98,R
619,619.,"Jake Odorizzi (9, 30)",3.98,R
620,621.,Ken Sanders (10),3.97,R
621,622.,Bobby Jenks (7),3.93,R
622,623.,"Brad Keller (3, 24)",3.92,R
623,623.,Chad Qualls (14),3.92,R
624,623.,Kazuhiro Sasaki (4),3.92,R
625,623.,Dave Stewart (16),3.92,R
626,627.,Paul Shuey (11),3.91,R
627,628.,Doc Medich (11),3.88,R
628,628.,"Ryan Pressly (8, 31)",3.88,R
