,Rank,"Player (yrs, age)",Total Zone Runs as SS (s.1953),Throws
252,236.,Billy Grabarkewitz (7),2,R
253,236.,Gary Green (5),2,R
254,236.,Rich Hacker (1),2,R
255,236.,Shane Halter (8),2,R
256,236.,"Brock Holt (9, 32)",2,R
257,236.,Jerry Kenney (6),2,R
258,236.,Jack Kubiszyn (2),2,R
259,236.,Ted Lepcio (10),2,R
260,236.,Bobby Malkmus (6),2,R
261,236.,Mark McLemore (19),2,R
262,236.,Dan Monzon (2),2,R
263,236.,Kristopher Negron (6),2,R
264,236.,Ivan Ochoa (1),2,R
265,236.,Augie Ojeda (9),2,R
266,236.,Ken Pape (1),2,R
267,236.,Jim Pendleton (8),2,R
268,236.,Omar Quintanilla (9),2,R
269,236.,Mike Ramsey (7),2,R
270,236.,Jack Reinheimer (2),2,R
271,236.,"Yadiel Rivera (6, 28)",2,R
272,236.,"Daniel Robertson (4, 26)",2,R
273,236.,Aurelio Rodriguez (17),2,R
274,236.,Lenn Sakata (11),2,R
275,236.,Tyler Saladino (5),2,R
276,236.,"Adrian Sanchez (3, 29)",2,R
277,236.,Paul Schaal (11),2,R
278,236.,Jeff Schaefer (5),2,R
279,236.,"Jonathan Schoop (8, 28)",2,R
280,236.,Dick Smith (5),2,R
281,236.,Tyler Smith (1),2,R
282,236.,Chris Snopek (4),2,R
283,236.,Mickey Stanley (15),2,R
284,236.,Ken Szotkiewicz (1),2,R
285,236.,"Wilfredo Tovar (3, 28)",2,R
286,236.,Fernando Vina (12),2,R
287,236.,Zach Walters (4),2,R
288,289.,Arismendy Alcantara (4),1,R
289,289.,Felipe Alou (17),1,R
290,289.,"Jonathan Arauz (1, 21)",1,R
291,289.,Sal Bando (16),1,R
292,289.,Buddy Bell (18),1,R
293,289.,"Alex Blandino (2, 27)",1,R
294,289.,Steve Boros (7),1,R
295,289.,Ron Brand (8),1,R
296,289.,Chris Brown (6),1,R
297,289.,Enos Cabell (15),1,R
298,289.,Miguel Cairo (17),1,R
299,289.,John Castino (6),1,R
300,289.,Juan Castillo (4),1,R
301,289.,Pete Castiglione (8),1,R
302,289.,"Harold Castro (3, 26)",1,R
303,289.,Ossie Chavarria (2),1,R
304,289.,"Jazz Chisholm (1, 22)",1,R
305,289.,Bruce Christensen (1),1,R
306,289.,Lou Collier (8),1,R
307,289.,Cris Colon (1),1,R
308,289.,Joe Crede (10),1,R
309,289.,Tripp Cromer (8),1,R
310,289.,Yo-Yo Davalillo (1),1,R
311,289.,Jonathan Diaz (3),1,R
312,289.,Chuck Diering (9),1,R
313,289.,"Josh Donaldson (10, 34)",1,R
314,289.,Denny Doyle (8),1,R
315,289.,Kelly Dransfeldt (4),1,R
316,289.,"Brandon Drury (6, 27)",1,R
317,289.,"Tommy Edman (2, 25)",1,R
318,289.,Matt Erickson (1),1,R
319,289.,Taylor Featherston (3),1,R
320,289.,Leo Foster (5),1,R
321,289.,Billy Gardner (10),1,R
322,289.,Chris Getz (7),1,R
323,289.,Jerry Gil (2),1,R
324,289.,Ed Giovanola (5),1,R
325,289.,Troy Glaus (13),1,R
326,289.,Alberto Gonzalez (7),1,R
327,289.,Johnny Goryl (6),1,R
328,289.,Julio Gotay (10),1,R
329,289.,Dick Green (12),1,R
330,289.,Bucky Guth (1),1,R
331,289.,Granny Hamner (17),1,R
332,289.,"Garrett Hampson (3, 25)",1,R
333,289.,Diory Hernandez (3),1,R
334,289.,Jonathan Herrera (7),1,R
335,289.,Michael Hollimon (1),1,R
336,289.,Chin-lung Hu (5),1,R
337,289.,Ron Hunt (12),1,R
338,289.,Jeff Huson (12),1,R
339,289.,Ross Jones (3),1,R
340,289.,"Isiah Kiner-Falefa (3, 25)",1,R
341,289.,Chris Kitsos (1),1,R
342,289.,Bobby Klaus (2),1,R
343,289.,Gene Leek (3),1,R
344,289.,"Domingo Leyba (1, 24)",1,R
345,289.,Hector Lopez (12),1,R
346,289.,Bill Lyons (2),1,R
347,289.,Steve Lyons (9),1,R
348,289.,Fred Marsh (7),1,R
349,289.,Edwin Maysonet (3),1,R
350,289.,Luis Maza (1),1,R
351,289.,Mike McCoy (4),1,R
352,289.,Lou Merloni (9),1,R
353,289.,"Dylan Moore (2, 27)",1,R
354,289.,Melvin Mora (13),1,R
355,289.,Fran Mullins (3),1,R
356,289.,Bobby Murcer (17),1,R
357,289.,Gift Ngoepe (2),1,R
358,289.,Craig Paquette (11),1,R
359,289.,Rick Parker (6),1,R
360,289.,Antonio Perez (4),1,R
361,289.,Martin Prado (14),1,R
362,289.,Domingo Ramos (11),1,R
363,289.,Jerry Remy (10),1,R
364,289.,"Luis Rengifo (2, 23)",1,R
365,289.,Billy Ripken (12),1,R
366,289.,Brooks Robinson+ (23),1,R
367,289.,Eddie Rogers (3),1,R
368,289.,Dan Rohn (3),1,R
369,289.,Mike Rouse (2),1,R
370,289.,Steve Scarsone (7),1,R
371,289.,Ted Schreiber (1),1,R
372,289.,Jim Scranton (2),1,R
373,289.,Paul Serna (2),1,R
374,289.,Chris Sexton (2),1,R
375,289.,Keith Smith (2),1,R
376,289.,"Elliot Soto (1, 30)",1,R
377,289.,Vern Stephens (15),1,R
378,289.,Doug Strange (9),1,R
379,289.,"Myles Straw (3, 25)",1,R
380,289.,"Eugenio Suarez (7, 28)",1,R
381,289.,Alex Taveras (3),1,R
382,289.,"Anderson Tejeda (1, 22)",1,R
383,289.,"Gleyber Torres (3, 23)",1,R
384,289.,Ramon Torres (2),1,R
385,289.,Dick Tracewski (8),1,R
386,289.,Matt Tuiasosopo (5),1,R
387,289.,Julio Valdez (4),1,R
388,289.,Gene Verble (2),1,R
389,289.,Zach Vincej (2),1,R
390,289.,U L Washington (11),1,R
391,289.,Ty Wigginton (12),1,R
392,289.,Craig Wilson (3),1,R
393,289.,Tony Womack (13),1,R
394,289.,Chris Woodward (12),1,R
395,289.,Joel Youngblood (14),1,R
396,289.,Lance Zawadzki (1),1,R
397,398.,"Leury Garcia (8, 29)",0,R
398,398.,"Luis Guillorme (3, 25)",0,R
399,398.,"Eric Sogard (10, 34)",0,R
