,Rank,"Player (yrs, age)",Base-Out Runs Added (RE24),Bats
156,157.,"Nelson Cruz (16, 39)",306.446,R
157,158.,Heinie Manush+ (17),305.777,L
158,159.,David Justice (14),305.472,L
159,160.,Al Oliver (18),305.451,L
160,161.,Bill Nicholson (16),304.377,L
161,162.,Lou Whitaker (19),302.757,L
162,163.,Earle Combs+ (12),301.630,L
163,164.,Jose Canseco (17),301.196,R
164,165.,Fred Lynn (17),300.356,L
165,166.,Vic Wertz (17),300.347,L
166,167.,Kent Hrbek (14),300.218,L
167,168.,Mo Vaughn (12),299.971,L
168,169.,Luke Appling+ (20),299.794,R
169,170.,Gene Woodling (17),299.208,L
170,171.,Adam Dunn (14),297.687,L
171,172.,Ron Fairly (21),296.845,L
172,173.,"Shin-Soo Choo (16, 37)",296.333,L
173,174.,Gabby Hartnett+ (20),296.030,R
174,175.,Tim Salmon (14),295.758,R
175,176.,Brian Downing (20),293.445,R
176,177.,Ted Kluszewski (15),293.421,L
177,178.,Ryan Howard (13),292.749,L
178,179.,Rico Carty (15),292.254,R
179,180.,Cesar Cedeno (17),290.971,R
180,181.,Vada Pinson (18),290.237,L
181,182.,"Edwin Encarnacion (16, 37)",289.467,R
182,183.,Robin Yount+ (20),288.481,R
183,184.,"Bryce Harper (9, 27)",282.703,L
184,185.,Bobby Murcer (17),282.575,L
185,186.,Ken Boyer (15),281.267,R
186,187.,Andre Dawson+ (21),280.560,R
187,188.,Ron Cey (17),280.519,R
188,189.,George Foster (18),279.584,R
189,190.,Kirby Puckett+ (12),279.484,R
190,191.,Ty Cobb+ (24),277.656,L
191,192.,Jim Rice+ (16),277.538,R
192,193.,Lou Brock+ (19),276.318,L
193,194.,Chili Davis (19),275.898,B
194,195.,Bill Madlock (15),275.893,R
195,196.,Juan Gonzalez (17),275.890,R
196,197.,Steve Garvey (19),275.592,R
197,198.,Roy Sievers (17),275.254,R
198,199.,Wally Berger (11),272.453,R
199,200.,Bernie Williams (16),271.150,B
200,201.,Eddie Collins+ (25),270.652,L
201,202.,Roger Maris (12),270.319,L
202,203.,Ken Griffey (19),269.721,L
203,204.,Mickey Vernon (20),269.231,L
204,205.,Gary Matthews (16),267.839,R
205,206.,Bobby Bonilla (16),267.650,B
206,207.,Joe Cronin+ (20),266.706,R
207,208.,"Anthony Rizzo (10, 30)",265.858,L
208,209.,"Robinson Cano (16, 37)",264.855,L
209,210.,"Giancarlo Stanton (11, 30)",264.842,R
210,211.,Gene Tenace (15),264.751,R
211,212.,Hal Trosky (11),259.204,L
212,213.,Magglio Ordonez (15),258.720,R
213,214.,Zack Wheat+ (19),258.236,L
214,215.,Aramis Ramirez (18),257.940,R
215,216.,Wally Joyner (16),257.547,L
216,217.,Paul O'Neill (17),255.087,L
217,218.,Derrek Lee (15),254.976,R
218,219.,Cy Williams (19),254.864,L
219,220.,Bob Allison (13),254.082,R
220,221.,Lefty O'Doul (11),253.281,L
221,222.,Riggs Stephenson (14),250.204,R
222,223.,Kirk Gibson (17),246.659,L
223,224.,Jack Fournier (15),245.882,L
224,225.,Roy White (15),244.221,B
225,226.,Don Mattingly (14),242.544,L
226,227.,Eddie Yost (18),242.424,R
227,228.,Ben Chapman (15),242.281,R
228,229.,Hal McRae (19),242.036,R
229,230.,"Josh Donaldson (10, 34)",241.897,R
230,231.,Pie Traynor+ (17),241.771,R
231,232.,Rick Monday (19),241.745,L
232,233.,Adrian Beltre (21),241.052,R
233,234.,Al Rosen (10),240.811,R
234,235.,Elmer Valo (20),240.467,L
235,236.,Billy Herman+ (15),240.336,R
236,237.,J.D. Drew (14),240.066,L
237,238.,Frank McCormick (13),239.756,R
238,239.,Chick Hafey+ (13),239.753,R
239,240.,Ray Lankford (14),239.746,L
240,241.,Richie Hebner (18),238.465,L
241,242.,"Mookie Betts (7, 27)",236.326,R
242,243.,Earl Torgeson (15),235.471,L
243,244.,Mike Hargrove (12),235.425,L
244,245.,Carl Furillo (15),233.715,R
245,246.,Bill White (13),233.529,L
246,247.,Hanley Ramirez (15),232.359,R
247,248.,Richie Ashburn+ (15),232.262,L
248,249.,Phil Cavarretta (22),231.732,L
249,250.,Ross Youngs+ (10),231.693,L
250,251.,Toby Harrah (17),231.683,R
251,252.,Jeff Heath (14),231.304,L
252,253.,John Kruk (10),231.074,L
253,254.,Cecil Cooper (17),230.823,L
254,255.,Carlton Fisk+ (24),230.194,R
255,256.,Lou Boudreau+ (15),229.494,R
256,257.,Nomar Garciaparra (14),229.447,R
257,258.,Danny Tartabull (14),229.367,R
258,259.,Sid Gordon (13),229.083,R
259,260.,"Christian Yelich (8, 28)",228.143,L
260,261.,Bobby Grich (17),227.339,R
261,262.,Sal Bando (16),226.830,R
262,263.,Johnny Callison (16),226.164,L
263,264.,Pee Wee Reese+ (16),225.924,R
264,265.,Shawn Green (15),225.670,L
265,266.,Stan Hack (16),225.076,L
266,267.,Cliff Floyd (17),225.003,L
267,268.,Edd Roush+ (18),224.730,L
268,269.,Ken Williams (14),224.377,L
269,270.,Willie Horton (18),223.698,R
270,271.,Max Carey+ (20),223.213,B
271,272.,Tony Lazzeri+ (14),223.045,R
272,273.,Ernie Lombardi+ (17),222.385,R
273,274.,Jose Bautista (15),220.384,R
274,275.,Amos Otis (17),219.891,R
275,276.,"Matt Carpenter (10, 34)",219.879,L
276,277.,Rudy York (13),218.261,R
277,278.,Norm Siebern (12),216.817,L
278,279.,Jackie Jensen (11),216.215,R
279,280.,Kenny Lofton (17),215.928,L
280,281.,Tony Phillips (18),214.502,B
281,282.,Kevin Mitchell (13),213.987,R
282,283.,Dusty Baker (19),213.307,R
283,284.,Andy Van Slyke (13),213.261,L
284,285.,Johnny Damon (18),211.427,L
285,286.,Joe Cunningham (12),211.193,L
286,287.,Mike Sweeney (16),210.897,R
287,288.,George Grantham (13),210.312,L
288,289.,John Mayberry (15),208.969,L
289,290.,Harlond Clift (12),208.510,R
290,291.,"Nolan Arenado (8, 29)",207.922,R
291,292.,Jayson Werth (15),206.533,R
292,293.,Bobby Doerr+ (14),206.075,R
293,294.,"Anthony Rendon (8, 30)",205.515,R
294,295.,Lenny Dykstra (12),205.145,L
295,296.,Vern Stephens (15),204.750,R
296,297.,Don Buford (10),204.406,B
297,298.,Gary Carter+ (19),204.361,R
298,299.,Alvin Davis (9),203.573,L
299,300.,Robin Ventura (16),203.242,L
300,301.,Lonnie Smith (17),200.939,R
301,302.,Oscar Gamble (17),199.566,L
302,303.,Jeff Burroughs (16),198.566,R
303,304.,Josh Hamilton (9),198.415,L
304,305.,"J.D. Martinez (10, 32)",198.243,R
305,306.,"Matt Kemp (15, 35)",197.353,R
306,307.,Hunter Pence (14),197.082,R
307,308.,"Justin Upton (14, 32)",196.980,R
308,309.,Justin Morneau (14),196.861,L
309,310.,"Buster Posey (11, 33)",196.826,R
310,311.,Carlos Lee (14),196.269,R
311,312.,Roy Campanella+ (10),195.773,R
312,313.,Kevin Youkilis (10),195.427,R
313,314.,Julio Franco (23),194.551,R
314,315.,Darrell Porter (17),194.386,L
315,316.,Joe Adcock (17),194.143,R
316,317.,Travis Hafner (12),193.600,L
317,318.,"Ryan Zimmerman (15, 35)",193.153,R
318,319.,Eddie Stanky (11),191.865,R
319,320.,Ken Caminiti (15),191.365,B
320,321.,Ripper Collins (9),190.410,B
321,322.,Graig Nettles (22),190.173,L
322,323.,Jason Thompson (11),189.504,L
323,324.,Jorge Posada (17),189.356,B
324,325.,Jay Buhner (15),189.197,R
325,326.,George Sisler+ (15),189.169,L
326,327.,Del Ennis (14),188.874,R
327,328.,"José Abreu (7, 33)",188.266,R
328,329.,Jim Gentile (9),188.220,L
329,330.,Elbie Fletcher (12),187.443,L
330,331.,"Daniel Murphy (12, 35)",186.889,L
331,332.,Brett Butler (17),186.803,L
332,333.,Felipe Alou (17),186.410,R
333,334.,Bob Horner (10),186.351,R
334,335.,Rusty Greer (9),186.319,L
335,336.,George Selkirk (9),185.622,L
336,337.,Von Hayes (12),184.642,L
337,338.,Ron Gant (16),184.421,R
338,339.,Leon Wagner (12),184.123,L
339,340.,Dom DiMaggio (11),182.992,R
340,341.,Victor Martinez (16),182.319,B
341,342.,Dan Driessen (15),181.454,L
342,343.,Jim Ray Hart (12),180.468,R
343,344.,Bob Meusel (11),180.453,R
344,345.,Darren Daulton (14),179.156,L
345,346.,Lee May (18),178.855,R
346,347.,"Justin Turner (12, 35)",178.575,R
347,348.,Curtis Granderson (16),178.460,L
348,349.,Jason Bay (11),177.957,R
349,350.,Wally Moon (12),176.952,L
350,351.,Andre Ethier (12),176.001,L
351,352.,Gus Suhr (11),175.778,L
352,353.,Paul Konerko (18),175.438,R
353,354.,Pat Burrell (12),174.409,R
354,355.,Bill Skowron (14),173.511,R
355,356.,"Charlie Blackmon (10, 33)",172.438,L
356,357.,Ferris Fain (9),171.805,L
357,358.,"Carlos Santana (11, 34)",171.764,B
358,359.,"Kris Bryant (6, 28)",171.221,R
359,360.,Joe Gordon+ (11),170.405,R
360,361.,George Hendrick (18),169.459,R
361,362.,Joe Sewell+ (14),169.411,L
362,363.,Richie Sexson (12),169.132,R
363,364.,Dick McAuliffe (16),168.887,L
364,365.,Kevin McReynolds (12),167.346,R
365,366.,Bruce Campbell (13),167.077,L
366,367.,John Stone (11),166.754,L
367,368.,Zeke Bonura (7),165.866,R
368,369.,Raul Ibanez (19),165.851,L
369,370.,Andre Thornton (14),165.725,R
370,371.,Andy Pafko (17),165.386,R
371,372.,Gus Bell (15),164.451,L
372,373.,Mike Greenwell (12),164.220,L
373,374.,"Evan Longoria (13, 34)",164.058,R
374,375.,Kal Daniels (7),163.670,L
375,376.,Smoky Burgess (18),162.789,L
376,377.,"Michael Brantley (12, 33)",162.440,L
377,378.,Buddy Myer (17),161.981,L
378,379.,George Scott (14),161.874,R
379,380.,Leon Durham (10),161.393,L
380,381.,Larry Hisle (14),160.755,R
381,382.,Roy Cullenbine (10),160.059,B
382,383.,Jim Fregosi (18),159.938,R
383,384.,Matt Stairs (19),159.847,L
384,385.,Steve Kemp (11),159.158,L
385,386.,Cliff Johnson (15),159.135,R
386,387.,Nick Etten (9),158.829,L
387,388.,Richie Zisk (13),158.714,R
388,389.,Hideki Matsui (10),158.534,L
389,390.,Howard Johnson (14),157.728,B
390,391.,Reggie Sanders (17),157.657,R
391,392.,Tony Gonzalez (12),157.591,L
392,393.,Sean Casey (12),157.535,L
393,394.,Don Mincher (13),157.515,L
394,395.,Jeromy Burnitz (14),157.190,L
395,396.,Willie Davis (18),156.169,L
396,397.,George McQuinn (12),156.028,L
397,398.,Chris Chambliss (17),155.695,L
398,399.,John Briggs (12),155.431,L
399,400.,Carlos Pena (14),155.102,L
400,401.,Don Baylor (19),154.823,R
401,402.,Hank Bauer (14),154.787,R
402,403.,Dante Bichette (14),154.529,R
403,404.,Hank Sauer (15),154.182,R
404,405.,George Kell+ (15),153.526,R
405,406.,Mickey Tettleton (14),153.220,B
406,407.,Ray Boone (13),152.794,R
407,408.,Brian McCann (15),152.648,L
