,Rank,"Player (yrs, age)",Plate Appearances,Bats
68,69.,Sam Rice+ (20),10260,L
69,70.,Luke Appling+ (20),10254,R
70,71.,Charlie Gehringer+ (19),10245,L
71,72.,Jimmy Rollins (17),10240,B
72,73.,Tony Gwynn+ (20),10232,L
73,74.,Graig Nettles (22),10228,L
74,75.,Roberto Clemente+ (18),10212,R
75,76.,George Davis+ (20),10186,B
76,77.,Dave Parker (19),10184,L
77,78.,Fred McGriff (19),10174,L
78,79.,Frankie Frisch+ (19),10101,B
79,79.,Eddie Mathews+ (17),10101,L
80,81.,David Ortiz (20),10091,L
81,82.,Bobby Abreu (18),10081,L
82,83.,Frank Thomas+ (19),10075,R
83,84.,Mike Schmidt+ (18),10062,R
84,85.,Bill Buckner (22),10037,L
85,86.,Buddy Bell (18),10009,R
86,87.,Zack Wheat+ (19),10007,L
87,88.,Chili Davis (19),9997,B
88,89.,Lou Whitaker (19),9967,L
89,90.,Doc Cramer (20),9934,L
90,91.,Mickey Mantle+ (18),9910,B
91,92.,Sammy Sosa (18),9896,R
92,93.,Fred Clarke+ (21),9860,L
93,94.,Carlton Fisk+ (24),9853,R
94,95.,Mickey Vernon (20),9839,L
95,96.,Harmon Killebrew+ (22),9833,R
96,97.,Goose Goslin+ (18),9830,L
97,98.,Willie Davis (18),9822,L
98,99.,Gary Gaetti (20),9817,R
99,100.,Ted Williams+ (19),9792,L
100,101.,Al Oliver (18),9778,L
101,102.,Manny Ramirez (19),9774,R
102,103.,Lave Cross (21),9745,R
103,104.,Richie Ashburn+ (15),9737,L
104,105.,Julio Franco (23),9731,R
105,106.,Torii Hunter (19),9692,R
106,106.,Willie McCovey+ (22),9692,L
107,108.,Ted Simmons+ (21),9685,B
108,109.,Jimmie Foxx+ (20),9677,R
109,110.,Lou Gehrig+ (17),9665,L
110,111.,Dave Concepcion (19),9641,R
111,112.,Jesse Burkett+ (16),9629,L
112,113.,Bert Campaneris (19),9625,R
113,113.,Bobby Wallace+ (25),9625,R
114,115.,Willie Keeler+ (19),9616,L
115,116.,Brett Butler (17),9545,L
116,117.,Jeff Kent (17),9537,R
117,118.,Al Simmons+ (20),9520,R
118,119.,Paul Konerko (18),9505,R
119,120.,Rogers Hornsby+ (23),9481,R
120,121.,Pee Wee Reese+ (16),9472,R
121,122.,Steve Garvey (19),9466,R
122,123.,Willie Randolph (18),9462,R
123,124.,Todd Helton (17),9453,L
124,125.,"Robinson Cano (16, 37)",9446,L
125,126.,Jeff Bagwell+ (15),9431,R
126,127.,Bid McPhee+ (18),9429,R
127,128.,Tommy Corcoran (18),9404,R
128,129.,Don Baylor (19),9401,R
129,130.,Ron Santo+ (15),9397,R
130,131.,Alan Trammell+ (20),9376,R
131,132.,Jimmy Dykes (22),9352,R
132,133.,"Nick Markakis (15, 36)",9321,L
133,134.,Brian Downing (20),9309,R
134,135.,Mark Grace (16),9290,L
135,136.,Ryne Sandberg+ (16),9282,R
136,137.,Kenny Lofton (17),9235,L
137,138.,Red Schoendienst+ (19),9224,B
138,139.,Miguel Tejada (16),9205,R
139,140.,Joe Judge (20),9188,L
140,141.,Garret Anderson (17),9177,L
141,141.,Eddie Yost (18),9177,R
142,143.,Joe Carter (16),9154,R
143,144.,Jimmy Sheckard (17),9147,L
144,145.,Jimmy Ryan (18),9127,R
145,146.,Tony Phillips (18),9110,B
146,147.,Larry Bowa (16),9109,B
147,148.,B.J. Surhoff (19),9106,L
148,149.,Joe Kuhel (18),9097,L
149,150.,Enos Slaughter+ (19),9087,L
150,151.,Tommy Leach (19),9068,R
151,152.,Edgar Renteria (16),9066,R
152,153.,John Olerud (17),9063,L
153,154.,Vladimir Guerrero+ (16),9059,R
154,155.,Jim Rice+ (16),9058,R
155,156.,Barry Larkin+ (19),9057,R
156,157.,Bernie Williams (16),9053,B
157,158.,Jim O'Rourke+ (23),9052,R
158,159.,Dale Murphy (18),9041,R
159,160.,Willie Stargell+ (21),9027,L
160,161.,George Van Haltren (17),9020,L
161,162.,Gary Carter+ (19),9019,R
162,163.,George Sisler+ (15),9018,L
163,164.,Aramis Ramirez (18),8986,R
164,165.,Harry Heilmann+ (17),8972,R
165,166.,Marquis Grissom (17),8959,R
166,167.,Jose Cruz (19),8931,L
167,168.,Andres Galarraga (19),8916,R
168,169.,Jason Giambi (20),8908,L
169,169.,Tim Wallach (17),8908,R
170,171.,Roger Connor+ (18),8847,B
171,172.,Joe Cronin+ (20),8840,R
172,173.,Fred Tenney (17),8831,L
173,174.,Joe Torre+ (18),8802,R
174,175.,Tony Fernandez (17),8793,B
175,176.,Carlos Lee (14),8787,R
176,177.,Ruben Sierra (20),8782,B
177,178.,Donie Bush (16),8769,B
178,179.,Toby Harrah (17),8767,R
179,180.,Charlie Grimm (20),8750,L
180,181.,Jake Daubert (15),8749,L
181,182.,Dick Bartell (18),8745,R
182,183.,Jason Kendall (15),8702,R
183,184.,Orlando Cepeda+ (17),8699,R
184,185.,Ed Konetchy (15),8675,R
185,186.,Johnny Bench+ (17),8674,R
186,186.,Edgar Martinez+ (18),8674,R
187,188.,Andruw Jones (17),8664,R
188,189.,Carlos Delgado (17),8657,L
189,190.,Todd Zeile (16),8649,R
190,191.,Stuffy McInnis (19),8642,R
191,192.,Billy Herman+ (15),8641,R
192,193.,Michael Young (14),8612,R
193,194.,Ken Singleton (15),8559,B
194,195.,Sherry Magee (16),8557,R
195,196.,Keith Hernandez (17),8553,L
196,197.,Don Kessinger (16),8530,B
197,198.,Jay Bell (18),8525,R
198,199.,Scott Rolen (17),8518,R
199,200.,Herman Long (16),8512,L
200,201.,Stan Hack (16),8509,L
201,202.,Tony Taylor (19),8501,R
202,203.,Frank White (18),8468,R
203,204.,Ron Fairly (21),8437,L
204,205.,Ray Durham (14),8423,B
205,206.,Heinie Manush+ (17),8422,L
206,207.,Ed Delahanty+ (16),8402,R
207,208.,Roger Peckinpaugh (17),8397,R
208,209.,Alfonso Soriano (16),8395,R
209,210.,Dummy Hoy (14),8386,L
210,211.,Bill Mazeroski+ (17),8379,R
211,212.,Yogi Berra+ (19),8364,L
212,213.,Jim Bottomley+ (16),8358,L
213,214.,Ron Cey (17),8344,R
214,215.,Clyde Milan (16),8339,L
215,216.,Lloyd Waner+ (18),8337,L
216,217.,Joe Sewell+ (14),8333,L
217,218.,Paul O'Neill (17),8329,L
218,219.,Adam Dunn (14),8328,L
219,220.,Jim Gilliam (14),8322,B
220,221.,Willie Wilson (19),8317,B
221,222.,Chris Chambliss (17),8314,L
222,223.,Curtis Granderson (16),8306,L
223,223.,Maury Wills (14),8306,B
224,225.,Ian Kinsler (14),8299,R
225,226.,Pie Traynor+ (17),8298,R
226,227.,Sal Bando (16),8289,R
227,228.,Will Clark (15),8283,L
228,229.,Juan Pierre (14),8280,L
229,230.,Raul Ibanez (19),8278,L
230,231.,Ken Boyer (15),8274,R
231,232.,Robin Ventura (16),8271,L
232,233.,George Scott (14),8269,R
233,234.,Bobby Bonilla (16),8257,B
234,235.,Wally Moses (17),8256,L
235,236.,Orlando Cabrera (15),8255,R
236,237.,George Burns (15),8253,R
237,238.,Dave Bancroft+ (16),8250,B
238,239.,Amos Otis (17),8247,R
239,240.,Jose Reyes (16),8240,B
240,241.,Duke Snider+ (18),8237,L
241,242.,Jack Clark (18),8230,R
242,243.,Tom Brown (17),8221,L
243,244.,Bobby Grich (17),8220,R
244,245.,Lee May (18),8219,R
245,246.,Kid Gleason (22),8211,B
246,247.,Garry Templeton (16),8208,B
247,248.,Bob Elliott (15),8207,R
248,249.,Buddy Myer (17),8192,L
249,250.,Gary Matthews (16),8189,R
250,251.,Willie McGee (18),8188,B
251,252.,Dick Groat (14),8180,R
252,253.,Ellis Burks (18),8177,R
253,254.,Patsy Donovan (17),8173,L
254,255.,Victor Martinez (16),8166,B
255,256.,Royce Clayton (17),8164,R
256,257.,Joe Kelley+ (17),8161,R
257,258.,Edd Roush+ (18),8157,L
258,259.,Chris Speier (19),8155,R
259,260.,Bob Boone (19),8148,R
260,261.,Joe Medwick+ (17),8143,R
261,262.,Cesar Cedeno (17),8133,R
262,263.,Jose Canseco (17),8129,R
263,264.,"Edwin Encarnacion (16, 37)",8126,R
264,265.,Wally Joyner (16),8115,L
265,266.,John Ward+ (17),8114,L
266,267.,Gil Hodges (18),8104,R
267,268.,Kiki Cuyler+ (18),8100,R
268,269.,Bobby Bonds (14),8090,R
269,270.,Devon White (17),8080,B
270,271.,Hal McRae (19),8059,R
271,272.,Willie Horton (18),8052,R
272,273.,Bob Johnson (13),8051,R
273,273.,Reggie Smith (17),8051,B
274,275.,Ken Griffey (19),8049,L
275,276.,Adrian Gonzalez (15),8046,L
276,277.,Tino Martinez (16),8044,L
277,278.,Bobby Doerr+ (14),8030,R
278,278.,Larry Walker+ (17),8030,L
279,280.,Mark Teixeira (14),8029,B
280,281.,Dusty Baker (19),8022,R
281,282.,Bill Russell (18),8021,R
282,283.,Jim Wynn (15),8011,R
283,284.,Brandon Phillips (17),7992,R
284,285.,Matt Holliday (15),7981,R
285,286.,Jim Edmonds (17),7980,L
286,287.,Shawn Green (15),7963,L
287,287.,Derrek Lee (15),7963,R
288,289.,Joe Mauer (15),7960,L
289,290.,Hal Chase (15),7949,R
290,291.,Del Ennis (14),7944,R
291,292.,Cecil Cooper (17),7939,L
292,293.,Fielder Jones (15),7924,L
293,294.,Fred Lynn (17),7923,L
294,295.,Norm Cash (17),7914,L
295,296.,Moises Alou (17),7913,R
296,297.,Felipe Alou (17),7908,R
297,298.,Carney Lansford (15),7905,R
298,299.,Placido Polanco (16),7887,R
299,300.,Mike Cameron (17),7884,R
300,301.,Chet Lemon (16),7874,R
301,302.,Chase Utley (16),7863,L
302,303.,Hugh Duffy+ (17),7842,R
303,304.,Wally Pipp (15),7837,L
304,305.,Brian Giles (15),7836,L
305,306.,George Hendrick (18),7834,R
306,307.,Al Dark (14),7833,R
307,308.,Kirby Puckett+ (12),7831,R
308,309.,A.J. Pierzynski (19),7815,L
309,310.,Lance Berkman (15),7814,B
310,311.,George Foster (18),7812,R
311,312.,"Yadier Molina (17, 37)",7811,R
312,313.,Boog Powell (17),7810,L
313,314.,Lance Parrish (19),7797,R
314,315.,Jeff Conine (17),7782,R
315,316.,Bobby Lowe (18),7773,R
316,317.,Magglio Ordonez (15),7745,R
317,317.,Mike Piazza+ (16),7745,R
318,319.,Tommy Davis (18),7739,R
319,320.,Brady Anderson (15),7737,L
320,321.,Roy White (15),7736,B
321,322.,Cy Williams (19),7727,L
322,323.,Arky Vaughan+ (14),7723,L
323,324.,Don Mattingly (14),7722,L
324,325.,Bobby Murcer (17),7718,L
325,326.,Larry Gardner (17),7714,L
326,327.,Minnie Minoso (17),7713,R
327,328.,Phil Cavarretta (22),7703,L
328,329.,Jose Cardenal (18),7698,R
329,330.,Dan Brouthers+ (19),7691,L
330,331.,Joe DiMaggio+ (13),7672,R
331,332.,Dixie Walker (18),7669,L
332,333.,Mark McGwire (16),7660,R
333,334.,Roy McMillan (16),7656,R
334,335.,Terry Pendleton (15),7637,B
335,336.,Steve Sax (14),7632,R
336,337.,Del Pratt (13),7628,R
337,338.,Ed McKean (13),7626,R
338,339.,Harvey Kuenn (15),7618,R
339,340.,Billy Hamilton+ (14),7609,L
340,341.,Mark Grudzielanek (15),7603,R
341,342.,"Joey Votto (14, 36)",7595,L
342,342.,Matt Williams (17),7595,R
343,344.,Bobby Veach (14),7578,L
344,345.,Marty McManus (15),7568,R
345,346.,Rocky Colavito (14),7559,R
346,347.,Pinky Higgins (14),7558,R
347,348.,Jack Glasscock (17),7552,R
348,349.,George Kell+ (15),7529,R
349,350.,Melky Cabrera (15),7527,B
350,351.,Arlie Latham (17),7524,R
351,352.,Greg Luzinski (15),7518,R
352,353.,Adam Jones (14),7516,R
353,353.,Benito Santiago (20),7516,R
354,355.,Charlie Jamieson (18),7511,L
355,356.,Luis Castillo (15),7471,B
356,357.,Paul Hines (20),7470,R
357,358.,Jimmy Collins+ (14),7460,R
358,359.,Ossie Bluege (18),7458,R
359,360.,Larry Parrish (15),7451,R
360,361.,Johnny Callison (16),7437,L
361,362.,Bret Boone (14),7433,R
362,363.,Frank Schulte (15),7432,L
363,364.,Dave Kingman (16),7429,R
364,365.,Ben Chapman (15),7427,R
365,366.,Jim Fregosi (18),7404,R
366,367.,Leo Cardenas (16),7402,R
367,368.,Larry Doyle (14),7401,L
368,369.,Harry Davis (22),7390,R
369,370.,Chuck Knoblauch (12),7387,R
370,371.,Vinny Castilla (16),7384,R
371,372.,"Evan Longoria (13, 34)",7380,R
372,373.,Bill Madlock (15),7372,R
373,373.,Johnny Mize+ (15),7372,L
374,375.,Joe Quinn (17),7370,R
375,376.,Claudell Washington (17),7367,L
376,377.,Frank Howard (16),7353,R
377,378.,Roy Sievers (17),7349,R
378,379.,"Ryan Braun (14, 36)",7340,R
379,379.,Davey Lopes (16),7340,R
380,381.,Alfredo Griffin (18),7331,B
381,382.,Pete Runnels (14),7329,L
382,383.,Ron Gant (16),7320,R
383,384.,Jhonny Peralta (15),7319,R
384,385.,Dick Allen (15),7315,R
385,386.,Tony Lazzeri+ (14),7314,R
386,387.,Joe Adcock (17),7305,R
387,388.,Gabby Hartnett+ (20),7300,R
388,389.,Frankie Crosetti (17),7274,R
389,390.,Tommy Tucker (13),7273,B
390,391.,"Alex Gordon (14, 36)",7250,L
391,392.,George Burns (16),7247,R
392,393.,Jose Bautista (15),7244,R
393,394.,Vern Stephens (15),7243,R
394,395.,Mark McLemore (19),7239,B
395,396.,Rafael Furcal (14),7237,B
396,397.,Johnny Evers+ (18),7230,L
397,397.,"Justin Upton (14, 32)",7230,R
398,399.,Lu Blue (13),7223,B
399,400.,Earl Averill+ (13),7221,L
400,401.,Travis Fryman (13),7217,R
401,402.,Jermaine Dye (14),7214,R
402,403.,Gee Walker (15),7213,R
403,404.,Vernon Wells (15),7212,R
404,405.,Carl Crawford (15),7178,L
405,406.,Chuck Klein+ (17),7172,L
406,407.,Tom Brunansky (14),7169,R
407,408.,Joe Tinker+ (15),7166,R
408,409.,Tommy Harper (15),7164,R
409,410.,Dick McAuliffe (16),7162,L
410,410.,Rick Monday (19),7162,L
411,412.,"Shin-Soo Choo (16, 37)",7157,L
412,413.,Juan Gonzalez (17),7155,R
413,414.,"Nelson Cruz (16, 39)",7153,R
414,415.,Jorge Posada (17),7150,B
415,416.,Kent Hrbek (14),7137,L
416,417.,Ozzie Guillen (16),7133,L
417,418.,"Ryan Zimmerman (15, 35)",7129,R
418,419.,Fred Pfeffer (16),7128,R
419,420.,Ken Caminiti (15),7127,B
420,420.,Hanley Ramirez (15),7127,R
421,422.,Kip Selbach (13),7122,R
422,423.,Bill Terry+ (14),7111,L
423,424.,Mark Kotsay (17),7110,L
424,425.,Brad Ausmus (18),7102,R
425,426.,Eric Karros (14),7100,R
426,427.,Aurelio Rodriguez (17),7085,R
427,428.,"Elvis Andrus (12, 31)",7079,R
428,429.,Rick Ferrell+ (18),7076,R
429,430.,Gus Bell (15),7073,L
430,430.,Tony Pena (18),7073,R
431,432.,Greg Vaughn (15),7070,R
432,433.,Bill Dickey+ (17),7065,L
433,434.,Shano Collins (16),7050,R
434,435.,"Asdrubal Cabrera (14, 34)",7049,B
435,436.,Bob Bailey (17),7043,R
436,436.,Reggie Sanders (17),7043,R
437,438.,Heinie Groh (16),7040,R
438,439.,Tim Salmon (14),7039,R
439,440.,Andy Pafko (17),7028,R
440,440.,Vic Wertz (17),7028,L
441,442.,Richie Hebner (18),7027,L
442,443.,Lou Boudreau+ (15),7025,R
443,444.,Carl Furillo (15),7022,R
444,445.,Billy Jurges (17),7018,R
445,446.,"Andrew McCutchen (12, 33)",7014,R
446,447.,Dode Paskert (15),7009,R
447,448.,Germany Smith (15),7008,R
448,449.,Augie Galan (16),7007,B
449,450.,Hunter Pence (14),7006,R
450,451.,Dave Philley (18),7004,B
451,452.,Don Money (16),6998,R
452,453.,Eric Young Sr. (15),6996,R
453,454.,"Matt Kemp (15, 35)",6983,R
454,455.,Sam West (16),6974,L
455,456.,Deacon White+ (20),6973,L
456,457.,Bob Watson (19),6962,R
457,458.,Bobby Thomson (15),6961,R
458,459.,Curt Flood (15),6958,R
459,460.,Milt Stock (14),6955,R
460,461.,Willie Kamm (13),6946,R
461,462.,Deacon McGuire (26),6944,R
462,463.,Alex Rios (12),6929,R
463,464.,Frank Thomas (16),6917,R
464,465.,Bill Freehan (15),6900,R
465,466.,Jim Sundberg (16),6899,R
466,467.,Harlond Clift (12),6895,R
467,467.,Bing Miller (16),6895,R
468,469.,Tony Cuccinello (15),6880,R
469,469.,Tony Oliva (15),6880,L
470,471.,Jack Tobin (13),6878,L
471,471.,Randy Winn (13),6878,B
472,473.,David Wright (14),6872,R
473,474.,Cookie Rojas (16),6871,R
474,475.,Phil Garner (16),6861,R
475,476.,Dante Bichette (14),6856,R
476,477.,Claude Ritchey (13),6854,B
477,478.,Prince Fielder (12),6853,L
478,479.,Brian McCann (15),6850,L
479,480.,Mike Griffin (12),6848,L
480,480.,Harry Stovey (14),6848,R
481,482.,Ben Zobrist (14),6836,B
482,483.,Miller Huggins+ (13),6815,B
483,484.,Eddie Joost (17),6791,R
484,485.,Jim Gantner (17),6787,L
485,486.,Aubrey Huff (13),6786,L
486,487.,John Anderson (14),6785,B
487,488.,Garry Maddox (15),6777,R
488,488.,"Dustin Pedroia (14, 36)",6777,R
489,490.,Cupid Childs (13),6770,L
490,491.,Billy Nash (15),6742,R
491,492.,Mike Tiernan (13),6732,L
492,493.,Monte Cross (15),6724,R
493,494.,Rudy York (13),6723,R
494,495.,Phil Rizzuto+ (13),6719,R
495,496.,Willie Jones (15),6718,R
496,497.,Juan Uribe (16),6715,R
497,498.,Harry Steinfeldt (14),6711,R
498,499.,Mike Hargrove (12),6694,L
499,500.,Travis Jackson+ (15),6682,R
500,501.,Bill White (13),6680,L
501,502.,Home Run Baker+ (13),6677,L
502,503.,Albert Belle (12),6676,R
503,504.,Ray Lankford (14),6675,L
504,505.,Paul Blair (17),6673,R
505,506.,Bill Bruton (12),6671,L
506,507.,Terry Turner (17),6665,R
507,508.,Juan Samuel (16),6664,R
508,509.,Kirk Gibson (17),6656,L
509,510.,Delino DeShields (13),6652,L
510,511.,Russell Martin (14),6648,R
511,512.,Bill Hallman (14),6643,R
512,513.,Ed Brinkman (15),6642,R
513,514.,Ivy Olson (14),6635,R
514,515.,Darin Erstad (14),6628,L
515,516.,Coco Crisp (15),6627,B
516,517.,Deron Johnson (16),6620,R
517,518.,Gene Woodling (17),6618,L
518,519.,Mickey Doolin (13),6612,R
519,520.,Al Lopez+ (19),6611,R
520,521.,"Jay Bruce (13, 33)",6603,L
521,522.,Mark Belanger (18),6602,R
522,522.,David Justice (14),6602,L
523,524.,Ben Oglivie (16),6598,L
524,524.,Roy Thomas (13),6598,L
525,526.,George McQuinn (12),6597,L
526,527.,Roy Smalley (13),6596,B
527,528.,Jack Doyle (17),6595,R
528,529.,Jim Piersall (17),6593,R
529,530.,George Bell (12),6592,R
530,530.,Whitey Lockman (15),6592,L
531,532.,Jose Offerman (15),6582,B
532,533.,Jeromy Burnitz (14),6580,L
533,534.,Lloyd Moseby (12),6574,L
534,535.,Tim Foli (16),6573,R
535,535.,Manny Trillo (17),6573,R
536,537.,High Pockets Kelly+ (16),6570,R
537,537.,Darrell Porter (17),6570,L
538,539.,Mark Loretta (15),6558,R
539,540.,J.T. Snow (16),6553,L
540,541.,Joe Gordon+ (11),6537,R
541,542.,Doug DeCinces (15),6534,R
542,543.,Ryan Howard (13),6531,L
543,544.,Sam Thompson+ (15),6526,L
544,545.,Ryan Klesko (16),6523,L
545,546.,Bill Virdon (12),6522,L
546,547.,Pat Burrell (12),6520,R
547,548.,Earle Combs+ (12),6514,L
548,549.,Tom Daly (17),6507,B
549,550.,Mike Lowell (13),6500,R
550,551.,Andy Van Slyke (13),6495,L
551,552.,Mike Bordick (14),6484,R
552,553.,Dots Miller (12),6481,R
553,554.,Dave Martinez (16),6480,L
554,555.,Dom DiMaggio (11),6478,R
555,556.,Hubie Brooks (15),6476,R
556,557.,Ted Kluszewski (15),6470,L
557,558.,Vic Power (12),6461,R
558,559.,Jorge Orta (16),6458,L
559,560.,King Kelly+ (16),6457,R
560,561.,Jeff Burroughs (16),6449,R
561,562.,Billy Goodman (16),6448,L
562,563.,John Mayberry (15),6447,L
563,564.,Wally Schang (19),6439,B
564,565.,Fred Merkle (16),6437,R
565,566.,Elmer Flick+ (13),6431,L
566,567.,Howie Shanks (14),6426,R
567,568.,Howie Kendrick (15),6421,R
568,569.,Bill Nicholson (16),6420,L
569,570.,Jose Guillen (14),6418,R
570,571.,Hughie Critz (12),6415,R
571,572.,Mo Vaughn (12),6410,L
572,573.,Willie Montanez (14),6407,L
573,574.,Lonny Frey (14),6402,L
574,574.,"Carlos Santana (11, 34)",6402,B
575,576.,Justin Morneau (14),6392,L
576,577.,Everett Scott (13),6386,R
577,578.,Raul Mondesi (13),6369,R
578,579.,Clete Boyer (16),6368,R
579,580.,Jayson Werth (15),6366,R
580,581.,Lou Piniella (18),6362,R
581,582.,Troy Glaus (13),6355,R
582,583.,Dolph Camilli (12),6354,L
583,584.,Ernie Lombardi+ (17),6353,R
584,585.,Billy Shindle (13),6351,R
585,586.,Dan Driessen (15),6344,L
586,587.,Steve Brodie (12),6342,L
587,588.,Eddie Foster (13),6336,R
588,589.,Adam LaRoche (12),6329,L
589,590.,Darryl Strawberry (17),6326,L
590,591.,Felix Millan (12),6325,R
591,592.,Jimmy Austin (18),6318,B
592,592.,Rico Carty (15),6318,R
593,592.,Pinky Whitney (12),6318,R
594,595.,Jose Valentin (16),6317,B
595,596.,Ken Keltner (13),6316,R
596,597.,Ginger Beaumont (12),6312,L
597,598.,J.J. Hardy (13),6309,R
598,599.,Nick Swisher (12),6308,B
599,600.,Enos Cabell (15),6304,R
600,601.,Larry Doby+ (13),6302,L
601,602.,Andre Thornton (14),6295,R
602,603.,Granny Hamner (17),6293,R
603,604.,Rich Aurilia (15),6278,R
604,605.,Shawon Dunston (18),6276,R
605,606.,Duke Farrell (18),6269,B
606,607.,Ralph Kiner+ (10),6256,R
607,608.,George McBride (16),6254,R
608,609.,Brian Roberts (14),6253,B
609,610.,Alex Gonzalez (16),6248,R
610,611.,Freddie Patek (14),6247,R
611,612.,Ray Schalk+ (18),6244,R
612,613.,Mark Reynolds (13),6243,R
613,614.,"Starlin Castro (11, 30)",6233,R
614,615.,Babe Herman (13),6230,L
615,616.,Eric Chavez (17),6228,L
616,617.,Cy Seymour (16),6227,L
617,618.,Matty Alou (15),6220,L
618,618.,Sherm Lollar (18),6220,R
619,620.,George Cutshaw (12),6218,R
620,621.,Aaron Hill (13),6217,R
621,622.,Mickey Cochrane+ (13),6211,L
622,622.,Damion Easley (17),6211,R
623,624.,Greg Gagne (15),6209,R
624,625.,Frank McCormick (13),6207,R
625,626.,Tim McCarver (21),6206,L
626,627.,Shannon Stewart (14),6205,R
627,628.,Julian Javier (13),6197,R
628,629.,Frank Bolling (12),6190,R
629,630.,Sparky Adams (13),6177,R
630,630.,Cesar Tovar (12),6177,R
631,632.,Al Smith (12),6173,R
632,633.,Rico Petrocelli (13),6171,R
633,634.,Pete Fox (13),6169,R
634,635.,Pete O'Brien (12),6168,L
635,636.,Ron Hunt (12),6158,R
636,636.,Melvin Mora (13),6158,R
637,638.,J.D. Drew (14),6153,L
638,638.,"Brett Gardner (13, 36)",6153,L
639,640.,Eric Davis (17),6147,R
640,641.,Marty Marion (13),6143,R
641,642.,Jimmy Williams (11),6138,R
642,643.,Jeff Cirillo (14),6136,R
643,644.,Marlon Byrd (15),6123,R
644,645.,Nomar Garciaparra (14),6116,R
645,645.,Tom Herr (13),6116,B
646,647.,Pedro Guerrero (15),6115,R
647,648.,Bill Wambsganss (13),6113,R
648,649.,Freddie Lindstrom+ (13),6109,R
649,650.,Edgardo Alfonzo (12),6108,R
650,651.,George Gore (14),6104,L
651,652.,Michael Cuddyer (15),6102,R
652,653.,Hank Greenberg+ (13),6098,R
653,654.,Elmer Valo (20),6092,L
654,655.,Joe Vosmik (13),6087,R
655,656.,Jackie Jensen (11),6080,R
656,657.,Baby Doll Jacobson (11),6078,R
657,658.,Joe Rudi (16),6077,R
658,659.,Tito Fuentes (13),6073,B
659,660.,Gregg Jefferies (14),6072,B
660,661.,Cliff Floyd (17),6063,L
661,662.,Kevin Seitzer (12),6062,R
662,663.,Dave Cash (12),6057,R
663,663.,Buck Herzog (13),6057,R
664,665.,Adam Kennedy (14),6055,L
665,666.,Dan McGann (12),6053,B
666,667.,Bill Bradley (14),6052,R
667,667.,Von Hayes (12),6052,L
668,669.,Luke Sewell (20),6047,R
