,Rank,"Player (yrs, age)",Shutouts,Throws
158,145.,Jeff Tesreau (7),27,R
159,145.,Hooks Wiltse (12),27,L
160,161.,Jesse Barnes (13),26,R
161,161.,Spud Chandler (11),26,R
162,161.,Dizzy Dean+ (12),26,R
163,161.,Ron Guidry (14),26,L
164,161.,Waite Hoyt+ (21),26,R
165,161.,Dolf Luque (20),26,R
166,161.,Claude Passeau (13),26,R
167,161.,Vic Raschi (10),26,R
168,161.,Rick Reuschel (19),26,R
169,161.,Hal Schumacher (13),26,R
170,161.,Jim Scott (9),26,R
171,161.,Jim Whitney (10),26,R
172,173.,Johnny Antonelli (12),25,L
173,173.,Harry Brecheen (12),25,L
174,173.,Larry Dierker (14),25,R
175,173.,Red Donahue (13),25,R
176,173.,Dick Donovan (15),25,R
177,173.,Tom Glavine+ (22),25,L
178,173.,Noodles Hahn (8),25,L
179,173.,Mel Harder (20),25,R
180,173.,Orel Hershiser (18),25,R
181,173.,Tom Hughes (13),25,R
182,173.,Sal Maglie (10),25,R
183,173.,Lee Meadows (15),25,R
184,173.,Howie Pollet (14),25,L
185,173.,Slim Sallee (14),25,L
186,187.,Bob Caruthers (10),24,R
187,187.,Curt Davis (13),24,R
188,187.,Bill Dinneen (12),24,R
189,187.,Al Downing (17),24,L
190,187.,Dwight Gooden (16),24,R
191,187.,Rudy May (16),24,L
192,187.,Don Newcombe (10),24,R
193,187.,Johnny Podres (15),24,L
194,187.,Reb Russell (9),24,L
195,187.,Chris Short (15),24,L
196,187.,Bill Singer (14),24,R
197,187.,Al Spalding+ (8),24,R
198,187.,Bob Turley (12),24,R
199,187.,John Ward+ (17),24,R
200,187.,Wilbur Wood (17),24,L
201,187.,Tom Zachary (19),24,L
202,203.,Rube Benton (15),23,L
203,203.,Mike Caldwell (14),23,L
204,203.,Jesse Haines+ (19),23,R
205,203.,Bruce Hurst (15),23,L
206,203.,Dennis Leonard (12),23,R
207,203.,Mike McCormick (16),23,L
208,203.,Sam McDowell (15),23,L
209,203.,Scott McGregor (13),23,L
210,203.,Mike Mussina+ (18),23,R
211,203.,Pol Perritt (10),23,R
212,203.,Gary Peters (14),23,L
213,203.,Togie Pittinger (8),23,R
214,203.,Bob Porterfield (12),23,R
215,216.,David Cone (17),22,R
216,216.,Larry Corcoran (8),22,R
217,216.,Ray Culp (11),22,R
218,216.,Hooks Dauss (15),22,R
219,216.,Joe Dobson (14),22,R
220,216.,Chick Fraser (14),22,R
221,216.,Clark Griffith+ (21),22,R
222,216.,Bob Groom (10),22,R
223,216.,Ed Killian (8),22,L
224,216.,Red Lucas (16),22,R
225,216.,Barney Pelty (10),22,R
226,216.,Schoolboy Rowe (15),22,R
227,216.,Mike Scott (13),22,R
228,216.,Jim Slaton (16),22,R
229,230.,Steve Barber (15),21,L
230,230.,Tiny Bonham (10),21,R
231,230.,Ray Caldwell (12),21,R
232,230.,Doug Drabek (13),21,R
233,230.,Bill Hutchison (9),21,R
234,230.,Max Lanier (14),21,L
235,230.,Frank Lary (12),21,R
236,230.,Bob Rhoads (8),21,R
237,230.,Charlie Root (17),21,R
238,230.,Sonny Siebert (12),21,R
239,230.,Dummy Taylor (9),21,R
240,230.,George Uhle (17),21,R
241,230.,Jake Weimer (7),21,L
242,230.,Irv Young (6),21,L
243,244.,Jim Barr (12),20,R
244,244.,Bob Buhl (15),20,R
245,244.,Howie Camnitz (11),20,R
246,244.,Larry Cheney (9),20,R
247,244.,Phil Douglas (9),20,R
248,244.,Dennis Eckersley+ (24),20,R
249,244.,Howard Ehmke (15),20,R
250,244.,Harvey Haddix (14),20,L
251,244.,Roy Halladay+ (16),20,R
252,244.,Harry Howell (13),20,R
253,244.,Ramon Martinez (14),20,R
254,244.,Bobby Mathews (15),20,R
255,244.,George Mogridge (15),20,L
256,244.,Van Mungo (14),20,R
257,244.,Joe Nuxhall (16),20,L
258,244.,Mel Parnell (10),20,L
259,244.,Fritz Peterson (11),20,L
260,244.,Lew Richie (8),20,R
261,244.,Dave Roberts (13),20,L
262,244.,Ray Sadecki (18),20,L
263,244.,Curt Schilling (20),20,R
264,244.,Rip Sewell (13),20,R
265,244.,Jack Taylor (10),20,R
266,244.,Ralph Terry (12),20,R
267,244.,Bob Veale (13),20,L
268,244.,Don Wilson (9),20,R
269,244.,Geoff Zahn (13),20,L
270,271.,Joaquin Andujar (13),19,R
271,271.,Jim Bibby (12),19,R
272,271.,Ray Collins (7),19,L
273,271.,Candy Cummings+ (6),19,R
274,271.,Bob Ewing (11),19,R
275,271.,Ray Fisher (10),19,R
276,271.,Mike Flanagan (18),19,L
277,271.,Bob Forsch (16),19,R
278,271.,Tex Hughson (8),19,R
279,271.,Randy Jones (10),19,L
280,271.,Matt Kilroy (10),19,L
281,271.,Silver King (10),19,R
282,271.,Frank Kitson (10),19,R
283,271.,Carl Lundgren (8),19,R
284,271.,Guy Morton (11),19,R
285,271.,J.R. Richard (10),19,R
286,271.,Tully Sparks (12),19,R
287,271.,Jim Wilson (12),19,R
288,289.,Doyle Alexander (19),18,R
289,289.,Tim Belcher (14),18,R
290,289.,Ed Brandt (11),18,L
291,289.,Ernie Broglio (8),18,R
292,289.,Joe Coleman (15),18,R
293,289.,Dave Davenport (6),18,R
294,289.,John Denny (13),18,R
295,289.,George Earnshaw (9),18,R
296,289.,Ken Forsch (16),18,R
297,289.,Ned Garver (14),18,R
298,289.,Mudcat Grant (14),18,R
299,289.,Ken Heintzelman (13),18,L
300,289.,Otto Hess (10),18,L
301,289.,Joe Horlen (12),18,R
302,289.,Mark Langston (16),18,L
303,289.,Charlie Leibrandt (14),18,L
304,289.,Danny MacFayden (17),18,R
305,289.,Jumbo McGinnis (6),18,
306,289.,Bill Monbouquette (11),18,R
307,289.,Jim O'Toole (10),18,L
308,289.,Joe Oeschger (12),18,R
309,289.,Eddie Rommel (13),18,R
310,289.,Dutch Ruether (11),18,L
311,289.,Rick Sutcliffe (18),18,R
312,313.,Johnny Allen (13),17,R
313,313.,Doc Ayers (9),17,R
314,313.,George Bell (5),17,R
315,313.,Joe Benz (9),17,R
316,313.,Nelson Briles (14),17,R
317,313.,Kevin Brown (19),17,R
318,313.,Don Cardwell (14),17,R
319,313.,Hal Carlson (14),17,R
320,313.,Bill Dietrich (16),17,R
321,313.,Bill Duggleby (8),17,R
322,313.,Scott Erickson (15),17,R
323,313.,Wes Ferrell (15),17,R
324,313.,Denny Galehouse (15),17,R
325,313.,Steve Gromek (17),17,R
326,313.,Bill Hands (11),17,R
327,313.,Steve Hargan (12),17,R
328,313.,Billy Hoeft (15),17,L
329,313.,Larry Jansen (9),17,R
330,313.,Sam Jones (12),17,R
331,313.,Pedro Martinez+ (18),17,R
332,313.,Harry McIntire (9),17,R
333,313.,George McQuillan (10),17,R
334,313.,Casey Patten (8),17,L
335,313.,Jack Pfiester (8),17,L
336,313.,Juan Pizarro (18),17,L
337,313.,Rick Rhoden (16),17,R
338,313.,Preacher Roe (12),17,L
339,313.,Babe Ruth+ (22),17,L
340,313.,Dick Ruthven (14),17,R
341,313.,Jim Shaw (9),17,R
342,313.,Allan Sothoron (11),17,R
343,313.,Paul Splittorff (15),17,L
344,313.,Adonis Terry (14),17,R
345,313.,Whit Wyatt (16),17,R
346,347.,Nick Altrock (19),16,L
347,347.,Jim Bagby (9),16,R
348,347.,Stan Bahnsen (16),16,R
349,347.,Floyd Bannister (15),16,L
350,347.,Steve Blass (10),16,R
351,347.,Mike Boddicker (14),16,R
352,347.,Hank Borowy (10),16,R
353,347.,Guy Bush (17),16,R
354,347.,Tex Carleton (8),16,R
355,347.,Ice Box Chamberlain (10),16,R
356,347.,General Crowder (11),16,R
357,347.,Pete Donohue (12),16,R
358,347.,Jimmy Dygert (6),16,R
359,347.,Dave Foutz (13),16,R
360,347.,Fred Goldsmith (7),16,R
361,347.,Sam Gray (10),16,R
362,347.,Mark Gubicza (14),16,R
363,347.,Larry Gura (16),16,L
364,347.,Earl Hamilton (14),16,L
365,347.,Joey Jay (13),16,R
366,347.,Johnny Lush (7),16,L
367,347.,Doc Medich (11),16,R
368,347.,Willie Mitchell (11),16,L
369,347.,Mike Moore (14),16,R
370,347.,Bob Ojeda (15),16,L
371,347.,Frank Owen (8),16,R
372,347.,Roy Patterson (7),16,R
373,347.,George Pipgras (11),16,R
374,347.,Bob Rush (13),16,R
375,347.,Bret Saberhagen (16),16,R
376,347.,Johnny Sain (11),16,R
377,347.,Johnny Schmitz (13),16,L
378,347.,Al Smith (12),16,L
379,347.,Bob Smith (15),16,R
380,347.,Sherry Smith (14),16,L
381,347.,Zane Smith (13),16,L
382,347.,John Smoltz+ (21),16,R
383,347.,George Suggs (8),16,R
384,347.,John Tudor (12),16,L
385,347.,Frank Viola (15),16,L
386,347.,Earl Whitehill (17),16,L
387,388.,Ewell Blackwell (10),15,R
388,388.,George Brunet (15),15,L
389,388.,John Buzhardt (11),15,R
390,388.,Chris Carpenter (15),15,R
391,388.,Rip Collins (11),15,R
392,388.,Al Demaree (8),15,R
393,388.,Chuck Finley (17),15,L
394,388.,Russ Ford (7),15,R
395,388.,Rube Foster (5),15,R
396,388.,Ruben Gomez (10),15,R
397,388.,Ross Grimsley (11),15,L
398,388.,Bob Harmon (9),15,R
399,388.,Guy Hecker (9),15,R
400,388.,Danny Jackson (15),15,L
401,388.,Al Javery (7),15,R
402,388.,"Clayton Kershaw (13, 32)",15,L
403,388.,Dave Koslo (12),15,L
404,388.,Jim Lonborg (15),15,R
405,388.,Pat Malone (10),15,R
406,388.,Al Mamaux (12),15,R
407,388.,Walt Masterson (14),15,R
408,388.,Vinegar Bend Mizell (9),15,L
409,388.,Cy Morgan (10),15,R
410,388.,Fred Norman (16),15,L
411,388.,Blue Moon Odom (13),15,R
412,388.,Gene Packard (8),15,L
413,388.,Jim Rooker (13),15,L
414,388.,Doc Scanlan (8),15,R
415,388.,Tom Seaton (6),15,R
416,388.,Bobby Shantz (16),15,L
417,388.,Bill Stoneman (8),15,R
418,388.,Frank Sullivan (11),15,R
419,388.,Tommy Thomas (12),15,R
420,388.,Mike Torrez (18),15,R
421,388.,Rube Walberg (15),15,L
422,388.,Bill Walker (10),15,L
423,388.,Carl Weilman (8),15,L
424,388.,Bill Wight (12),15,L
425,426.,Elden Auker (10),14,R
426,426.,Mark Baldwin (7),14,R
427,426.,Bill Bernhard (9),14,R
428,426.,George Blaeholder (11),14,R
429,426.,Cy Blanton (9),14,R
430,426.,Max Butcher (10),14,R
431,426.,Dan Casey (7),14,L
432,426.,Watty Clark (12),14,L
433,426.,John Curtis (15),14,L
434,426.,Pat Dobson (11),14,R
435,426.,Red Ehret (11),14,R
436,426.,Dock Ellis (12),14,R
437,426.,Carl Erskine (12),14,R
438,426.,Lou Fette (5),14,R
439,426.,Art Fromme (10),14,R
440,426.,Fred Glade (6),14,R
441,426.,Vean Gregg (8),14,L
442,426.,Kevin Gross (15),14,R
443,426.,Don Gullett (9),14,L
444,426.,Bump Hadley (16),14,R
445,426.,Bill Hallahan (12),14,L
446,426.,Art Houtteman (12),14,R
447,426.,Al Jackson (10),14,L
448,426.,Jack Kramer (12),14,R
449,426.,Ray Kremer (10),14,R
450,426.,Thornton Lee (16),14,L
451,426.,Denny Lemaster (11),14,L
452,426.,Sadie McMahon (9),14,R
453,426.,Frank Miller (7),14,R
454,426.,Gary Nolan (10),14,R
455,426.,Marty Pattin (13),14,R
456,426.,Ben Sanders (5),14,R
457,426.,Scott Sanderson (19),14,R
458,426.,Jack Sanford (12),14,R
459,426.,Bob Shaw (11),14,R
460,426.,Ed Siever (7),14,L
461,426.,Jack Stivetts (11),14,R
462,426.,Walt Terrell (11),14,R
463,464.,Jim Bagby (10),13,R
464,464.,Larry Benton (13),13,R
465,464.,Tom Brewer (8),13,R
466,464.,Hal Brown (14),13,R
467,464.,John Candelaria (19),13,L
468,464.,Tony Cloninger (12),13,R
469,464.,"Bartolo Colon (21, 47)",13,R
470,464.,Gene Conley (11),13,R
471,464.,Harry Coveleski (9),13,L
472,464.,Ron Darling (13),13,R
473,464.,Charlie Ferguson (4),13,R
474,464.,Ned Garvin (7),13,R
475,464.,Dave Goltz (12),13,R
476,464.,Harry Gumbert (15),13,R
477,464.,Mickey Haefner (8),13,L
478,464.,Ed Halicki (7),13,R
479,464.,Ray Herbert (14),13,R
480,464.,Charlie Hough (25),13,R
481,464.,Tim Hudson (17),13,R
482,464.,Fred Hutchinson (11),13,R
483,464.,Si Johnson (17),13,R
484,464.,Brickyard Kennedy (12),13,R
485,464.,Jimmy Key (15),13,L
486,464.,Frank Killen (10),13,L
487,464.,Elmer Knetzer (8),13,R
488,464.,Jack McDowell (12),13,R
489,464.,Lynn McGlothen (11),13,R
490,464.,Larry McWilliams (13),13,L
491,464.,Cliff Melton (8),13,L
492,464.,Russ Meyer (13),13,R
493,464.,Bob Moose (10),13,R
494,464.,Johnny Morrison (10),13,R
495,464.,Carl Morton (8),13,R
496,464.,Red Munger (10),13,R
497,464.,Billy O'Dell (13),13,L
498,464.,Bob Purkey (13),13,R
499,464.,Pedro Ramos (15),13,R
500,464.,Billy Rhines (9),13,R
501,464.,Elmer Riddle (10),13,R
502,464.,Ed Seward (6),13,R
503,464.,Dupee Shaw (6),13,L
504,464.,Mario Soto (12),13,R
505,464.,Elam Vangilder (11),13,R
506,464.,Bill Voiselle (9),13,R
507,464.,Stump Weidman (9),13,R
508,464.,Earl Wilson (11),13,R
509,464.,George Zettlein (6),13,R
510,511.,Kevin Appier (16),12,R
511,511.,Pedro Astacio (15),12,R
512,511.,Ray Benge (12),12,R
513,511.,Bud Black (15),12,L
514,511.,Ralph Branca (12),12,R
515,511.,Theodore Breitenstein (11),12,L
516,511.,Tom Browning (12),12,L
517,511.,Tommy Byrne (13),12,L
518,511.,Reggie Cleveland (13),12,R
519,511.,George Derby (3),12,R
520,511.,Jean Dubuc (9),12,R
521,511.,Frank Dwyer (12),12,R
522,511.,Dave Ferriss (6),12,R
523,511.,Ed Figueroa (8),12,R
524,511.,Luke Hamlin (9),12,R
525,511.,Harry Harper (10),12,L
526,511.,Jack Harshman (10),12,L
527,511.,Teddy Higuera (9),12,L
528,511.,Jack Kralick (9),12,L
529,511.,Cliff Lee (13),12,L
530,511.,Erskine Mayer (8),12,R
531,511.,Clarence Mitchell (18),12,L
532,511.,Earl Moseley (4),12,R
533,511.,Johnny Niggeling (9),12,R
534,511.,Wiley Piatt (6),12,L
535,511.,Pat Ragan (11),12,R
536,511.,Eric Rasmussen (8),12,R
537,511.,Vern Ruhle (13),12,R
538,511.,CC Sabathia (19),12,L
539,511.,Spec Shea (8),12,R
540,511.,Ed Stein (8),12,R
541,511.,Greg Swindell (17),12,L
542,511.,Jim Tobin (9),12,R
543,511.,David Wells (21),12,L
544,511.,Ed Whitson (15),12,R
545,511.,Kaiser Wilhelm (9),12,R
546,511.,Ed Willett (10),12,R
547,548.,Fred Anderson (7),11,R
548,548.,Steve Arlin (6),11,R
549,548.,Red Barrett (11),11,R
550,548.,Sheriff Blake (10),11,R
551,548.,Jim Bouton (10),11,R
552,548.,Britt Burns (8),11,L
553,548.,Jimmy Callahan (13),11,R
554,548.,Tom Candiotti (16),11,R
555,548.,Jim Clancy (15),11,R
556,548.,Andy Coakley (9),11,R
557,548.,Joe Coleman (10),11,R
558,548.,Chuck Dobson (9),11,R
559,548.,Richard Dotson (12),11,R
560,548.,Al Fitzmorris (10),11,R
561,548.,Jesse Flores (7),11,R
562,548.,Dick Fowler (10),11,R
563,548.,Harry Gaspar (4),11,R
564,548.,Pretzels Getzien (9),11,R
565,548.,Orval Grove (10),11,R
566,548.,Bill Gullickson (14),11,R
567,548.,Pete Harnisch (14),11,R
568,548.,Pink Hawley (10),11,R
569,548.,"Felix Hernandez (15, 34)",11,R
570,548.,Kirby Higbe (12),11,R
571,548.,Glen Hobbie (8),11,R
572,548.,Rick Honeycutt (21),11,L
573,548.,Willis Hudlin (16),11,R
574,548.,Sid Hudson (12),11,R
575,548.,Syl Johnson (19),11,R
576,548.,Ray Kolp (12),11,R
577,548.,Don Larsen (14),11,R
578,548.,Kirk McCaskill (12),11,R
579,548.,Mickey McDermott (12),11,L
580,548.,Jim McGlothlin (9),11,R
581,548.,Win Mercer (9),11,R
582,548.,John Montefusco (13),11,R
583,548.,Bob Muncrief (12),11,R
584,548.,Jim Nash (7),11,R
585,548.,Fritz Ostermueller (15),11,L
586,548.,Stubby Overmire (10),11,L
587,548.,Dan Petry (13),11,R
588,548.,Tom Phoebus (7),11,R
589,548.,Doug Rau (9),11,L
590,548.,Ervin Santana (15),11,R
591,548.,Ferdie Schupp (10),11,L
592,548.,Herb Score (8),11,L
593,548.,Jack Scott (12),11,R
594,548.,Bill Sherdel (15),11,L
595,548.,Eric Show (11),11,R
596,548.,Carl Willey (8),11,R
597,548.,Stan Williams (14),11,R
598,548.,Bobby Witt (16),11,R
599,548.,Mike Witt (12),11,R
600,548.,Hank Wyse (8),11,R
601,602.,Frank Allen (6),10,L
602,602.,Al Benton (14),10,R
603,602.,Bernie Boland (7),10,R
604,602.,Bobby Bolin (13),10,R
605,602.,Dick Bosman (11),10,R
606,602.,Oil Can Boyd (10),10,R
607,602.,Henry Boyle (6),10,R
608,602.,Tom Bradley (7),10,R
609,602.,Buster Brown (9),10,R
610,602.,Lloyd Brown (12),10,L
611,602.,Mark Buehrle (16),10,L
612,602.,A.J. Burnett (17),10,R
613,602.,Bill Burns (5),10,L
614,602.,Ray Burris (15),10,R
615,602.,Leon Cadore (10),10,R
616,602.,Frank Corridon (6),10,R
617,602.,Hugh Daily (6),10,R
618,602.,Dixie Davis (10),10,R
619,602.,Dick Drago (13),10,R
620,602.,Mal Eason (6),10,R
621,602.,Alex Fernandez (10),10,R
622,602.,Dana Fillingim (8),10,R
623,602.,Fred Frankhouse (13),10,R
624,602.,Milt Gaston (11),10,R
625,602.,Kid Gleason (22),10,R
626,602.,Tom Griffin (14),10,R
627,602.,Jack Harper (8),10,R
628,602.,Andy Hawkins (10),10,R
629,602.,Jim Hearn (13),10,R
630,602.,Pat Hentgen (14),10,R
631,602.,Ed Heusser (9),10,R
632,602.,Bill Hoffer (6),10,R
633,602.,Ellis Kinder (12),10,R
634,602.,Harry Krause (5),10,L
635,602.,Mike Krukow (14),10,R
636,602.,Rick Langford (11),10,R
637,602.,Barry Latman (11),10,R
638,602.,Jimmy Lavender (6),10,R
639,602.,Bill Lee (14),10,L
640,602.,Al Leiter (19),10,L
641,602.,Joe Magrane (8),10,L
642,602.,Dick McBride (6),10,R
643,602.,Harry McCormick (4),10,R
644,602.,Hugh McQuillan (10),10,R
645,602.,Al Milnar (8),10,L
646,602.,Lew Moren (6),10,R
647,602.,Mike Morgan (22),10,R
648,602.,Jamie Moyer (25),10,L
649,602.,Mark Mulder (9),10,L
650,602.,Terry Mulholland (20),10,L
651,602.,Jim Pastorius (4),10,L
652,602.,Brad Radke (12),10,R
653,602.,Johnny Rigney (8),10,R
654,602.,Johan Santana (12),10,L
655,602.,Pete Schneider (6),10,R
656,602.,Charlie Smith (10),10,R
657,602.,Lary Sorensen (11),10,R
658,602.,Joe Sparma (7),10,R
659,602.,Harry Staley (8),10,R
660,602.,Scott Stratton (8),10,R
661,602.,Elmer Stricklett (4),10,R
662,602.,Willie Sudhoff (10),10,R
663,602.,Bill Travers (9),10,L
664,602.,"Adam Wainwright (15, 38)",10,R
665,602.,Rick Waits (12),10,L
666,602.,Ray Washburn (10),10,R
667,602.,Bob Wicker (6),10,R
668,602.,Milt Wilcox (16),10,R
669,602.,Lefty Williams (7),10,L
670,671.,Hank Aguirre (16),9,L
671,671.,Lady Baldwin (6),9,L
672,671.,Fred Beebe (7),9,R
673,671.,Gary Bell (12),9,R
674,671.,Andy Benes (14),9,R
675,671.,Vern Bickford (7),9,R
676,671.,Joe Boehling (7),9,L
677,671.,Chris Bosio (11),9,R
678,671.,King Cole (6),9,R
679,671.,Doc Crandall (10),9,R
680,671.,Nick Cullop (6),9,L
681,671.,Nig Cuppy (10),9,R
682,671.,Danny Darwin (21),9,R
683,671.,Jim Devlin (5),9,R
684,671.,Dave Dravecky (8),9,L
685,671.,Monk Dubiel (7),9,R
686,671.,Hod Eller (5),9,R
687,671.,Dick Ellsworth (13),9,L
688,671.,John Ewing (6),9,R
689,671.,Sid Fernandez (15),9,L
690,671.,Jack Fisher (11),9,R
691,671.,Dave Giusti (15),9,R
692,671.,Mike Hampton (16),9,L
693,671.,Egyptian Healy (8),9,R
694,671.,Liván Hernández (17),9,R
695,671.,Oral Hildebrand (10),9,R
696,671.,Tom Hughes (9),9,R
697,671.,Bert Humphries (6),9,R
698,671.,Johnny Humphries (9),9,R
699,671.,Elmer Jacobs (9),9,R
700,671.,Bill James (8),9,R
701,671.,Chief Johnson (3),9,R
702,671.,Ed Karger (6),9,L
703,671.,Tony Kaufmann (12),9,R
704,671.,Alex Kellner (12),9,L
705,671.,Darryl Kile (12),9,R
706,671.,Mike LaCoss (14),9,R
707,671.,Terry Larkin (6),9,R
708,671.,Tim Leary (13),9,R
709,671.,Billy Loes (11),9,R
710,671.,Bill Lohrman (9),9,R
711,671.,Kyle Lohse (16),9,R
712,671.,Tom Lovett (6),9,R
713,671.,Nick Maddox (4),9,R
714,671.,Art Mahaffey (7),9,R
715,671.,Rick Mahler (13),9,R
716,671.,Al Mattern (5),9,L
717,671.,Bill McGee (8),9,R
718,671.,Jouett Meekin (10),9,R
719,671.,Jim Merritt (11),9,L
