,Rank,"Player (yrs, age)",Assists as 3B,Throws
96,97.,Bill Mueller (11),1987,R
97,97.,Don Wert (9),1987,R
98,99.,Jim Tabor (9),1979,R
99,100.,Joe Mulvey (12),1962,R
100,101.,Toby Harrah (17),1942,R
101,102.,Joe Dugan (14),1932,R
102,103.,Heinie Zimmerman (13),1924,R
103,104.,Kevin Seitzer (12),1920,R
104,105.,Larry Parrish (15),1918,R
105,106.,Dean Palmer (14),1916,R
106,107.,"Todd Frazier (10, 34)",1884,R
107,108.,Bob Aspromonte (13),1879,R
108,109.,"Mike Moustakas (10, 31)",1871,R
109,110.,Aaron Boone (12),1867,R
110,111.,Bill Coughlin (9),1859,R
111,112.,"Josh Donaldson (10, 34)",1856,R
112,113.,Ossie Vitt (10),1846,R
113,114.,David Bell (12),1845,R
114,115.,Grady Hatton (12),1844,R
115,116.,Tom Brookens (12),1833,R
116,116.,Ed Charles (8),1833,R
117,118.,"Manny Machado (9, 27)",1827,R
118,119.,Jim Davenport (13),1816,R
119,120.,Pedro Feliz (11),1788,R
120,121.,Melvin Mora (13),1774,R
121,122.,Al Rosen (10),1773,R
122,123.,Bobby Bonilla (16),1764,R
123,124.,"Pablo Sandoval (13, 33)",1763,R
124,125.,Hank Majeski (13),1750,R
125,126.,Scott Brosius (11),1734,R
126,127.,Billy Johnson (9),1728,R
127,128.,George Moriarty (13),1727,R
128,129.,Randy Jackson (10),1725,R
129,130.,Charlie Deal (10),1723,R
130,131.,Ned Williamson (13),1719,R
131,132.,Jim Presley (8),1709,R
132,133.,Corey Koskie (9),1704,R
133,134.,Casey Blake (13),1703,R
134,135.,Marv Owen (9),1695,R
135,136.,Max Alvis (9),1693,R
136,137.,Andy Carey (11),1692,R
137,138.,Art Whitney (11),1691,R
138,139.,Bill Kuehne (10),1687,R
139,140.,Charlie Irwin (10),1685,R
140,141.,Joe Crede (10),1678,R
141,142.,Roy Howell (11),1666,R
142,143.,Joe Stripp (11),1665,R
143,144.,Ray Knight (13),1653,R
144,145.,Kelly Gruber (10),1651,R
145,146.,Ezra Sutton (18),1646,R
146,147.,Paul Molitor+ (21),1639,R
147,148.,Harry Wolverton (9),1625,R
148,149.,Lee Tannehill (10),1624,R
149,150.,Deacon White+ (20),1619,R
150,151.,Edgardo Alfonzo (12),1613,R
151,152.,Ed Sprague (11),1612,R
152,153.,Hans Lobert (14),1601,R
153,154.,Bob Jones (9),1600,R
154,154.,John McGraw+ (17),1600,R
155,156.,Eric Soderholm (9),1589,R
156,157.,Harry Lord (9),1583,R
157,158.,Rich Rollins (10),1582,R
158,159.,Frank Hankinson (10),1579,R
159,160.,Howard Johnson (14),1576,R
160,161.,Whitey Kurowski (9),1569,R
161,162.,Luis Salazar (13),1562,R
162,163.,David Freese (11),1557,R
163,164.,Tony Batista (11),1551,R
164,165.,Phil Garner (16),1542,R
165,166.,Freddie Lindstrom+ (13),1536,R
166,167.,Enos Cabell (15),1527,R
167,168.,Wayne Garrett (10),1515,R
168,169.,Babe Pinelli (8),1514,R
169,169.,Chris Sabo (9),1514,R
170,171.,Tony Perez+ (23),1496,R
171,172.,Tom Burns (13),1494,R
172,173.,Lee Handley (10),1464,R
173,174.,Bill Joyce (8),1456,R
174,175.,Rico Petrocelli (13),1453,R
175,176.,Marty McManus (15),1450,R
176,177.,Wayne Gross (11),1437,R
177,178.,Eddie Grant (10),1423,R
178,179.,Placido Polanco (16),1421,R
179,180.,Bubba Phillips (10),1416,R
180,181.,Buddy Lewis (11),1415,R
181,182.,Les Bell (9),1412,R
182,183.,Pinky May (5),1391,R
183,184.,Harmon Killebrew+ (22),1388,R
184,185.,Sammy Hale (10),1373,R
185,186.,Tony Boeckel (6),1356,R
186,187.,Martin Prado (14),1350,R
187,188.,Gene Freese (12),1341,R
188,188.,Hank Thompson (9),1341,R
189,190.,Wid Conroy (11),1332,R
190,191.,"Anthony Rendon (8, 30)",1324,R
191,192.,Andy High (13),1307,R
192,192.,Charlie Reilly (8),1307,R
193,194.,Jim Donnelly (11),1288,R
194,195.,Charley Smith (10),1283,R
195,196.,Dick Allen (15),1276,R
196,197.,Billy Cox (11),1273,R
197,198.,Bobby Adams (14),1268,R
198,199.,"Justin Turner (12, 35)",1267,R
199,200.,Jim Gilliam (14),1265,R
200,201.,Joe Foy (6),1261,R
201,202.,Hank Blalock (9),1259,R
202,202.,Terry Turner (17),1259,R
203,204.,Dave Hollins (12),1255,R
204,205.,Joe Sewell+ (14),1253,R
205,206.,Mark Reynolds (13),1248,R
206,207.,Cal Ripken Jr.+ (21),1237,R
207,208.,Bob Dillinger (6),1234,R
208,209.,Fred Hartman (6),1226,R
209,210.,Rube Lutzke (5),1222,R
210,211.,Lew Riggs (10),1220,R
211,212.,Pedro Alvarez (9),1215,R
212,213.,Bob Horner (10),1214,R
213,214.,Juan Uribe (16),1201,R
214,215.,Jim Ray Hart (12),1187,R
215,216.,Pete Ward (9),1182,R
216,217.,Butch Hobson (8),1181,R
217,218.,Jeff King (11),1179,R
218,219.,Jack Howell (11),1174,R
219,220.,Cookie Lavagetto (10),1168,R
220,221.,Chuck Dressen (8),1167,R
221,221.,Fernando Tatis (11),1167,R
222,223.,Garrett Atkins (8),1163,R
223,223.,George Davis+ (20),1163,R
224,223.,Steve Ontiveros (8),1163,R
225,226.,Wally Gilbert (5),1157,R
226,227.,Ty Wigginton (12),1147,R
227,228.,Geoff Blum (14),1137,R
228,229.,Johnny Vergez (6),1136,R
229,230.,"Edwin Encarnacion (16, 37)",1130,R
230,231.,Doug Baird (6),1125,R
231,232.,Kevin Kouzmanoff (7),1122,R
232,233.,Morgan Ensberg (8),1119,R
233,234.,Vance Law (11),1115,R
234,235.,"Eugenio Suarez (7, 28)",1110,R
235,236.,Jim Morrison (12),1109,R
236,237.,Chone Figgins (12),1108,R
237,238.,Bob Ferguson (14),1105,R
238,239.,"Matt Carpenter (10, 34)",1103,R
239,240.,"Miguel Cabrera (18, 37)",1101,R
240,240.,Frank O'Rourke (14),1101,R
241,242.,Trevor Plouffe (9),1095,R
242,243.,Bill McKechnie+ (11),1086,R
243,244.,"Kris Bryant (6, 28)",1084,R
244,245.,Pete Rose (24),1083,R
245,246.,Chippy McGarr (10),1081,R
246,247.,Ray Jablonski (8),1069,R
247,248.,Bob Kennedy (16),1067,R
248,249.,"Maikel Franco (7, 27)",1065,R
249,250.,Ray Boone (13),1058,R
250,251.,Alberto Callaspo (10),1048,R
251,252.,Patsy Tebeau (13),1045,R
252,253.,Dave Magadan (16),1034,R
253,254.,Floyd Baker (13),1032,R
254,255.,Sean Berry (11),1031,R
255,256.,Casey McGehee (8),1009,R
256,256.,Rance Mulliniks (16),1009,R
257,258.,Edgar Martinez+ (18),1008,R
258,259.,Billy Clingman (10),1006,R
259,260.,Dave Brain (7),1003,R
260,261.,Gil McDougald (10),992,R
261,262.,Cecil Travis (12),990,R
262,263.,Gene Robertson (9),989,R
263,264.,Howie Shanks (14),987,R
264,265.,Luis Valbuena (11),985,R
265,266.,Chris Johnson (8),984,R
266,267.,Johnny Pesky (10),983,R
267,267.,Lenny Randle (12),983,R
268,269.,Buck Herzog (13),980,R
269,270.,Leo Gomez (7),978,R
270,271.,Fred Haney (7),970,R
271,272.,Hubie Brooks (15),969,R
272,273.,Bill Stein (14),966,R
273,274.,Shane Andrews (7),965,R
274,275.,Jumbo Davis (7),963,R
275,276.,Hector Lopez (12),959,R
276,277.,Bobby Wallace+ (25),956,R
277,278.,Jerry Royster (16),950,R
278,279.,Sparky Adams (13),943,R
279,280.,Danny Valencia (9),939,R
280,281.,Frankie Frisch+ (19),937,R
281,282.,Mike Blowers (11),935,R
282,283.,Billy Lauder (5),931,R
283,284.,Bernie Friberg (14),930,R
284,285.,John Castino (6),927,R
285,286.,"Jake Lamb (7, 29)",915,R
286,287.,Odell Hale (10),905,R
287,287.,Buck Weaver (9),905,R
288,289.,"Matt Chapman (4, 27)",902,R
289,290.,Russ Davis (8),901,R
290,291.,Dave Chalk (9),900,R
291,292.,Mark Christman (9),897,R
292,292.,Barry McCormick (10),897,R
293,294.,Jimmy Burke (7),895,R
294,295.,Steve Mesner (6),891,R
295,296.,Gary Sheffield (22),887,R
296,297.,Scott Cooper (7),885,R
297,298.,Mike Cubbage (8),884,R
298,299.,Jack Hannahan (8),877,R
299,300.,Mike Shannon (9),866,R
300,301.,Phil Nevin (12),864,R
301,302.,Brett Lawrie (6),861,R
302,303.,Sid Gordon (13),856,R
303,303.,Jim Thome+ (22),856,R
304,305.,Fred Hatfield (9),855,R
305,306.,Tim Hulett (12),851,R
306,307.,"Nicholas Castellanos (8, 28)",847,R
307,308.,Joe Battin (10),845,R
308,308.,Tony Cuccinello (15),845,R
309,310.,Sammy Strang (10),844,R
310,311.,Roy Hartzell (11),842,R
311,312.,"Jose Ramirez (8, 27)",838,R
312,312.,Tony Taylor (19),838,R
313,314.,Joe Torre+ (18),825,R
314,315.,Jimmy Johnston (13),815,R
315,316.,"Travis Shaw (6, 30)",814,R
316,317.,Frankie Gustine (12),813,R
317,318.,Wes Helms (13),807,R
318,318.,Mark Teahen (7),807,R
319,320.,"Alex Bregman (5, 26)",802,R
320,321.,Ed Spiezio (9),798,R
321,322.,Jose Bautista (15),794,R
322,323.,Pete Suder (13),788,R
323,324.,"Eduardo Escobar (10, 31)",787,R
324,325.,Mike Lamb (10),777,R
325,325.,Mike Muldoon (5),777,
326,327.,Shea Hillenbrand (7),763,R
327,328.,Scott Leius (9),762,R
328,329.,Dude Esterbrook (11),761,R
329,330.,Michael Young (14),755,R
330,331.,Chris Brown (6),748,R
331,332.,Eddie Kasko (10),746,R
332,333.,Jerry Kenney (6),745,R
333,333.,Fritz Maisel (6),745,R
334,333.,Kevin Youkilis (10),745,R
335,336.,Frank Ellerbe (6),744,R
336,337.,Ed Gremminger (4),743,R
337,338.,George Perring (5),740,R
338,339.,Pete Castiglione (8),739,R
339,340.,Woody English (12),734,R
340,341.,Eric Hinske (12),729,R
341,342.,"Rafael Devers (4, 23)",728,R
342,343.,Pedro Guerrero (15),725,R
343,344.,Art Howe (11),723,R
344,344.,Garth Iorg (9),723,R
345,346.,"Matt Duffy (5, 29)",720,R
346,347.,Pepper Martin (13),715,R
347,347.,Denis Menke (13),715,R
348,349.,Sean Burroughs (7),714,R
349,350.,Joe Werrick (4),713,R
350,351.,Harry Schafer (8),709,R
351,351.,Bill Spiers (13),709,R
352,353.,Dave Roberts (10),708,R
353,353.,Maury Wills (14),708,R
354,355.,Danny O'Connell (10),700,R
355,356.,Don Buford (10),696,R
356,357.,Craig Paquette (11),695,R
357,358.,Willie Greene (9),694,R
358,359.,Tony Phillips (18),686,R
359,359.,Ian Stewart (7),686,R
360,361.,Matt Dominguez (5),685,R
361,361.,Jim Finigan (6),685,R
362,363.,Chad Tracy (9),682,R
363,364.,Reno Bertoia (10),676,R
364,365.,Vern Stephens (15),674,R
365,366.,John Valentin (11),668,R
366,367.,John Kennedy (12),665,R
367,368.,Craig Worthington (7),664,R
368,369.,Rick Schu (9),663,R
369,370.,Wilson Betemit (11),660,R
370,371.,Russ Wrightstone (9),659,R
371,372.,Frank Thomas (16),657,R
372,373.,Howard Freigau (7),654,R
373,373.,Andy LaRoche (6),654,R
374,375.,Yangervis Solarte (6),653,R
375,375.,Jack Warner (8),653,R
376,377.,Don Zimmer (12),649,R
377,378.,Jimmy Williams (11),646,R
378,379.,Don Gutteridge (12),644,R
379,380.,Bobby Brown (8),640,R
380,381.,Al Gallagher (4),639,R
381,382.,Lenny Harris (18),638,R
382,382.,Al Smith (12),638,R
383,384.,Denny Walling (18),637,R
384,385.,Darnell Coles (14),626,R
385,386.,Bill Sweeney (8),625,R
386,387.,Craig Counsell (16),624,R
387,388.,Duke Farrell (18),621,R
388,389.,Coco Laboy (5),620,R
389,390.,Jose Hernandez (15),618,R
390,391.,Ed Lennox (6),615,R
391,392.,Ron Coomer (9),614,R
392,393.,Felix Torres (3),609,R
393,394.,Bill Brubaker (10),607,R
394,395.,Ernie Courtney (6),606,R
395,395.,Conor Gillaspie (8),606,R
396,395.,Tim Naehring (8),606,R
397,398.,Al Dark (14),605,R
398,399.,Billy Goodman (16),603,R
399,400.,Greg Pryor (10),602,R
