,Rank,"Player (yrs, age)",Putouts as 2B,Throws
68,69.,Davey Johnson (13),2837,R
69,70.,Bobby Avila (11),2820,R
70,71.,Glenn Hubbard (12),2795,R
71,72.,Joe Gerhardt (15),2794,R
72,73.,Jimmy Williams (11),2759,R
73,74.,Max Bishop (12),2752,R
74,75.,Harold Reynolds (12),2749,R
75,76.,Otto Knabe (11),2743,R
76,77.,Ron Hunt (12),2734,R
77,78.,Glenn Beckert (11),2710,R
78,79.,Bill Hallman (14),2701,R
79,80.,Tommy Helms (14),2688,R
80,81.,Horace Clarke (10),2682,R
81,81.,Johnny Ray (10),2682,R
82,83.,Mark Ellis (12),2671,R
83,84.,Tom Daly (17),2652,R
84,85.,Orlando Hudson (11),2635,R
85,86.,Eric Young Sr. (15),2623,R
86,87.,Bill Doran (12),2619,R
87,88.,Robby Thompson (11),2611,R
88,89.,Delino DeShields (13),2608,R
89,90.,Ron Oester (13),2591,R
90,91.,Juan Samuel (16),2580,R
91,92.,"Dustin Pedroia (14, 36)",2574,R
92,93.,Rod Carew+ (19),2573,R
93,94.,Sandy Alomar (15),2572,R
94,95.,Rennie Stennett (11),2568,R
95,96.,Bobby Knoop (9),2566,R
96,97.,Chuck Knoblauch (12),2529,R
97,98.,Dick Green (12),2518,R
98,99.,Hobe Ferris (9),2501,R
99,100.,Jerry Lumpe (12),2469,R
100,101.,Connie Ryan (12),2447,R
101,102.,Adam Kennedy (14),2433,R
102,103.,Marty McManus (15),2430,R
103,104.,Dan Uggla (10),2415,R
104,105.,Julio Cruz (10),2393,R
105,106.,Mickey Morandini (11),2383,R
106,107.,Mark McLemore (19),2365,R
107,108.,Ronnie Belliard (13),2360,R
108,109.,Ralph Young (9),2356,R
109,110.,Lonny Frey (14),2334,R
110,111.,Jerry Remy (10),2292,R
111,112.,Jim Gilliam (14),2279,R
112,113.,Fernando Vina (12),2278,R
113,114.,Jimmy Bloodworth (11),2257,R
114,115.,Jackie Hayes (14),2189,R
115,116.,Jose Lind (9),2183,R
116,116.,Brian Roberts (14),2183,R
117,118.,Carlos Baerga (14),2177,R
118,119.,Damion Easley (17),2171,R
119,120.,Dick McAuliffe (16),2155,R
120,121.,Jody Reed (11),2135,R
121,122.,Placido Polanco (16),2131,R
122,123.,Phil Garner (16),2124,R
123,124.,Tony Bernazard (10),2100,R
124,125.,Cass Michaels (12),2073,R
125,126.,Aaron Hill (13),2065,R
126,127.,Mark Grudzielanek (15),2056,R
127,128.,Al Myers (8),2029,R
128,129.,Pop Smith (12),2016,R
129,130.,Rich Dauer (10),2004,R
130,131.,Duane Kuiper (12),2000,R
131,132.,Emil Verban (7),1994,R
132,133.,George Grantham (13),1987,R
133,134.,Howie Kendrick (15),1979,R
134,135.,Snuffy Stirnweiss (10),1978,R
135,136.,Bernie Allen (12),1960,R
136,137.,Luis Alicea (13),1941,R
137,138.,Dick Padden (9),1937,R
138,139.,Damaso Garcia (11),1928,R
139,140.,Billy Gardner (10),1923,R
140,141.,Doug Flynn (11),1920,R
141,142.,Ray Mack (9),1897,R
142,143.,"Neil Walker (12, 34)",1895,R
143,144.,Denny Doyle (8),1891,R
144,145.,Rickie Weeks (14),1888,R
145,146.,"Jose Altuve (10, 30)",1883,R
146,147.,Pete Suder (13),1879,R
147,148.,Jackie Robinson+ (10),1877,R
148,149.,Jimmy Dykes (22),1866,R
149,150.,Jerry Adair (13),1860,R
150,151.,Mike Lansing (9),1848,R
151,152.,Burgess Whitehead (9),1847,R
152,153.,Aaron Ward (12),1846,R
153,154.,Mike Andrews (8),1838,R
154,155.,Marty Barrett (10),1827,R
155,156.,Joey Cora (11),1824,R
156,157.,Jose Vidro (12),1820,R
157,158.,Bump Wills (6),1815,R
158,159.,Jack Farrell (11),1778,R
159,160.,Todd Walker (12),1771,R
160,161.,Hardy Richardson (14),1756,R
161,162.,"Brian Dozier (9, 33)",1753,R
162,163.,"DJ LeMahieu (10, 31)",1751,R
163,164.,Jack Crooks (8),1741,R
164,165.,Mark Lemke (11),1737,R
165,166.,Billy Martin (11),1734,R
166,167.,Omar Infante (15),1722,R
167,168.,Yank Robinson (10),1707,R
168,169.,Danny Richardson (11),1697,R
169,170.,Danny Murphy (16),1686,R
170,171.,Danny O'Connell (10),1657,R
171,172.,Billy Gilbert (8),1647,R
172,173.,Heinie Reitz (7),1646,R
173,174.,Fresco Thompson (9),1625,R
174,175.,Danny Murtaugh (9),1620,R
175,176.,Bobby Young (8),1610,R
176,177.,Joe Quest (10),1597,R
177,178.,Don Kolloway (12),1591,R
178,179.,"Jason Kipnis (10, 33)",1584,R
179,180.,Pete Runnels (14),1583,R
180,181.,Quilvio Veras (7),1554,R
181,181.,Rob Wilfong (11),1554,R
182,183.,Jorge Orta (16),1544,R
183,184.,Alex Kampouris (9),1535,R
184,185.,Kelly Johnson (11),1532,R
185,186.,Johnny Rawlings (12),1530,R
186,187.,Freddie Maguire (6),1528,R
187,188.,Pete Coscarart (9),1526,R
188,189.,"Rougned Odor (7, 26)",1523,R
189,190.,Billy Ripken (12),1516,R
190,191.,Sam Barkley (6),1509,R
191,192.,Alfonso Soriano (16),1503,R
192,193.,Reddy Mack (6),1485,
193,194.,Billy Goodman (16),1475,R
194,194.,Wayne Terwilliger (9),1475,R
195,196.,Mark Loretta (15),1474,R
196,197.,Pete Rose (24),1470,R
197,198.,Frank LaPorte (11),1468,R
198,199.,Dick Egan (9),1460,R
199,200.,Don Gutteridge (12),1453,R
200,201.,Bill Sweeney (8),1448,R
201,202.,Charlie Neal (8),1446,R
202,203.,Gary Sutherland (13),1445,R
203,204.,Dots Miller (12),1439,R
204,205.,Germany Schaefer (15),1419,R
205,206.,Don Heffner (11),1416,R
206,207.,Marcus Giles (7),1413,R
207,208.,Wally Backman (14),1405,R
208,209.,Bill Regan (6),1404,R
209,210.,George Creamer (7),1401,R
210,211.,Bill Greenwood (6),1399,L
211,211.,Doug Griffin (8),1399,R
212,213.,Tim Teufel (11),1389,R
213,214.,Gil McDougald (10),1385,R
214,215.,Scott Fletcher (15),1382,R
215,216.,"Jonathan Schoop (8, 28)",1376,R
216,217.,"Daniel Murphy (12, 35)",1372,R
217,218.,"Gordon Beckham (11, 33)",1370,R
218,219.,Miguel Cairo (17),1364,R
219,220.,Odell Hale (10),1354,R
220,221.,Ben Zobrist (14),1350,R
221,222.,Jerry Coleman (9),1349,R
222,223.,Jack Brohamer (9),1344,R
223,224.,Tony Phillips (18),1341,R
224,225.,Hod Ford (15),1338,R
225,225.,Derrel Thomas (15),1338,R
226,227.,"Dee Strange-Gordon (10, 32)",1335,R
227,228.,Eddie Mayo (9),1334,R
228,229.,Pedro Garcia (5),1333,R
229,230.,"Kolten Wong (8, 29)",1327,R
230,231.,Dave Shean (9),1323,R
231,232.,Sparky Adams (13),1321,R
232,233.,Ray Morgan (8),1307,R
233,234.,Pep Young (10),1306,R
234,235.,Jim Lefebvre (8),1305,R
235,236.,Julio Franco (23),1300,R
236,237.,Freddy Sanchez (10),1298,R
237,238.,Frankie Gustine (12),1293,R
238,239.,Jose Oquendo (12),1284,R
239,240.,Joe Gedeon (7),1283,R
240,241.,Rabbit Maranville+ (23),1268,R
241,242.,Jim Delahanty (13),1267,R
242,243.,Gene DeMontreville (11),1266,R
243,244.,Bill Cissell (9),1242,R
244,245.,Charley Bassett (9),1236,R
245,246.,John Ward+ (17),1226,R
246,247.,John O'Brien (6),1222,R
247,248.,Randy Velarde (16),1219,R
248,249.,John Hummel (12),1218,R
249,250.,Jerry Hairston (16),1217,R
250,251.,Granny Hamner (17),1215,R
251,252.,Marlon Anderson (12),1213,R
252,253.,"Cesar Hernandez (8, 30)",1212,R
253,254.,Jose Lopez (9),1207,R
254,255.,Bill McClellan (8),1202,L
255,256.,Gene Baker (8),1199,R
256,257.,Sam Wise (12),1198,R
257,258.,Scooter Gennett (7),1190,R
258,259.,Don Johnson (6),1175,R
259,260.,Mike Tyson (10),1170,R
260,261.,Morrie Rath (6),1167,R
261,262.,Johnny Berardino (11),1166,R
262,263.,"Joe Panik (7, 29)",1164,R
263,264.,Jerry Browne (10),1155,R
264,265.,Tony Piet (8),1148,R
265,266.,Johnny Hodapp (9),1135,R
266,267.,Bob Ferguson (14),1131,R
267,268.,Pokey Reese (8),1127,R
268,269.,Chuck Schilling (5),1119,R
269,270.,Chuck Cottier (9),1113,R
270,271.,Mickey Witek (7),1111,R
271,272.,Ken Boswell (11),1108,R
272,273.,Chuck Hiller (8),1102,R
273,274.,Mariano Duncan (12),1099,R
274,275.,Jose Offerman (15),1094,R
275,276.,Craig Counsell (16),1080,R
276,277.,Carlos Garcia (10),1077,R
277,278.,John Farrell (5),1070,R
278,278.,Lenny Randle (12),1070,R
279,280.,Danny Espinosa (8),1067,R
280,281.,Darwin Barney (8),1066,R
281,282.,Jerry Kindall (9),1065,R
282,283.,Aaron Miles (9),1064,R
283,284.,Billy Moran (7),1052,R
284,285.,Tim Flannery (11),1046,R
285,286.,Ross Barnes (9),1039,R
286,287.,Jeff Frye (8),1035,R
287,288.,Pat Kelly (9),1034,R
288,289.,Bernie Friberg (14),1027,R
289,290.,Edgardo Alfonzo (12),1021,R
290,291.,Davey Williams (6),1019,R
291,292.,Nelson Liriano (11),1018,R
292,293.,Dave Nelson (10),1016,R
293,294.,Tony Womack (13),1015,R
294,295.,Jeff Treadway (9),1014,R
295,296.,Mike Gallego (13),1013,R
296,297.,Stu Martin (8),1008,R
297,298.,Steve Yerkes (7),1002,R
298,299.,Buck Herzog (13),991,R
299,300.,Bobby Adams (14),989,R
300,301.,"Logan Forsythe (10, 33)",984,R
301,302.,Marco Scutaro (13),971,R
302,303.,Hub Collins (7),968,R
303,304.,Rodney Scott (8),959,R
304,305.,Tony Graffanino (13),957,R
305,306.,Sam Crane (7),948,R
306,307.,Kazuo Matsui (7),942,R
307,308.,Jamey Carroll (12),932,R
308,308.,Luis Rivas (8),932,R
309,310.,Jake Wood (7),929,R
310,311.,Ed Abbaticchio (9),928,R
311,312.,Paul Molitor+ (21),926,R
312,313.,Jimmy Brown (8),923,R
313,314.,Rabbit Warstler (11),921,R
314,315.,Ted Lepcio (10),918,R
315,316.,"Starlin Castro (11, 30)",917,R
316,317.,Roy Hughes (9),911,R
317,318.,Bob Randall (5),910,R
318,319.,Tadahito Iguchi (4),908,R
319,320.,Marty Perez (10),905,R
320,321.,Ted Kubiak (10),904,R
321,322.,Cotton Tierney (6),903,R
322,323.,Alex Cora (14),898,R
323,324.,Tim Cullen (7),888,R
324,325.,Whitey Alpermann (4),883,R
325,326.,Lew Fonseca (12),882,R
326,327.,Hal Lanier (10),881,R
327,328.,Eddie Miksis (14),880,R
328,329.,Carlos Febles (6),872,R
329,330.,Jose Castillo (5),869,R
330,331.,Michael Young (14),867,R
331,332.,Bert Niehoff (6),866,R
332,333.,Rob Andrews (5),860,R
333,333.,Bip Roberts (12),860,R
334,335.,Sam Bohne (7),854,R
335,336.,Don Buford (10),848,R
336,336.,Jerry Royster (16),848,R
337,338.,John Kerr (8),847,R
338,339.,Brent Gates (7),840,R
339,340.,D'Angelo Jimenez (8),833,R
340,341.,Juan Bonilla (6),832,R
341,342.,Sibby Sisti (13),820,R
342,343.,Chick Fewster (11),811,R
343,343.,Larry Milbourne (11),811,R
344,345.,Jay Bell (18),808,R
345,346.,Lee Magee (9),802,R
346,347.,Rey Sanchez (15),801,R
347,348.,Joey Amalfitano (10),796,R
348,349.,Donnie Hill (9),795,R
349,350.,Tom Carey (8),791,R
350,350.,Junior Spivey (5),791,R
351,352.,Lou Stringer (6),790,R
352,353.,Alexi Casilla (9),789,R
353,354.,Dave McKay (8),785,R
354,355.,Eddie Moore (10),783,R
355,356.,Luis Sojo (13),782,R
356,357.,Warren Morris (5),779,R
357,358.,Irv Hall (4),777,R
358,359.,David Bell (12),771,R
359,360.,Jim Morrison (12),767,R
360,360.,Terry Shumpert (14),767,R
361,362.,Jack Perconte (7),761,R
362,363.,Alan Wiggins (7),760,R
363,364.,Frank Isbell (10),758,R
364,365.,Amby McConnell (4),755,R
365,366.,Skip Schumaker (11),753,R
366,367.,Marv Breeding (4),751,R
367,368.,"Eric Sogard (10, 34)",750,R
368,369.,Jack Dittmer (6),746,R
369,369.,"Josh Harrison (10, 32)",746,R
370,371.,Keith Lockhart (10),745,R
371,371.,Jim Viox (5),745,R
372,373.,Roy Schalk (3),744,R
373,374.,Rollie Zeider (9),736,R
374,375.,Al Weis (10),730,R
375,376.,Rod Gilbreath (7),729,R
376,377.,Steve Lombardozzi (6),725,R
377,378.,Ken Aspromonte (7),724,R
378,378.,Tommy Dowd (10),724,R
379,380.,"Yolmer Sanchez (7, 28)",722,R
380,381.,Heinie Smith (6),721,R
381,382.,Manuel Lee (11),715,R
382,383.,Ken Hubbs (3),714,R
383,384.,Chris Getz (7),713,R
384,385.,Vance Law (11),710,R
385,386.,Daryl Spencer (10),708,R
386,386.,Zeb Terry (7),708,R
387,386.,Heinie Zimmerman (13),708,R
388,389.,Mark Lewis (11),706,R
389,390.,Woody Williams (4),704,R
390,391.,George Hausmann (3),702,R
391,392.,Pete Mackanin (9),689,R
392,393.,Heinie Groh (16),688,R
393,393.,Les Mallon (4),688,R
394,395.,Pete Kilduff (5),684,R
395,396.,Ken Oberkfell (16),683,R
396,397.,Duke Kenworthy (4),673,R
397,397.,"Whit Merrifield (5, 31)",673,R
398,399.,Baldy Louden (6),672,R
399,400.,Nick Punto (14),667,R
