,Rank,"Player (yrs, age)",Def. Games as 3B,Throws
165,166.,Harmon Killebrew+ (22),791,R
166,166.,Paul Molitor+ (21),791,R
167,168.,Andy High (13),790,R
168,169.,Mark Reynolds (13),783,R
169,170.,John McGraw+ (17),782,R
170,171.,Gene Freese (12),781,R
171,172.,Dave Hollins (12),778,R
172,173.,Bob Jones (9),774,R
173,174.,Eddie Grant (10),769,R
174,175.,Frank Hankinson (10),764,R
175,176.,Bubba Phillips (10),762,R
176,177.,Jim Gilliam (14),761,R
177,178.,Tony Perez+ (23),760,R
178,179.,Eric Soderholm (9),759,R
179,180.,Harry Wolverton (9),756,R
180,181.,Tony Boeckel (6),755,R
181,182.,"Justin Turner (12, 35)",754,R
182,183.,Placido Polanco (16),751,R
183,184.,Bill Joyce (8),735,R
184,185.,Rance Mulliniks (16),730,R
185,186.,Rico Petrocelli (13),727,R
186,187.,Marty McManus (15),725,R
187,188.,Ned Williamson (13),716,R
188,189.,Lee Handley (10),713,R
189,190.,Dave Magadan (16),709,R
190,191.,Tom Burns (13),704,R
191,191.,Sammy Hale (10),704,R
192,193.,Billy Cox (11),700,R
193,193.,Vance Law (11),700,R
194,195.,Hank Blalock (9),699,R
195,196.,"Miguel Cabrera (18, 37)",697,R
196,197.,Bob Dillinger (6),692,R
197,198.,Bob Horner (10),684,R
198,199.,Jim Ray Hart (12),683,R
199,199.,Ty Wigginton (12),683,R
200,201.,Geoff Blum (14),677,R
201,201.,Babe Pinelli (8),677,R
202,203.,Fernando Tatis (11),676,R
203,204.,Cookie Lavagetto (10),675,R
204,204.,Cal Ripken Jr.+ (21),675,R
205,206.,"Edwin Encarnacion (16, 37)",674,R
206,207.,Buddy Lewis (11),671,R
207,208.,Lee Tannehill (10),668,R
208,209.,"Matt Carpenter (10, 34)",665,R
209,209.,Wid Conroy (11),665,R
210,209.,"Eugenio Suarez (7, 28)",665,R
211,212.,Jack Howell (11),659,R
212,213.,Johnny Vergez (6),658,R
213,214.,"Maikel Franco (7, 27)",657,R
214,214.,Kevin Kouzmanoff (7),657,R
215,216.,Hank Thompson (9),655,R
216,217.,Bobby Adams (14),652,R
217,217.,Dick Allen (15),652,R
218,219.,Joe Foy (6),651,R
219,219.,Butch Hobson (8),651,R
220,221.,Pinky May (5),646,R
221,222.,Juan Uribe (16),644,R
222,223.,Joe Sewell+ (14),643,R
223,224.,Garrett Atkins (8),642,R
224,225.,Chone Figgins (12),640,R
225,226.,Morgan Ensberg (8),639,R
226,227.,Chris Johnson (8),638,R
227,228.,Pete Rose (24),634,R
228,228.,Jerry Royster (16),634,R
229,230.,Jim Donnelly (11),631,R
230,231.,Ray Jablonski (8),630,R
231,232.,Sean Berry (11),629,R
232,233.,Lew Riggs (10),627,R
233,234.,Wes Helms (13),626,R
234,235.,Casey McGehee (8),625,R
235,236.,"Kris Bryant (6, 28)",623,R
236,236.,Charley Smith (10),623,R
237,238.,Jim Morrison (12),619,R
238,239.,Mike Blowers (11),616,R
239,240.,Trevor Plouffe (9),611,R
240,241.,Luis Valbuena (11),606,R
241,242.,Terry Turner (17),604,R
242,243.,Alberto Callaspo (10),602,R
243,244.,Frank O'Rourke (14),598,R
244,245.,Wally Gilbert (5),587,R
245,246.,Jeff King (11),586,R
246,247.,Chuck Dressen (8),575,R
247,248.,Pedro Alvarez (9),574,R
248,249.,Fred Hartman (6),572,R
249,250.,Gene Robertson (9),571,R
250,251.,Leo Gomez (7),570,R
251,252.,Steve Ontiveros (8),569,R
252,253.,Edgar Martinez+ (18),564,R
253,254.,Pete Ward (9),562,R
254,255.,Russ Davis (8),556,R
255,255.,Garth Iorg (9),556,R
256,255.,Charlie Reilly (8),556,R
257,258.,Rube Lutzke (5),553,R
258,258.,Bill McKechnie+ (11),553,R
259,260.,Bob Kennedy (16),540,R
260,260.,"Jose Ramirez (8, 27)",540,R
261,262.,Chippy McGarr (10),539,R
262,263.,Sparky Adams (13),532,R
263,264.,George Davis+ (20),529,R
264,265.,"Nicholas Castellanos (8, 28)",527,R
265,266.,Doug Baird (6),522,R
266,267.,Lenny Randle (12),521,R
267,268.,"Jake Lamb (7, 29)",517,R
268,269.,Hubie Brooks (15),516,R
269,269.,Bill Stein (14),516,R
270,271.,Joe Torre+ (18),515,R
271,272.,Floyd Baker (13),510,R
272,272.,Ray Boone (13),510,R
273,274.,Gil McDougald (10),508,R
274,275.,Danny Valencia (9),507,R
275,276.,Shane Andrews (7),502,R
276,276.,"Eduardo Escobar (10, 31)",502,R
277,278.,Craig Paquette (11),498,R
278,279.,Jim Thome+ (22),493,R
279,280.,Jack Hannahan (8),488,R
280,281.,Lenny Harris (18),485,R
281,281.,Howie Shanks (14),485,R
282,283.,Phil Nevin (12),483,R
283,284.,Billy Lauder (5),481,R
284,285.,Bernie Friberg (14),479,R
285,286.,Mike Shannon (9),478,R
286,286.,Patsy Tebeau (13),478,R
287,288.,Buck Herzog (13),473,R
288,289.,"Travis Shaw (6, 30)",471,R
289,290.,Tony Cuccinello (15),468,R
290,290.,Gary Sheffield (22),468,R
291,290.,Cecil Travis (12),468,R
292,293.,Scott Cooper (7),467,R
293,294.,Michael Young (14),465,R
294,295.,Kevin Youkilis (10),464,R
295,296.,Dave Chalk (9),462,R
296,296.,Shea Hillenbrand (7),462,R
297,298.,Johnny Pesky (10),460,R
298,299.,Frankie Frisch+ (19),459,R
299,299.,Hector Lopez (12),459,R
300,301.,Wilson Betemit (11),458,R
301,302.,Eric Hinske (12),457,R
302,303.,John Kennedy (12),455,R
303,304.,Mike Cubbage (8),454,R
304,304.,Sid Gordon (13),454,R
305,304.,Tim Hulett (12),454,R
306,307.,Fred Haney (7),450,R
307,308.,"Alex Bregman (5, 26)",449,R
308,309.,Jimmy Johnston (13),448,R
309,310.,Mark Teahen (7),447,R
310,311.,Mike Lamb (10),446,R
311,312.,Scott Leius (9),445,R
312,313.,Jimmy Burke (7),444,R
313,314.,Mark Christman (9),442,R
314,315.,Brett Lawrie (6),441,R
315,315.,Bill Spiers (13),441,R
316,317.,Roy Hartzell (11),440,R
317,318.,Odell Hale (10),439,R
318,319.,Dave Brain (7),431,R
319,320.,Fritz Maisel (6),430,R
320,321.,Pepper Martin (13),429,R
321,322.,Tony Phillips (18),428,R
322,323.,Buck Weaver (9),427,R
323,324.,Eddie Kasko (10),426,R
324,324.,Rick Schu (9),426,R
325,324.,Bobby Wallace+ (25),426,R
326,327.,Billy Clingman (10),425,R
327,327.,Jose Hernandez (15),425,R
328,329.,Chris Brown (6),423,R
329,330.,Ian Stewart (7),422,R
330,331.,"Matt Chapman (4, 27)",421,R
331,331.,Steve Mesner (6),421,R
332,333.,Denis Menke (13),420,R
333,334.,Dude Esterbrook (11),419,R
334,335.,Sean Burroughs (7),418,R
335,336.,Tony Taylor (19),417,R
336,337.,John Castino (6),416,R
337,338.,Jose Bautista (15),415,R
338,339.,Mike Muldoon (5),413,
339,340.,Don Gutteridge (12),412,R
340,341.,Barry McCormick (10),411,R
341,342.,Fred Hatfield (9),408,R
342,343.,Yangervis Solarte (6),405,R
343,344.,Ed Spiezio (9),404,R
344,345.,Jumbo Davis (7),400,R
345,345.,Woody English (12),400,R
346,345.,Willie Greene (9),400,R
347,345.,Art Howe (11),400,R
348,349.,Chad Tracy (9),398,R
349,350.,Bob Ferguson (14),397,R
350,350.,Coco Laboy (5),397,R
351,352.,Pete Suder (13),395,R
352,353.,Frank Thomas (16),394,R
353,354.,Sammy Strang (10),393,R
354,355.,Ron Coomer (9),391,R
355,355.,Al Gallagher (4),391,R
356,357.,Jeff Hamilton (6),389,R
357,358.,Pete Castiglione (8),388,R
358,358.,Chris Stynes (10),388,R
359,360.,Denny Walling (18),387,R
360,361.,Dave Roberts (10),386,R
361,362.,Craig Counsell (16),385,R
362,362.,Conor Gillaspie (8),385,R
363,364.,Ed Gremminger (4),383,R
364,365.,Frankie Gustine (12),382,R
365,366.,"Rafael Devers (4, 23)",381,R
366,367.,Al Smith (12),378,R
367,368.,"Matt Duffy (5, 29)",377,R
368,368.,Ed Lennox (6),377,R
369,368.,Greg Pryor (10),377,R
370,371.,Craig Worthington (7),376,R
371,372.,Don Zimmer (12),375,R
372,373.,Pedro Guerrero (15),373,R
373,374.,Yunel Escobar (11),372,R
374,375.,Howard Freigau (7),371,R
375,375.,Dave Hansen (15),371,R
376,375.,John Valentin (11),371,R
377,378.,Bobby Brown (8),369,R
378,379.,Russ Wrightstone (9),368,R
379,380.,Reno Bertoia (10),367,R
380,381.,Darnell Coles (14),366,R
381,382.,Mark DeRosa (16),363,R
382,383.,Ernie Courtney (6),362,R
383,383.,Maury Wills (14),362,R
384,385.,Joe Werrick (4),361,R
385,386.,Jim Gantner (17),360,R
386,386.,Aubrey Huff (13),360,R
387,386.,Nick Punto (14),360,R
388,389.,Tom O'Malley (9),359,R
389,390.,Jose Pagan (15),358,R
390,391.,Don Buford (10),352,R
391,391.,Matt Dominguez (5),352,R
392,391.,Rene Gonzales (13),352,R
393,394.,Bill Brubaker (10),350,R
394,395.,"Jorge Cantu (8, 38)",347,R
395,396.,Steve Boros (7),346,R
396,397.,Frank Ellerbe (6),345,R
397,397.,Tim Naehring (8),345,R
398,397.,Herbert Perry (9),345,R
399,400.,George Perring (5),344,R
