,Rank,"Player (yrs, age)",Win-Loss %,Throws
365,364.,Spec Shea (8),.5490,R
366,367.,Doug Bird (11),.5489,R
367,367.,Slim Sallee (14),.5489,L
368,369.,Vic Willis+ (13),.5485,R
369,370.,Dave Boswell (8),.5484,R
370,370.,Eddie Fisher (15),.5484,R
371,372.,Wilbur Cooper (15),.5482,L
372,372.,Red Ruffing+ (22),.5482,R
373,374.,Vic Aldridge (9),.5480,R
374,375.,"Wade Davis (12, 34)",.5478,R
375,375.,Doc White (13),.5478,L
376,377.,"Mike Fiers (10, 35)",.5474,R
377,378.,Ray Culp (11),.5471,R
378,378.,Rick Rhoden (16),.5471,R
379,380.,Gerry Staley (15),.5469,R
380,381.,Jake Peavy (15),.5468,R
381,382.,Curt Davis (13),.5467,R
382,382.,Ad Gumbert (9),.5467,R
383,384.,"Carlos Carrasco (11, 33)",.5466,R
384,385.,Bill Swift (13),.5465,R
385,386.,Moose Haas (12),.5464,R
386,386.,George Uhle (17),.5464,R
387,388.,Darren Oliver (20),.5463,L
388,388.,Gary Peters (14),.5463,L
389,390.,Harvey Haddix (14),.5462,L
390,390.,Mat Latos (9),.5462,R
391,392.,Dan Petry (13),.5459,R
392,392.,Bobby Shantz (16),.5459,L
393,394.,"Rick Porcello (12, 31)",.5455,R
394,395.,Mel Harder (20),.5452,R
395,395.,Guy Hecker (9),.5452,R
396,397.,Johnny Sain (11),.5451,R
397,398.,Yovani Gallardo (12),.5450,R
398,398.,Bobby Mathews (15),.5450,R
399,398.,Brad Penny (14),.5450,R
400,401.,Herb Score (8),.5446,L
401,402.,Jorge De La Rosa (15),.5445,L
402,403.,Ed Figueroa (8),.5442,R
403,403.,Jim Kaat (25),.5442,L
404,405.,Bob McClure (19),.5440,L
405,405.,Dave Wickersham (10),.5440,R
406,407.,Red Faber+ (20),.5439,R
407,408.,Bill Gullickson (14),.5436,R
408,409.,"Sonny Gray (8, 30)",.5435,R
409,410.,Bob Turley (12),.5430,R
410,411.,Scott Bankhead (10),.5429,R
411,411.,Sid Fernandez (15),.5429,L
412,411.,Shane Reynolds (13),.5429,R
413,414.,Vicente Padilla (14),.5427,R
414,415.,Bob Stanley (13),.5425,R
415,416.,Phil Regan (13),.5424,R
416,417.,Lindy McDaniel (21),.5423,R
417,417.,Gaylord Perry+ (22),.5423,R
418,419.,Joaquin Benoit (16),.5421,R
419,420.,Bob Rhoads (8),.5419,R
420,421.,Dennis Rasmussen (12),.5417,L
421,422.,Doc Medich (11),.5415,R
422,423.,Octavio Dotel (15),.5413,R
423,423.,Mel Stottlemyre (11),.5413,R
424,425.,Pol Perritt (10),.5412,R
425,426.,Chris Young (13),.5411,R
426,427.,Earl Whitehill (17),.5409,L
427,428.,Storm Davis (13),.5407,R
428,428.,Pud Galvin+ (15),.5407,R
429,430.,Brickyard Kennedy (12),.5405,R
430,430.,Charlie Leibrandt (14),.5405,L
431,432.,Bobby Bolin (13),.5399,R
432,432.,Bob Ojeda (15),.5399,L
433,432.,Ervin Santana (15),.5399,R
434,432.,Frank Viola (15),.5399,L
435,436.,Ron Darling (13),.5397,R
436,437.,"Trevor Bauer (9, 29)",.5396,R
437,437.,Frank Dwyer (12),.5396,R
438,437.,Hoyt Wilhelm+ (21),.5396,R
439,440.,Jim Brosnan (9),.5392,R
440,440.,"Tyler Clippard (14, 35)",.5392,R
441,442.,Pat Hentgen (14),.5391,R
442,443.,Larry Christenson (11),.5390,R
443,444.,"Ivan Nova (11, 33)",.5389,R
444,445.,Kirby Higbe (12),.5388,R
445,446.,Mike Flanagan (18),.5387,L
446,446.,Dan Haren (13),.5387,R
447,448.,Robin Roberts+ (19),.5386,R
448,449.,Britt Burns (8),.5385,L
449,449.,John Halama (9),.5385,L
450,449.,Jim O'Toole (10),.5385,L
451,452.,Tony Cloninger (12),.5381,R
452,453.,Pat Jarvis (8),.5380,R
453,454.,José Contreras (11),.5379,R
454,455.,Jimmy Dygert (6),.5377,R
455,455.,Red Lucas (16),.5377,R
456,455.,George Mullin (14),.5377,R
457,455.,Joe Page (8),.5377,L
458,459.,Cal Eldred (14),.5375,R
